time,Chicago,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Maker (N. Mirotic gains possession),,,,Jump ball: R. Lopez vs. T. Maker (N. Mirotic gains possession)
11:40.0,R. Lopez makes 2-pt shot at rim (assist by J. Butler),2,2-0,,
11:24.0,,,2-0,,T. Snell misses 2-pt shot from 1 ft (block by R. Lopez)
11:23.0,,,2-0,,Offensive rebound by T. Maker
11:23.0,,,2-2,2,T. Maker makes 2-pt shot from 2 ft
11:23.0,,,2-2,,Shooting foul by P. Zipser (drawn by T. Maker)
11:23.0,,,2-3,1,T. Maker makes free throw 1 of 1
11:07.0,R. Lopez misses 2-pt shot from 6 ft,,2-3,,
11:06.0,,,2-3,,Defensive rebound by G. Antetokounmpo
11:00.0,,,2-5,2,G. Antetokounmpo makes 2-pt shot from 2 ft
10:42.0,J. Butler makes technical free throw,1,3-5,,
10:42.0,,,3-5,,Def 3 sec tech foul by T. Maker
10:21.0,P. Zipser misses 2-pt shot from 7 ft,,3-5,,
10:19.0,Offensive rebound by P. Zipser,,3-5,,
10:19.0,P. Zipser misses 2-pt shot from 1 ft,,3-5,,
10:18.0,Offensive rebound by R. Rondo,,3-5,,
10:13.0,N. Mirotic makes 3-pt shot from 23 ft,3,6-5,,
10:00.0,,,6-5,,T. Snell misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by P. Zipser,,6-5,,
9:53.0,,,6-5,,Personal foul by T. Maker (drawn by J. Butler)
9:41.0,Turnover by R. Rondo (bad pass; steal by T. Snell),,6-5,,
9:39.0,Personal foul by P. Zipser (drawn by G. Antetokounmpo),,6-5,,
9:39.0,D. Valentine enters the game for P. Zipser,,6-5,,
9:30.0,,,6-5,,Shooting foul by D. Valentine (drawn by G. Antetokounmpo)
9:30.0,,,6-6,1,G. Antetokounmpo makes free throw 1 of 2
9:30.0,,,6-7,1,G. Antetokounmpo makes free throw 2 of 2
9:11.0,J. Butler makes 2-pt shot from 10 ft,2,8-7,,
8:54.0,,,8-10,3,K. Middleton makes 3-pt shot from 26 ft
8:30.0,N. Mirotic makes 2-pt shot from 11 ft (assist by R. Rondo),2,10-10,,
8:18.0,,,10-10,,T. Maker misses 2-pt shot from 8 ft
8:16.0,Defensive rebound by N. Mirotic,,10-10,,
8:08.0,D. Valentine misses 2-pt shot from 20 ft,,10-10,,
8:07.0,Offensive rebound by R. Lopez,,10-10,,
8:04.0,R. Lopez makes 2-pt shot from 5 ft (assist by D. Valentine),2,12-10,,
7:47.0,,,12-12,2,M. Brogdon makes 2-pt shot from 19 ft (assist by G. Antetokounmpo)
7:29.0,Turnover by R. Rondo (traveling),,12-12,,
7:29.0,,,12-12,,G. Monroe enters the game for T. Maker
7:14.0,,,12-14,2,K. Middleton makes 2-pt shot from 14 ft
7:00.0,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Butler),2,14-14,,
6:47.0,,,14-14,,G. Antetokounmpo misses 2-pt shot from 1 ft
6:46.0,,,14-14,,Offensive rebound by G. Monroe
6:44.0,,,14-14,,G. Monroe misses 2-pt shot from 1 ft
6:42.0,Defensive rebound by R. Lopez,,14-14,,
6:32.0,J. Butler makes 2-pt shot from 16 ft,2,16-14,,
6:14.0,,,16-16,2,G. Antetokounmpo makes 2-pt shot at rim
5:54.0,J. Butler misses 2-pt shot from 1 ft,,16-16,,
5:53.0,,,16-16,,Defensive rebound by T. Snell
5:49.0,,,16-18,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Brogdon)
5:49.0,Chicago full timeout,,16-18,,
5:49.0,,,16-18,,J. Terry enters the game for K. Middleton
5:30.0,Turnover by J. Butler (bad pass),,16-18,,
5:14.0,,,16-18,,T. Snell misses 2-pt shot at rim
5:13.0,,,16-18,,Offensive rebound by G. Monroe
5:12.0,,,16-20,2,G. Monroe makes 2-pt shot from 1 ft
4:47.0,Offensive foul by R. Rondo,,16-20,,
4:47.0,Turnover by R. Rondo (offensive foul),,16-20,,
4:47.0,,,16-20,,M. Dellavedova enters the game for M. Brogdon
4:33.0,,,16-20,,G. Monroe misses 2-pt shot from 14 ft
4:32.0,Defensive rebound by R. Rondo,,16-20,,
4:18.0,R. Lopez makes 2-pt shot from 21 ft (assist by J. Butler),2,18-20,,
3:59.0,,,18-20,,Turnover by G. Antetokounmpo (bad pass; steal by J. Butler)
3:46.0,N. Mirotic makes 2-pt shot from 2 ft (assist by R. Lopez),2,20-20,,
3:35.0,,,20-22,2,G. Antetokounmpo makes 2-pt shot from 5 ft
3:07.0,R. Rondo misses 2-pt shot from 2 ft,,20-22,,
3:05.0,,,20-22,,Defensive rebound by G. Antetokounmpo
3:00.0,,,20-22,,T. Snell misses 3-pt shot from 28 ft
2:59.0,Defensive rebound by R. Lopez,,20-22,,
2:45.0,R. Lopez makes 2-pt shot from 20 ft (assist by J. Butler),2,22-22,,
2:22.0,,,22-25,3,T. Snell makes 3-pt shot from 24 ft (assist by M. Dellavedova)
2:01.0,J. Butler makes 2-pt shot from 1 ft (assist by R. Rondo),2,24-25,,
