time,Minnesota,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. Towns (O. Porter gains possession),,,,Jump ball: M. Gortat vs. K. Towns (O. Porter gains possession)
11:46.0,,,0-0,,M. Morris misses 2-pt shot from 12 ft
11:45.0,Defensive rebound by R. Rubio,,0-0,,
11:43.0,Turnover by R. Rubio (bad pass; steal by O. Porter),,0-0,,
11:27.0,,,0-2,2,M. Gortat makes 2-pt shot from 14 ft
11:11.0,A. Wiggins makes 2-pt shot from 12 ft,2,2-2,,
11:02.0,,,2-4,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
10:49.0,,,2-4,,Personal foul by M. Gortat (drawn by Z. LaVine)
10:43.0,G. Dieng makes 2-pt shot from 21 ft (assist by R. Rubio),2,4-4,,
10:21.0,,,4-6,2,M. Morris makes 2-pt shot from 10 ft
10:04.0,A. Wiggins misses 3-pt shot from 24 ft,,4-6,,
10:02.0,Offensive rebound by G. Dieng,,4-6,,
9:59.0,K. Towns misses 2-pt shot from 1 ft (block by M. Gortat),,4-6,,
9:59.0,Offensive rebound by Team,,4-6,,
9:47.0,A. Wiggins misses 2-pt shot from 16 ft,,4-6,,
9:46.0,,,4-6,,Defensive rebound by M. Gortat
9:31.0,,,4-6,,Shooting foul by A. Wiggins (drawn by M. Morris)
9:31.0,,,4-7,1,M. Morris makes free throw 1 of 2
9:31.0,,,4-8,1,M. Morris makes free throw 2 of 2
9:18.0,G. Dieng makes 2-pt shot from 10 ft (assist by A. Wiggins),2,6-8,,
9:04.0,,,6-8,,M. Morris misses 2-pt shot from 18 ft
9:03.0,Defensive rebound by G. Dieng,,6-8,,
9:00.0,K. Towns makes 2-pt shot at rim (assist by G. Dieng),2,8-8,,
8:46.0,,,8-8,,O. Porter misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by K. Towns,,8-8,,
8:34.0,A. Wiggins misses 2-pt shot from 19 ft,,8-8,,
8:33.0,,,8-8,,Defensive rebound by M. Gortat
8:25.0,,,8-11,3,B. Beal makes 3-pt shot from 24 ft
8:09.0,Z. LaVine misses 3-pt shot from 26 ft,,8-11,,
8:07.0,,,8-11,,Defensive rebound by M. Morris
7:55.0,,,8-11,,J. Wall misses 2-pt shot from 15 ft
7:54.0,Defensive rebound by K. Towns,,8-11,,
7:42.0,Shooting foul by M. Gortat (drawn by K. Towns),,8-11,,
7:42.0,K. Towns makes free throw 1 of 2,1,9-11,,
7:42.0,K. Towns makes free throw 2 of 2,1,10-11,,
7:42.0,,,9-11,,J. Smith enters the game for M. Gortat
7:29.0,,,10-11,,Turnover by M. Morris (bad pass; steal by A. Wiggins)
7:21.0,Turnover by Z. LaVine (bad pass; steal by J. Wall),,10-11,,
7:17.0,,,10-13,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
6:50.0,Z. LaVine misses 3-pt shot from 23 ft,,10-13,,
6:49.0,Offensive rebound by K. Towns,,10-13,,
6:44.0,K. Towns makes 2-pt shot from 1 ft,2,12-13,,
6:21.0,,,12-15,2,M. Morris makes 2-pt shot from 2 ft
6:12.0,K. Towns misses 2-pt shot from 6 ft (block by J. Smith),,12-15,,
6:10.0,,,12-15,,Defensive rebound by J. Smith
6:02.0,,,12-18,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
5:39.0,Shooting foul by O. Porter (drawn by A. Wiggins),,12-18,,
5:39.0,,,12-18,,Washington full timeout
5:39.0,A. Wiggins makes free throw 1 of 2,1,13-18,,
5:39.0,A. Wiggins makes free throw 2 of 2,1,14-18,,
5:39.0,,,12-18,,A. Nicholson enters the game for M. Morris
5:21.0,,,14-20,2,J. Smith makes 2-pt shot from 15 ft (assist by B. Beal)
5:02.0,A. Wiggins makes 2-pt shot from 2 ft,2,16-20,,
4:51.0,B. Rush enters the game for Z. LaVine,,16-20,,
4:45.0,,,16-20,,O. Porter misses 2-pt shot from 18 ft
4:44.0,Defensive rebound by R. Rubio,,16-20,,
4:32.0,A. Wiggins misses 2-pt shot from 18 ft,,16-20,,
4:31.0,,,16-20,,Defensive rebound by A. Nicholson
4:23.0,,,16-20,,B. Beal misses 2-pt shot from 19 ft
4:22.0,Defensive rebound by K. Towns,,16-20,,
4:13.0,,,16-20,,Personal foul by A. Nicholson (drawn by R. Rubio)
4:01.0,Turnover by A. Wiggins (lost ball),,16-20,,
3:48.0,,,16-22,2,J. Wall makes 2-pt shot from 2 ft
3:23.0,K. Towns misses 2-pt shot from 12 ft,,16-22,,
3:22.0,,,16-22,,Defensive rebound by J. Smith
3:05.0,,,16-25,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
2:47.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,18-25,,
2:34.0,,,18-25,,Turnover by B. Beal (lost ball)
2:34.0,Minnesota full timeout,,18-25,,
2:34.0,,,18-25,,T. Burke enters the game for B. Beal
2:18.0,R. Rubio makes 2-pt shot from 18 ft (assist by K. Towns),2,20-25,,
2:05.0,,,20-27,2,J. Wall makes 2-pt shot at rim
1:59.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,22-27,,
1:59.0,Shooting foul by A. Nicholson (drawn by A. Wiggins),,22-27,,
1:59.0,A. Wiggins makes free throw 1 of 1,1,23-27,,
1:59.0,N. Bjelica enters the game for K. Towns,,22-27,,
1:59.0,,,22-27,,K. Oubre enters the game for O. Porter
1:59.0,K. Dunn enters the game for R. Rubio,,22-27,,
1:44.0,Violation by N. Bjelica (kicked ball),,23-27,,
1:37.0,,,23-29,2,A. Nicholson makes 2-pt shot from 8 ft (assist by J. Wall)
1:21.0,A. Wiggins makes 2-pt shot from 7 ft,2,25-29,,
1:09.0,,,25-29,,A. Nicholson misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by G. Dieng,,25-29,,
0:54.0,G. Dieng misses 2-pt shot from 18 ft,,25-29,,
0:54.0,Offensive rebound by B. Rush,,25-29,,
0:50.0,N. Bjelica misses 3-pt shot from 25 ft,,25-29,,
0:49.0,Offensive rebound by Team,,25-29,,
0:49.0,,,25-29,,Loose ball foul by A. Nicholson (drawn by G. Dieng)
0:49.0,G. Dieng makes free throw 1 of 2,1,26-29,,
0:49.0,G. Dieng makes free throw 2 of 2,1,27-29,,
0:49.0,,,26-29,,M. Morris enters the game for A. Nicholson
0:39.0,,,27-32,3,T. Burke makes 3-pt shot from 27 ft (assist by J. Smith)
0:20.0,A. Wiggins makes 2-pt shot from 2 ft,2,29-32,,
0:05.0,Personal take foul by K. Dunn (drawn by J. Wall),,29-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,29-32,,Personal foul by K. Oubre (drawn by N. Bjelica)
11:35.0,Z. LaVine misses 2-pt shot from 19 ft,,29-32,,
11:34.0,,,29-32,,Defensive rebound by J. Smith
11:27.0,,,29-35,3,M. Morris makes 3-pt shot from 26 ft (assist by T. Burke)
11:09.0,N. Bjelica makes 3-pt shot from 27 ft (assist by Z. LaVine),3,32-35,,
10:44.0,,,32-35,,M. Morris misses 2-pt shot from 10 ft
10:43.0,,,32-35,,Offensive rebound by T. Burke
10:40.0,,,32-35,,T. Burke misses 2-pt shot from 13 ft
10:39.0,Defensive rebound by Z. LaVine,,32-35,,
10:22.0,B. Rush makes 2-pt shot from 7 ft (assist by K. Dunn),2,34-35,,
9:58.0,,,34-35,,K. Oubre misses 2-pt shot at rim (block by B. Rush)
9:56.0,Defensive rebound by C. Aldrich,,34-35,,
9:51.0,Z. LaVine misses 2-pt shot from 9 ft,,34-35,,
9:48.0,,,34-35,,Defensive rebound by M. Morris
9:39.0,,,34-37,2,J. Smith makes 2-pt shot from 19 ft (assist by M. Morris)
9:22.0,C. Aldrich makes 2-pt shot at rim (assist by K. Dunn),2,36-37,,
9:11.0,Personal foul by Z. LaVine (drawn by S. Mac),,36-37,,
9:03.0,,,36-40,3,K. Oubre makes 3-pt shot from 26 ft (assist by J. Smith)
8:49.0,N. Bjelica makes 2-pt shot from 1 ft (assist by Z. LaVine),2,38-40,,
8:28.0,,,38-40,,J. Smith misses 2-pt shot from 19 ft
8:27.0,Defensive rebound by N. Bjelica,,38-40,,
8:13.0,Z. LaVine misses 2-pt shot from 17 ft,,38-40,,
8:12.0,Offensive rebound by C. Aldrich,,38-40,,
8:10.0,C. Aldrich makes 2-pt shot from 1 ft,2,40-40,,
8:09.0,,,40-40,,Washington full timeout
8:09.0,,,40-40,,B. Beal enters the game for S. Mac
7:48.0,,,40-42,2,M. Morris makes 2-pt shot from 9 ft (assist by B. Beal)
7:23.0,Z. LaVine misses 2-pt shot from 19 ft,,40-42,,
7:22.0,Offensive rebound by C. Aldrich,,40-42,,
7:20.0,Z. LaVine misses 2-pt shot from 2 ft (block by J. Smith),,40-42,,
7:20.0,Offensive rebound by Team,,40-42,,
7:15.0,B. Rush makes 3-pt shot from 26 ft (assist by Z. LaVine),3,43-42,,
6:56.0,Personal foul by C. Aldrich (drawn by M. Morris),,43-42,,
6:56.0,K. Towns enters the game for N. Bjelica,,43-42,,
6:56.0,,,43-42,,M. Gortat enters the game for J. Smith
6:56.0,G. Dieng enters the game for C. Aldrich,,43-42,,
6:47.0,,,43-42,,M. Morris misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by Z. LaVine,,43-42,,
6:29.0,K. Towns makes 2-pt shot from 3 ft,2,45-42,,
6:09.0,,,45-42,,Turnover by M. Gortat (3 sec)
6:09.0,,,45-42,,J. Wall enters the game for T. Burke
5:57.0,,,45-42,,Personal foul by K. Oubre (drawn by Z. LaVine)
5:57.0,Official timeout,,45-42,,
5:57.0,A. Wiggins enters the game for B. Rush,,45-42,,
5:57.0,,,45-42,,O. Porter enters the game for K. Oubre
5:38.0,A. Wiggins misses 2-pt shot from 21 ft,,45-42,,
5:37.0,,,45-42,,Defensive rebound by B. Beal
5:35.0,,,45-44,2,M. Morris makes 2-pt shot from 2 ft (assist by O. Porter)
5:25.0,K. Towns misses 2-pt shot from 8 ft,,45-44,,
5:25.0,,,45-44,,Defensive rebound by M. Morris
5:19.0,,,45-44,,Shooting foul by K. Towns (drawn by B. Beal)
5:19.0,,,45-45,1,B. Beal makes free throw 1 of 3
5:19.0,,,45-46,1,B. Beal makes free throw 2 of 3
5:19.0,,,45-47,1,B. Beal makes free throw 3 of 3
5:19.0,R. Rubio enters the game for K. Dunn,,45-46,,
4:58.0,,,45-47,,Personal foul by J. Wall (drawn by R. Rubio)
4:52.0,Z. LaVine misses 2-pt shot from 4 ft (block by M. Gortat),,45-47,,
4:50.0,,,45-47,,Defensive rebound by J. Wall
4:47.0,Personal foul by R. Rubio (drawn by J. Wall),,45-47,,
4:35.0,,,45-47,,O. Porter misses 3-pt shot from 26 ft
4:35.0,Defensive rebound by Z. LaVine,,45-47,,
4:16.0,G. Dieng misses 2-pt shot from 9 ft,,45-47,,
4:15.0,,,45-47,,Defensive rebound by M. Morris
4:05.0,,,45-49,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:46.0,Offensive foul by A. Wiggins,,45-49,,
3:46.0,Turnover by A. Wiggins (offensive foul),,45-49,,
3:33.0,,,45-49,,Turnover by M. Gortat (lost ball; steal by R. Rubio)
3:28.0,R. Rubio misses 2-pt shot from 6 ft (block by O. Porter),,45-49,,
3:26.0,,,45-49,,Defensive rebound by M. Gortat
3:16.0,,,45-49,,J. Wall misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by G. Dieng,,45-49,,
2:57.0,A. Wiggins misses 2-pt shot from 21 ft,,45-49,,
2:56.0,,,45-49,,Defensive rebound by M. Morris
