time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. M. Gasol (K. Leonard gains possession),,,,Jump ball: L. Aldridge vs. M. Gasol (K. Leonard gains possession)
11:37.0,D. Green misses 2-pt shot from 13 ft,,0-0,,
11:35.0,Offensive rebound by D. Lee,,0-0,,
11:35.0,D. Lee makes 2-pt shot from 1 ft,2,2-0,,
11:26.0,Personal foul by D. Green (drawn by V. Carter),,2-0,,
11:10.0,,,2-0,,M. Conley misses 2-pt shot from 21 ft
11:10.0,Defensive rebound by D. Lee,,2-0,,
10:58.0,D. Lee makes 2-pt shot from 1 ft (assist by T. Parker),2,4-0,,
10:41.0,,,4-3,3,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley)
10:20.0,D. Green misses 3-pt shot from 25 ft,,4-3,,
10:19.0,,,4-3,,Defensive rebound by M. Gasol
10:17.0,,,4-3,,Turnover by Z. Randolph (lost ball)
9:57.0,T. Parker misses 3-pt shot from 23 ft,,4-3,,
9:56.0,,,4-3,,Defensive rebound by J. Ennis
9:37.0,,,4-3,,M. Gasol misses 2-pt shot from 4 ft
9:36.0,Defensive rebound by K. Leonard,,4-3,,
9:36.0,,,4-3,,Personal foul by Z. Randolph (drawn by K. Leonard)
9:21.0,L. Aldridge makes 2-pt shot from 16 ft,2,6-3,,
9:00.0,,,6-5,2,J. Ennis makes 2-pt shot from 1 ft
8:46.0,K. Leonard makes 3-pt shot from 23 ft (assist by T. Parker),3,9-5,,
8:26.0,,,9-5,,J. Ennis misses 3-pt shot from 23 ft
8:25.0,Defensive rebound by L. Aldridge,,9-5,,
8:06.0,T. Parker makes 2-pt shot from 21 ft,2,11-5,,
7:46.0,,,11-7,2,M. Conley makes 2-pt shot from 11 ft
7:30.0,L. Aldridge misses 2-pt shot from 19 ft,,11-7,,
7:29.0,,,11-7,,Defensive rebound by J. Ennis
7:14.0,,,11-7,,Z. Randolph misses 2-pt shot from 6 ft
7:14.0,,,11-7,,Offensive rebound by J. Ennis
7:05.0,,,11-7,,M. Conley misses 3-pt shot from 26 ft
7:05.0,Defensive rebound by Team,,11-7,,
6:51.0,Shooting foul by M. Conley (drawn by D. Lee),,11-7,,
6:51.0,D. Lee makes free throw 1 of 2,1,12-7,,
6:51.0,D. Lee makes free throw 2 of 2,1,13-7,,
6:42.0,,,13-9,2,M. Gasol makes 2-pt shot from 21 ft (assist by M. Conley)
6:24.0,Turnover by K. Leonard (bad pass),,13-9,,
6:13.0,,,13-9,,M. Gasol misses 2-pt shot from 17 ft
6:13.0,Defensive rebound by Team,,13-9,,
5:58.0,Shooting foul by J. Ennis (drawn by K. Leonard),,13-9,,
5:58.0,,,13-9,,Memphis full timeout
5:58.0,K. Leonard makes free throw 1 of 2,1,14-9,,
5:58.0,K. Leonard makes free throw 2 of 2,1,15-9,,
5:58.0,P. Mills enters the game for D. Lee,,13-9,,
5:58.0,P. Gasol enters the game for T. Parker,,13-9,,
5:33.0,,,15-9,,J. Ennis misses 2-pt shot from 17 ft
5:31.0,Defensive rebound by K. Leonard,,15-9,,
5:23.0,K. Leonard makes 2-pt shot from 18 ft,2,17-9,,
5:10.0,Personal foul by P. Mills,,17-9,,
5:10.0,M. Ginobili enters the game for D. Green,,17-9,,
5:10.0,,,17-9,,J. Green enters the game for Z. Randolph
5:10.0,,,17-9,,A. Harrison enters the game for M. Conley
4:56.0,,,17-9,,M. Gasol misses 2-pt shot from 8 ft
4:56.0,Defensive rebound by P. Gasol,,17-9,,
4:44.0,L. Aldridge misses 3-pt shot from 23 ft,,17-9,,
4:44.0,,,17-9,,Defensive rebound by M. Gasol
4:25.0,,,17-9,,Shooting foul by L. Aldridge (drawn by J. Ennis)
4:25.0,,,17-11,2,J. Ennis makes 2-pt shot from 4 ft
4:25.0,,,17-12,1,J. Ennis makes free throw 1 of 1
4:02.0,K. Leonard misses 2-pt shot from 7 ft,,17-12,,
4:00.0,,,17-12,,Defensive rebound by M. Gasol
3:44.0,,,17-12,,Turnover by J. Ennis (offensive foul)
3:44.0,,,17-12,,Offensive foul by J. Ennis
3:44.0,San Antonio full timeout,,17-12,,
3:44.0,,,17-12,,W. Selden enters the game for J. Ennis
3:44.0,D. Lee enters the game for L. Aldridge,,17-12,,
3:27.0,P. Mills makes 3-pt shot from 26 ft (assist by D. Lee),3,20-12,,
3:07.0,,,20-14,2,A. Harrison makes 2-pt shot from 21 ft
2:48.0,M. Ginobili misses 3-pt shot from 23 ft,,20-14,,
2:48.0,Offensive rebound by P. Gasol,,20-14,,
2:35.0,M. Ginobili misses 3-pt shot from 25 ft,,20-14,,
2:33.0,Offensive rebound by P. Gasol,,20-14,,
2:32.0,P. Gasol makes 2-pt shot from 1 ft,2,22-14,,
