time,Minnesota,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Nance vs. K. Towns (J. Clarkson gains possession),,,,Jump ball: L. Nance vs. K. Towns (J. Clarkson gains possession)
11:39.0,,,0-0,,D. Russell misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by G. Dieng,,0-0,,
11:28.0,Turnover by K. Towns (bad pass; steal by B. Ingram),,0-0,,
11:23.0,,,0-2,2,B. Ingram makes 2-pt shot at rim
10:58.0,K. Towns makes 2-pt shot from 15 ft,2,2-2,,
10:47.0,,,2-2,,Turnover by D. Russell (bad pass)
10:32.0,K. Towns makes 2-pt shot from 5 ft,2,4-2,,
10:19.0,,,4-5,3,J. Clarkson makes 3-pt shot from 24 ft (assist by D. Russell)
9:54.0,R. Rubio misses 3-pt shot from 25 ft,,4-5,,
9:53.0,,,4-5,,Defensive rebound by J. Clarkson
9:45.0,,,4-5,,D. Russell misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by K. Towns,,4-5,,
9:34.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,6-5,,
9:17.0,Violation by G. Dieng (def goaltending),,6-5,,
9:17.0,,,6-7,2,D. Russell makes 2-pt shot from 2 ft (assist by J. Randle)
8:58.0,K. Towns makes 2-pt shot from 3 ft,2,8-7,,
8:47.0,Violation by K. Towns (kicked ball),,8-7,,
8:35.0,,,8-7,,B. Ingram misses 2-pt shot from 11 ft
8:35.0,Defensive rebound by Team,,8-7,,
8:35.0,,,8-7,,Loose ball foul by L. Nance (drawn by G. Dieng)
8:21.0,Shooting foul by B. Ingram (drawn by A. Wiggins),,8-7,,
8:21.0,A. Wiggins makes free throw 1 of 2,1,9-7,,
8:21.0,A. Wiggins makes free throw 2 of 2,1,10-7,,
8:05.0,,,10-9,2,D. Russell makes 2-pt shot from 1 ft (assist by L. Nance)
8:03.0,,,10-9,,Personal foul by D. Russell (drawn by R. Rubio)
7:54.0,Turnover by B. Rush (step out of bounds),,10-9,,
7:37.0,,,10-9,,J. Clarkson misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by K. Towns,,10-9,,
7:29.0,,,10-9,,Personal foul by D. Russell (drawn by R. Rubio)
7:24.0,Turnover by G. Dieng (bad pass; steal by D. Russell),,10-9,,
7:21.0,,,10-9,,Shooting foul by R. Rubio (drawn by B. Ingram)
7:21.0,,,10-10,1,B. Ingram makes free throw 1 of 2
7:21.0,,,10-10,,B. Ingram misses free throw 2 of 2
7:19.0,,,10-10,,Offensive rebound by L. Nance
7:11.0,,,10-10,,D. Russell misses 2-pt shot from 2 ft (block by B. Rush)
7:09.0,,,10-10,,Offensive rebound by D. Russell
6:56.0,,,10-10,,D. Russell misses 2-pt shot from 2 ft
6:55.0,,,10-10,,Offensive rebound by Team
6:48.0,,,10-10,,J. Randle misses 2-pt shot from 19 ft
6:48.0,Defensive rebound by K. Towns,,10-10,,
6:43.0,R. Rubio misses 2-pt shot from 13 ft,,10-10,,
6:40.0,,,10-10,,Defensive rebound by J. Randle
6:30.0,,,10-12,2,J. Clarkson makes 2-pt shot from 1 ft
6:08.0,A. Wiggins misses 2-pt shot from 16 ft (block by B. Ingram),,10-12,,
6:07.0,,,10-12,,Defensive rebound by J. Clarkson
6:02.0,,,10-14,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
5:45.0,R. Rubio misses 2-pt shot from 21 ft,,10-14,,
5:45.0,,,10-14,,Defensive rebound by J. Randle
5:42.0,Violation by K. Towns (kicked ball),,10-14,,
5:42.0,,,10-14,,LA Lakers full timeout
5:42.0,,,10-14,,T. Ennis enters the game for D. Russell
5:28.0,,,10-16,2,J. Randle makes 2-pt shot from 3 ft (assist by T. Ennis)
5:10.0,K. Towns makes 2-pt shot from 7 ft,2,12-16,,
4:58.0,,,12-16,,B. Ingram misses 2-pt shot from 2 ft
4:56.0,,,12-16,,Offensive rebound by B. Ingram
4:55.0,,,12-16,,B. Ingram misses 2-pt shot from 2 ft (block by K. Towns)
4:54.0,,,12-16,,Offensive rebound by B. Ingram
4:53.0,,,12-16,,B. Ingram misses 2-pt shot from 3 ft (block by G. Dieng)
4:40.0,Defensive rebound by R. Rubio,,12-16,,
4:32.0,B. Rush misses 3-pt shot from 24 ft,,12-16,,
4:30.0,,,12-16,,Defensive rebound by T. Ennis
4:20.0,,,12-16,,J. Randle misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by K. Towns,,12-16,,
4:05.0,A. Wiggins misses 2-pt shot from 2 ft,,12-16,,
4:03.0,,,12-16,,Defensive rebound by T. Ennis
4:02.0,Violation by B. Rush (def goaltending),,12-16,,
4:02.0,,,12-18,2,J. Clarkson makes 2-pt shot from 1 ft (assist by T. Ennis)
3:50.0,,,12-18,,Personal foul by J. Randle (drawn by K. Towns)
3:50.0,K. Towns makes free throw 1 of 2,1,13-18,,
3:50.0,K. Towns makes free throw 2 of 2,1,14-18,,
3:50.0,,,13-18,,T. Robinson enters the game for J. Randle
3:30.0,,,14-18,,J. Clarkson misses 2-pt shot from 15 ft (block by G. Dieng)
3:28.0,Defensive rebound by K. Towns,,14-18,,
3:24.0,Turnover by R. Rubio (bad pass; steal by L. Nance),,14-18,,
3:20.0,,,14-18,,Turnover by L. Nance (lost ball)
3:20.0,O. Casspi enters the game for K. Towns,,14-18,,
3:07.0,R. Rubio misses 2-pt shot from 20 ft,,14-18,,
3:06.0,,,14-18,,Defensive rebound by Team
2:46.0,,,14-20,2,T. Robinson makes 2-pt shot from 4 ft
2:29.0,A. Wiggins makes 2-pt shot from 19 ft (assist by R. Rubio),2,16-20,,
2:18.0,,,16-20,,B. Ingram misses 2-pt shot from 17 ft
2:15.0,,,16-20,,Offensive rebound by L. Nance
2:14.0,,,16-20,,Turnover by L. Nance (bad pass; steal by R. Rubio)
2:05.0,R. Rubio misses 2-pt shot from 11 ft,,16-20,,
2:03.0,Offensive rebound by G. Dieng,,16-20,,
1:52.0,A. Wiggins makes 2-pt shot from 2 ft,2,18-20,,
1:33.0,,,18-20,,L. Nance misses 2-pt shot from 15 ft
1:32.0,Defensive rebound by G. Dieng,,18-20,,
1:09.0,O. Casspi misses 2-pt shot from 4 ft,,18-20,,
1:06.0,,,18-20,,Defensive rebound by L. Nance
1:05.0,,,18-22,2,T. Robinson makes 2-pt shot at rim (assist by T. Ennis)
1:05.0,,,18-22,,Shooting foul by O. Casspi (drawn by T. Robinson)
1:05.0,Minnesota full timeout,,18-22,,
1:05.0,,,18-23,1,T. Robinson makes free throw 1 of 1
1:05.0,S. Muhammad enters the game for B. Rush,,18-22,,
1:05.0,K. Dunn enters the game for R. Rubio,,18-22,,
0:57.0,,,18-23,,Personal foul by T. Ennis (drawn by A. Wiggins)
0:57.0,A. Wiggins misses free throw 1 of 2,,18-23,,
0:57.0,Offensive rebound by Team,,18-23,,
0:57.0,A. Wiggins makes free throw 2 of 2,1,19-23,,
0:44.0,,,19-23,,Turnover by J. Clarkson (bad pass)
0:34.0,A. Wiggins misses 2-pt shot from 1 ft,,19-23,,
0:32.0,,,19-23,,Defensive rebound by T. Robinson
0:26.0,,,19-26,3,B. Ingram makes 3-pt shot from 25 ft (assist by T. Robinson)
0:06.0,Shooting foul by T. Robinson (drawn by A. Wiggins),,19-26,,
0:06.0,A. Wiggins makes free throw 1 of 2,1,20-26,,
0:06.0,A. Wiggins makes free throw 2 of 2,1,21-26,,
0:01.0,,,21-29,3,T. Ennis makes 3-pt shot from 25 ft
0:00.0,S. Muhammad misses 3-pt shot from 36 ft,,21-29,,
0:00.0,Offensive rebound by Team,,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,K. Towns misses 2-pt shot from 19 ft,,21-29,,
11:42.0,,,21-29,,Defensive rebound by D. Russell
11:28.0,,,21-29,,Turnover by T. Robinson (lost ball; steal by O. Casspi)
11:22.0,K. Towns misses 2-pt shot from 20 ft,,21-29,,
11:19.0,,,21-29,,Defensive rebound by D. Russell
11:15.0,Personal foul by K. Dunn (drawn by C. Brewer),,21-29,,
11:07.0,,,21-29,,T. Ennis misses 3-pt shot from 23 ft
11:05.0,Defensive rebound by K. Towns,,21-29,,
10:58.0,O. Casspi misses 2-pt shot from 1 ft (block by T. Ennis),,21-29,,
10:57.0,Offensive rebound by K. Dunn,,21-29,,
10:43.0,S. Muhammad misses 3-pt shot from 24 ft,,21-29,,
10:42.0,,,21-29,,Defensive rebound by T. Robinson
10:31.0,,,21-29,,T. Robinson misses 2-pt shot from 15 ft
10:30.0,Defensive rebound by S. Muhammad,,21-29,,
10:22.0,T. Jones misses 2-pt shot from 18 ft,,21-29,,
10:20.0,,,21-29,,Defensive rebound by T. Robinson
10:09.0,,,21-29,,D. Russell misses 2-pt shot from 15 ft
10:08.0,Defensive rebound by K. Towns,,21-29,,
9:52.0,K. Towns makes 2-pt shot at rim (assist by T. Jones),2,23-29,,
9:30.0,,,23-29,,Shooting foul by T. Jones (drawn by T. Ennis)
9:30.0,,,23-30,1,T. Ennis makes free throw 1 of 2
9:30.0,,,23-31,1,T. Ennis makes free throw 2 of 2
9:23.0,Turnover by S. Muhammad (bad pass; steal by T. Black),,23-31,,
9:17.0,,,23-33,2,T. Black makes 2-pt shot from 1 ft (assist by C. Brewer)
9:17.0,,,23-33,,Shooting foul by K. Dunn (drawn by T. Black)
9:17.0,,,23-34,1,T. Black makes free throw 1 of 1
9:03.0,K. Towns misses 3-pt shot from 24 ft,,23-34,,
9:02.0,,,23-34,,Defensive rebound by T. Black
8:53.0,,,23-36,2,T. Ennis makes 2-pt shot from 14 ft
8:53.0,,,23-36,,Violation by Team (jump ball)
