time,LA Lakers,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Mozgov (D. Russell gains possession),,,,Jump ball: M. Gortat vs. T. Mozgov (D. Russell gains possession)
11:43.0,D. Russell makes 2-pt shot from 20 ft (assist by T. Mozgov),2,2-0,,
11:29.0,,,2-2,2,M. Gortat makes 2-pt shot from 10 ft (assist by J. Wall)
11:03.0,N. Young misses 3-pt shot from 26 ft,,2-2,,
11:02.0,,,2-2,,Defensive rebound by B. Beal
10:52.0,,,2-2,,O. Porter misses 2-pt shot from 21 ft
10:51.0,Defensive rebound by D. Russell,,2-2,,
10:42.0,T. Black makes 2-pt shot at rim (assist by D. Russell),2,4-2,,
10:35.0,,,4-5,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
10:20.0,Jump ball: T. Black vs. M. Morris (O. Porter gains possession),,,,Jump ball: T. Black vs. M. Morris (O. Porter gains possession)
10:20.0,Turnover by T. Black (lost ball; steal by M. Morris),,4-5,,
10:08.0,,,4-5,,Turnover by B. Beal (lost ball; steal by D. Russell)
10:02.0,Turnover by D. Russell (bad pass; steal by M. Gortat),,4-5,,
9:56.0,,,4-5,,M. Morris misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by T. Mozgov,,4-5,,
9:46.0,D. Russell misses 3-pt shot from 25 ft,,4-5,,
9:45.0,,,4-5,,Defensive rebound by M. Gortat
9:32.0,,,4-5,,M. Gortat misses 2-pt shot from 14 ft
9:31.0,Defensive rebound by T. Black,,4-5,,
9:24.0,N. Young misses 3-pt shot from 23 ft,,4-5,,
9:23.0,Offensive rebound by Team,,4-5,,
9:20.0,Turnover by T. Mozgov (illegal screen),,4-5,,
9:07.0,,,4-5,,M. Gortat misses 2-pt shot from 2 ft
9:06.0,,,4-5,,Offensive rebound by M. Gortat
9:04.0,,,4-7,2,M. Gortat makes 2-pt shot from 2 ft
8:50.0,L. Deng makes 3-pt shot from 27 ft (assist by D. Russell),3,7-7,,
8:26.0,,,7-7,,M. Morris misses 2-pt shot from 17 ft
8:26.0,,,7-7,,Offensive rebound by M. Gortat
8:22.0,,,7-10,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
8:06.0,N. Young makes 2-pt shot from 16 ft,2,9-10,,
7:59.0,,,9-10,,O. Porter misses 3-pt shot from 27 ft
7:59.0,Defensive rebound by T. Black,,9-10,,
7:45.0,Turnover by D. Russell (bad pass; steal by B. Beal),,9-10,,
7:38.0,,,9-10,,J. Wall misses 3-pt shot from 26 ft
7:37.0,,,9-10,,Offensive rebound by J. Wall
7:33.0,,,9-10,,J. Wall misses 2-pt shot from 1 ft (block by T. Mozgov)
7:31.0,,,9-10,,Offensive rebound by Team
7:28.0,,,9-12,2,M. Morris makes 2-pt shot from 22 ft (assist by O. Porter)
7:11.0,N. Young misses 3-pt shot from 25 ft,,9-12,,
7:10.0,,,9-12,,Defensive rebound by O. Porter
7:06.0,,,9-14,2,J. Wall makes 2-pt shot at rim (assist by O. Porter)
7:06.0,LA Lakers full timeout,,9-14,,
6:46.0,D. Russell makes 3-pt shot from 27 ft,3,12-14,,
6:30.0,,,12-14,,Shooting foul by T. Mozgov (drawn by J. Wall)
6:30.0,,,12-15,1,J. Wall makes free throw 1 of 2
6:30.0,,,12-16,1,J. Wall makes free throw 2 of 2
6:30.0,J. Clarkson enters the game for N. Young,,12-15,,
6:18.0,L. Deng makes 3-pt shot from 25 ft (assist by J. Clarkson),3,15-16,,
5:58.0,,,15-19,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
5:41.0,J. Clarkson makes 2-pt shot from 10 ft,2,17-19,,
5:30.0,,,17-22,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Morris)
5:11.0,J. Clarkson misses 3-pt shot from 30 ft,,17-22,,
5:11.0,Offensive rebound by T. Black,,17-22,,
5:11.0,,,17-22,,Loose ball foul by M. Morris (drawn by T. Black)
5:11.0,L. Nance enters the game for T. Black,,17-22,,
5:11.0,,,17-22,,K. Oubre enters the game for M. Morris
5:09.0,,,17-22,,Personal foul by K. Oubre (drawn by L. Deng)
4:58.0,,,17-22,,Personal foul by K. Oubre (drawn by L. Deng)
4:52.0,D. Russell misses 3-pt shot from 26 ft,,17-22,,
4:51.0,,,17-22,,Defensive rebound by M. Gortat
4:44.0,,,17-22,,B. Beal misses 2-pt shot from 8 ft
4:43.0,Defensive rebound by D. Russell,,17-22,,
4:37.0,L. Deng misses 3-pt shot from 25 ft,,17-22,,
4:35.0,Offensive rebound by L. Nance,,17-22,,
4:32.0,J. Clarkson makes 3-pt shot from 26 ft (assist by L. Nance),3,20-22,,
4:16.0,,,20-22,,M. Gortat misses 2-pt shot from 14 ft
4:16.0,Defensive rebound by L. Nance,,20-22,,
3:55.0,Turnover by T. Mozgov (traveling),,20-22,,
3:55.0,I. Zubac enters the game for T. Mozgov,,20-22,,
3:46.0,,,20-24,2,J. Wall makes 2-pt shot from 2 ft
3:27.0,Turnover by I. Zubac (lost ball; steal by B. Beal),,20-24,,
3:23.0,Personal foul by D. Russell (drawn by J. Wall),,20-24,,
3:23.0,,,20-24,,T. Satoransky enters the game for B. Beal
3:23.0,B. Ingram enters the game for L. Deng,,20-24,,
3:17.0,,,20-24,,K. Oubre misses 3-pt shot from 23 ft
3:16.0,Defensive rebound by I. Zubac,,20-24,,
2:57.0,L. Nance makes 2-pt shot from 5 ft,2,22-24,,
2:45.0,,,22-24,,J. Wall misses 3-pt shot from 26 ft
2:44.0,Defensive rebound by D. Russell,,22-24,,
2:41.0,J. Clarkson makes 2-pt shot at rim (assist by D. Russell),2,24-24,,
2:40.0,,,24-24,,Washington full timeout
2:40.0,L. Williams enters the game for D. Russell,,24-24,,
2:40.0,,,24-24,,J. Smith enters the game for M. Gortat
2:33.0,,,24-24,,O. Porter misses 3-pt shot from 27 ft
2:32.0,,,24-24,,Offensive rebound by K. Oubre
2:22.0,,,24-24,,O. Porter misses 3-pt shot from 26 ft
2:21.0,,,24-24,,Offensive rebound by T. Satoransky
2:18.0,,,24-24,,T. Satoransky misses 2-pt shot from 1 ft
2:17.0,,,24-24,,Offensive rebound by J. Smith
2:16.0,,,24-26,2,J. Smith makes 2-pt shot at rim
2:02.0,I. Zubac misses 2-pt shot from 11 ft (block by J. Smith),,24-26,,
2:01.0,,,24-26,,Defensive rebound by T. Satoransky
1:57.0,,,24-28,2,J. Wall makes 2-pt shot at rim (assist by T. Satoransky)
1:30.0,L. Williams makes 3-pt shot from 27 ft,3,27-28,,
1:09.0,,,27-28,,J. Wall misses 2-pt shot from 20 ft
1:08.0,Defensive rebound by B. Ingram,,27-28,,
1:01.0,B. Ingram misses 2-pt shot from 8 ft,,27-28,,
1:00.0,,,27-28,,Defensive rebound by O. Porter
0:52.0,,,27-31,3,T. Satoransky makes 3-pt shot from 23 ft (assist by J. Wall)
0:40.0,L. Nance misses 2-pt shot from 12 ft,,27-31,,
0:39.0,Offensive rebound by Team,,27-31,,
0:31.0,I. Zubac makes 2-pt shot from 6 ft,2,29-31,,
0:07.0,,,29-31,,J. Smith misses 2-pt shot from 3 ft (block by I. Zubac)
0:06.0,,,29-31,,Offensive rebound by Team
0:06.0,,,29-31,,Turnover by Team (shot clock)
0:06.0,,,29-31,,T. Burke enters the game for K. Oubre
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,29-31,,M. Morris misses 2-pt shot from 11 ft
11:42.0,Defensive rebound by B. Ingram,,29-31,,
11:34.0,Turnover by L. Williams (lost ball),,29-31,,
11:26.0,,,29-33,2,K. Oubre makes 2-pt shot from 6 ft
11:08.0,L. Williams misses 3-pt shot from 27 ft,,29-33,,
11:07.0,,,29-33,,Defensive rebound by J. Smith
