time,Chicago,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. R. Lopez (N. Mirotic gains possession),,,,Jump ball: A. Johnson vs. R. Lopez (N. Mirotic gains possession)
11:48.0,D. Wade misses 2-pt shot from 16 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by A. Horford
11:30.0,,,0-3,3,I. Thomas makes 3-pt shot from 25 ft
11:21.0,R. Rondo misses 3-pt shot from 25 ft,,0-3,,
11:20.0,,,0-3,,Defensive rebound by A. Horford
11:10.0,,,0-3,,Turnover by A. Horford (bad pass; steal by J. Butler)
11:04.0,J. Butler misses 3-pt shot from 25 ft,,0-3,,
11:03.0,,,0-3,,Defensive rebound by A. Horford
10:57.0,Violation by D. Wade (def goaltending),,0-3,,
10:57.0,,,0-5,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Bradley)
10:42.0,R. Lopez misses 2-pt shot from 6 ft,,0-5,,
10:41.0,,,0-5,,Defensive rebound by I. Thomas
10:32.0,,,0-7,2,I. Thomas makes 2-pt shot from 2 ft
10:15.0,,,0-7,,Personal foul by A. Johnson (drawn by R. Lopez)
10:08.0,R. Rondo makes 2-pt shot from 3 ft (assist by N. Mirotic),2,2-7,,
10:08.0,,,2-7,,Technical foul by I. Thomas
10:08.0,J. Butler makes technical free throw,1,3-7,,
10:00.0,,,3-7,,I. Thomas misses 2-pt shot from 2 ft (block by N. Mirotic)
9:59.0,,,3-7,,Offensive rebound by Team
9:50.0,,,3-9,2,A. Johnson makes 2-pt shot from 2 ft (assist by A. Bradley)
9:36.0,D. Wade misses 2-pt shot from 12 ft,,3-9,,
9:35.0,Offensive rebound by R. Lopez,,3-9,,
9:34.0,,,3-9,,Personal foul by A. Bradley (drawn by R. Lopez)
9:22.0,J. Butler misses 3-pt shot from 23 ft,,3-9,,
9:21.0,Offensive rebound by R. Rondo,,3-9,,
9:17.0,R. Rondo misses 2-pt shot from 1 ft,,3-9,,
9:15.0,Offensive rebound by N. Mirotic,,3-9,,
9:15.0,N. Mirotic makes 2-pt shot from 3 ft,2,5-9,,
9:07.0,,,5-9,,Turnover by A. Johnson (lost ball; steal by R. Rondo)
9:01.0,D. Wade misses 2-pt shot from 2 ft (block by A. Horford),,5-9,,
9:00.0,Offensive rebound by J. Butler,,5-9,,
8:59.0,J. Butler makes 2-pt shot from 2 ft,2,7-9,,
8:49.0,,,7-9,,A. Bradley misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by R. Rondo,,7-9,,
8:38.0,D. Wade makes 2-pt shot from 4 ft (assist by R. Rondo),2,9-9,,
