time,Atlanta,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: D. Howard vs. N. Vucevic (A. Gordon gains possession)
11:43.0,,,0-2,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
11:21.0,K. Bazemore makes 3-pt shot from 25 ft (assist by M. Delaney),3,3-2,,
10:53.0,,,3-2,,A. Gordon misses 2-pt shot from 6 ft (block by D. Howard)
10:51.0,Defensive rebound by K. Bazemore,,3-2,,
10:37.0,P. Millsap misses 2-pt shot from 3 ft,,3-2,,
10:36.0,,,3-2,,Defensive rebound by N. Vucevic
10:29.0,,,3-2,,T. Ross misses 3-pt shot from 24 ft
10:29.0,,,3-2,,Offensive rebound by N. Vucevic
10:23.0,Shooting block foul by T. Hardaway (drawn by E. Payton),,3-2,,
10:23.0,,,3-3,1,E. Payton makes free throw 1 of 2
10:23.0,,,3-4,1,E. Payton makes free throw 2 of 2
10:11.0,Turnover by P. Millsap (bad pass; steal by N. Vucevic),,3-4,,
10:04.0,,,3-6,2,A. Gordon makes 2-pt shot from 1 ft
9:50.0,P. Millsap misses 2-pt shot from 1 ft,,3-6,,
9:49.0,,,3-6,,Defensive rebound by T. Ross
9:44.0,,,3-6,,A. Gordon misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by D. Howard,,3-6,,
9:27.0,K. Bazemore makes 2-pt shot from 3 ft (assist by P. Millsap),2,5-6,,
9:11.0,,,5-6,,E. Fournier misses 2-pt shot from 18 ft
9:11.0,Defensive rebound by P. Millsap,,5-6,,
8:57.0,P. Millsap misses 3-pt shot from 26 ft,,5-6,,
8:56.0,,,5-6,,Defensive rebound by N. Vucevic
8:50.0,,,5-6,,Shooting foul by K. Bazemore (drawn by A. Gordon)
8:50.0,,,5-7,1,A. Gordon makes free throw 1 of 2
8:50.0,,,5-8,1,A. Gordon makes free throw 2 of 2
8:36.0,K. Bazemore makes 2-pt shot at rim (assist by M. Delaney),2,7-8,,
8:25.0,,,7-8,,Turnover by E. Payton (traveling)
