time,Minnesota,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: K. Towns vs. J. Valanciunas (D. DeRozan gains possession)
11:43.0,,,0-0,,D. DeRozan misses 2-pt shot from 8 ft
11:43.0,Defensive rebound by R. Rubio,,0-0,,
11:25.0,A. Wiggins makes 2-pt shot from 18 ft,2,2-0,,
11:11.0,,,2-0,,J. Valanciunas misses 2-pt shot from 4 ft
11:11.0,Defensive rebound by K. Towns,,2-0,,
10:53.0,G. Dieng misses 2-pt shot from 1 ft (block by J. Valanciunas),,2-0,,
10:52.0,Offensive rebound by Z. LaVine,,2-0,,
10:48.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,4-0,,
10:37.0,,,4-0,,D. DeRozan misses 2-pt shot from 11 ft
10:36.0,,,4-0,,Offensive rebound by J. Valanciunas
10:33.0,,,4-2,2,J. Valanciunas makes 2-pt shot from 2 ft
10:18.0,Z. LaVine makes 3-pt shot from 23 ft (assist by G. Dieng),3,7-2,,
9:54.0,,,7-2,,J. Valanciunas misses 2-pt shot from 6 ft
9:54.0,Defensive rebound by G. Dieng,,7-2,,
9:38.0,G. Dieng misses 2-pt shot from 11 ft,,7-2,,
9:37.0,Offensive rebound by K. Towns,,7-2,,
9:35.0,K. Towns makes 2-pt shot from 4 ft,2,9-2,,
9:27.0,,,9-2,,Toronto full timeout
9:15.0,,,9-2,,Turnover by K. Lowry (bad pass; steal by G. Dieng)
9:06.0,A. Wiggins makes 2-pt shot from 20 ft,2,11-2,,
8:49.0,,,11-4,2,J. Valanciunas makes 2-pt shot from 6 ft (assist by D. DeRozan)
8:33.0,Z. LaVine makes 2-pt shot from 22 ft (assist by K. Towns),2,13-4,,
8:13.0,,,13-4,,Shooting foul by A. Wiggins (drawn by D. DeRozan)
8:13.0,,,13-5,1,D. DeRozan makes free throw 1 of 2
8:13.0,,,13-6,1,D. DeRozan makes free throw 2 of 2
8:13.0,,,13-5,,P. Patterson enters the game for P. Siakam
8:02.0,,,13-6,,Personal foul by D. Carroll (drawn by G. Dieng)
7:47.0,R. Rubio misses 3-pt shot from 28 ft,,13-6,,
7:47.0,,,13-6,,Defensive rebound by J. Valanciunas
7:31.0,,,13-6,,P. Patterson misses 3-pt shot from 25 ft
7:30.0,,,13-6,,Offensive rebound by J. Valanciunas
7:29.0,,,13-6,,J. Valanciunas misses 2-pt shot at rim
7:29.0,Defensive rebound by G. Dieng,,13-6,,
7:13.0,Shooting foul by J. Valanciunas (drawn by A. Wiggins),,13-6,,
7:13.0,A. Wiggins makes free throw 1 of 2,1,14-6,,
7:13.0,A. Wiggins misses free throw 2 of 2,,14-6,,
