time,Philadelphia,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Okafor vs. N. Vucevic (S. Ibaka gains possession),,,,Jump ball: J. Okafor vs. N. Vucevic (S. Ibaka gains possession)
11:49.0,,,0-0,,Turnover by E. Fournier (bad pass)
11:39.0,,,0-0,,Violation by C. Watson (kicked ball)
11:24.0,T. McConnell misses 2-pt shot from 10 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by E. Fournier
11:16.0,,,0-0,,S. Ibaka misses 3-pt shot from 25 ft
11:15.0,,,0-0,,Offensive rebound by M. Hezonja
11:08.0,,,0-0,,M. Hezonja misses 2-pt shot at rim
11:08.0,Defensive rebound by T. McConnell,,0-0,,
10:58.0,J. Okafor makes 2-pt shot from 1 ft,2,2-0,,
10:38.0,,,2-2,2,N. Vucevic makes 2-pt shot from 6 ft
10:24.0,R. Covington misses 3-pt shot from 26 ft,,2-2,,
10:24.0,,,2-2,,Defensive rebound by M. Hezonja
10:19.0,Violation by R. Covington (kicked ball),,2-2,,
10:13.0,,,2-2,,M. Hezonja misses 2-pt shot from 2 ft
10:13.0,Defensive rebound by R. Covington,,2-2,,
10:06.0,E. Ilyasova misses 2-pt shot from 18 ft,,2-2,,
10:06.0,,,2-2,,Defensive rebound by C. Watson
9:58.0,,,2-4,2,N. Vucevic makes 2-pt shot from 2 ft (assist by C. Watson)
9:43.0,R. Covington misses 2-pt shot at rim (block by S. Ibaka),,2-4,,
9:42.0,Offensive rebound by E. Ilyasova,,2-4,,
9:42.0,Turnover by E. Ilyasova (traveling),,2-4,,
9:29.0,,,2-6,2,N. Vucevic makes 2-pt shot from 9 ft
9:13.0,E. Ilyasova misses 3-pt shot from 24 ft,,2-6,,
9:11.0,,,2-6,,Defensive rebound by N. Vucevic
9:04.0,,,2-8,2,S. Ibaka makes 2-pt shot from 2 ft (assist by C. Watson)
8:42.0,J. Okafor misses 2-pt shot from 9 ft,,2-8,,
8:41.0,,,2-8,,Defensive rebound by C. Watson
8:29.0,,,2-8,,Shooting foul by J. Okafor (drawn by E. Fournier)
8:29.0,,,2-9,1,E. Fournier makes free throw 1 of 2
8:29.0,,,2-10,1,E. Fournier makes free throw 2 of 2
8:04.0,T. McConnell makes 2-pt shot from 2 ft,2,4-10,,
8:00.0,,,4-10,,Turnover by C. Watson (lost ball; steal by T. McConnell)
7:51.0,J. Okafor misses 2-pt shot from 2 ft (block by S. Ibaka),,4-10,,
7:50.0,,,4-10,,Defensive rebound by N. Vucevic
7:44.0,,,4-12,2,E. Fournier makes 2-pt shot from 3 ft
7:44.0,Philadelphia full timeout,,4-12,,
7:44.0,Violation by Team (jump ball),,4-12,,
7:24.0,J. Okafor makes 2-pt shot from 4 ft,2,6-12,,
7:03.0,,,6-15,3,E. Fournier makes 3-pt shot from 25 ft (assist by M. Hezonja)
6:48.0,G. Henderson misses 2-pt shot from 21 ft,,6-15,,
6:47.0,,,6-15,,Defensive rebound by N. Vucevic
6:42.0,Personal foul by E. Ilyasova (drawn by S. Ibaka),,6-15,,
6:42.0,N. Stauskas enters the game for G. Henderson,,6-15,,
6:42.0,D. Saric enters the game for E. Ilyasova,,6-15,,
6:39.0,,,6-17,2,E. Fournier makes 2-pt shot from 3 ft (assist by M. Hezonja)
6:39.0,,,6-17,,Shooting foul by N. Stauskas (drawn by E. Fournier)
6:39.0,,,6-18,1,E. Fournier makes free throw 1 of 1
6:30.0,,,6-18,,Violation by C. Watson (kicked ball)
6:30.0,N. Noel enters the game for J. Okafor,,6-18,,
6:21.0,Turnover by N. Stauskas (lost ball),,6-18,,
6:07.0,,,6-21,3,E. Fournier makes 3-pt shot from 24 ft (assist by C. Watson)
5:49.0,T. McConnell misses 3-pt shot from 25 ft,,6-21,,
5:48.0,Offensive rebound by R. Covington,,6-21,,
5:43.0,T. McConnell misses 3-pt shot from 26 ft,,6-21,,
5:43.0,,,6-21,,Defensive rebound by N. Vucevic
5:31.0,,,6-21,,Turnover by N. Vucevic (lost ball; steal by R. Covington)
5:27.0,N. Stauskas makes 2-pt shot from 1 ft (assist by T. McConnell),2,8-21,,
5:12.0,,,8-21,,Offensive charge foul by C. Watson
5:12.0,,,8-21,,Turnover by C. Watson (offensive foul)
5:12.0,S. Rodriguez enters the game for T. McConnell,,8-21,,
5:06.0,Turnover by S. Rodriguez (bad pass),,8-21,,
4:53.0,,,8-21,,E. Fournier misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by D. Saric,,8-21,,
4:39.0,D. Saric misses 2-pt shot from 18 ft,,8-21,,
4:39.0,Offensive rebound by R. Covington,,8-21,,
4:31.0,N. Noel makes 2-pt shot at rim (assist by N. Stauskas),2,10-21,,
4:24.0,,,10-21,,Orlando full timeout
4:24.0,,,10-21,,E. Payton enters the game for E. Fournier
4:24.0,,,10-21,,J. Green enters the game for M. Hezonja
4:14.0,,,10-21,,C. Watson misses 2-pt shot from 7 ft
4:13.0,Defensive rebound by R. Covington,,10-21,,
4:10.0,,,10-21,,Personal foul by J. Green (drawn by N. Stauskas)
4:00.0,D. Saric misses 3-pt shot from 26 ft,,10-21,,
4:00.0,,,10-21,,Defensive rebound by J. Green
3:46.0,,,10-21,,S. Ibaka misses 2-pt shot from 4 ft
3:46.0,Defensive rebound by N. Noel,,10-21,,
3:31.0,S. Rodriguez makes 3-pt shot from 26 ft (assist by D. Saric),3,13-21,,
3:16.0,,,13-21,,J. Green misses 2-pt shot from 2 ft (block by N. Noel)
3:15.0,Defensive rebound by N. Stauskas,,13-21,,
3:08.0,Turnover by N. Stauskas (bad pass; steal by E. Payton),,13-21,,
2:50.0,,,13-21,,S. Ibaka misses 2-pt shot from 16 ft
2:50.0,Defensive rebound by N. Noel,,13-21,,
2:39.0,Shooting foul by E. Payton (drawn by R. Covington),,13-21,,
2:39.0,R. Covington makes free throw 1 of 2,1,14-21,,
2:39.0,R. Covington misses free throw 2 of 2,,14-21,,
2:39.0,,,14-21,,B. Biyombo enters the game for N. Vucevic
2:39.0,,,14-21,,D. Augustin enters the game for C. Watson
2:38.0,,,14-21,,Defensive rebound by J. Green
2:23.0,,,14-23,2,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Payton)
2:06.0,D. Saric misses 2-pt shot from 6 ft,,14-23,,
2:06.0,,,14-23,,Defensive rebound by B. Biyombo
2:06.0,E. Ilyasova enters the game for R. Covington,,14-23,,
1:45.0,,,14-25,2,S. Ibaka makes 2-pt shot from 7 ft
1:27.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,17-25,,
1:09.0,,,17-25,,S. Ibaka misses 2-pt shot from 15 ft
1:09.0,Defensive rebound by S. Rodriguez,,17-25,,
1:00.0,,,17-25,,Def 3 sec tech foul by B. Biyombo
1:00.0,N. Stauskas makes technical free throw,1,18-25,,
0:54.0,N. Noel makes 2-pt shot at rim (assist by S. Rodriguez),2,20-25,,
0:39.0,,,20-25,,J. Green misses 2-pt shot from 8 ft
0:38.0,Defensive rebound by D. Saric,,20-25,,
0:28.0,S. Rodriguez misses 2-pt shot from 20 ft,,20-25,,
0:27.0,,,20-25,,Defensive rebound by Team
0:02.0,,,20-25,,E. Payton misses 2-pt shot from 8 ft
0:00.0,,,20-25,,Offensive rebound by S. Ibaka
0:00.0,,,20-25,,S. Ibaka misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by N. Noel,,20-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,N. Noel makes 2-pt shot at rim (assist by S. Rodriguez),2,22-25,,
11:34.0,,,22-28,3,J. Green makes 3-pt shot from 22 ft (assist by E. Fournier)
11:24.0,E. Ilyasova misses 3-pt shot from 26 ft,,22-28,,
11:24.0,,,22-28,,Defensive rebound by B. Biyombo
11:22.0,,,22-28,,Turnover by B. Biyombo (traveling)
11:22.0,T. Luwawu-Cabarrot enters the game for E. Ilyasova,,22-28,,
11:11.0,T. Luwawu-Cabarrot misses 2-pt shot from 6 ft,,22-28,,
11:11.0,,,22-28,,Defensive rebound by B. Biyombo
11:00.0,,,22-28,,E. Fournier misses 2-pt shot from 19 ft
11:00.0,Defensive rebound by S. Rodriguez,,22-28,,
10:54.0,D. Saric misses 2-pt shot from 1 ft (block by B. Biyombo),,22-28,,
10:54.0,Offensive rebound by Team,,22-28,,
10:47.0,S. Rodriguez makes 3-pt shot from 23 ft (assist by T. Luwawu-Cabarrot),3,25-28,,
10:28.0,,,25-28,,E. Payton misses 2-pt shot from 13 ft
10:28.0,Defensive rebound by D. Saric,,25-28,,
10:23.0,Turnover by S. Rodriguez (step out of bounds),,25-28,,
10:06.0,,,25-28,,E. Fournier misses 2-pt shot from 2 ft
10:06.0,Defensive rebound by N. Noel,,25-28,,
9:58.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,27-28,,
9:46.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Augustin),,27-28,,
9:46.0,G. Henderson enters the game for N. Stauskas,,27-28,,
9:37.0,,,27-28,,J. Green misses 2-pt shot from 3 ft
9:37.0,,,27-28,,Offensive rebound by B. Biyombo
9:37.0,,,27-28,,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Biyombo)
9:37.0,,,27-28,,B. Biyombo misses free throw 1 of 2
9:37.0,,,27-28,,Offensive rebound by Team
9:37.0,,,27-29,1,B. Biyombo makes free throw 2 of 2
9:28.0,Turnover by S. Rodriguez (bad pass),,27-29,,
9:14.0,,,27-29,,E. Fournier misses 2-pt shot from 7 ft
9:13.0,,,27-29,,Offensive rebound by E. Fournier
9:13.0,,,27-29,,E. Fournier misses 2-pt shot from 3 ft
9:11.0,Defensive rebound by N. Noel,,27-29,,
8:54.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,27-29,,
8:53.0,,,27-29,,Defensive rebound by J. Green
8:50.0,,,27-29,,Turnover by E. Fournier (bad pass)
8:50.0,Official timeout,,27-29,,
8:50.0,E. Ilyasova enters the game for D. Saric,,27-29,,
8:50.0,T. McConnell enters the game for S. Rodriguez,,27-29,,
8:40.0,Turnover by N. Noel (discontinued dribble),,27-29,,
8:17.0,,,27-29,,Turnover by E. Payton (bad pass)
7:51.0,G. Henderson misses 2-pt shot from 2 ft (block by B. Biyombo),,27-29,,
7:50.0,,,27-29,,Defensive rebound by D. Augustin
7:49.0,,,27-29,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Augustin)
7:49.0,,,27-29,,D. Augustin misses free throw 1 of 2
7:49.0,,,27-29,,Offensive rebound by Team
7:49.0,,,27-30,1,D. Augustin makes free throw 2 of 2
7:49.0,R. Covington enters the game for T. Luwawu-Cabarrot,,27-29,,
7:49.0,J. Okafor enters the game for N. Noel,,27-29,,
7:29.0,E. Ilyasova misses 3-pt shot from 24 ft,,27-30,,
7:27.0,,,27-30,,Defensive rebound by E. Payton
7:21.0,,,27-30,,D. Augustin misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by J. Okafor,,27-30,,
7:03.0,E. Ilyasova misses 3-pt shot from 26 ft,,27-30,,
7:03.0,,,27-30,,Defensive rebound by B. Biyombo
6:54.0,,,27-32,2,E. Payton makes 2-pt shot from 3 ft
6:41.0,T. McConnell misses 2-pt shot from 13 ft,,27-32,,
6:40.0,,,27-32,,Defensive rebound by E. Fournier
6:38.0,,,27-32,,E. Fournier misses 2-pt shot from 3 ft (block by G. Henderson)
6:37.0,,,27-32,,Offensive rebound by Team
6:27.0,,,27-32,,E. Fournier misses 2-pt shot from 6 ft
6:26.0,Defensive rebound by E. Ilyasova,,27-32,,
6:17.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. McConnell),2,29-32,,
6:17.0,,,29-32,,Orlando full timeout
6:17.0,,,29-32,,S. Ibaka enters the game for J. Green
6:05.0,Personal foul by R. Covington (drawn by E. Payton),,29-32,,
5:55.0,,,29-34,2,E. Payton makes 2-pt shot from 1 ft (assist by B. Biyombo)
5:40.0,G. Henderson makes 2-pt shot from 19 ft,2,31-34,,
5:10.0,,,31-36,2,E. Payton makes 2-pt shot from 8 ft
4:58.0,G. Henderson makes 2-pt shot from 16 ft (assist by T. McConnell),2,33-36,,
4:44.0,,,33-38,2,E. Payton makes 2-pt shot from 17 ft
4:37.0,Philadelphia full timeout,,33-38,,
4:37.0,,,33-38,,M. Hezonja enters the game for E. Payton
4:37.0,,,33-38,,N. Vucevic enters the game for B. Biyombo
4:37.0,,,33-38,,C. Watson enters the game for D. Augustin
4:37.0,N. Stauskas enters the game for E. Ilyasova,,33-38,,
4:37.0,D. Saric enters the game for G. Henderson,,33-38,,
4:17.0,J. Okafor makes 2-pt shot from 5 ft,2,35-38,,
4:01.0,,,35-38,,N. Vucevic misses 2-pt shot from 9 ft
4:01.0,Defensive rebound by R. Covington,,35-38,,
3:58.0,,,35-38,,Personal block foul by E. Fournier
3:42.0,R. Covington misses 2-pt shot from 2 ft,,35-38,,
3:41.0,,,35-38,,Defensive rebound by N. Vucevic
3:34.0,,,35-40,2,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Fournier)
3:25.0,N. Stauskas makes 2-pt shot from 1 ft,2,37-40,,
3:25.0,Shooting foul by S. Ibaka (drawn by N. Stauskas),,37-40,,
3:25.0,N. Stauskas makes free throw 1 of 1,1,38-40,,
3:10.0,,,38-42,2,E. Fournier makes 2-pt shot at rim (assist by N. Vucevic)
3:01.0,T. McConnell makes 2-pt shot from 2 ft,2,40-42,,
2:46.0,,,40-42,,E. Fournier misses 2-pt shot from 1 ft (block by J. Okafor)
