time,Minnesota,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Towns (J. Green gains possession),,,,Jump ball: M. Gasol vs. K. Towns (J. Green gains possession)
11:39.0,,,0-0,,Turnover by J. Green (traveling)
11:24.0,G. Dieng misses 2-pt shot from 18 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by J. Ennis
11:14.0,,,0-0,,M. Gasol misses 2-pt shot from 20 ft
11:12.0,,,0-0,,Offensive rebound by J. Ennis
11:12.0,,,0-0,,J. Ennis misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by A. Wiggins,,0-0,,
11:04.0,Turnover by A. Wiggins (lost ball),,0-0,,
10:52.0,,,0-2,2,T. Allen makes 2-pt shot from 21 ft (assist by M. Conley)
10:31.0,K. Towns makes 3-pt shot from 23 ft (assist by R. Rubio),3,3-2,,
10:09.0,,,3-2,,M. Conley misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by G. Dieng,,3-2,,
9:54.0,A. Wiggins misses 3-pt shot from 26 ft (block by T. Allen),,3-2,,
9:53.0,,,3-2,,Defensive rebound by J. Green
9:38.0,Def 3 sec tech foul by G. Dieng,,3-2,,
9:38.0,,,3-3,1,M. Conley makes technical free throw
9:33.0,,,3-3,,M. Conley misses 2-pt shot from 12 ft
9:31.0,,,3-3,,Offensive rebound by J. Green
9:31.0,,,3-5,2,J. Green makes 2-pt shot from 1 ft
9:16.0,Z. LaVine misses 2-pt shot from 19 ft,,3-5,,
9:16.0,Offensive rebound by G. Dieng,,3-5,,
9:13.0,G. Dieng makes 2-pt shot from 1 ft,2,5-5,,
8:56.0,,,5-5,,J. Green misses 2-pt shot from 7 ft (block by K. Towns)
8:55.0,Defensive rebound by K. Towns,,5-5,,
8:52.0,A. Wiggins misses 2-pt shot at rim (block by M. Conley),,5-5,,
8:52.0,Offensive rebound by Team,,5-5,,
8:37.0,Shooting foul by J. Green (drawn by K. Towns),,5-5,,
8:37.0,K. Towns makes free throw 1 of 2,1,6-5,,
8:37.0,K. Towns misses free throw 2 of 2,,6-5,,
8:34.0,,,6-5,,Defensive rebound by J. Ennis
8:18.0,,,6-7,2,T. Allen makes 2-pt shot from 6 ft
7:55.0,K. Towns makes 3-pt shot from 24 ft (assist by G. Dieng),3,9-7,,
7:28.0,,,9-7,,T. Allen misses 2-pt shot from 22 ft
7:28.0,Defensive rebound by K. Towns,,9-7,,
7:17.0,Turnover by G. Dieng (lost ball; steal by J. Ennis),,9-7,,
7:14.0,,,9-7,,Shooting foul by Z. LaVine (drawn by M. Conley)
7:14.0,,,9-8,1,M. Conley makes free throw 1 of 2
7:14.0,,,9-9,1,M. Conley makes free throw 2 of 2
7:00.0,Turnover by K. Towns (lost ball),,9-9,,
6:37.0,,,9-9,,Turnover by T. Allen (bad pass; steal by Z. LaVine)
6:35.0,Turnover by R. Rubio (traveling),,9-9,,
6:26.0,,,9-11,2,J. Ennis makes 2-pt shot at rim (assist by M. Gasol)
6:19.0,Minnesota full timeout,,9-11,,
6:19.0,,,9-11,,V. Carter enters the game for T. Allen
6:04.0,,,9-11,,Personal foul by V. Carter (drawn by R. Rubio)
5:48.0,G. Dieng misses 2-pt shot from 2 ft (block by M. Gasol),,9-11,,
5:48.0,,,9-11,,Defensive rebound by M. Conley
5:29.0,,,9-11,,J. Green misses 3-pt shot from 26 ft
5:27.0,,,9-11,,Offensive rebound by J. Ennis
5:27.0,,,9-11,,J. Ennis misses 2-pt shot from 1 ft
5:25.0,Defensive rebound by G. Dieng,,9-11,,
5:18.0,Z. LaVine misses 3-pt shot from 25 ft,,9-11,,
5:17.0,Offensive rebound by R. Rubio,,9-11,,
5:11.0,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio),2,11-11,,
4:49.0,Violation by K. Towns (kicked ball),,11-11,,
4:49.0,S. Muhammad enters the game for Z. LaVine,,11-11,,
4:49.0,K. Dunn enters the game for R. Rubio,,11-11,,
4:49.0,,,11-11,,A. Harrison enters the game for M. Conley
4:39.0,,,11-11,,V. Carter misses 3-pt shot from 24 ft
4:39.0,Defensive rebound by K. Towns,,11-11,,
4:26.0,A. Wiggins makes 2-pt shot from 19 ft,2,13-11,,
4:10.0,,,13-11,,M. Gasol misses 2-pt shot from 5 ft
4:09.0,Defensive rebound by A. Wiggins,,13-11,,
4:00.0,Shooting foul by A. Harrison (drawn by G. Dieng),,13-11,,
4:00.0,G. Dieng makes free throw 1 of 2,1,14-11,,
4:00.0,G. Dieng misses free throw 2 of 2,,14-11,,
3:59.0,,,14-11,,Defensive rebound by V. Carter
3:41.0,,,14-11,,J. Ennis misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by Team,,14-11,,
3:23.0,A. Wiggins misses 2-pt shot from 21 ft,,14-11,,
3:21.0,,,14-11,,Defensive rebound by Team
3:21.0,,,14-11,,Z. Randolph enters the game for M. Gasol
3:09.0,Personal foul by K. Dunn (drawn by A. Harrison),,14-11,,
3:09.0,N. Bjelica enters the game for K. Towns,,14-11,,
3:05.0,,,14-11,,Offensive foul by J. Green
3:05.0,,,14-11,,Turnover by J. Green (offensive foul)
3:05.0,,,14-11,,D. Davis enters the game for J. Green
2:54.0,A. Wiggins misses 2-pt shot from 2 ft,,14-11,,
2:52.0,,,14-11,,Defensive rebound by A. Harrison
2:38.0,,,14-13,2,A. Harrison makes 2-pt shot from 2 ft
2:38.0,,,14-13,,Shooting foul by K. Dunn (drawn by A. Harrison)
2:38.0,,,14-13,,Memphis full timeout
2:38.0,,,14-14,1,A. Harrison makes free throw 1 of 1
2:22.0,Turnover by A. Wiggins (traveling),,14-14,,
2:17.0,Violation by K. Dunn (kicked ball),,14-14,,
2:17.0,,,14-14,,M. Conley enters the game for J. Ennis
2:10.0,Personal foul by G. Dieng (drawn by Z. Randolph),,14-14,,
2:06.0,Personal foul by S. Muhammad (drawn by A. Harrison),,14-14,,
2:06.0,,,14-15,1,A. Harrison makes free throw 1 of 2
2:06.0,,,14-16,1,A. Harrison makes free throw 2 of 2
2:06.0,R. Rubio enters the game for S. Muhammad,,14-15,,
