time,Toronto,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Valanciunas (M. Conley gains possession),,,,Jump ball: M. Gasol vs. J. Valanciunas (M. Conley gains possession)
11:37.0,,,0-2,2,M. Gasol makes 2-pt shot from 5 ft
11:21.0,K. Lowry misses 2-pt shot from 20 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by T. Allen
11:10.0,,,0-5,3,M. Gasol makes 3-pt shot from 26 ft (assist by T. Allen)
10:58.0,Offensive foul by P. Patterson,,0-5,,
10:58.0,Turnover by P. Patterson (offensive foul),,0-5,,
10:41.0,,,0-5,,Shooting foul by J. Valanciunas (drawn by M. Gasol)
10:41.0,,,0-7,2,M. Gasol makes 2-pt shot from 1 ft
10:41.0,,,0-8,1,M. Gasol makes free throw 1 of 1
10:16.0,N. Powell misses 2-pt shot from 22 ft,,0-8,,
10:11.0,Offensive rebound by D. Carroll,,0-8,,
10:11.0,D. Carroll makes 2-pt shot from 1 ft,2,2-8,,
9:57.0,,,2-11,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley)
9:36.0,N. Powell misses 2-pt shot from 1 ft,,2-11,,
9:35.0,Offensive rebound by J. Valanciunas,,2-11,,
9:35.0,J. Valanciunas makes 2-pt shot at rim,2,4-11,,
9:14.0,,,4-13,2,M. Gasol makes 2-pt shot from 7 ft
9:08.0,Toronto full timeout,,4-13,,
9:00.0,N. Powell makes 2-pt shot from 2 ft,2,6-13,,
8:39.0,,,6-16,3,M. Gasol makes 3-pt shot from 25 ft (assist by Z. Randolph)
8:22.0,K. Lowry makes 3-pt shot from 25 ft (assist by P. Patterson),3,9-16,,
8:06.0,,,9-16,,M. Gasol misses 3-pt shot from 25 ft
8:05.0,,,9-16,,Offensive rebound by Z. Randolph
8:04.0,,,9-16,,Shooting foul by D. Carroll (drawn by Z. Randolph)
8:04.0,,,9-16,,Z. Randolph misses free throw 1 of 2
8:04.0,,,9-16,,Offensive rebound by Team
8:04.0,,,9-16,,Z. Randolph misses free throw 2 of 2
8:03.0,Defensive rebound by J. Valanciunas,,9-16,,
7:49.0,N. Powell misses 2-pt shot from 6 ft (block by M. Gasol),,9-16,,
7:49.0,Offensive rebound by Team,,9-16,,
7:47.0,N. Powell makes 2-pt shot from 2 ft (assist by K. Lowry),2,11-16,,
7:23.0,,,11-16,,Turnover by M. Gasol (lost ball; steal by D. Carroll)
7:19.0,N. Powell makes 2-pt shot at rim (assist by D. Carroll),2,13-16,,
7:00.0,,,13-19,3,M. Conley makes 3-pt shot from 26 ft (assist by Z. Randolph)
6:45.0,Shooting foul by T. Allen (drawn by N. Powell),,13-19,,
6:45.0,N. Powell makes free throw 1 of 2,1,14-19,,
6:45.0,N. Powell misses free throw 2 of 2,,14-19,,
6:43.0,,,14-19,,Defensive rebound by Z. Randolph
6:26.0,,,14-21,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley)
6:00.0,N. Powell makes 2-pt shot from 1 ft,2,16-21,,
5:48.0,,,16-23,2,T. Allen makes 2-pt shot from 3 ft
5:37.0,D. Carroll makes 2-pt shot from 20 ft,2,18-23,,
5:24.0,,,18-23,,M. Conley misses 2-pt shot from 5 ft
5:20.0,Defensive rebound by J. Valanciunas,,18-23,,
5:17.0,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry),3,21-23,,
5:09.0,,,21-23,,Memphis full timeout
5:09.0,,,21-23,,V. Carter enters the game for J. Ennis
5:09.0,,,21-23,,A. Harrison enters the game for M. Conley
5:09.0,J. Sullinger enters the game for P. Patterson,,21-23,,
5:09.0,L. Nogueira enters the game for J. Valanciunas,,21-23,,
5:00.0,,,21-23,,M. Gasol misses 2-pt shot from 10 ft
4:58.0,Defensive rebound by N. Powell,,21-23,,
4:50.0,K. Lowry makes 3-pt shot from 25 ft,3,24-23,,
4:29.0,,,24-23,,Shooting foul by L. Nogueira (drawn by M. Gasol)
4:29.0,,,24-23,,M. Gasol misses free throw 1 of 2
4:29.0,,,24-23,,Offensive rebound by Team
4:29.0,,,24-24,1,M. Gasol makes free throw 2 of 2
4:16.0,Offensive foul by J. Sullinger,,24-24,,
4:16.0,Turnover by J. Sullinger (offensive foul),,24-24,,
4:16.0,C. Joseph enters the game for K. Lowry,,24-24,,
3:59.0,,,24-26,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol)
3:38.0,J. Sullinger misses 2-pt shot from 7 ft,,24-26,,
3:37.0,,,24-26,,Defensive rebound by M. Gasol
3:27.0,,,24-28,2,Z. Randolph makes 2-pt shot from 15 ft (assist by A. Harrison)
3:00.0,N. Powell makes 3-pt shot from 30 ft (assist by D. Carroll),3,27-28,,
2:51.0,,,27-28,,Turnover by T. Allen (lost ball; steal by J. Sullinger)
2:45.0,N. Powell misses 2-pt shot at rim,,27-28,,
2:41.0,,,27-28,,Defensive rebound by Z. Randolph
2:25.0,,,27-28,,M. Gasol misses 2-pt shot from 12 ft
2:22.0,Defensive rebound by J. Sullinger,,27-28,,
2:18.0,J. Sullinger misses 2-pt shot from 21 ft,,27-28,,
2:18.0,Offensive rebound by L. Nogueira,,27-28,,
2:18.0,Shooting foul by A. Harrison (drawn by L. Nogueira),,27-28,,
2:18.0,L. Nogueira makes 2-pt shot from 1 ft,2,29-28,,
2:18.0,L. Nogueira misses free throw 1 of 1,,29-28,,
2:18.0,T. Ross enters the game for N. Powell,,29-28,,
2:18.0,,,29-28,,M. Conley enters the game for Z. Randolph
2:18.0,,,29-28,,J. Ennis enters the game for T. Allen
2:18.0,K. Lowry enters the game for D. Carroll,,29-28,,
2:16.0,,,29-28,,Defensive rebound by V. Carter
1:58.0,,,29-30,2,M. Gasol makes 2-pt shot from 14 ft (assist by A. Harrison)
1:39.0,J. Sullinger misses 3-pt shot from 27 ft,,29-30,,
1:38.0,,,29-30,,Defensive rebound by A. Harrison
1:31.0,,,29-30,,M. Conley misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by L. Nogueira,,29-30,,
1:26.0,K. Lowry makes 2-pt shot from 6 ft,2,31-30,,
1:26.0,Shooting foul by A. Harrison (drawn by K. Lowry),,31-30,,
1:26.0,K. Lowry makes free throw 1 of 1,1,32-30,,
1:11.0,,,32-30,,M. Gasol misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by T. Ross,,32-30,,
1:00.0,,,32-30,,Personal foul by A. Harrison (drawn by C. Joseph)
1:00.0,C. Joseph makes free throw 1 of 2,1,33-30,,
