time,New York,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,C. Lee misses 2-pt shot from 20 ft,,0-0,,
12:00.0,Jump ball: J. Noah vs. J. Valanciunas (K. Porzingis gains possession),,,,Jump ball: J. Noah vs. J. Valanciunas (K. Porzingis gains possession)
11:43.0,,,0-0,,Defensive rebound by K. Lowry
11:21.0,,,0-0,,D. DeRozan misses 2-pt shot from 18 ft
11:20.0,Defensive rebound by C. Anthony,,0-0,,
11:10.0,C. Anthony makes 2-pt shot from 17 ft (assist by D. Rose),2,2-0,,
10:57.0,Shooting block foul by C. Lee (drawn by D. DeRozan),,2-0,,
10:57.0,,,2-0,,D. DeRozan misses free throw 1 of 2
10:57.0,,,2-0,,Offensive rebound by Team
10:57.0,,,2-1,1,D. DeRozan makes free throw 2 of 2
10:50.0,Turnover by C. Lee (dbl dribble),,2-1,,
10:35.0,,,2-3,2,J. Valanciunas makes 2-pt shot from 7 ft
10:18.0,C. Anthony misses 2-pt shot from 19 ft,,2-3,,
10:17.0,,,2-3,,Defensive rebound by J. Valanciunas
10:08.0,,,2-3,,D. DeRozan misses 2-pt shot from 9 ft
10:07.0,Defensive rebound by K. Porzingis,,2-3,,
9:50.0,J. Noah misses 2-pt shot from 3 ft,,2-3,,
9:49.0,Offensive rebound by D. Rose,,2-3,,
9:46.0,D. Rose makes 2-pt shot from 2 ft,2,4-3,,
9:27.0,,,4-5,2,D. DeRozan makes 2-pt shot from 14 ft
9:14.0,D. Rose misses 2-pt shot from 2 ft,,4-5,,
9:14.0,Offensive rebound by J. Noah,,4-5,,
9:12.0,J. Noah misses 2-pt shot from 3 ft,,4-5,,
9:11.0,,,4-5,,Defensive rebound by D. DeRozan
8:57.0,,,4-5,,J. Valanciunas misses 2-pt shot from 12 ft
8:56.0,Defensive rebound by C. Anthony,,4-5,,
8:40.0,K. Porzingis makes 2-pt shot at rim (assist by C. Anthony),2,6-5,,
8:20.0,,,6-5,,N. Powell misses 2-pt shot from 20 ft
8:19.0,Defensive rebound by C. Lee,,6-5,,
8:03.0,C. Anthony makes 2-pt shot from 7 ft,2,8-5,,
7:48.0,,,8-5,,D. DeRozan misses 2-pt shot from 13 ft
7:47.0,Defensive rebound by J. Noah,,8-5,,
7:38.0,K. Porzingis misses 3-pt shot from 26 ft,,8-5,,
7:38.0,,,8-5,,Defensive rebound by J. Valanciunas
7:31.0,,,8-5,,Offensive foul by J. Valanciunas
7:31.0,,,8-5,,Turnover by J. Valanciunas (offensive foul)
7:17.0,Turnover by C. Lee (bad pass; steal by J. Valanciunas),,8-5,,
7:07.0,,,8-7,2,K. Lowry makes 2-pt shot from 3 ft (assist by D. DeRozan)
6:54.0,C. Anthony misses 2-pt shot from 12 ft,,8-7,,
6:54.0,Offensive rebound by K. Porzingis,,8-7,,
6:50.0,K. Porzingis makes 2-pt shot at rim,2,10-7,,
6:37.0,,,10-7,,D. DeRozan misses 2-pt shot from 11 ft
6:37.0,Defensive rebound by C. Lee,,10-7,,
6:35.0,,,10-7,,Personal foul by D. DeRozan (drawn by C. Lee)
6:29.0,J. Noah misses 2-pt shot from 20 ft,,10-7,,
6:28.0,,,10-7,,Defensive rebound by J. Valanciunas
6:18.0,,,10-10,3,N. Powell makes 3-pt shot from 23 ft (assist by D. DeRozan)
6:08.0,,,10-10,,Personal foul by P. Siakam (drawn by K. Porzingis)
6:03.0,Turnover by K. Porzingis (traveling),,10-10,,
5:54.0,,,10-10,,Turnover by J. Valanciunas (lost ball; steal by J. Noah)
5:48.0,C. Lee misses 3-pt shot from 25 ft,,10-10,,
5:48.0,Offensive rebound by D. Rose,,10-10,,
5:45.0,D. Rose misses 2-pt shot from 3 ft (block by J. Valanciunas),,10-10,,
5:44.0,,,10-10,,Defensive rebound by N. Powell
5:39.0,,,10-10,,N. Powell misses 2-pt shot from 1 ft
5:39.0,,,10-10,,Offensive rebound by D. DeRozan
5:36.0,,,10-12,2,D. DeRozan makes 2-pt shot at rim
5:17.0,D. Rose makes 2-pt shot from 2 ft,2,12-12,,
5:01.0,,,12-12,,K. Lowry misses 3-pt shot from 27 ft
5:01.0,Defensive rebound by C. Anthony,,12-12,,
4:53.0,C. Anthony misses 2-pt shot from 18 ft,,12-12,,
4:52.0,,,12-12,,Defensive rebound by Team
4:52.0,,,12-12,,Toronto full timeout
4:44.0,,,12-12,,Offensive foul by K. Lowry
4:44.0,,,12-12,,Turnover by K. Lowry (offensive foul)
4:24.0,K. Porzingis misses 2-pt shot from 15 ft,,12-12,,
4:23.0,,,12-12,,Defensive rebound by J. Valanciunas
4:17.0,,,12-14,2,K. Lowry makes 2-pt shot from 3 ft
4:06.0,C. Lee makes 3-pt shot from 23 ft,3,15-14,,
3:56.0,,,15-16,2,D. DeRozan makes 2-pt shot from 5 ft
3:45.0,D. Rose makes 2-pt shot from 2 ft,2,17-16,,
3:35.0,,,17-16,,Shooting foul by K. Porzingis (drawn by J. Valanciunas)
3:35.0,,,17-17,1,J. Valanciunas makes free throw 1 of 2
3:35.0,,,17-18,1,J. Valanciunas makes free throw 2 of 2
3:35.0,L. Thomas enters the game for K. Porzingis,,17-17,,
3:35.0,,,17-17,,P. Patterson enters the game for P. Siakam
3:23.0,L. Thomas misses 3-pt shot from 24 ft,,17-18,,
3:22.0,Offensive rebound by J. Noah,,17-18,,
3:19.0,J. Noah misses 2-pt shot at rim,,17-18,,
3:19.0,,,17-18,,Defensive rebound by J. Valanciunas
3:13.0,,,17-20,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
3:00.0,C. Anthony makes 2-pt shot from 16 ft,2,19-20,,
2:47.0,,,19-20,,K. Lowry misses 2-pt shot from 8 ft
2:46.0,Defensive rebound by D. Rose,,19-20,,
2:42.0,C. Lee makes 3-pt shot from 24 ft (assist by D. Rose),3,22-20,,
2:18.0,,,22-22,2,K. Lowry makes 2-pt shot from 16 ft
1:57.0,Shooting foul by J. Valanciunas (drawn by C. Anthony),,22-22,,
1:57.0,New York full timeout,,22-22,,
1:57.0,C. Anthony makes free throw 1 of 2,1,23-22,,
1:57.0,C. Anthony misses free throw 2 of 2,,23-22,,
1:57.0,,,22-22,,L. Nogueira enters the game for J. Valanciunas
1:57.0,,,22-22,,C. Joseph enters the game for K. Lowry
1:57.0,W. Hernangomez enters the game for J. Noah,,23-22,,
1:56.0,,,23-22,,Defensive rebound by P. Patterson
1:34.0,,,23-22,,C. Joseph misses 3-pt shot from 24 ft
1:33.0,Defensive rebound by C. Lee,,23-22,,
1:21.0,Turnover by D. Rose (bad pass; steal by P. Patterson),,23-22,,
1:19.0,,,23-22,,Shooting foul by C. Anthony (drawn by D. DeRozan)
1:19.0,,,23-23,1,D. DeRozan makes free throw 1 of 2
1:19.0,,,23-24,1,D. DeRozan makes free throw 2 of 2
1:19.0,,,23-23,,T. Ross enters the game for N. Powell
1:00.0,C. Anthony makes 3-pt shot from 24 ft,3,26-24,,
0:49.0,,,26-24,,Turnover by C. Joseph (bad pass)
0:37.0,D. Rose makes 2-pt shot from 6 ft,2,28-24,,
0:30.0,,,28-24,,D. DeRozan misses 2-pt shot from 5 ft
0:30.0,,,28-24,,Offensive rebound by D. DeRozan
0:12.0,,,28-24,,D. DeRozan misses 2-pt shot from 8 ft
0:11.0,Defensive rebound by W. Hernangomez,,28-24,,
0:00.0,C. Anthony misses 3-pt shot from 26 ft,,28-24,,
0:00.0,Offensive rebound by Team,,28-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,28-27,3,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry)
11:22.0,L. Thomas misses 2-pt shot from 4 ft,,28-27,,
11:21.0,,,28-27,,Defensive rebound by P. Patterson
11:10.0,,,28-29,2,P. Patterson makes 2-pt shot from 4 ft
10:56.0,K. Porzingis misses 3-pt shot from 24 ft,,28-29,,
10:56.0,,,28-29,,Defensive rebound by L. Nogueira
10:48.0,,,28-29,,Shooting foul by K. Porzingis (drawn by T. Ross)
10:48.0,,,28-30,1,T. Ross makes free throw 1 of 3
10:48.0,,,28-31,1,T. Ross makes free throw 2 of 3
10:48.0,,,28-32,1,T. Ross makes free throw 3 of 3
10:28.0,Turnover by W. Hernangomez (bad pass; steal by L. Nogueira),,28-32,,
10:14.0,,,28-34,2,K. Lowry makes 2-pt shot from 16 ft
9:54.0,B. Jennings makes 2-pt shot from 15 ft (assist by J. Holiday),2,30-34,,
9:52.0,,,30-34,,Turnover by K. Lowry (bad pass)
9:52.0,K. O'Quinn enters the game for W. Hernangomez,,30-34,,
9:46.0,B. Jennings misses 2-pt shot from 16 ft,,30-34,,
9:46.0,Offensive rebound by Team,,30-34,,
9:43.0,J. Holiday misses 2-pt shot from 13 ft,,30-34,,
9:42.0,Offensive rebound by L. Thomas,,30-34,,
9:33.0,K. O'Quinn makes 2-pt shot from 3 ft (assist by B. Jennings),2,32-34,,
9:13.0,,,32-34,,T. Ross misses 2-pt shot from 20 ft
9:13.0,Defensive rebound by K. Porzingis,,32-34,,
9:04.0,L. Thomas misses 2-pt shot from 21 ft,,32-34,,
9:04.0,Offensive rebound by Team,,32-34,,
9:04.0,,,32-34,,Loose ball foul by P. Patterson (drawn by K. Porzingis)
