time,Memphis,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Plumlee (J. Green gains possession),,,,Jump ball: M. Gasol vs. M. Plumlee (J. Green gains possession)
11:38.0,M. Gasol misses 2-pt shot from 19 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by N. Vonleh
11:29.0,,,0-2,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
11:06.0,C. Parsons misses 2-pt shot from 13 ft,,0-2,,
11:05.0,,,0-2,,Defensive rebound by M. Plumlee
10:56.0,,,0-2,,D. Lillard misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by C. Parsons,,0-2,,
10:50.0,M. Conley misses 2-pt shot from 23 ft,,0-2,,
10:49.0,Offensive rebound by J. Green,,0-2,,
10:35.0,Shooting foul by E. Turner (drawn by C. Parsons),,0-2,,
10:35.0,C. Parsons makes free throw 1 of 2,1,1-2,,
10:35.0,C. Parsons makes free throw 2 of 2,1,2-2,,
10:18.0,,,2-2,,E. Turner misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by T. Allen,,2-2,,
10:06.0,M. Gasol misses 2-pt shot from 8 ft,,2-2,,
10:05.0,,,2-2,,Defensive rebound by N. Vonleh
9:50.0,,,2-2,,M. Plumlee misses 2-pt shot from 18 ft
9:49.0,Defensive rebound by T. Allen,,2-2,,
9:36.0,M. Conley misses 3-pt shot from 24 ft,,2-2,,
9:35.0,,,2-2,,Defensive rebound by D. Lillard
9:27.0,,,2-4,2,M. Plumlee makes 2-pt shot at rim (assist by E. Turner)
9:10.0,M. Conley misses 2-pt shot from 4 ft,,2-4,,
9:10.0,,,2-4,,Defensive rebound by Team
8:56.0,,,2-6,2,C. McCollum makes 2-pt shot from 13 ft (assist by E. Turner)
8:38.0,M. Gasol makes 3-pt shot from 24 ft (assist by M. Conley),3,5-6,,
8:18.0,Personal foul by C. Parsons (drawn by N. Vonleh),,5-6,,
8:14.0,Violation by M. Gasol (kicked ball),,5-6,,
8:08.0,,,5-8,2,M. Plumlee makes 2-pt shot from 13 ft (assist by D. Lillard)
7:44.0,M. Gasol misses 2-pt shot from 8 ft,,5-8,,
7:42.0,,,5-8,,Defensive rebound by M. Plumlee
7:37.0,,,5-8,,Turnover by M. Plumlee (bad pass)
7:21.0,M. Conley misses 2-pt shot from 12 ft,,5-8,,
7:21.0,,,5-8,,Defensive rebound by M. Plumlee
7:13.0,,,5-10,2,D. Lillard makes 2-pt shot from 1 ft (assist by E. Turner)
7:08.0,Memphis full timeout,,5-10,,
7:00.0,Turnover by T. Allen (step out of bounds),,5-10,,
6:46.0,,,5-12,2,C. McCollum makes 2-pt shot from 19 ft
6:17.0,M. Gasol makes 2-pt shot from 5 ft (assist by M. Conley),2,7-12,,
6:00.0,,,7-12,,E. Turner misses 2-pt shot from 21 ft
5:59.0,Defensive rebound by J. Green,,7-12,,
5:50.0,M. Gasol makes 3-pt shot from 25 ft (assist by C. Parsons),3,10-12,,
5:28.0,,,10-14,2,D. Lillard makes 2-pt shot from 16 ft
5:08.0,M. Gasol makes 2-pt shot from 17 ft (assist by J. Green),2,12-14,,
4:55.0,,,12-17,3,D. Lillard makes 3-pt shot from 29 ft
4:28.0,M. Conley makes 2-pt shot at rim (assist by M. Gasol),2,14-17,,
4:22.0,,,14-17,,Shooting foul by T. Allen (drawn by C. McCollum)
4:22.0,,,14-18,1,C. McCollum makes free throw 1 of 2
4:22.0,,,14-19,1,C. McCollum makes free throw 2 of 2
4:22.0,A. Harrison enters the game for C. Parsons,,14-18,,
4:22.0,J. Ennis enters the game for J. Green,,14-18,,
4:22.0,Z. Randolph enters the game for T. Allen,,14-18,,
4:22.0,V. Carter enters the game for M. Conley,,14-18,,
4:22.0,,,14-18,,A. Crabbe enters the game for E. Turner
4:22.0,,,14-18,,P. Connaughton enters the game for N. Vonleh
4:22.0,,,14-18,,A. Aminu enters the game for D. Lillard
4:00.0,M. Gasol makes 2-pt shot from 12 ft,2,16-19,,
3:42.0,,,16-21,2,A. Aminu makes 2-pt shot from 16 ft (assist by P. Connaughton)
3:23.0,J. Ennis misses 2-pt shot from 1 ft (block by A. Aminu),,16-21,,
3:23.0,,,16-21,,Defensive rebound by P. Connaughton
3:15.0,,,16-23,2,C. McCollum makes 2-pt shot from 3 ft
2:58.0,,,16-23,,Personal foul by M. Plumlee (drawn by M. Gasol)
2:58.0,,,16-23,,Portland full timeout
2:58.0,,,16-23,,M. Leonard enters the game for M. Plumlee
2:58.0,,,16-23,,D. Lillard enters the game for C. McCollum
2:43.0,V. Carter makes 2-pt shot from 1 ft (assist by Z. Randolph),2,18-23,,
2:24.0,,,18-23,,M. Leonard misses 3-pt shot from 24 ft (block by M. Gasol)
2:23.0,Defensive rebound by Z. Randolph,,18-23,,
2:12.0,A. Harrison makes 2-pt shot from 4 ft,2,20-23,,
1:58.0,,,20-23,,Shooting foul by A. Harrison (drawn by D. Lillard)
1:58.0,,,20-24,1,D. Lillard makes free throw 1 of 3
1:58.0,,,20-25,1,D. Lillard makes free throw 2 of 3
1:58.0,,,20-26,1,D. Lillard makes free throw 3 of 3
1:43.0,V. Carter makes 2-pt shot from 2 ft,2,22-26,,
1:29.0,,,22-26,,M. Leonard misses 2-pt shot from 3 ft (block by J. Ennis)
1:28.0,Defensive rebound by M. Gasol,,22-26,,
1:23.0,M. Gasol misses 3-pt shot from 25 ft,,22-26,,
1:22.0,,,22-26,,Defensive rebound by D. Lillard
1:12.0,,,22-26,,A. Aminu misses 3-pt shot from 23 ft
1:12.0,Defensive rebound by M. Gasol,,22-26,,
1:03.0,A. Harrison misses 3-pt shot from 25 ft,,22-26,,
1:02.0,,,22-26,,Defensive rebound by Team
1:02.0,J. Green enters the game for M. Gasol,,22-26,,
0:51.0,,,22-26,,A. Crabbe misses 3-pt shot from 26 ft
0:51.0,,,22-26,,Offensive rebound by P. Connaughton
0:51.0,,,22-28,2,P. Connaughton makes 2-pt shot from 1 ft
0:42.0,,,22-28,,Personal foul by M. Leonard (drawn by Z. Randolph)
0:33.0,V. Carter makes 2-pt shot from 6 ft (assist by Z. Randolph),2,24-28,,
0:15.0,,,24-28,,D. Lillard misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by J. Ennis,,24-28,,
0:00.0,J. Ennis misses 3-pt shot from 24 ft,,24-28,,
0:00.0,Offensive rebound by Team,,24-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,24-31,3,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard)
11:45.0,,,24-31,,Shooting foul by J. Ennis (drawn by A. Crabbe)
11:45.0,,,24-32,1,A. Crabbe makes free throw 1 of 1
11:45.0,M. Conley enters the game for A. Harrison,,24-31,,
11:32.0,Shooting foul by A. Crabbe (drawn by V. Carter),,24-32,,
11:32.0,V. Carter makes free throw 1 of 2,1,25-32,,
11:32.0,V. Carter makes free throw 2 of 2,1,26-32,,
11:24.0,,,26-32,,Shooting foul by J. Green (drawn by D. Lillard)
11:24.0,,,26-33,1,D. Lillard makes free throw 1 of 2
11:24.0,,,26-34,1,D. Lillard makes free throw 2 of 2
11:08.0,Z. Randolph makes 2-pt shot from 3 ft,2,28-34,,
10:50.0,,,28-37,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
10:31.0,Z. Randolph misses 2-pt shot from 19 ft,,28-37,,
10:30.0,,,28-37,,Defensive rebound by A. Crabbe
10:22.0,,,28-39,2,D. Lillard makes 2-pt shot from 22 ft
10:12.0,Memphis full timeout,,28-39,,
10:12.0,C. Parsons enters the game for J. Ennis,,28-39,,
10:12.0,,,28-39,,E. Turner enters the game for P. Connaughton
10:01.0,C. Parsons makes 3-pt shot from 25 ft (assist by M. Conley),3,31-39,,
9:42.0,,,31-42,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard)
9:28.0,Turnover by M. Conley (bad pass),,31-42,,
9:16.0,,,31-44,2,A. Crabbe makes 2-pt shot from 18 ft (assist by E. Turner)
9:04.0,J. Green makes 2-pt shot from 2 ft,2,33-44,,
9:04.0,Shooting foul by A. Aminu (drawn by J. Green),,33-44,,
9:04.0,J. Green makes free throw 1 of 1,1,34-44,,
9:04.0,T. Allen enters the game for V. Carter,,33-44,,
8:52.0,,,34-44,,M. Leonard misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by T. Allen,,34-44,,
8:36.0,T. Allen misses 3-pt shot from 24 ft,,34-44,,
8:34.0,Offensive rebound by Z. Randolph,,34-44,,
8:30.0,Shooting foul by M. Leonard (drawn by Z. Randolph),,34-44,,
8:30.0,Z. Randolph misses free throw 1 of 2,,34-44,,
8:30.0,Offensive rebound by Team,,34-44,,
8:30.0,Z. Randolph makes free throw 2 of 2,1,35-44,,
8:30.0,,,34-44,,C. McCollum enters the game for D. Lillard
8:08.0,,,35-44,,A. Crabbe misses 2-pt shot from 22 ft
8:08.0,,,35-44,,Offensive rebound by Team
8:08.0,M. Gasol enters the game for Z. Randolph,,35-44,,
8:08.0,,,35-44,,M. Plumlee enters the game for M. Leonard
7:56.0,,,35-44,,A. Aminu misses 3-pt shot from 23 ft
7:55.0,,,35-44,,Offensive rebound by C. McCollum
7:55.0,,,35-46,2,C. McCollum makes 2-pt shot from 2 ft
7:36.0,,,35-46,,Personal foul by A. Crabbe (drawn by M. Gasol)
7:24.0,Shooting foul by E. Turner (drawn by J. Green),,35-46,,
7:24.0,J. Green makes free throw 1 of 2,1,36-46,,
7:24.0,J. Green makes free throw 2 of 2,1,37-46,,
7:24.0,A. Harrison enters the game for M. Conley,,36-46,,
7:12.0,,,37-48,2,A. Crabbe makes 2-pt shot from 18 ft (assist by E. Turner)
6:56.0,C. Parsons misses 2-pt shot from 1 ft,,37-48,,
