time,Chicago,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez (M. Carter-Williams gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (M. Carter-Williams gains possession)
11:38.0,P. Zipser makes 2-pt shot from 6 ft,2,2-0,,
11:23.0,,,2-0,,M. Gasol misses 2-pt shot from 14 ft
11:23.0,,,2-0,,Offensive rebound by J. Green
11:21.0,,,2-2,2,J. Green makes 2-pt shot at rim
11:07.0,T. Gibson misses 2-pt shot from 10 ft,,2-2,,
11:07.0,,,2-2,,Defensive rebound by M. Gasol
10:52.0,,,2-2,,M. Conley misses 3-pt shot from 26 ft
10:52.0,Defensive rebound by P. Zipser,,2-2,,
10:38.0,Shooting foul by J. Green (drawn by R. Lopez),,2-2,,
10:38.0,R. Lopez makes free throw 1 of 2,1,3-2,,
10:38.0,R. Lopez misses free throw 2 of 2,,3-2,,
10:38.0,,,3-2,,Defensive rebound by T. Allen
10:23.0,,,3-4,2,J. Green makes 2-pt shot from 20 ft (assist by T. Allen)
10:10.0,J. Butler makes 2-pt shot from 21 ft (assist by M. Carter-Williams),2,5-4,,
9:50.0,,,5-4,,T. Allen misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by T. Gibson,,5-4,,
9:44.0,Turnover by P. Zipser (traveling),,5-4,,
9:44.0,Violation by Team (jump ball),,5-4,,
9:27.0,,,5-4,,M. Gasol misses 2-pt shot from 6 ft
9:26.0,Defensive rebound by J. Butler,,5-4,,
9:12.0,Shooting foul by T. Allen (drawn by J. Butler),,5-4,,
9:12.0,J. Butler misses free throw 1 of 2,,5-4,,
9:12.0,Offensive rebound by Team,,5-4,,
9:12.0,J. Butler misses free throw 2 of 2,,5-4,,
9:10.0,,,5-4,,Defensive rebound by M. Gasol
9:00.0,,,5-4,,Turnover by M. Conley (bad pass; steal by M. Carter-Williams)
8:56.0,Shooting foul by C. Parsons (drawn by P. Zipser),,5-4,,
8:56.0,P. Zipser misses free throw 1 of 2,,5-4,,
8:56.0,Offensive rebound by Team,,5-4,,
8:56.0,P. Zipser makes free throw 2 of 2,1,6-4,,
