time,Toronto,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Valanciunas (P. Patterson gains possession),,,,Jump ball: A. Johnson vs. J. Valanciunas (P. Patterson gains possession)
11:48.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,2-0,,
11:34.0,,,2-0,,J. Crowder misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by J. Valanciunas,,2-0,,
11:25.0,Turnover by N. Powell (bad pass; steal by J. Brown),,2-0,,
11:12.0,,,2-0,,A. Horford misses 2-pt shot from 5 ft
11:11.0,,,2-0,,Offensive rebound by J. Crowder
11:11.0,,,2-0,,J. Crowder misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by D. Carroll,,2-0,,
10:59.0,D. Carroll makes 3-pt shot from 23 ft (assist by K. Lowry),3,5-0,,
10:40.0,,,5-0,,J. Crowder misses 2-pt shot from 23 ft
10:39.0,Defensive rebound by N. Powell,,5-0,,
10:36.0,Jump ball: J. Crowder vs. P. Patterson (D. Carroll gains possession),,,,Jump ball: J. Crowder vs. P. Patterson (D. Carroll gains possession)
10:13.0,K. Lowry makes 2-pt shot from 20 ft,2,7-0,,
10:01.0,,,7-0,,Turnover by I. Thomas (bad pass; steal by P. Patterson)
9:54.0,Turnover by N. Powell (bad pass; steal by J. Crowder),,7-0,,
9:35.0,,,7-2,2,I. Thomas makes 2-pt shot from 2 ft
9:20.0,K. Lowry misses 2-pt shot from 17 ft,,7-2,,
9:19.0,,,7-2,,Defensive rebound by J. Crowder
9:11.0,,,7-2,,I. Thomas misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by J. Valanciunas,,7-2,,
9:06.0,,,7-2,,Personal foul by I. Thomas (drawn by D. Carroll)
9:05.0,Offensive foul by J. Valanciunas,,7-2,,
9:05.0,Turnover by J. Valanciunas (offensive foul),,7-2,,
8:48.0,,,7-5,3,J. Crowder makes 3-pt shot from 23 ft (assist by I. Thomas)
8:29.0,N. Powell makes 2-pt shot from 13 ft,2,9-5,,
8:10.0,,,9-5,,J. Brown misses 2-pt shot from 3 ft
8:09.0,Defensive rebound by J. Valanciunas,,9-5,,
7:55.0,P. Patterson misses 3-pt shot from 24 ft,,9-5,,
7:54.0,,,9-5,,Defensive rebound by I. Thomas
7:49.0,,,9-5,,I. Thomas misses 2-pt shot from 1 ft
7:47.0,Jump ball: D. Carroll vs. A. Johnson (J. Brown gains possession),,,,Jump ball: D. Carroll vs. A. Johnson (J. Brown gains possession)
7:47.0,,,9-5,,Offensive rebound by Team
7:44.0,Shooting block foul by J. Valanciunas (drawn by J. Brown),,9-5,,
7:44.0,,,9-5,,J. Brown misses free throw 1 of 2
7:44.0,,,9-5,,Offensive rebound by Team
7:44.0,,,9-6,1,J. Brown makes free throw 2 of 2
7:44.0,L. Nogueira enters the game for J. Valanciunas,,9-5,,
7:20.0,D. Carroll misses 3-pt shot from 25 ft,,9-6,,
7:19.0,Offensive rebound by P. Patterson,,9-6,,
7:19.0,Shooting foul by A. Johnson (drawn by P. Patterson),,9-6,,
7:19.0,P. Patterson makes free throw 1 of 2,1,10-6,,
7:19.0,P. Patterson makes free throw 2 of 2,1,11-6,,
7:01.0,,,11-6,,A. Horford misses 2-pt shot from 7 ft
7:00.0,Defensive rebound by D. Carroll,,11-6,,
6:48.0,N. Powell misses 3-pt shot from 23 ft,,11-6,,
6:47.0,,,11-6,,Defensive rebound by I. Thomas
6:35.0,,,11-6,,A. Horford misses 2-pt shot from 8 ft
6:34.0,Defensive rebound by D. Carroll,,11-6,,
6:20.0,Offensive foul by L. Nogueira,,11-6,,
6:20.0,Turnover by L. Nogueira (offensive foul),,11-6,,
6:20.0,J. Sullinger enters the game for P. Patterson,,11-6,,
6:20.0,,,11-6,,J. Jerebko enters the game for A. Johnson
6:20.0,,,11-6,,M. Smart enters the game for J. Brown
6:10.0,,,11-6,,Turnover by I. Thomas (bad pass; steal by K. Lowry)
6:04.0,N. Powell makes 2-pt shot from 2 ft,2,13-6,,
5:49.0,,,13-6,,Shooting foul by J. Sullinger (drawn by I. Thomas)
5:49.0,,,13-6,,Boston full timeout
5:49.0,,,13-7,1,I. Thomas makes free throw 1 of 2
5:49.0,,,13-8,1,I. Thomas makes free throw 2 of 2
5:49.0,C. Joseph enters the game for K. Lowry,,13-6,,
5:24.0,C. Joseph misses 2-pt shot from 5 ft,,13-8,,
5:23.0,Offensive rebound by J. Sullinger,,13-8,,
5:23.0,Shooting foul by A. Horford (drawn by J. Sullinger),,13-8,,
5:23.0,J. Sullinger misses free throw 1 of 2,,13-8,,
5:23.0,Offensive rebound by Team,,13-8,,
5:23.0,J. Sullinger makes free throw 2 of 2,1,14-8,,
5:10.0,,,14-8,,J. Jerebko misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by N. Powell,,14-8,,
4:51.0,J. Sullinger makes 2-pt shot from 12 ft (assist by C. Joseph),2,16-8,,
4:35.0,,,16-8,,Shooting foul by C. Joseph (drawn by I. Thomas)
4:35.0,,,16-9,1,I. Thomas makes free throw 1 of 2
4:35.0,,,16-9,,I. Thomas misses free throw 2 of 2
4:35.0,Defensive rebound by L. Nogueira,,16-9,,
4:17.0,C. Joseph makes 2-pt shot from 2 ft,2,18-9,,
4:06.0,Personal foul by D. Carroll (drawn by J. Crowder),,18-9,,
3:58.0,,,18-9,,Shooting foul by L. Nogueira (drawn by I. Thomas)
