time,Utah,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Mozgov (D. Favors gains possession),,,,Jump ball: R. Gobert vs. T. Mozgov (D. Favors gains possession)
11:44.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Hood),3,3-0,,
11:27.0,,,3-0,,T. Mozgov misses 2-pt shot from 18 ft
11:26.0,Defensive rebound by G. Hayward,,3-0,,
11:18.0,G. Hayward makes 3-pt shot from 24 ft,3,6-0,,
11:03.0,,,6-2,2,T. Mozgov makes 2-pt shot from 5 ft (assist by D. Russell)
10:44.0,S. Mack misses 3-pt shot from 24 ft,,6-2,,
10:43.0,,,6-2,,Defensive rebound by L. Deng
10:35.0,,,6-2,,J. Randle misses 2-pt shot from 5 ft
10:32.0,Defensive rebound by G. Hayward,,6-2,,
10:28.0,G. Hayward makes 2-pt shot from 15 ft,2,8-2,,
10:16.0,,,8-2,,D. Russell misses 2-pt shot from 17 ft
10:14.0,Defensive rebound by S. Mack,,8-2,,
9:54.0,R. Hood misses 3-pt shot from 23 ft,,8-2,,
9:52.0,Offensive rebound by D. Favors,,8-2,,
9:34.0,G. Hayward misses 3-pt shot from 24 ft,,8-2,,
9:31.0,,,8-2,,Defensive rebound by L. Deng
9:22.0,,,8-2,,J. Randle misses 2-pt shot from 8 ft
9:20.0,Defensive rebound by R. Hood,,8-2,,
9:18.0,Turnover by R. Hood (traveling),,8-2,,
9:12.0,,,8-2,,N. Young misses 2-pt shot from 10 ft
9:09.0,,,8-2,,Offensive rebound by T. Mozgov
9:02.0,,,8-4,2,L. Deng makes 2-pt shot from 13 ft
8:47.0,D. Favors makes 2-pt shot from 6 ft,2,10-4,,
8:27.0,,,10-7,3,L. Deng makes 3-pt shot from 24 ft (assist by D. Russell)
8:14.0,Turnover by R. Gobert (traveling),,10-7,,
7:57.0,,,10-7,,D. Russell misses 2-pt shot from 6 ft
7:52.0,,,10-7,,Offensive rebound by J. Randle
7:52.0,,,10-9,2,J. Randle makes 2-pt shot from 1 ft
7:34.0,G. Hayward misses 2-pt shot from 11 ft,,10-9,,
7:31.0,,,10-9,,Defensive rebound by L. Deng
7:25.0,,,10-11,2,T. Mozgov makes 2-pt shot from 15 ft (assist by D. Russell)
7:19.0,Utah full timeout,,10-11,,
7:19.0,J. Ingles enters the game for R. Hood,,10-11,,
7:06.0,Turnover by D. Favors (lost ball; steal by J. Randle),,10-11,,
6:59.0,,,10-13,2,J. Randle makes 2-pt shot from 2 ft
6:44.0,S. Mack misses 2-pt shot from 11 ft,,10-13,,
6:42.0,,,10-13,,Defensive rebound by N. Young
6:36.0,,,10-13,,N. Young misses 3-pt shot from 26 ft
6:34.0,Defensive rebound by J. Ingles,,10-13,,
6:22.0,J. Ingles misses 3-pt shot from 25 ft,,10-13,,
6:21.0,,,10-13,,Defensive rebound by J. Randle
6:14.0,,,10-13,,Turnover by J. Randle (traveling)
6:14.0,B. Diaw enters the game for D. Favors,,10-13,,
6:05.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,12-13,,
6:04.0,Violation by Team (jump ball),,12-13,,
5:50.0,,,12-15,2,L. Deng makes 2-pt shot from 1 ft (assist by N. Young)
5:31.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,14-15,,
5:09.0,,,14-15,,D. Russell misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by Team,,14-15,,
5:09.0,,,14-15,,J. Clarkson enters the game for N. Young
5:09.0,,,14-15,,B. Ingram enters the game for L. Deng
4:50.0,Turnover by B. Diaw (bad pass),,14-15,,
4:35.0,,,14-15,,T. Mozgov misses 2-pt shot at rim
4:33.0,,,14-15,,Offensive rebound by J. Clarkson
4:30.0,,,14-15,,Turnover by J. Clarkson (bad pass; steal by B. Diaw)
4:23.0,J. Ingles misses 3-pt shot from 23 ft,,14-15,,
4:22.0,Offensive rebound by R. Gobert,,14-15,,
4:22.0,R. Gobert makes 2-pt shot from 1 ft,2,16-15,,
4:22.0,,,16-15,,LA Lakers full timeout
4:22.0,,,16-15,,L. Williams enters the game for T. Mozgov
4:22.0,,,16-15,,T. Robinson enters the game for D. Russell
4:07.0,,,16-15,,Turnover by J. Clarkson (bad pass)
3:51.0,B. Diaw makes 2-pt shot from 1 ft,2,18-15,,
3:41.0,,,18-15,,Turnover by L. Williams (lost ball)
3:41.0,,,18-15,,L. Deng enters the game for J. Randle
3:17.0,S. Mack makes 2-pt shot from 1 ft (assist by R. Gobert),2,20-15,,
3:09.0,Personal foul by J. Ingles (drawn by J. Clarkson),,20-15,,
