time,Minnesota,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. K. Towns (N. Vonleh gains possession),,,,Jump ball: J. Nurkic vs. K. Towns (N. Vonleh gains possession)
11:49.0,,,0-2,2,C. McCollum makes 2-pt shot from 1 ft (assist by J. Nurkic)
11:30.0,K. Towns makes 2-pt shot from 15 ft,2,2-2,,
11:13.0,,,2-2,,C. McCollum misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by B. Rush,,2-2,,
11:04.0,Shooting foul by C. McCollum (drawn by G. Dieng),,2-2,,
11:04.0,G. Dieng makes free throw 1 of 2,1,3-2,,
11:04.0,G. Dieng makes free throw 2 of 2,1,4-2,,
10:41.0,,,4-2,,J. Nurkic misses 2-pt shot from 1 ft
10:40.0,,,4-2,,Offensive rebound by J. Nurkic
10:32.0,,,4-5,3,D. Lillard makes 3-pt shot from 23 ft
10:04.0,Turnover by R. Rubio (lost ball; steal by D. Lillard),,4-5,,
9:58.0,,,4-7,2,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard)
9:39.0,A. Wiggins misses 3-pt shot from 25 ft,,4-7,,
9:38.0,,,4-7,,Defensive rebound by D. Lillard
9:28.0,,,4-9,2,D. Lillard makes 2-pt shot at rim
9:03.0,K. Towns makes 2-pt shot from 5 ft,2,6-9,,
8:50.0,,,6-9,,Turnover by C. McCollum (lost ball; steal by R. Rubio)
8:44.0,A. Wiggins makes 2-pt shot from 2 ft,2,8-9,,
8:29.0,,,8-11,2,D. Lillard makes 2-pt shot from 15 ft (assist by C. McCollum)
8:13.0,R. Rubio makes 2-pt shot from 1 ft,2,10-11,,
8:01.0,,,10-11,,J. Nurkic misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by K. Towns,,10-11,,
7:49.0,R. Rubio misses 2-pt shot from 20 ft,,10-11,,
7:48.0,,,10-11,,Defensive rebound by D. Lillard
7:40.0,,,10-11,,D. Lillard misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by K. Towns,,10-11,,
7:15.0,A. Wiggins misses 2-pt shot from 19 ft,,10-11,,
7:15.0,Offensive rebound by G. Dieng,,10-11,,
7:11.0,Turnover by A. Wiggins (lost ball; steal by D. Lillard),,10-11,,
7:02.0,Personal foul by B. Rush (drawn by N. Vonleh),,10-11,,
6:53.0,,,10-13,2,J. Nurkic makes 2-pt shot from 20 ft (assist by D. Lillard)
6:37.0,R. Rubio makes 2-pt shot from 13 ft,2,12-13,,
6:21.0,,,12-13,,Turnover by D. Lillard (bad pass)
6:06.0,G. Dieng misses 2-pt shot from 6 ft,,12-13,,
6:05.0,,,12-13,,Defensive rebound by J. Nurkic
5:57.0,,,12-15,2,C. McCollum makes 2-pt shot from 1 ft
5:31.0,A. Wiggins misses 2-pt shot from 15 ft,,12-15,,
5:29.0,,,12-15,,Defensive rebound by J. Nurkic
5:25.0,,,12-15,,Shooting foul by R. Rubio
5:25.0,,,12-15,,Portland full timeout
5:25.0,,,12-16,1,C. McCollum makes free throw 1 of 2
5:25.0,,,12-17,1,C. McCollum makes free throw 2 of 2
5:16.0,A. Wiggins makes 2-pt shot from 2 ft (assist by G. Dieng),2,14-17,,
5:16.0,Shooting foul by N. Vonleh (drawn by A. Wiggins),,14-17,,
5:16.0,A. Wiggins makes free throw 1 of 1,1,15-17,,
5:16.0,,,14-17,,A. Crabbe enters the game for C. McCollum
4:59.0,,,15-17,,M. Harkless misses 2-pt shot from 3 ft (block by K. Towns)
4:56.0,,,15-17,,Offensive rebound by J. Nurkic
4:56.0,,,15-19,2,J. Nurkic makes 2-pt shot from 2 ft (assist by M. Harkless)
4:34.0,Turnover by R. Rubio (bad pass; steal by D. Lillard),,15-19,,
4:28.0,,,15-21,2,A. Crabbe makes 2-pt shot from 2 ft (assist by D. Lillard)
4:06.0,A. Wiggins misses 2-pt shot from 15 ft,,15-21,,
4:05.0,,,15-21,,Defensive rebound by D. Lillard
3:58.0,Shooting block foul by A. Wiggins (drawn by J. Nurkic),,15-21,,
3:58.0,,,15-21,,J. Nurkic misses free throw 1 of 2
3:58.0,,,15-21,,Offensive rebound by Team
3:58.0,,,15-21,,J. Nurkic misses free throw 2 of 2
3:58.0,O. Casspi enters the game for K. Towns,,15-21,,
3:58.0,,,15-21,,A. Aminu enters the game for N. Vonleh
3:58.0,K. Dunn enters the game for B. Rush,,15-21,,
3:57.0,Defensive rebound by G. Dieng,,15-21,,
3:50.0,R. Rubio misses 2-pt shot from 17 ft,,15-21,,
3:48.0,,,15-21,,Defensive rebound by A. Crabbe
3:43.0,Personal foul by R. Rubio (drawn by D. Lillard),,15-21,,
3:43.0,,,15-21,,E. Turner enters the game for M. Harkless
3:43.0,S. Muhammad enters the game for R. Rubio,,15-21,,
3:32.0,,,15-21,,A. Crabbe misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by O. Casspi,,15-21,,
3:17.0,,,15-21,,Personal foul by A. Crabbe (drawn by A. Wiggins)
3:17.0,,,15-21,,M. Leonard enters the game for J. Nurkic
3:02.0,K. Dunn misses 3-pt shot from 30 ft,,15-21,,
3:02.0,,,15-21,,Defensive rebound by A. Aminu
2:51.0,,,15-23,2,E. Turner makes 2-pt shot from 14 ft
2:35.0,Shooting foul by A. Crabbe (drawn by A. Wiggins),,15-23,,
2:35.0,Minnesota full timeout,,15-23,,
2:35.0,A. Wiggins makes free throw 1 of 2,1,16-23,,
2:35.0,A. Wiggins misses free throw 2 of 2,,16-23,,
2:35.0,,,15-23,,C. McCollum enters the game for D. Lillard
2:34.0,,,16-23,,Defensive rebound by A. Aminu
2:14.0,,,16-23,,M. Leonard misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by Team,,16-23,,
1:58.0,A. Wiggins misses 2-pt shot from 19 ft (block by A. Crabbe),,16-23,,
1:56.0,,,16-23,,Defensive rebound by C. McCollum
1:46.0,,,16-23,,A. Crabbe misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by K. Dunn,,16-23,,
1:39.0,K. Dunn makes 2-pt shot from 2 ft,2,18-23,,
1:14.0,,,18-25,2,A. Aminu makes 2-pt shot from 17 ft (assist by M. Leonard)
0:49.0,A. Wiggins makes 2-pt shot from 1 ft,2,20-25,,
0:38.0,,,20-25,,Shooting foul by K. Dunn
0:38.0,,,20-26,1,C. McCollum makes free throw 1 of 2
0:38.0,,,20-27,1,C. McCollum makes free throw 2 of 2
0:32.0,A. Wiggins misses 2-pt shot from 2 ft,,20-27,,
0:31.0,,,20-27,,Defensive rebound by Team
0:17.0,,,20-27,,Turnover by E. Turner (bad pass; steal by G. Dieng)
0:14.0,,,20-27,,Personal foul by M. Leonard (drawn by G. Dieng)
0:14.0,G. Dieng misses free throw 1 of 2,,20-27,,
0:14.0,Offensive rebound by Team,,20-27,,
0:14.0,G. Dieng makes free throw 2 of 2,1,21-27,,
0:01.0,,,21-27,,Turnover by C. McCollum (bad pass; steal by A. Wiggins)
0:00.0,G. Dieng misses 3-pt shot from 58 ft,,21-27,,
0:00.0,Offensive rebound by Team,,21-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,K. Towns misses 3-pt shot from 25 ft,,21-27,,
11:38.0,,,21-27,,Defensive rebound by E. Turner
11:23.0,,,21-29,2,E. Turner makes 2-pt shot from 6 ft
11:05.0,K. Dunn makes 2-pt shot from 22 ft (assist by O. Casspi),2,23-29,,
10:47.0,,,23-29,,A. Crabbe misses 2-pt shot from 20 ft
10:46.0,Defensive rebound by K. Dunn,,23-29,,
10:42.0,Shooting foul by A. Crabbe (drawn by T. Jones),,23-29,,
10:42.0,T. Jones misses free throw 1 of 2,,23-29,,
10:42.0,Offensive rebound by Team,,23-29,,
10:42.0,T. Jones makes free throw 2 of 2,1,24-29,,
10:42.0,,,23-29,,S. Napier enters the game for A. Crabbe
10:28.0,,,24-31,2,C. McCollum makes 2-pt shot from 19 ft (assist by E. Turner)
10:10.0,Shooting foul by A. Aminu (drawn by S. Muhammad),,24-31,,
10:10.0,S. Muhammad misses free throw 1 of 2,,24-31,,
10:10.0,Offensive rebound by Team,,24-31,,
10:10.0,S. Muhammad makes free throw 2 of 2,1,25-31,,
9:46.0,,,25-34,3,C. McCollum makes 3-pt shot from 24 ft
9:22.0,K. Dunn misses 2-pt shot from 3 ft,,25-34,,
9:22.0,Offensive rebound by K. Towns,,25-34,,
9:22.0,K. Towns makes 2-pt shot from 3 ft,2,27-34,,
9:22.0,Shooting foul by C. McCollum (drawn by K. Towns),,27-34,,
9:22.0,K. Towns makes free throw 1 of 1,1,28-34,,
9:07.0,,,28-36,2,C. McCollum makes 2-pt shot from 2 ft
8:53.0,K. Towns misses 2-pt shot from 7 ft,,28-36,,
8:53.0,,,28-36,,Defensive rebound by Team
8:53.0,Loose ball foul by K. Towns (drawn by M. Leonard),,28-36,,
8:53.0,Official timeout,,28-36,,
8:34.0,,,28-39,3,C. McCollum makes 3-pt shot from 26 ft
8:20.0,,,28-39,,Personal foul by M. Leonard (drawn by K. Towns)
8:08.0,K. Towns misses 2-pt shot from 7 ft,,28-39,,
8:08.0,Offensive rebound by Team,,28-39,,
8:08.0,,,28-39,,Loose ball foul by E. Turner (drawn by S. Muhammad)
8:08.0,S. Muhammad misses free throw 1 of 2,,28-39,,
8:08.0,Offensive rebound by Team,,28-39,,
8:08.0,S. Muhammad makes free throw 2 of 2,1,29-39,,
7:53.0,,,29-39,,C. McCollum misses 2-pt shot from 12 ft
7:52.0,,,29-39,,Offensive rebound by C. McCollum
7:43.0,,,29-41,2,E. Turner makes 2-pt shot at rim
7:37.0,Minnesota full timeout,,29-41,,
7:37.0,,,29-41,,D. Lillard enters the game for C. McCollum
7:37.0,G. Dieng enters the game for O. Casspi,,29-41,,
7:37.0,R. Rubio enters the game for K. Dunn,,29-41,,
7:37.0,A. Wiggins enters the game for S. Muhammad,,29-41,,
7:30.0,A. Wiggins misses 2-pt shot from 17 ft,,29-41,,
7:27.0,Offensive rebound by R. Rubio,,29-41,,
7:18.0,G. Dieng makes 2-pt shot from 14 ft (assist by R. Rubio),2,31-41,,
6:51.0,,,31-41,,D. Lillard misses 3-pt shot from 34 ft
6:50.0,Defensive rebound by K. Towns,,31-41,,
6:39.0,G. Dieng makes 2-pt shot at rim,2,33-41,,
6:20.0,,,33-41,,Turnover by E. Turner (bad pass; steal by G. Dieng)
6:15.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,35-41,,
6:15.0,,,35-41,,Portland full timeout
6:15.0,,,35-41,,M. Harkless enters the game for E. Turner
6:15.0,,,35-41,,N. Vonleh enters the game for M. Leonard
5:57.0,,,35-41,,Shooting foul by G. Dieng (drawn by N. Vonleh)
5:57.0,,,35-41,,N. Vonleh misses free throw 1 of 2
5:57.0,,,35-41,,Offensive rebound by Team
5:57.0,,,35-42,1,N. Vonleh makes free throw 2 of 2
5:57.0,,,35-41,,J. Nurkic enters the game for A. Aminu
5:43.0,K. Towns misses 2-pt shot from 2 ft,,35-42,,
5:42.0,,,35-42,,Defensive rebound by J. Nurkic
5:33.0,,,35-42,,D. Lillard misses 2-pt shot from 3 ft
5:31.0,Defensive rebound by K. Towns,,35-42,,
5:18.0,R. Rubio makes 2-pt shot from 1 ft,2,37-42,,
5:04.0,,,37-44,2,S. Napier makes 2-pt shot from 2 ft (assist by J. Nurkic)
4:45.0,K. Towns makes 2-pt shot from 3 ft (assist by T. Jones),2,39-44,,
4:28.0,,,39-44,,J. Nurkic misses 2-pt shot from 4 ft
4:26.0,Defensive rebound by R. Rubio,,39-44,,
4:25.0,,,39-44,,Personal foul by N. Vonleh (drawn by R. Rubio)
4:25.0,R. Rubio makes free throw 1 of 2,1,40-44,,
4:25.0,R. Rubio makes free throw 2 of 2,1,41-44,,
4:12.0,,,41-46,2,J. Nurkic makes 2-pt shot from 19 ft (assist by D. Lillard)
3:53.0,Shooting foul by N. Vonleh (drawn by K. Towns),,41-46,,
3:53.0,K. Towns misses free throw 1 of 2,,41-46,,
3:53.0,Offensive rebound by Team,,41-46,,
3:53.0,K. Towns makes free throw 2 of 2,1,42-46,,
3:53.0,,,41-46,,C. McCollum enters the game for S. Napier
3:53.0,,,41-46,,A. Aminu enters the game for N. Vonleh
3:40.0,,,42-49,3,C. McCollum makes 3-pt shot from 26 ft (assist by J. Nurkic)
3:25.0,,,42-49,,Violation by J. Nurkic (kicked ball)
3:25.0,K. Dunn enters the game for T. Jones,,42-49,,
3:11.0,Turnover by Team (shot clock),,42-49,,
3:03.0,Personal foul by K. Dunn,,42-49,,
2:59.0,Violation by K. Dunn (kicked ball),,42-49,,
2:51.0,,,42-51,2,A. Aminu makes 2-pt shot from 5 ft (assist by J. Nurkic)
2:31.0,A. Wiggins misses 2-pt shot from 11 ft,,42-51,,
2:30.0,,,42-51,,Defensive rebound by A. Aminu
2:26.0,,,42-53,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
2:18.0,Minnesota full timeout,,42-53,,
2:08.0,K. Dunn misses 2-pt shot from 15 ft,,42-53,,
2:08.0,,,42-53,,Defensive rebound by Team
1:53.0,,,42-56,3,D. Lillard makes 3-pt shot from 26 ft
1:34.0,G. Dieng misses 2-pt shot from 2 ft (block by J. Nurkic),,42-56,,
1:33.0,Offensive rebound by R. Rubio,,42-56,,
1:24.0,K. Dunn makes 2-pt shot from 21 ft (assist by R. Rubio),2,44-56,,
1:11.0,,,44-56,,J. Nurkic misses 2-pt shot from 2 ft (block by G. Dieng)
1:10.0,Defensive rebound by G. Dieng,,44-56,,
0:59.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,46-56,,
0:43.0,,,46-58,2,D. Lillard makes 2-pt shot from 2 ft
0:25.0,R. Rubio misses 2-pt shot from 5 ft,,46-58,,
0:24.0,,,46-58,,Defensive rebound by J. Nurkic
0:04.0,,,46-58,,J. Nurkic misses 2-pt shot from 4 ft
0:02.0,,,46-58,,Offensive rebound by J. Nurkic
0:02.0,,,46-60,2,J. Nurkic makes 2-pt shot from 4 ft
0:01.0,Turnover by K. Towns (bad pass; steal by A. Aminu),,46-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Wiggins misses 2-pt shot from 17 ft,,46-60,,
11:42.0,,,46-60,,Defensive rebound by N. Vonleh
11:32.0,,,46-60,,Shooting foul by R. Rubio (drawn by D. Lillard)
11:32.0,,,46-61,1,D. Lillard makes free throw 1 of 3
11:32.0,,,46-62,1,D. Lillard makes free throw 2 of 3
11:32.0,,,46-62,,D. Lillard misses free throw 3 of 3
11:31.0,Defensive rebound by G. Dieng,,46-62,,
11:17.0,,,46-62,,Def 3 sec tech foul by J. Nurkic
11:17.0,R. Rubio makes technical free throw,1,47-62,,
11:04.0,A. Wiggins makes 2-pt shot from 2 ft,2,49-62,,
10:47.0,,,49-65,3,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard)
10:19.0,B. Rush misses 2-pt shot from 15 ft,,49-65,,
10:17.0,,,49-65,,Defensive rebound by N. Vonleh
9:57.0,,,49-65,,J. Nurkic misses 2-pt shot from 20 ft
9:57.0,Defensive rebound by G. Dieng,,49-65,,
9:40.0,K. Towns makes 2-pt shot from 10 ft,2,51-65,,
9:23.0,,,51-67,2,C. McCollum makes 2-pt shot from 11 ft (assist by D. Lillard)
9:07.0,R. Rubio misses 2-pt shot from 18 ft,,51-67,,
9:05.0,,,51-67,,Defensive rebound by D. Lillard
9:02.0,,,51-69,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
9:02.0,Minnesota full timeout,,51-69,,
8:49.0,A. Wiggins makes 2-pt shot from 1 ft,2,53-69,,
8:33.0,,,53-69,,Turnover by D. Lillard (bad pass; steal by G. Dieng)
8:27.0,A. Wiggins makes 2-pt shot from 1 ft,2,55-69,,
8:11.0,,,55-71,2,J. Nurkic makes 2-pt shot from 6 ft (assist by C. McCollum)
7:49.0,A. Wiggins misses 2-pt shot from 14 ft,,55-71,,
7:47.0,,,55-71,,Defensive rebound by D. Lillard
7:37.0,,,55-71,,M. Harkless misses 3-pt shot from 23 ft
7:36.0,Defensive rebound by R. Rubio,,55-71,,
7:20.0,R. Rubio makes 3-pt shot from 29 ft (assist by G. Dieng),3,58-71,,
7:02.0,,,58-73,2,D. Lillard makes 2-pt shot from 10 ft (assist by C. McCollum)
6:46.0,Shooting foul by M. Harkless (drawn by G. Dieng),,58-73,,
6:46.0,G. Dieng makes free throw 1 of 2,1,59-73,,
6:46.0,G. Dieng makes free throw 2 of 2,1,60-73,,
6:29.0,,,60-73,,D. Lillard misses 3-pt shot from 29 ft
6:28.0,Defensive rebound by B. Rush,,60-73,,
6:20.0,Turnover by R. Rubio (bad pass; steal by C. McCollum),,60-73,,
6:14.0,,,60-75,2,C. McCollum makes 2-pt shot from 17 ft
5:56.0,G. Dieng misses 2-pt shot at rim,,60-75,,
5:55.0,,,60-75,,Defensive rebound by J. Nurkic
5:50.0,,,60-75,,Turnover by C. McCollum (bad pass)
5:36.0,G. Dieng makes 2-pt shot from 19 ft (assist by A. Wiggins),2,62-75,,
5:17.0,,,62-77,2,J. Nurkic makes 2-pt shot from 1 ft
5:01.0,Shooting foul by J. Nurkic (drawn by A. Wiggins),,62-77,,
5:01.0,A. Wiggins makes free throw 1 of 2,1,63-77,,
5:01.0,A. Wiggins misses free throw 2 of 2,,63-77,,
