time,Phoenix,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Nurkic (K. Faried gains possession),,,,Jump ball: T. Chandler vs. J. Nurkic (K. Faried gains possession)
11:39.0,,,0-0,,J. Nurkic misses 2-pt shot from 3 ft
11:37.0,,,0-0,,Offensive rebound by K. Faried
11:37.0,,,0-2,2,K. Faried makes 2-pt shot from 2 ft
11:24.0,D. Booker misses 2-pt shot from 15 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by K. Faried
11:17.0,,,0-4,2,K. Faried makes 2-pt shot from 2 ft (assist by J. Nurkic)
11:07.0,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe),2,2-4,,
10:49.0,,,2-4,,K. Faried misses 2-pt shot from 16 ft
10:48.0,,,2-4,,Offensive rebound by J. Nurkic
10:46.0,,,2-4,,Turnover by J. Nurkic (lost ball; steal by E. Bledsoe)
10:38.0,E. Bledsoe makes 2-pt shot from 12 ft,2,4-4,,
10:22.0,,,4-4,,D. Gallinari misses 2-pt shot from 10 ft
10:21.0,,,4-4,,Offensive rebound by J. Nurkic
10:11.0,Personal foul by D. Booker (drawn by J. Nurkic),,4-4,,
10:11.0,,,4-4,,Shooting foul by T. Warren (drawn by D. Gallinari)
10:11.0,,,4-5,1,D. Gallinari makes free throw 1 of 2
10:11.0,,,4-6,1,D. Gallinari makes free throw 2 of 2
10:02.0,Turnover by E. Bledsoe (lost ball; steal by K. Faried),,4-6,,
9:54.0,,,4-8,2,E. Mudiay makes 2-pt shot from 1 ft
9:36.0,D. Booker misses 2-pt shot from 12 ft,,4-8,,
9:35.0,,,4-8,,Defensive rebound by J. Nurkic
9:26.0,Personal foul by M. Chriss (drawn by J. Nelson),,4-8,,
9:12.0,,,4-10,2,J. Nelson makes 2-pt shot from 1 ft
9:08.0,Turnover by D. Booker (lost ball),,4-10,,
9:08.0,Phoenix full timeout,,4-10,,
8:55.0,Personal foul by T. Warren,,4-10,,
8:55.0,P. Tucker enters the game for T. Warren,,4-10,,
8:44.0,,,4-10,,D. Gallinari misses 2-pt shot from 2 ft (block by T. Chandler)
8:42.0,Defensive rebound by T. Chandler,,4-10,,
8:23.0,P. Tucker misses 3-pt shot from 24 ft,,4-10,,
8:23.0,,,4-10,,Defensive rebound by K. Faried
8:13.0,,,4-12,2,E. Mudiay makes 2-pt shot from 2 ft (assist by J. Nurkic)
7:53.0,Turnover by P. Tucker (lost ball; steal by K. Faried),,4-12,,
7:45.0,,,4-12,,J. Nelson misses 3-pt shot from 24 ft
7:44.0,,,4-12,,Offensive rebound by K. Faried
7:41.0,,,4-12,,Turnover by K. Faried (bad pass; steal by D. Booker)
7:41.0,,,4-12,,Personal foul by J. Nelson (drawn by E. Bledsoe)
7:37.0,J. Dudley enters the game for M. Chriss,,4-12,,
7:31.0,D. Booker misses 2-pt shot from 21 ft,,4-12,,
7:31.0,,,4-12,,Defensive rebound by K. Faried
7:21.0,,,4-12,,J. Nurkic misses 2-pt shot from 12 ft
7:20.0,Defensive rebound by D. Booker,,4-12,,
7:12.0,Turnover by D. Booker (bad pass; steal by E. Mudiay),,4-12,,
7:09.0,,,4-12,,Turnover by J. Nelson (bad pass; steal by E. Bledsoe)
7:08.0,Turnover by E. Bledsoe (bad pass),,4-12,,
7:08.0,A. Len enters the game for T. Chandler,,4-12,,
7:08.0,B. Knight enters the game for D. Booker,,4-12,,
6:55.0,,,4-12,,J. Nurkic misses 2-pt shot from 21 ft
6:54.0,,,4-12,,Offensive rebound by K. Faried
6:51.0,,,4-12,,K. Faried misses 2-pt shot from 2 ft
6:50.0,Defensive rebound by E. Bledsoe,,4-12,,
6:33.0,B. Knight makes 2-pt shot from 21 ft,2,6-12,,
6:21.0,,,6-12,,N. Jokic enters the game for J. Nurkic
6:13.0,,,6-15,3,D. Gallinari makes 3-pt shot from 23 ft (assist by E. Mudiay)
6:03.0,J. Dudley misses 3-pt shot from 25 ft,,6-15,,
6:02.0,,,6-15,,Defensive rebound by E. Mudiay
5:51.0,,,6-15,,N. Jokic misses 2-pt shot from 6 ft
5:49.0,Defensive rebound by A. Len,,6-15,,
5:42.0,Shooting foul by K. Faried (drawn by B. Knight),,6-15,,
5:42.0,B. Knight makes free throw 1 of 2,1,7-15,,
5:42.0,B. Knight makes free throw 2 of 2,1,8-15,,
5:42.0,,,7-15,,J. Murray enters the game for J. Nelson
5:42.0,,,7-15,,W. Chandler enters the game for K. Faried
5:30.0,Personal foul by P. Tucker (drawn by D. Gallinari),,8-15,,
5:30.0,,,8-16,1,D. Gallinari makes free throw 1 of 2
5:30.0,,,8-17,1,D. Gallinari makes free throw 2 of 2
5:12.0,E. Bledsoe misses 2-pt shot from 2 ft,,8-17,,
5:11.0,,,8-17,,Defensive rebound by N. Jokic
4:55.0,,,8-17,,W. Chandler misses 2-pt shot from 11 ft
4:54.0,Defensive rebound by P. Tucker,,8-17,,
4:44.0,B. Knight misses 2-pt shot from 9 ft,,8-17,,
4:43.0,,,8-17,,Defensive rebound by D. Gallinari
4:36.0,L. Barbosa enters the game for E. Bledsoe,,8-17,,
4:21.0,,,8-17,,D. Gallinari misses 2-pt shot from 22 ft
4:21.0,,,8-17,,Offensive rebound by Team
4:09.0,,,8-17,,E. Mudiay misses 2-pt shot from 2 ft
4:08.0,Defensive rebound by P. Tucker,,8-17,,
3:54.0,J. Dudley makes 2-pt shot from 3 ft,2,10-17,,
3:48.0,,,10-19,2,W. Chandler makes 2-pt shot from 19 ft (assist by N. Jokic)
3:26.0,A. Len misses 2-pt shot from 17 ft,,10-19,,
3:25.0,,,10-19,,Defensive rebound by E. Mudiay
3:17.0,,,10-21,2,W. Chandler makes 2-pt shot from 8 ft
3:17.0,,,10-21,,Shooting foul by A. Len (drawn by W. Chandler)
3:17.0,,,10-22,1,W. Chandler makes free throw 1 of 1
3:17.0,,,10-21,,J. Nelson enters the game for E. Mudiay
2:54.0,A. Len misses 2-pt shot from 5 ft,,10-22,,
2:51.0,,,10-22,,Defensive rebound by W. Chandler
2:45.0,,,10-25,3,J. Nelson makes 3-pt shot from 25 ft (assist by W. Chandler)
2:44.0,Phoenix full timeout,,10-25,,
2:44.0,,,10-25,,Denver full timeout
2:44.0,,,10-25,,J. Hernangomez enters the game for D. Gallinari
2:32.0,L. Barbosa makes 2-pt shot from 21 ft (assist by B. Knight),2,12-25,,
2:22.0,,,12-25,,W. Chandler misses 2-pt shot from 2 ft
2:21.0,Defensive rebound by Team,,12-25,,
2:12.0,,,12-25,,Personal foul by N. Jokic (drawn by A. Len)
2:03.0,A. Len makes 2-pt shot at rim (assist by B. Knight),2,14-25,,
1:49.0,,,14-25,,J. Murray misses 2-pt shot from 16 ft
1:46.0,Defensive rebound by A. Len,,14-25,,
1:40.0,B. Knight misses 2-pt shot from 17 ft,,14-25,,
1:39.0,,,14-25,,Defensive rebound by N. Jokic
1:29.0,,,14-25,,J. Nelson misses 3-pt shot from 26 ft
1:28.0,,,14-25,,Offensive rebound by W. Chandler
1:17.0,,,14-25,,W. Chandler misses 2-pt shot from 20 ft
1:14.0,Defensive rebound by J. Dudley,,14-25,,
0:59.0,B. Knight makes 3-pt shot from 26 ft (assist by P. Tucker),3,17-25,,
0:59.0,,,17-25,,Denver full timeout
0:46.0,Personal foul by A. Len (drawn by N. Jokic),,17-25,,
0:46.0,,,17-26,1,N. Jokic makes free throw 1 of 2
0:46.0,,,17-26,,N. Jokic misses free throw 2 of 2
0:45.0,Defensive rebound by P. Tucker,,17-26,,
0:29.0,L. Barbosa misses 2-pt shot from 14 ft,,17-26,,
0:28.0,,,17-26,,Defensive rebound by J. Hernangomez
0:10.0,,,17-28,2,J. Nelson makes 2-pt shot from 18 ft
0:05.0,Offensive foul by A. Len,,17-28,,
0:05.0,Turnover by A. Len (offensive foul),,17-28,,
0:05.0,D. Bender enters the game for A. Len,,17-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,B. Knight makes 2-pt shot from 19 ft (assist by L. Barbosa),2,19-28,,
11:22.0,,,19-31,3,J. Murray makes 3-pt shot from 25 ft (assist by J. Nelson)
11:07.0,D. Bender misses 3-pt shot from 24 ft,,19-31,,
11:06.0,,,19-31,,Defensive rebound by W. Chandler
11:02.0,,,19-33,2,N. Jokic makes 2-pt shot from 5 ft (assist by W. Chandler)
11:02.0,,,19-33,,Shooting foul by D. Bender (drawn by N. Jokic)
11:02.0,,,19-34,1,N. Jokic makes free throw 1 of 1
10:37.0,B. Knight makes 3-pt shot from 24 ft (assist by D. Bender),3,22-34,,
10:25.0,,,22-34,,Shooting foul by J. Dudley (drawn by N. Jokic)
10:25.0,,,22-35,1,N. Jokic makes free throw 1 of 2
10:25.0,,,22-36,1,N. Jokic makes free throw 2 of 2
10:25.0,T. Chandler enters the game for D. Bender,,22-35,,
10:08.0,B. Knight misses 3-pt shot from 25 ft,,22-36,,
10:07.0,,,22-36,,Defensive rebound by J. Hernangomez
9:55.0,,,22-36,,W. Chandler misses 2-pt shot from 2 ft
9:53.0,Defensive rebound by B. Knight,,22-36,,
9:47.0,L. Barbosa makes 2-pt shot from 20 ft (assist by B. Knight),2,24-36,,
