time,Orlando,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. N. Vucevic (S. Ibaka gains possession),,,,Jump ball: T. Thompson vs. N. Vucevic (S. Ibaka gains possession)
11:41.0,S. Ibaka makes 2-pt shot from 1 ft (assist by E. Payton),2,2-0,,
11:30.0,,,2-2,2,K. Love makes 2-pt shot from 12 ft (assist by L. James)
11:22.0,A. Gordon makes 3-pt shot from 23 ft (assist by E. Payton),3,5-2,,
10:59.0,,,5-2,,K. Irving misses 2-pt shot from 13 ft
10:57.0,Defensive rebound by E. Fournier,,5-2,,
10:46.0,S. Ibaka misses 2-pt shot from 14 ft,,5-2,,
10:46.0,,,5-2,,Defensive rebound by T. Thompson
10:38.0,,,5-5,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
10:26.0,Turnover by N. Vucevic (bad pass),,5-5,,
10:13.0,,,5-5,,J. Smith misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by Team,,5-5,,
10:13.0,,,5-5,,Loose ball foul by T. Thompson (drawn by N. Vucevic)
10:01.0,S. Ibaka makes 2-pt shot at rim (assist by E. Fournier),2,7-5,,
9:45.0,,,7-5,,K. Love misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by N. Vucevic,,7-5,,
9:39.0,Shooting foul by K. Irving (drawn by E. Payton),,7-5,,
9:39.0,E. Payton misses free throw 1 of 2,,7-5,,
9:39.0,Offensive rebound by Team,,7-5,,
9:39.0,E. Payton misses free throw 2 of 2,,7-5,,
9:39.0,,,7-5,,Defensive rebound by J. Smith
9:23.0,,,7-7,2,L. James makes 2-pt shot at rim
9:23.0,,,7-7,,Shooting foul by N. Vucevic (drawn by L. James)
9:23.0,,,7-8,1,L. James makes free throw 1 of 1
9:07.0,E. Payton misses 2-pt shot from 20 ft,,7-8,,
9:07.0,,,7-8,,Defensive rebound by T. Thompson
8:41.0,,,7-8,,K. Irving misses 2-pt shot from 9 ft
8:39.0,,,7-8,,Offensive rebound by K. Love
8:39.0,,,7-8,,K. Love misses 2-pt shot from 1 ft
8:38.0,,,7-8,,Offensive rebound by K. Love
8:38.0,,,7-10,2,K. Love makes 2-pt shot from 1 ft
8:25.0,A. Gordon misses 2-pt shot from 16 ft,,7-10,,
8:24.0,,,7-10,,Defensive rebound by Team
8:05.0,,,7-12,2,K. Love makes 2-pt shot from 8 ft (assist by L. James)
8:05.0,,,7-12,,Shooting foul by A. Gordon (drawn by K. Love)
8:05.0,,,7-13,1,K. Love makes free throw 1 of 1
7:49.0,E. Fournier makes 2-pt shot from 1 ft (assist by N. Vucevic),2,9-13,,
7:30.0,,,9-13,,K. Love misses 2-pt shot from 16 ft
7:29.0,,,9-13,,Offensive rebound by J. Smith
7:13.0,,,9-13,,T. Thompson misses 2-pt shot from 9 ft
7:11.0,Defensive rebound by E. Payton,,9-13,,
6:57.0,Offensive foul by S. Ibaka,,9-13,,
6:57.0,Turnover by S. Ibaka (offensive foul),,9-13,,
6:42.0,,,9-13,,K. Love misses 2-pt shot from 10 ft
6:41.0,,,9-13,,Offensive rebound by T. Thompson
6:39.0,,,9-13,,T. Thompson misses 2-pt shot from 2 ft (block by A. Gordon)
6:37.0,Defensive rebound by A. Gordon,,9-13,,
6:32.0,N. Vucevic misses 2-pt shot at rim,,9-13,,
6:31.0,,,9-13,,Defensive rebound by K. Love
6:24.0,,,9-13,,J. Smith misses 3-pt shot from 26 ft
6:23.0,,,9-13,,Offensive rebound by T. Thompson
6:16.0,,,9-13,,K. Love misses 3-pt shot from 23 ft
6:12.0,,,9-13,,Offensive rebound by J. Smith
6:12.0,,,9-15,2,J. Smith makes 2-pt shot at rim
6:12.0,Orlando full timeout,,9-15,,
6:12.0,Violation by Team (jump ball),,9-15,,
5:53.0,E. Fournier makes 2-pt shot from 22 ft,2,11-15,,
5:33.0,,,11-17,2,K. Irving makes 2-pt shot from 17 ft (assist by T. Thompson)
5:11.0,Shooting foul by J. Smith (drawn by S. Ibaka),,11-17,,
5:11.0,S. Ibaka makes 2-pt shot from 1 ft (assist by E. Fournier),2,13-17,,
5:11.0,S. Ibaka misses free throw 1 of 1,,13-17,,
5:11.0,,,13-17,,Defensive rebound by K. Irving
4:57.0,,,13-19,2,K. Irving makes 2-pt shot from 19 ft
4:42.0,E. Payton makes 2-pt shot from 6 ft,2,15-19,,
4:25.0,,,15-19,,Turnover by L. James (lost ball; steal by A. Gordon)
4:19.0,E. Fournier misses 2-pt shot from 2 ft,,15-19,,
4:18.0,Offensive rebound by S. Ibaka,,15-19,,
4:17.0,S. Ibaka misses 2-pt shot from 3 ft (block by K. Irving),,15-19,,
4:17.0,Offensive rebound by Team,,15-19,,
4:17.0,,,15-19,,I. Shumpert enters the game for K. Irving
