time,Atlanta,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Koufos (B. McLemore gains possession),,,,Jump ball: D. Howard vs. K. Koufos (B. McLemore gains possession)
11:41.0,,,0-0,,D. Collison misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by K. Bazemore,,0-0,,
11:24.0,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder),3,3-0,,
11:08.0,,,3-0,,Turnover by B. McLemore (lost ball)
10:52.0,Turnover by K. Bazemore (bad pass; steal by D. Cousins),,3-0,,
10:47.0,,,3-0,,Turnover by D. Cousins (lost ball; steal by P. Millsap)
10:34.0,Shooting foul by A. Afflalo (drawn by K. Bazemore),,3-0,,
10:34.0,K. Bazemore misses free throw 1 of 2,,3-0,,
10:34.0,Offensive rebound by Team,,3-0,,
10:34.0,K. Bazemore makes free throw 2 of 2,1,4-0,,
10:20.0,,,4-2,2,D. Cousins makes 2-pt shot from 20 ft (assist by B. McLemore)
10:08.0,D. Schroder misses 3-pt shot from 26 ft,,4-2,,
10:07.0,,,4-2,,Defensive rebound by K. Koufos
9:51.0,,,4-2,,K. Koufos misses 2-pt shot from 10 ft
9:50.0,Defensive rebound by P. Millsap,,4-2,,
9:35.0,,,4-2,,Personal foul by K. Koufos (drawn by D. Schroder)
9:32.0,D. Schroder misses 2-pt shot from 18 ft,,4-2,,
9:30.0,,,4-2,,Defensive rebound by B. McLemore
9:17.0,,,4-2,,A. Afflalo misses 2-pt shot from 12 ft
9:16.0,Defensive rebound by D. Howard,,4-2,,
9:00.0,Turnover by P. Millsap (bad pass; steal by K. Koufos),,4-2,,
8:50.0,,,4-2,,Turnover by D. Cousins (lost ball)
8:40.0,Turnover by D. Schroder (bad pass; steal by B. McLemore),,4-2,,
8:28.0,,,4-2,,D. Cousins misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by Team,,4-2,,
8:16.0,D. Howard makes 2-pt shot at rim (assist by T. Hardaway),2,6-2,,
7:56.0,,,6-2,,A. Afflalo misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by D. Schroder,,6-2,,
7:47.0,K. Bazemore misses 2-pt shot from 4 ft (block by D. Cousins),,6-2,,
7:45.0,,,6-2,,Defensive rebound by B. McLemore
7:33.0,,,6-2,,K. Koufos misses 2-pt shot from 10 ft
7:32.0,Defensive rebound by P. Millsap,,6-2,,
7:20.0,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder),3,9-2,,
7:01.0,,,9-2,,Shooting foul by D. Schroder (drawn by D. Collison)
7:01.0,,,9-3,1,D. Collison makes free throw 1 of 2
7:01.0,,,9-4,1,D. Collison makes free throw 2 of 2
6:48.0,Turnover by D. Schroder (traveling),,9-4,,
