time,Brooklyn,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Kaminsky vs. B. Lopez (S. Dinwiddie gains possession),,,,Jump ball: F. Kaminsky vs. B. Lopez (S. Dinwiddie gains possession)
11:49.0,Turnover by B. Bogdanovic (traveling),,0-0,,
11:38.0,,,0-0,,F. Kaminsky misses 2-pt shot from 19 ft
11:37.0,Defensive rebound by R. Hollis-Jefferson,,0-0,,
11:26.0,R. Foye misses 3-pt shot from 25 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by K. Walker
11:17.0,,,0-0,,K. Walker misses 2-pt shot from 1 ft (block by B. Lopez)
11:15.0,Defensive rebound by B. Lopez,,0-0,,
11:05.0,Turnover by R. Foye (bad pass),,0-0,,
10:53.0,,,0-0,,Turnover by N. Batum (bad pass; steal by S. Dinwiddie)
10:48.0,S. Dinwiddie makes 2-pt shot at rim,2,2-0,,
10:27.0,,,2-2,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by F. Kaminsky)
10:13.0,B. Bogdanovic makes 2-pt shot at rim (assist by B. Lopez),2,4-2,,
9:56.0,,,4-4,2,M. Williams makes 2-pt shot from 8 ft
9:46.0,,,4-4,,Personal foul by F. Kaminsky (drawn by B. Lopez)
9:35.0,R. Foye misses 2-pt shot from 21 ft,,4-4,,
9:34.0,,,4-4,,Defensive rebound by N. Batum
9:21.0,,,4-6,2,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by K. Walker)
9:06.0,S. Dinwiddie misses 2-pt shot from 5 ft (block by M. Williams),,4-6,,
9:04.0,,,4-6,,Defensive rebound by F. Kaminsky
8:55.0,,,4-6,,F. Kaminsky misses 3-pt shot from 28 ft
8:55.0,Defensive rebound by R. Foye,,4-6,,
8:43.0,B. Lopez misses 2-pt shot from 18 ft,,4-6,,
8:42.0,,,4-6,,Defensive rebound by K. Walker
8:34.0,,,4-6,,K. Walker misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson)
8:34.0,,,4-6,,Offensive rebound by Team
8:29.0,,,4-6,,M. Williams misses 2-pt shot from 19 ft
8:28.0,Defensive rebound by B. Bogdanovic,,4-6,,
8:15.0,B. Lopez misses 2-pt shot from 14 ft,,4-6,,
8:14.0,,,4-6,,Defensive rebound by M. Williams
8:05.0,,,4-6,,N. Batum misses 2-pt shot from 17 ft
8:04.0,Defensive rebound by R. Foye,,4-6,,
7:59.0,B. Bogdanovic misses 3-pt shot from 27 ft,,4-6,,
7:56.0,,,4-6,,Defensive rebound by F. Kaminsky
7:49.0,,,4-6,,F. Kaminsky misses 3-pt shot from 27 ft
7:48.0,Defensive rebound by R. Foye,,4-6,,
7:26.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft,,4-6,,
7:24.0,,,4-6,,Defensive rebound by F. Kaminsky
7:19.0,,,4-6,,N. Batum misses 2-pt shot from 1 ft
7:17.0,,,4-6,,Offensive rebound by F. Kaminsky
7:12.0,,,4-9,3,K. Walker makes 3-pt shot from 26 ft (assist by F. Kaminsky)
6:50.0,B. Lopez misses 2-pt shot from 9 ft,,4-9,,
6:49.0,,,4-9,,Defensive rebound by M. Williams
6:39.0,,,4-9,,F. Kaminsky misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by B. Lopez,,4-9,,
6:21.0,B. Lopez misses 3-pt shot from 26 ft,,4-9,,
6:20.0,,,4-9,,Defensive rebound by M. Williams
6:08.0,,,4-11,2,F. Kaminsky makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist)
6:07.0,Brooklyn full timeout,,4-11,,
6:07.0,J. Harris enters the game for B. Bogdanovic,,4-11,,
6:07.0,T. Booker enters the game for R. Hollis-Jefferson,,4-11,,
6:07.0,I. Whitehead enters the game for S. Dinwiddie,,4-11,,
6:07.0,,,4-11,,J. Lamb enters the game for M. Williams
5:54.0,Turnover by B. Lopez (bad pass),,4-11,,
5:44.0,,,4-11,,K. Walker misses 2-pt shot from 3 ft (block by B. Lopez)
5:44.0,,,4-11,,Offensive rebound by Team
5:36.0,,,4-11,,K. Walker misses 2-pt shot from 10 ft
5:35.0,,,4-11,,Offensive rebound by N. Batum
5:29.0,,,4-14,3,N. Batum makes 3-pt shot from 24 ft (assist by F. Kaminsky)
5:06.0,I. Whitehead misses 2-pt shot from 1 ft (block by J. Lamb),,4-14,,
5:06.0,Offensive rebound by Team,,4-14,,
5:06.0,J. Hamilton enters the game for B. Lopez,,4-14,,
5:06.0,S. Kilpatrick enters the game for R. Foye,,4-14,,
5:03.0,J. Hamilton misses 3-pt shot from 27 ft,,4-14,,
5:03.0,Offensive rebound by Team,,4-14,,
5:03.0,Turnover by Team (shot clock),,4-14,,
4:51.0,,,4-14,,N. Batum misses 3-pt shot from 26 ft
