time,Atlanta,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. T. Maker (D. Schroder gains possession),,,,Jump ball: D. Howard vs. T. Maker (D. Schroder gains possession)
11:42.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,2-0,,
11:24.0,,,2-0,,Turnover by K. Middleton (bad pass; steal by E. Ilyasova)
11:17.0,D. Schroder misses 2-pt shot from 1 ft,,2-0,,
11:15.0,,,2-0,,Defensive rebound by G. Antetokounmpo
11:13.0,,,2-0,,Offensive foul by T. Maker
11:13.0,,,2-0,,Turnover by T. Maker (offensive foul)
11:01.0,Turnover by T. Sefolosha (bad pass; steal by T. Snell),,2-0,,
10:55.0,,,2-2,2,T. Maker makes 2-pt shot at rim (assist by T. Snell)
10:38.0,D. Howard misses 2-pt shot from 1 ft (block by T. Maker),,2-2,,
10:38.0,Offensive rebound by Team,,2-2,,
10:35.0,D. Schroder makes 2-pt shot from 12 ft (assist by T. Hardaway),2,4-2,,
10:07.0,,,4-5,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by M. Brogdon)
9:56.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,6-5,,
9:40.0,,,6-7,2,T. Snell makes 2-pt shot from 16 ft (assist by G. Antetokounmpo)
9:26.0,T. Hardaway makes 3-pt shot from 30 ft (assist by D. Schroder),3,9-7,,
9:26.0,Loose ball foul by D. Howard (drawn by T. Maker),,9-7,,
9:15.0,,,9-9,2,G. Antetokounmpo makes 2-pt shot from 19 ft
9:00.0,T. Hardaway misses 3-pt shot from 30 ft,,9-9,,
8:58.0,,,9-9,,Defensive rebound by G. Antetokounmpo
8:51.0,,,9-9,,G. Antetokounmpo misses 2-pt shot at rim
8:51.0,Defensive rebound by D. Schroder,,9-9,,
8:51.0,,,9-9,,Personal foul by G. Antetokounmpo (drawn by D. Schroder)
8:37.0,Turnover by D. Howard (3 sec),,9-9,,
8:26.0,,,9-11,2,G. Antetokounmpo makes 2-pt shot from 2 ft
8:09.0,D. Schroder misses 3-pt shot from 25 ft,,9-11,,
8:09.0,Offensive rebound by Team,,9-11,,
8:09.0,,,9-11,,Loose ball foul by K. Middleton (drawn by D. Howard)
8:00.0,Shooting foul by K. Middleton (drawn by T. Sefolosha),,9-11,,
8:00.0,T. Sefolosha makes free throw 1 of 2,1,10-11,,
8:00.0,T. Sefolosha misses free throw 2 of 2,,10-11,,
7:54.0,,,10-11,,Defensive rebound by G. Antetokounmpo
7:45.0,,,10-11,,K. Middleton misses 2-pt shot at rim
7:43.0,Defensive rebound by T. Sefolosha,,10-11,,
7:23.0,D. Howard makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,12-11,,
7:09.0,,,12-14,3,T. Snell makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
6:49.0,E. Ilyasova makes 2-pt shot at rim,2,14-14,,
6:36.0,,,14-14,,K. Middleton misses 2-pt shot from 17 ft
6:35.0,Defensive rebound by D. Howard,,14-14,,
