time,Portland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. N. Vonleh (D. Exum gains possession),,,,Jump ball: R. Gobert vs. N. Vonleh (D. Exum gains possession)
11:48.0,,,0-0,,Turnover by D. Exum (bad pass; steal by A. Aminu)
11:33.0,D. Lillard misses 2-pt shot from 19 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by B. Diaw
11:09.0,,,0-0,,B. Diaw misses 2-pt shot from 6 ft
11:09.0,Defensive rebound by A. Aminu,,0-0,,
10:57.0,D. Lillard misses 2-pt shot from 10 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by R. Gobert
10:42.0,,,0-2,2,R. Gobert makes 2-pt shot from 5 ft (assist by B. Diaw)
10:21.0,C. McCollum misses 3-pt shot from 24 ft,,0-2,,
10:21.0,,,0-2,,Defensive rebound by R. Gobert
9:57.0,,,0-2,,G. Hayward misses 3-pt shot from 38 ft
9:56.0,,,0-2,,Offensive rebound by Team
9:56.0,,,0-2,,Turnover by Team (shot clock)
9:43.0,Turnover by N. Vonleh (offensive foul),,0-2,,
9:43.0,Offensive foul by N. Vonleh,,0-2,,
9:32.0,,,0-5,3,G. Hayward makes 3-pt shot from 26 ft (assist by B. Diaw)
9:08.0,A. Aminu misses 3-pt shot from 24 ft,,0-5,,
9:08.0,,,0-5,,Defensive rebound by J. Ingles
8:57.0,,,0-5,,Shooting foul by N. Vonleh (drawn by R. Gobert)
8:57.0,,,0-6,1,R. Gobert makes free throw 1 of 2
8:57.0,,,0-7,1,R. Gobert makes free throw 2 of 2
8:57.0,M. Leonard enters the game for N. Vonleh,,0-6,,
8:32.0,C. McCollum misses 3-pt shot from 23 ft,,0-7,,
8:32.0,,,0-7,,Defensive rebound by R. Gobert
8:22.0,,,0-9,2,J. Ingles makes 2-pt shot from 3 ft
8:22.0,Portland full timeout,,0-9,,
8:08.0,C. McCollum misses 2-pt shot from 17 ft (block by J. Ingles),,0-9,,
8:07.0,Offensive rebound by C. McCollum,,0-9,,
8:06.0,C. McCollum misses 2-pt shot from 5 ft (block by R. Gobert),,0-9,,
8:04.0,,,0-9,,Defensive rebound by B. Diaw
7:47.0,,,0-11,2,R. Gobert makes 2-pt shot from 1 ft (assist by B. Diaw)
7:24.0,A. Aminu makes 2-pt shot from 4 ft,2,2-11,,
