time,Dallas,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Mejri vs. M. Plumlee (M. Harkless gains possession),,,,Jump ball: S. Mejri vs. M. Plumlee (M. Harkless gains possession)
11:40.0,,,0-2,2,M. Plumlee makes 2-pt shot from 11 ft (assist by D. Lillard)
11:23.0,,,0-2,,Def 3 sec tech foul by M. Plumlee
11:23.0,W. Matthews misses technical free throw,,0-2,,
11:23.0,Offensive rebound by Team,,0-2,,
11:16.0,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews),3,3-2,,
10:59.0,,,3-2,,Turnover by D. Lillard (bad pass; steal by W. Matthews)
10:39.0,W. Matthews makes 2-pt shot from 1 ft (assist by D. Williams),2,5-2,,
10:24.0,,,5-2,,M. Harkless misses 3-pt shot from 23 ft
10:23.0,Defensive rebound by W. Matthews,,5-2,,
10:05.0,D. Williams misses 2-pt shot from 23 ft,,5-2,,
10:04.0,,,5-2,,Defensive rebound by M. Plumlee
9:55.0,,,5-2,,D. Lillard misses 2-pt shot at rim (block by S. Mejri)
9:55.0,Defensive rebound by Team,,5-2,,
9:41.0,H. Barnes makes 2-pt shot from 19 ft (assist by D. Williams),2,7-2,,
9:20.0,,,7-2,,C. McCollum misses 2-pt shot from 19 ft
9:20.0,Defensive rebound by D. Finney-Smith,,7-2,,
9:08.0,D. Finney-Smith misses 3-pt shot from 25 ft,,7-2,,
9:07.0,Offensive rebound by S. Mejri,,7-2,,
9:05.0,D. Williams makes 2-pt shot from 22 ft (assist by S. Mejri),2,9-2,,
9:05.0,,,9-2,,Portland full timeout
8:45.0,,,9-2,,M. Harkless misses 2-pt shot from 4 ft
8:45.0,,,9-2,,Offensive rebound by M. Harkless
8:44.0,,,9-4,2,M. Harkless makes 2-pt shot from 1 ft
8:28.0,W. Matthews misses 3-pt shot from 25 ft,,9-4,,
8:26.0,,,9-4,,Defensive rebound by M. Plumlee
8:16.0,,,9-4,,Turnover by D. Lillard (bad pass)
8:02.0,H. Barnes misses 2-pt shot from 18 ft,,9-4,,
8:01.0,,,9-4,,Defensive rebound by M. Harkless
7:54.0,,,9-7,3,D. Lillard makes 3-pt shot from 30 ft
7:33.0,H. Barnes makes 2-pt shot from 8 ft (assist by D. Williams),2,11-7,,
7:22.0,,,11-7,,Shooting foul by W. Matthews (drawn by C. McCollum)
7:22.0,Technical foul by W. Matthews (drawn by C. McCollum),,11-7,,
7:22.0,,,11-8,1,C. McCollum makes technical free throw
7:22.0,,,11-9,1,C. McCollum makes free throw 1 of 2
7:22.0,,,11-10,1,C. McCollum makes free throw 2 of 2
7:04.0,H. Barnes makes 2-pt shot from 6 ft,2,13-10,,
6:50.0,,,13-10,,C. McCollum misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by S. Mejri,,13-10,,
