time,Cleveland,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. T. Thompson (T. Booker gains possession),,,,Jump ball: B. Lopez vs. T. Thompson (T. Booker gains possession)
11:48.0,,,0-0,,B. Lopez misses 2-pt shot from 13 ft
11:47.0,Defensive rebound by K. Love,,0-0,,
11:27.0,K. Love misses 2-pt shot from 17 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by S. Dinwiddie
11:19.0,,,0-2,2,B. Lopez makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
11:03.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,3-2,,
10:52.0,,,3-2,,J. Harris misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by L. James,,3-2,,
10:38.0,D. Liggins misses 3-pt shot from 24 ft,,3-2,,
10:37.0,,,3-2,,Defensive rebound by S. Dinwiddie
10:22.0,,,3-2,,J. Harris misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by L. James,,3-2,,
10:08.0,K. Love misses 2-pt shot from 5 ft,,3-2,,
10:07.0,,,3-2,,Defensive rebound by S. Dinwiddie
9:57.0,,,3-2,,B. Bogdanovic misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by K. Love,,3-2,,
9:55.0,,,3-2,,Personal foul by B. Bogdanovic (drawn by L. James)
9:44.0,K. Love misses 3-pt shot from 23 ft,,3-2,,
9:43.0,,,3-2,,Defensive rebound by B. Bogdanovic
9:40.0,,,3-4,2,T. Booker makes 2-pt shot at rim (assist by B. Bogdanovic)
9:29.0,Turnover by L. James (bad pass; steal by B. Bogdanovic),,3-4,,
9:25.0,,,3-6,2,B. Bogdanovic makes 2-pt shot from 2 ft
9:24.0,Cleveland full timeout,,3-6,,
9:08.0,T. Thompson makes 2-pt shot from 4 ft (assist by K. Irving),2,5-6,,
8:50.0,,,5-9,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
8:30.0,K. Irving misses 3-pt shot from 24 ft,,5-9,,
8:29.0,Offensive rebound by K. Love,,5-9,,
8:17.0,,,5-9,,Personal foul by S. Dinwiddie (drawn by T. Thompson)
8:10.0,L. James makes 2-pt shot from 16 ft,2,7-9,,
7:48.0,,,7-9,,B. Lopez misses 2-pt shot from 9 ft
7:47.0,Defensive rebound by T. Thompson,,7-9,,
7:28.0,K. Love misses 2-pt shot from 5 ft,,7-9,,
7:26.0,,,7-9,,Defensive rebound by T. Booker
7:10.0,,,7-9,,B. Bogdanovic misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by L. James,,7-9,,
7:07.0,,,7-9,,Personal foul by S. Dinwiddie (drawn by T. Thompson)
7:07.0,T. Thompson misses free throw 1 of 2,,7-9,,
7:07.0,Offensive rebound by Team,,7-9,,
7:07.0,T. Thompson misses free throw 2 of 2,,7-9,,
7:07.0,,,7-9,,J. Hamilton enters the game for B. Lopez
7:07.0,,,7-9,,S. Kilpatrick enters the game for J. Harris
7:06.0,,,7-9,,Defensive rebound by T. Booker
6:56.0,,,7-9,,S. Kilpatrick misses 2-pt shot from 12 ft
6:54.0,Defensive rebound by T. Thompson,,7-9,,
6:49.0,K. Irving misses 2-pt shot from 1 ft,,7-9,,
6:48.0,,,7-9,,Defensive rebound by T. Booker
6:42.0,,,7-9,,Turnover by T. Booker (bad pass; steal by L. James)
6:31.0,L. James misses 2-pt shot from 2 ft (block by J. Hamilton),,7-9,,
6:29.0,,,7-9,,Defensive rebound by T. Booker
6:23.0,,,7-11,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Booker)
6:09.0,K. Irving makes 2-pt shot from 16 ft,2,9-11,,
6:09.0,Shooting foul by S. Dinwiddie (drawn by K. Irving),,9-11,,
6:09.0,K. Irving makes free throw 1 of 1,1,10-11,,
6:09.0,,,9-11,,I. Whitehead enters the game for S. Dinwiddie
5:56.0,,,10-11,,Turnover by B. Bogdanovic (bad pass; steal by T. Thompson)
5:40.0,L. James makes 2-pt shot from 16 ft,2,12-11,,
5:28.0,,,12-11,,I. Whitehead misses 2-pt shot from 13 ft
5:26.0,Defensive rebound by L. James,,12-11,,
5:20.0,D. Liggins misses 3-pt shot from 23 ft,,12-11,,
5:19.0,Offensive rebound by Team,,12-11,,
5:19.0,,,12-11,,Loose ball foul by I. Whitehead (drawn by L. James)
5:19.0,L. James misses free throw 1 of 2,,12-11,,
5:19.0,Offensive rebound by Team,,12-11,,
5:19.0,L. James makes free throw 2 of 2,1,13-11,,
5:19.0,,,12-11,,C. LeVert enters the game for B. Bogdanovic
5:19.0,I. Shumpert enters the game for D. Liggins,,12-11,,
5:06.0,,,13-14,3,J. Hamilton makes 3-pt shot from 23 ft (assist by C. LeVert)
4:56.0,K. Irving misses 2-pt shot from 2 ft,,13-14,,
4:55.0,,,13-14,,Defensive rebound by I. Whitehead
4:50.0,,,13-16,2,C. LeVert makes 2-pt shot from 14 ft (assist by I. Whitehead)
4:29.0,Turnover by L. James (bad pass),,13-16,,
4:23.0,,,13-16,,Turnover by I. Whitehead (lost ball; steal by K. Irving)
4:19.0,K. Irving misses 2-pt shot from 2 ft,,13-16,,
4:17.0,Offensive rebound by T. Thompson,,13-16,,
4:16.0,Shooting foul by J. Hamilton (drawn by T. Thompson),,13-16,,
4:16.0,T. Thompson misses free throw 1 of 2,,13-16,,
4:16.0,Offensive rebound by Team,,13-16,,
4:16.0,T. Thompson misses free throw 2 of 2,,13-16,,
4:16.0,,,13-16,,R. Hollis-Jefferson enters the game for T. Booker
4:16.0,K. Felder enters the game for K. Irving,,13-16,,
4:15.0,,,13-16,,Defensive rebound by J. Hamilton
4:03.0,,,13-16,,I. Whitehead misses 2-pt shot from 6 ft
4:02.0,Defensive rebound by K. Felder,,13-16,,
3:54.0,L. James makes 2-pt shot from 20 ft,2,15-16,,
3:36.0,,,15-16,,J. Hamilton misses 2-pt shot from 9 ft
3:34.0,Defensive rebound by K. Love,,15-16,,
3:27.0,C. Frye enters the game for K. Love,,15-16,,
3:26.0,Jump ball: L. James vs. C. LeVert (I. Shumpert gains possession),,,,Jump ball: L. James vs. C. LeVert (I. Shumpert gains possession)
3:10.0,L. James misses 2-pt shot from 19 ft,,15-16,,
3:09.0,,,15-16,,Defensive rebound by S. Kilpatrick
2:58.0,,,15-16,,R. Hollis-Jefferson misses 2-pt shot from 4 ft
2:57.0,,,15-16,,Offensive rebound by J. Hamilton
2:56.0,,,15-16,,J. Hamilton misses 2-pt shot from 4 ft (block by T. Thompson)
2:54.0,,,15-16,,Offensive rebound by J. Hamilton
2:52.0,,,15-18,2,J. Hamilton makes 2-pt shot from 4 ft
2:52.0,,,15-18,,Violation by Team (jump ball)
2:37.0,K. Felder misses 3-pt shot from 24 ft,,15-18,,
2:36.0,Offensive rebound by T. Thompson,,15-18,,
2:26.0,C. Frye makes 3-pt shot from 27 ft (assist by I. Shumpert),3,18-18,,
2:19.0,,,18-18,,I. Whitehead misses 2-pt shot from 2 ft
2:18.0,Defensive rebound by C. Frye,,18-18,,
2:08.0,T. Thompson makes 2-pt shot from 3 ft,2,20-18,,
2:08.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Thompson),,20-18,,
2:08.0,,,20-18,,Brooklyn full timeout
2:08.0,T. Thompson misses free throw 1 of 1,,20-18,,
2:08.0,,,20-18,,B. Lopez enters the game for J. Hamilton
2:07.0,,,20-18,,Defensive rebound by R. Hollis-Jefferson
1:49.0,,,20-18,,C. LeVert misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by C. Frye,,20-18,,
1:37.0,L. James makes 2-pt shot from 2 ft,2,22-18,,
1:20.0,,,22-20,2,S. Kilpatrick makes 2-pt shot from 1 ft (assist by I. Whitehead)
1:03.0,L. James makes 2-pt shot from 5 ft,2,24-20,,
0:52.0,,,24-20,,Turnover by B. Lopez (lost ball; steal by C. Frye)
0:41.0,C. Frye misses 3-pt shot from 25 ft,,24-20,,
0:40.0,,,24-20,,Defensive rebound by I. Whitehead
0:34.0,Violation by I. Shumpert (kicked ball),,24-20,,
0:34.0,R. Jefferson enters the game for L. James,,24-20,,
0:22.0,,,24-20,,C. LeVert misses 3-pt shot from 23 ft
0:20.0,Defensive rebound by C. Frye,,24-20,,
0:03.0,K. Felder misses 2-pt shot from 5 ft,,24-20,,
0:01.0,,,24-20,,Defensive rebound by B. Lopez
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,24-20,,Personal foul by C. LeVert (drawn by K. Irving)
11:39.0,K. Love misses 3-pt shot from 24 ft,,24-20,,
11:38.0,,,24-20,,Defensive rebound by I. Whitehead
11:30.0,,,24-20,,Turnover by B. Lopez (lost ball)
11:16.0,C. Frye makes 2-pt shot from 8 ft (assist by K. Irving),2,26-20,,
11:06.0,,,26-22,2,B. Bogdanovic makes 2-pt shot from 3 ft
10:50.0,K. Irving misses 2-pt shot from 6 ft,,26-22,,
10:49.0,Offensive rebound by K. Love,,26-22,,
10:48.0,K. Love misses 2-pt shot from 2 ft,,26-22,,
10:47.0,,,26-22,,Defensive rebound by C. LeVert
10:37.0,,,26-22,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
10:36.0,Defensive rebound by K. Love,,26-22,,
10:29.0,K. Irving misses 2-pt shot from 2 ft,,26-22,,
10:27.0,,,26-22,,Defensive rebound by R. Hollis-Jefferson
10:23.0,,,26-22,,Shooting foul by I. Shumpert (drawn by R. Hollis-Jefferson)
10:23.0,,,26-23,1,R. Hollis-Jefferson makes free throw 1 of 2
10:23.0,,,26-24,1,R. Hollis-Jefferson makes free throw 2 of 2
10:23.0,,,26-23,,J. Hamilton enters the game for B. Lopez
10:10.0,,,26-24,,Personal foul by R. Hollis-Jefferson (drawn by K. Love)
10:00.0,Turnover by K. Love (lost ball; steal by R. Hollis-Jefferson),,26-24,,
9:57.0,,,26-24,,Turnover by I. Whitehead (bad pass)
9:53.0,,,26-24,,Personal foul by R. Hollis-Jefferson (drawn by K. Love)
9:53.0,,,26-24,,T. Booker enters the game for R. Hollis-Jefferson
9:43.0,I. Shumpert makes 2-pt shot from 19 ft,2,28-24,,
9:19.0,,,28-24,,J. Hamilton misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by I. Shumpert,,28-24,,
9:06.0,Turnover by K. Love (lost ball; steal by J. Hamilton),,28-24,,
8:51.0,,,28-24,,Turnover by J. Hamilton (lost ball; steal by C. Frye)
8:41.0,R. Jefferson misses 3-pt shot from 22 ft,,28-24,,
8:40.0,,,28-24,,Defensive rebound by T. Booker
8:32.0,,,28-26,2,J. Hamilton makes 2-pt shot from 12 ft (assist by T. Booker)
8:16.0,K. Irving misses 2-pt shot from 2 ft,,28-26,,
8:15.0,,,28-26,,Defensive rebound by T. Booker
8:03.0,,,28-26,,Shooting foul by C. Frye (drawn by C. LeVert)
8:03.0,Official timeout,,28-26,,
8:03.0,,,28-27,1,C. LeVert makes free throw 1 of 2
8:03.0,,,28-28,1,C. LeVert makes free throw 2 of 2
7:47.0,C. Frye misses 2-pt shot from 13 ft,,28-28,,
7:47.0,Offensive rebound by Team,,28-28,,
7:47.0,,,28-28,,Loose ball foul by T. Booker (drawn by K. Love)
7:44.0,,,28-28,,J. Harris enters the game for C. LeVert
7:39.0,K. Irving makes 2-pt shot from 20 ft,2,30-28,,
7:30.0,,,30-30,2,B. Bogdanovic makes 2-pt shot from 10 ft
7:18.0,K. Irving misses 3-pt shot from 25 ft,,30-30,,
7:17.0,,,30-30,,Defensive rebound by T. Booker
7:12.0,T. Thompson enters the game for K. Love,,30-30,,
7:04.0,,,30-30,,I. Whitehead misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by R. Jefferson,,30-30,,
6:55.0,I. Shumpert makes 2-pt shot from 18 ft,2,32-30,,
6:39.0,,,32-30,,J. Harris misses 3-pt shot from 22 ft
6:37.0,Defensive rebound by C. Frye,,32-30,,
6:34.0,R. Jefferson misses 2-pt shot from 6 ft,,32-30,,
6:32.0,,,32-30,,Defensive rebound by J. Harris
6:29.0,,,32-33,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Harris)
