time,Indiana,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. H. Whiteside (J. McRoberts gains possession),,,,Jump ball: M. Turner vs. H. Whiteside (J. McRoberts gains possession)
11:43.0,,,0-0,,W. Ellington misses 3-pt shot from 26 ft
11:42.0,Defensive rebound by P. George,,0-0,,
11:29.0,T. Young misses 2-pt shot from 1 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by H. Whiteside
11:27.0,Personal foul by T. Young (drawn by H. Whiteside),,0-0,,
11:14.0,,,0-0,,G. Dragic misses 2-pt shot from 18 ft
11:13.0,Defensive rebound by P. George,,0-0,,
11:12.0,Turnover by P. George (bad pass; steal by G. Dragic),,0-0,,
11:01.0,,,0-2,2,H. Whiteside makes 2-pt shot from 6 ft (assist by W. Ellington)
10:46.0,,,0-2,,Personal foul by R. McGruder (drawn by P. George)
10:34.0,J. Teague misses 3-pt shot from 25 ft,,0-2,,
10:33.0,,,0-2,,Defensive rebound by R. McGruder
10:12.0,,,0-2,,G. Dragic misses 2-pt shot from 9 ft
10:11.0,Defensive rebound by J. Teague,,0-2,,
10:02.0,M. Turner misses 2-pt shot from 9 ft,,0-2,,
10:01.0,,,0-2,,Defensive rebound by J. McRoberts
9:49.0,,,0-2,,Turnover by G. Dragic (bad pass; steal by T. Young)
9:47.0,,,0-2,,Clear path foul by R. McGruder
9:47.0,G. Robinson makes clear path free throw 1 of 2,1,1-2,,
9:47.0,G. Robinson makes clear path free throw 2 of 2,1,2-2,,
9:31.0,J. Teague misses 2-pt shot from 10 ft,,2-2,,
9:30.0,,,2-2,,Defensive rebound by G. Dragic
9:19.0,,,2-2,,Turnover by G. Dragic (3 sec)
9:06.0,P. George misses 2-pt shot from 12 ft,,2-2,,
9:05.0,,,2-2,,Defensive rebound by J. McRoberts
8:56.0,,,2-4,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
8:36.0,P. George misses 2-pt shot from 12 ft,,2-4,,
8:35.0,,,2-4,,Defensive rebound by J. McRoberts
8:26.0,,,2-4,,R. McGruder misses 3-pt shot from 24 ft
8:25.0,,,2-4,,Offensive rebound by R. McGruder
8:18.0,,,2-4,,W. Ellington misses 3-pt shot from 25 ft
8:17.0,,,2-4,,Offensive rebound by Team
8:13.0,,,2-4,,Turnover by W. Ellington (lost ball; steal by M. Turner)
8:08.0,T. Young makes 2-pt shot from 2 ft (assist by G. Robinson),2,4-4,,
7:53.0,,,4-4,,Turnover by G. Dragic (bad pass)
7:33.0,J. Teague misses 2-pt shot from 13 ft,,4-4,,
7:32.0,,,4-4,,Defensive rebound by W. Ellington
7:25.0,,,4-4,,Turnover by H. Whiteside (lost ball)
7:11.0,G. Robinson misses 2-pt shot from 13 ft,,4-4,,
7:10.0,,,4-4,,Defensive rebound by G. Dragic
7:01.0,,,4-4,,G. Dragic misses 2-pt shot from 12 ft
7:00.0,,,4-4,,Offensive rebound by R. McGruder
6:55.0,,,4-4,,R. McGruder misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by J. Teague,,4-4,,
6:50.0,G. Robinson makes 2-pt shot at rim (assist by J. Teague),2,6-4,,
6:35.0,,,6-7,3,W. Ellington makes 3-pt shot from 24 ft (assist by G. Dragic)
