time,LA Clippers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Jordan (A. Rivers gains possession),,,,Jump ball: R. Gobert vs. D. Jordan (A. Rivers gains possession)
11:42.0,J. Redick misses 3-pt shot from 25 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by G. Hayward
11:24.0,,,0-0,,G. Hayward misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by D. Jordan,,0-0,,
11:14.0,A. Rivers makes 2-pt shot from 20 ft (assist by B. Griffin),2,2-0,,
10:59.0,,,2-0,,Turnover by J. Ingles (bad pass; steal by L. Mbah a Moute)
10:53.0,B. Griffin makes 2-pt shot from 2 ft (assist by L. Mbah a Moute),2,4-0,,
10:34.0,,,4-0,,R. Gobert misses 2-pt shot from 8 ft (block by D. Jordan)
10:33.0,Defensive rebound by D. Jordan,,4-0,,
10:25.0,D. Jordan makes 2-pt shot from 3 ft (assist by A. Rivers),2,6-0,,
10:25.0,,,6-0,,Utah full timeout
10:15.0,,,6-0,,D. Favors misses 2-pt shot from 2 ft
10:14.0,Defensive rebound by L. Mbah a Moute,,6-0,,
9:54.0,J. Redick misses 3-pt shot from 25 ft,,6-0,,
9:53.0,,,6-0,,Defensive rebound by R. Gobert
9:41.0,,,6-0,,G. Hayward misses 2-pt shot from 8 ft
9:41.0,,,6-0,,Offensive rebound by R. Gobert
9:21.0,,,6-0,,J. Ingles misses 2-pt shot from 19 ft
9:21.0,,,6-0,,Offensive rebound by D. Favors
9:19.0,,,6-2,2,D. Favors makes 2-pt shot at rim
9:14.0,Shooting foul by D. Favors (drawn by B. Griffin),,6-2,,
9:14.0,B. Griffin makes free throw 1 of 2,1,7-2,,
9:14.0,B. Griffin misses free throw 2 of 2,,7-2,,
9:13.0,,,7-2,,Defensive rebound by G. Hayward
8:54.0,,,7-2,,G. Hill misses 2-pt shot from 4 ft
8:53.0,,,7-2,,Offensive rebound by R. Gobert
8:53.0,,,7-2,,R. Gobert misses 2-pt shot from 3 ft
8:52.0,,,7-2,,Offensive rebound by R. Gobert
8:51.0,,,7-2,,R. Gobert misses 2-pt shot from 2 ft
8:49.0,,,7-2,,Offensive rebound by R. Gobert
8:46.0,,,7-2,,G. Hill misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by L. Mbah a Moute,,7-2,,
8:28.0,B. Griffin misses 2-pt shot from 19 ft,,7-2,,
8:27.0,,,7-2,,Defensive rebound by J. Ingles
8:16.0,,,7-4,2,J. Ingles makes 2-pt shot from 3 ft
7:56.0,A. Rivers makes 2-pt shot from 9 ft,2,9-4,,
7:47.0,,,9-4,,Turnover by J. Ingles (offensive foul)
7:47.0,,,9-4,,Offensive foul by J. Ingles
7:36.0,J. Redick misses 2-pt shot from 22 ft,,9-4,,
7:35.0,,,9-4,,Defensive rebound by G. Hayward
7:20.0,,,9-4,,D. Favors misses 2-pt shot from 9 ft
7:19.0,Defensive rebound by D. Jordan,,9-4,,
6:57.0,B. Griffin misses 2-pt shot from 19 ft,,9-4,,
6:56.0,Offensive rebound by D. Jordan,,9-4,,
6:54.0,D. Jordan misses 2-pt shot from 2 ft,,9-4,,
6:53.0,,,9-4,,Defensive rebound by G. Hayward
