time,Memphis,pts.away,score,pts.home,San Antonio
0:45.0,,,21-24,,D. Lee enters the game for L. Aldridge
0:30.0,A. Harrison misses 2-pt shot from 7 ft,,21-24,,
0:29.0,,,21-24,,Defensive rebound by D. Lee
0:07.0,,,21-27,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:02.0,Shooting foul by D. Lee (drawn by A. Harrison),,21-27,,
0:02.0,A. Harrison misses free throw 1 of 2,,21-27,,
0:02.0,Offensive rebound by Team,,21-27,,
0:02.0,A. Harrison makes free throw 2 of 2,1,22-27,,
0:02.0,T. Allen enters the game for T. Daniels,,21-27,,
0:02.0,J. Green enters the game for Z. Randolph,,21-27,,
0:02.0,B. Wright enters the game for M. Gasol,,21-27,,
0:00.0,,,22-27,,J. Simmons misses 3-pt shot from 49 ft
0:00.0,,,22-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,Z. Randolph misses 2-pt shot from 5 ft,,22-27,,
11:35.0,,,22-27,,Defensive rebound by D. Lee
11:23.0,,,22-30,3,M. Ginobili makes 3-pt shot from 26 ft (assist by J. Simmons)
11:05.0,J. Ennis makes 3-pt shot from 23 ft (assist by M. Conley),3,25-30,,
10:51.0,,,25-30,,P. Gasol misses 2-pt shot from 5 ft
10:50.0,Defensive rebound by Z. Randolph,,25-30,,
10:40.0,M. Conley makes 2-pt shot from 6 ft,2,27-30,,
10:26.0,,,27-32,2,P. Gasol makes 2-pt shot from 20 ft (assist by P. Mills)
10:11.0,M. Conley makes 3-pt shot from 25 ft,3,30-32,,
9:55.0,,,30-32,,P. Gasol misses 2-pt shot from 12 ft
9:54.0,Defensive rebound by J. Ennis,,30-32,,
9:42.0,M. Conley misses 3-pt shot from 26 ft,,30-32,,
9:41.0,,,30-32,,Defensive rebound by M. Ginobili
9:29.0,,,30-34,2,P. Mills makes 2-pt shot from 2 ft (assist by D. Lee)
9:29.0,,,30-34,,Shooting foul by M. Conley
9:29.0,,,30-35,1,P. Mills makes free throw 1 of 1
9:29.0,,,30-34,,D. Green enters the game for M. Ginobili
9:08.0,M. Conley misses 2-pt shot from 1 ft,,30-35,,
9:06.0,,,30-35,,Defensive rebound by D. Lee
8:52.0,,,30-38,3,P. Mills makes 3-pt shot from 25 ft (assist by J. Simmons)
8:44.0,Memphis full timeout,,30-38,,
8:44.0,Official timeout,,30-38,,
8:44.0,,,30-38,,T. Parker enters the game for P. Mills
8:44.0,,,30-38,,D. Dedmon enters the game for P. Gasol
8:37.0,Turnover by T. Daniels (lost ball),,30-38,,
8:37.0,,,30-38,,K. Leonard enters the game for J. Simmons
8:14.0,,,30-41,3,K. Leonard makes 3-pt shot from 25 ft (assist by D. Green)
8:00.0,,,30-41,,Personal foul by D. Green (drawn by Z. Randolph)
8:00.0,M. Gasol enters the game for Z. Randolph,,30-41,,
7:53.0,M. Conley misses 3-pt shot from 25 ft,,30-41,,
7:52.0,,,30-41,,Defensive rebound by D. Dedmon
7:32.0,,,30-43,2,T. Parker makes 2-pt shot from 6 ft
7:06.0,T. Daniels misses 3-pt shot from 26 ft,,30-43,,
7:05.0,,,30-43,,Defensive rebound by D. Dedmon
6:52.0,,,30-43,,D. Green misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by J. Green,,30-43,,
6:40.0,,,30-43,,Personal foul by D. Dedmon (drawn by M. Gasol)
6:40.0,A. Harrison enters the game for M. Conley,,30-43,,
6:40.0,V. Carter enters the game for T. Daniels,,30-43,,
6:40.0,T. Allen enters the game for J. Ennis,,30-43,,
6:40.0,,,30-43,,L. Aldridge enters the game for D. Dedmon
6:27.0,M. Gasol misses 2-pt shot from 15 ft,,30-43,,
6:26.0,,,30-43,,Defensive rebound by D. Lee
6:15.0,,,30-45,2,T. Parker makes 2-pt shot from 4 ft
6:07.0,Memphis full timeout,,30-45,,
5:50.0,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol),2,32-45,,
5:23.0,,,32-45,,T. Parker misses 2-pt shot from 17 ft
5:22.0,Defensive rebound by T. Allen,,32-45,,
5:16.0,A. Harrison misses 2-pt shot from 1 ft (block by L. Aldridge),,32-45,,
5:15.0,,,32-45,,Defensive rebound by K. Leonard
5:10.0,,,32-45,,Turnover by D. Green (bad pass; steal by T. Allen)
5:05.0,T. Allen makes 2-pt shot from 2 ft,2,34-45,,
5:05.0,,,34-45,,San Antonio full timeout
5:05.0,,,34-45,,P. Gasol enters the game for D. Lee
5:05.0,,,34-45,,M. Ginobili enters the game for D. Green
4:43.0,,,34-45,,M. Ginobili misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by J. Green,,34-45,,
4:29.0,M. Gasol misses 2-pt shot from 18 ft,,34-45,,
4:28.0,,,34-45,,Defensive rebound by T. Parker
4:19.0,,,34-47,2,P. Gasol makes 2-pt shot from 3 ft (assist by T. Parker)
4:01.0,A. Harrison makes 2-pt shot from 2 ft,2,36-47,,
3:49.0,Personal foul by J. Green (drawn by L. Aldridge),,36-47,,
3:49.0,Z. Randolph enters the game for J. Green,,36-47,,
3:49.0,M. Conley enters the game for A. Harrison,,36-47,,
3:38.0,,,36-47,,K. Leonard misses 2-pt shot from 5 ft
3:37.0,Defensive rebound by Z. Randolph,,36-47,,
3:29.0,Z. Randolph misses 2-pt shot from 19 ft,,36-47,,
3:27.0,Offensive rebound by M. Gasol,,36-47,,
3:05.0,M. Conley misses 3-pt shot from 25 ft,,36-47,,
3:04.0,,,36-47,,Defensive rebound by L. Aldridge
2:58.0,,,36-49,2,T. Parker makes 2-pt shot from 21 ft
2:40.0,Turnover by M. Conley (bad pass; steal by P. Gasol),,36-49,,
2:33.0,,,36-49,,K. Leonard misses 2-pt shot from 13 ft
2:32.0,Defensive rebound by Z. Randolph,,36-49,,
2:23.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley),3,39-49,,
2:23.0,,,39-49,,San Antonio full timeout
2:23.0,,,39-49,,P. Mills enters the game for T. Parker
2:06.0,,,39-51,2,L. Aldridge makes 2-pt shot from 14 ft
1:50.0,,,39-51,,Personal foul by M. Ginobili (drawn by Z. Randolph)
1:42.0,Z. Randolph misses 2-pt shot from 19 ft,,39-51,,
1:41.0,,,39-51,,Defensive rebound by P. Gasol
1:29.0,Violation by Z. Randolph (kicked ball),,39-51,,
1:17.0,,,39-51,,M. Ginobili misses 3-pt shot from 24 ft
1:16.0,,,39-51,,Offensive rebound by Team
1:08.0,,,39-51,,P. Gasol misses 2-pt shot from 6 ft (block by M. Gasol)
1:07.0,Defensive rebound by M. Gasol,,39-51,,
0:46.0,M. Gasol misses 2-pt shot from 17 ft,,39-51,,
0:46.0,Offensive rebound by Team,,39-51,,
0:46.0,,,39-51,,Loose ball foul by M. Ginobili (drawn by Z. Randolph)
0:46.0,Z. Randolph makes free throw 1 of 2,1,40-51,,
0:46.0,Z. Randolph makes free throw 2 of 2,1,41-51,,
0:33.0,,,41-51,,Turnover by K. Leonard (bad pass; steal by V. Carter)
0:28.0,V. Carter misses 3-pt shot from 27 ft,,41-51,,
0:25.0,,,41-51,,Defensive rebound by K. Leonard
0:22.0,,,41-51,,Turnover by P. Gasol (bad pass; steal by T. Allen)
0:17.0,T. Allen misses 2-pt shot from 17 ft,,41-51,,
0:17.0,Offensive rebound by M. Gasol,,41-51,,
0:17.0,Turnover by M. Gasol (bad pass),,41-51,,
0:17.0,,,41-51,,Technical foul by Team
0:17.0,M. Conley makes technical free throw,1,42-51,,
0:17.0,J. Ennis enters the game for M. Conley,,42-51,,
0:05.0,Personal take foul by T. Allen (drawn by K. Leonard),,42-51,,
0:01.0,,,42-51,,K. Leonard misses 2-pt shot from 2 ft
0:01.0,,,42-51,,Offensive rebound by P. Gasol
0:01.0,,,42-51,,P. Gasol misses 2-pt shot from 1 ft
0:01.0,,,42-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,V. Carter misses 2-pt shot from 2 ft (block by L. Aldridge),,42-51,,
11:42.0,Offensive rebound by Team,,42-51,,
11:37.0,M. Gasol misses 2-pt shot from 16 ft,,42-51,,
11:36.0,,,42-51,,Defensive rebound by L. Aldridge
11:23.0,,,42-53,2,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker)
10:56.0,T. Allen makes 2-pt shot from 2 ft (assist by V. Carter),2,44-53,,
10:39.0,,,44-53,,Shooting foul by M. Conley (drawn by T. Parker)
10:39.0,,,44-54,1,T. Parker makes free throw 1 of 2
10:39.0,,,44-54,,T. Parker misses free throw 2 of 2
10:39.0,Defensive rebound by J. Green,,44-54,,
10:19.0,T. Allen makes 2-pt shot from 2 ft,2,46-54,,
10:03.0,,,46-54,,T. Parker misses 2-pt shot from 6 ft
10:01.0,Defensive rebound by M. Conley,,46-54,,
9:56.0,V. Carter misses 3-pt shot from 26 ft,,46-54,,
9:55.0,,,46-54,,Defensive rebound by L. Aldridge
9:43.0,,,46-54,,Shooting foul by V. Carter (drawn by D. Green)
9:43.0,,,46-55,1,D. Green makes free throw 1 of 3
9:43.0,,,46-56,1,D. Green makes free throw 2 of 3
9:43.0,,,46-56,,D. Green misses free throw 3 of 3
9:43.0,Defensive rebound by J. Green,,46-56,,
9:20.0,Shooting foul by L. Aldridge (drawn by M. Conley),,46-56,,
9:20.0,M. Conley makes free throw 1 of 2,1,47-56,,
9:20.0,M. Conley makes free throw 2 of 2,1,48-56,,
9:04.0,Personal foul by M. Gasol (drawn by K. Leonard),,48-56,,
9:04.0,Technical foul by Team,,48-56,,
9:04.0,,,48-57,1,K. Leonard makes technical free throw
8:55.0,,,48-59,2,K. Leonard makes 2-pt shot from 9 ft (assist by T. Parker)
8:35.0,J. Green makes 2-pt shot from 17 ft (assist by M. Conley),2,50-59,,
8:20.0,,,50-59,,K. Leonard misses 3-pt shot from 25 ft
8:19.0,,,50-59,,Offensive rebound by K. Leonard
8:09.0,,,50-59,,T. Parker misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by V. Carter,,50-59,,
