time,LA Lakers,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Mozgov (G. Hayward gains possession),,,,Jump ball: R. Gobert vs. T. Mozgov (G. Hayward gains possession)
11:40.0,,,0-0,,D. Favors misses 2-pt shot from 15 ft
11:40.0,Defensive rebound by T. Mozgov,,0-0,,
11:36.0,,,0-0,,Personal foul by R. Hood (drawn by J. Calderon)
11:36.0,,,0-0,,T. Lyles enters the game for R. Gobert
11:16.0,T. Black makes 2-pt shot at rim (assist by T. Mozgov),2,2-0,,
11:05.0,,,2-0,,R. Hood misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by T. Mozgov,,2-0,,
10:51.0,L. Deng misses 2-pt shot at rim,,2-0,,
10:51.0,,,2-0,,Defensive rebound by T. Lyles
10:34.0,,,2-2,2,T. Lyles makes 2-pt shot from 18 ft (assist by G. Hill)
10:17.0,Turnover by T. Mozgov (bad pass; steal by G. Hayward),,2-2,,
10:12.0,,,2-2,,Shooting foul by T. Mozgov (drawn by D. Favors)
10:12.0,,,2-3,1,D. Favors makes free throw 1 of 2
10:12.0,,,2-4,1,D. Favors makes free throw 2 of 2
10:12.0,,,2-3,,R. Gobert enters the game for T. Lyles
9:57.0,J. Calderon misses 2-pt shot from 3 ft,,2-4,,
9:57.0,,,2-4,,Defensive rebound by R. Gobert
9:39.0,,,2-6,2,D. Favors makes 2-pt shot from 16 ft (assist by G. Hill)
9:26.0,Turnover by N. Young (lost ball; steal by G. Hill),,2-6,,
9:12.0,,,2-8,2,G. Hayward makes 2-pt shot from 13 ft
8:46.0,T. Mozgov misses 2-pt shot from 3 ft (block by R. Gobert),,2-8,,
8:45.0,,,2-8,,Defensive rebound by D. Favors
8:25.0,,,2-8,,R. Gobert misses 2-pt shot from 3 ft
8:25.0,,,2-8,,Offensive rebound by D. Favors
8:22.0,,,2-8,,G. Hayward misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by J. Calderon,,2-8,,
8:11.0,J. Calderon misses 2-pt shot from 18 ft,,2-8,,
8:11.0,,,2-8,,Defensive rebound by Team
7:58.0,,,2-10,2,R. Gobert makes 2-pt shot at rim (assist by D. Favors)
7:57.0,LA Lakers full timeout,,2-10,,
7:46.0,N. Young misses 3-pt shot from 24 ft,,2-10,,
7:45.0,Offensive rebound by T. Mozgov,,2-10,,
7:43.0,T. Mozgov misses 2-pt shot from 2 ft,,2-10,,
7:42.0,,,2-10,,Defensive rebound by D. Favors
7:22.0,Personal foul by L. Deng (drawn by R. Gobert),,2-10,,
7:12.0,,,2-10,,Turnover by G. Hayward (bad pass; steal by T. Black)
7:00.0,Turnover by J. Calderon (bad pass; steal by G. Hill),,2-10,,
6:48.0,,,2-10,,G. Hill misses 2-pt shot from 17 ft
6:47.0,Defensive rebound by T. Mozgov,,2-10,,
6:38.0,L. Deng makes 2-pt shot from 1 ft,2,4-10,,
6:16.0,,,4-12,2,G. Hayward makes 2-pt shot from 13 ft
6:09.0,,,4-12,,Personal foul by R. Gobert (drawn by T. Mozgov)
6:09.0,,,4-12,,T. Lyles enters the game for D. Favors
6:09.0,,,4-12,,J. Ingles enters the game for R. Hood
