time,Phoenix,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Davis (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. A. Davis (E. Bledsoe gains possession)
11:46.0,T. Chandler makes 2-pt shot at rim (assist by J. Dudley),2,2-0,,
11:28.0,,,2-2,2,T. Jones makes 2-pt shot from 19 ft (assist by E. Moore)
11:16.0,T. Warren makes 2-pt shot from 16 ft (assist by E. Bledsoe),2,4-2,,
11:07.0,,,4-2,,T. Frazier misses 2-pt shot from 7 ft
11:06.0,Defensive rebound by T. Chandler,,4-2,,
10:59.0,J. Dudley makes 3-pt shot from 25 ft (assist by D. Booker),3,7-2,,
10:41.0,Personal foul by D. Booker (drawn by E. Moore),,7-2,,
10:35.0,,,7-4,2,T. Jones makes 2-pt shot from 21 ft (assist by S. Hill)
10:23.0,Shooting foul by S. Hill,,7-4,,
10:23.0,T. Warren makes free throw 1 of 2,1,8-4,,
10:23.0,T. Warren makes free throw 2 of 2,1,9-4,,
10:04.0,,,9-6,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Jones)
9:56.0,E. Bledsoe makes 2-pt shot from 1 ft,2,11-6,,
9:29.0,,,11-6,,E. Moore misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by E. Bledsoe,,11-6,,
9:11.0,D. Booker makes 2-pt shot from 13 ft,2,13-6,,
9:10.0,,,13-6,,New Orleans full timeout
8:52.0,,,13-9,3,T. Jones makes 3-pt shot from 25 ft (assist by E. Moore)
8:39.0,Offensive charge foul by E. Bledsoe,,13-9,,
8:39.0,Turnover by E. Bledsoe (offensive foul),,13-9,,
8:31.0,,,13-11,2,A. Davis makes 2-pt shot from 2 ft (assist by E. Moore)
8:08.0,T. Warren makes 3-pt shot from 24 ft (assist by D. Booker),3,16-11,,
7:56.0,,,16-11,,T. Jones misses 2-pt shot from 8 ft
7:55.0,Defensive rebound by T. Chandler,,16-11,,
7:46.0,,,16-11,,Violation by T. Jones (def goaltending)
7:46.0,D. Booker makes 2-pt shot from 2 ft,2,18-11,,
7:35.0,,,18-11,,Shooting foul by J. Dudley (drawn by A. Davis)
7:35.0,,,18-11,,A. Davis misses free throw 1 of 2
7:35.0,,,18-11,,Offensive rebound by Team
7:35.0,,,18-11,,A. Davis misses free throw 2 of 2
7:33.0,Defensive rebound by T. Chandler,,18-11,,
7:16.0,E. Bledsoe makes 2-pt shot from 4 ft,2,20-11,,
7:05.0,,,20-14,3,T. Frazier makes 3-pt shot from 26 ft
6:45.0,E. Bledsoe misses 3-pt shot from 23 ft,,20-14,,
6:42.0,,,20-14,,Defensive rebound by E. Moore
6:35.0,,,20-16,2,T. Jones makes 2-pt shot from 2 ft (assist by E. Moore)
6:17.0,T. Chandler misses 2-pt shot from 2 ft (block by A. Davis),,20-16,,
6:15.0,,,20-16,,Defensive rebound by S. Hill
6:09.0,,,20-16,,S. Hill misses 2-pt shot from 1 ft
6:08.0,,,20-16,,Offensive rebound by A. Davis
