time,LA Clippers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Jordan (C. Paul gains possession),,,,Jump ball: A. Davis vs. D. Jordan (C. Paul gains possession)
11:46.0,Shooting foul by B. Hield (drawn by D. Jordan),,0-0,,
11:46.0,D. Jordan misses free throw 1 of 2,,0-0,,
11:46.0,Offensive rebound by Team,,0-0,,
11:46.0,D. Jordan misses free throw 2 of 2,,0-0,,
11:45.0,,,0-0,,Defensive rebound by A. Davis
11:31.0,,,0-2,2,J. Holiday makes 2-pt shot from 6 ft
11:14.0,A. Rivers misses 2-pt shot from 2 ft,,0-2,,
11:10.0,Offensive rebound by W. Johnson,,0-2,,
11:10.0,W. Johnson misses 2-pt shot from 1 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by S. Hill
11:00.0,,,0-2,,B. Hield misses 2-pt shot from 18 ft
11:00.0,Defensive rebound by L. Mbah a Moute,,0-2,,
10:53.0,Turnover by C. Paul (bad pass; steal by B. Hield),,0-2,,
10:43.0,,,0-2,,A. Davis misses 2-pt shot from 17 ft
10:42.0,Defensive rebound by D. Jordan,,0-2,,
10:19.0,C. Paul makes 2-pt shot from 15 ft,2,2-2,,
10:10.0,,,2-2,,S. Hill misses 3-pt shot from 23 ft
10:08.0,Defensive rebound by D. Jordan,,2-2,,
10:00.0,A. Rivers misses 2-pt shot from 11 ft (block by A. Davis),,2-2,,
9:59.0,,,2-2,,Defensive rebound by S. Hill
9:52.0,,,2-2,,Shooting foul by A. Rivers (drawn by A. Davis)
9:52.0,,,2-2,,A. Davis misses free throw 1 of 2
9:52.0,,,2-2,,Offensive rebound by Team
9:52.0,,,2-2,,A. Davis misses free throw 2 of 2
9:51.0,Defensive rebound by D. Jordan,,2-2,,
9:31.0,A. Rivers misses 3-pt shot from 26 ft,,2-2,,
9:30.0,Offensive rebound by D. Jordan,,2-2,,
9:27.0,D. Jordan makes 2-pt shot from 1 ft,2,4-2,,
9:18.0,,,4-2,,J. Holiday misses 2-pt shot from 21 ft
9:18.0,Defensive rebound by W. Johnson,,4-2,,
9:07.0,W. Johnson misses 3-pt shot from 26 ft,,4-2,,
9:04.0,Offensive rebound by C. Paul,,4-2,,
9:00.0,A. Rivers misses 3-pt shot from 26 ft,,4-2,,
8:58.0,Offensive rebound by C. Paul,,4-2,,
8:43.0,C. Paul makes 3-pt shot from 25 ft,3,7-2,,
8:37.0,,,7-2,,New Orleans full timeout
8:24.0,,,7-2,,Turnover by D. Cunningham (bad pass; steal by A. Rivers)
8:08.0,Shooting foul by A. Davis (drawn by D. Jordan),,7-2,,
8:08.0,D. Jordan misses free throw 1 of 2,,7-2,,
8:08.0,Offensive rebound by Team,,7-2,,
8:08.0,D. Jordan makes free throw 2 of 2,1,8-2,,
7:57.0,,,8-2,,B. Hield misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by C. Paul,,8-2,,
7:51.0,C. Paul misses 3-pt shot from 26 ft,,8-2,,
7:49.0,Offensive rebound by W. Johnson,,8-2,,
7:41.0,Turnover by D. Jordan (lost ball; steal by B. Hield),,8-2,,
7:34.0,Personal foul by A. Rivers (drawn by A. Davis),,8-2,,
7:34.0,R. Felton enters the game for A. Rivers,,8-2,,
7:22.0,,,8-4,2,A. Davis makes 2-pt shot from 6 ft
6:58.0,C. Paul misses 2-pt shot from 19 ft,,8-4,,
6:57.0,,,8-4,,Defensive rebound by J. Holiday
6:51.0,,,8-6,2,B. Hield makes 2-pt shot from 2 ft (assist by J. Holiday)
6:32.0,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul),2,10-6,,
6:20.0,,,10-6,,D. Cunningham misses 2-pt shot from 1 ft (block by D. Jordan)
6:18.0,,,10-6,,Offensive rebound by D. Cunningham
6:13.0,,,10-9,3,B. Hield makes 3-pt shot from 24 ft (assist by D. Cunningham)
5:50.0,D. Jordan misses 2-pt shot from 3 ft,,10-9,,
5:49.0,Offensive rebound by W. Johnson,,10-9,,
5:46.0,W. Johnson misses 2-pt shot from 2 ft,,10-9,,
5:44.0,Offensive rebound by W. Johnson,,10-9,,
5:44.0,W. Johnson misses 2-pt shot from 2 ft,,10-9,,
5:42.0,,,10-9,,Defensive rebound by D. Cunningham
5:39.0,Personal foul by C. Paul (drawn by A. Davis),,10-9,,
5:39.0,,,10-9,,T. Jones enters the game for D. Cunningham
5:25.0,,,10-9,,B. Hield misses 2-pt shot from 13 ft
5:24.0,,,10-9,,Offensive rebound by A. Davis
5:24.0,,,10-9,,A. Davis misses 2-pt shot at rim
5:22.0,Defensive rebound by C. Paul,,10-9,,
5:19.0,C. Paul misses 2-pt shot from 2 ft,,10-9,,
5:17.0,Offensive rebound by L. Mbah a Moute,,10-9,,
5:12.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Paul),3,13-9,,
4:51.0,Personal foul by R. Felton (drawn by A. Davis),,13-9,,
4:51.0,J. Crawford enters the game for C. Paul,,13-9,,
4:37.0,,,13-9,,A. Davis misses 2-pt shot from 15 ft
4:36.0,,,13-9,,Offensive rebound by T. Jones
4:35.0,,,13-11,2,T. Jones makes 2-pt shot from 1 ft
4:35.0,,,13-11,,Shooting foul by W. Johnson (drawn by T. Jones)
4:35.0,,,13-11,,T. Jones misses free throw 1 of 1
4:34.0,Defensive rebound by D. Jordan,,13-11,,
4:16.0,B. Bass enters the game for W. Johnson,,13-11,,
4:14.0,Turnover by R. Felton (bad pass; steal by S. Hill),,13-11,,
4:09.0,,,13-13,2,B. Hield makes 2-pt shot at rim (assist by S. Hill)
4:09.0,,,13-13,,Violation by Team (jump ball)
3:58.0,,,13-13,,L. Galloway enters the game for B. Hield
3:53.0,J. Crawford misses 2-pt shot from 20 ft,,13-13,,
3:51.0,,,13-13,,Defensive rebound by J. Holiday
3:41.0,,,13-13,,T. Jones misses 2-pt shot from 2 ft
3:40.0,Defensive rebound by D. Jordan,,13-13,,
3:35.0,Turnover by R. Felton (lost ball; steal by A. Davis),,13-13,,
3:30.0,,,13-15,2,T. Jones makes 2-pt shot at rim (assist by J. Holiday)
3:30.0,LA Clippers full timeout,,13-15,,
3:30.0,,,13-15,,E. Moore enters the game for S. Hill
3:30.0,,,13-15,,T. Evans enters the game for J. Holiday
3:12.0,J. Crawford makes 2-pt shot from 12 ft,2,15-15,,
2:58.0,,,15-15,,Turnover by T. Evans (bad pass; steal by R. Felton)
2:49.0,B. Bass misses 2-pt shot from 2 ft,,15-15,,
2:47.0,Offensive rebound by D. Jordan,,15-15,,
2:47.0,D. Jordan makes 2-pt shot from 2 ft,2,17-15,,
2:36.0,,,17-15,,A. Davis misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by B. Bass,,17-15,,
2:29.0,Turnover by D. Jordan (lost ball; steal by L. Galloway),,17-15,,
2:11.0,,,17-17,2,E. Moore makes 2-pt shot from 16 ft (assist by A. Davis)
1:54.0,,,17-17,,Shooting block foul by A. Davis (drawn by D. Jordan)
1:54.0,D. Jordan misses free throw 1 of 2,,17-17,,
1:54.0,Offensive rebound by Team,,17-17,,
1:54.0,D. Jordan makes free throw 2 of 2,1,18-17,,
1:54.0,A. Anderson enters the game for L. Mbah a Moute,,17-17,,
1:54.0,,,17-17,,D. Cunningham enters the game for A. Davis
1:28.0,,,18-17,,T. Jones misses 2-pt shot from 5 ft
1:28.0,Defensive rebound by D. Jordan,,18-17,,
1:15.0,A. Anderson makes 3-pt shot from 24 ft (assist by J. Crawford),3,21-17,,
1:05.0,,,21-17,,L. Galloway misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by D. Jordan,,21-17,,
0:56.0,J. Crawford misses 2-pt shot from 2 ft,,21-17,,
0:56.0,Offensive rebound by D. Jordan,,21-17,,
0:56.0,D. Jordan makes 2-pt shot at rim,2,23-17,,
0:51.0,,,23-19,2,E. Moore makes 2-pt shot from 3 ft (assist by T. Evans)
0:34.0,B. Bass makes 2-pt shot from 13 ft (assist by R. Felton),2,25-19,,
0:19.0,,,25-19,,T. Jones misses 2-pt shot from 18 ft
0:18.0,Defensive rebound by D. Jordan,,25-19,,
0:03.0,J. Crawford makes 2-pt shot from 2 ft,2,27-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,27-22,3,D. Cunningham makes 3-pt shot from 24 ft (assist by T. Evans)
11:28.0,B. Bass makes 2-pt shot from 2 ft (assist by J. Crawford),2,29-22,,
11:28.0,Shooting foul by L. Galloway (drawn by B. Bass),,29-22,,
11:28.0,B. Bass makes free throw 1 of 1,1,30-22,,
11:12.0,,,30-22,,E. Moore misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by M. Speights,,30-22,,
10:59.0,J. Crawford misses 2-pt shot from 17 ft,,30-22,,
10:59.0,,,30-22,,Defensive rebound by T. Evans
10:50.0,,,30-24,2,T. Evans makes 2-pt shot from 1 ft
10:31.0,J. Crawford misses 2-pt shot from 2 ft,,30-24,,
10:30.0,Offensive rebound by B. Bass,,30-24,,
10:27.0,B. Bass misses 2-pt shot from 2 ft (block by D. Cunningham),,30-24,,
10:26.0,,,30-24,,Defensive rebound by D. Cunningham
10:17.0,,,30-24,,Shooting foul by R. Felton (drawn by T. Jones)
10:17.0,,,30-25,1,T. Jones makes free throw 1 of 2
10:17.0,,,30-25,,T. Jones misses free throw 2 of 2
10:15.0,,,30-25,,Offensive rebound by T. Jones
10:09.0,,,30-28,3,D. Cunningham makes 3-pt shot from 27 ft (assist by T. Evans)
9:56.0,,,30-28,,Def 3 sec tech foul by E. Moore
9:56.0,J. Crawford makes technical free throw,1,31-28,,
9:51.0,,,31-28,,Personal foul by T. Evans (drawn by A. Anderson)
9:43.0,A. Anderson makes 3-pt shot from 26 ft (assist by B. Bass),3,34-28,,
9:30.0,Def 3 sec tech foul by M. Speights,,34-28,,
9:30.0,,,34-29,1,L. Galloway makes technical free throw
9:30.0,C. Paul enters the game for R. Felton,,34-29,,
9:25.0,,,34-29,,T. Evans misses 3-pt shot from 26 ft
9:24.0,,,34-29,,Offensive rebound by T. Jones
9:20.0,,,34-29,,T. Jones misses 2-pt shot from 1 ft
9:19.0,Defensive rebound by A. Anderson,,34-29,,
9:11.0,A. Anderson misses 2-pt shot from 2 ft,,34-29,,
9:10.0,,,34-29,,Defensive rebound by T. Evans
8:55.0,,,34-29,,D. Cunningham misses 3-pt shot from 23 ft
8:55.0,Defensive rebound by C. Paul,,34-29,,
8:46.0,J. Crawford misses 2-pt shot from 4 ft,,34-29,,
8:45.0,,,34-29,,Defensive rebound by T. Evans
8:39.0,,,34-29,,E. Moore misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by B. Bass,,34-29,,
8:31.0,,,34-29,,Personal foul by D. Cunningham (drawn by M. Speights)
8:31.0,Official timeout,,34-29,,
8:31.0,A. Rivers enters the game for A. Anderson,,34-29,,
8:31.0,,,34-29,,A. Davis enters the game for T. Jones
8:31.0,,,34-29,,J. Holiday enters the game for T. Evans
8:31.0,,,34-29,,B. Hield enters the game for E. Moore
8:21.0,M. Speights misses 3-pt shot from 26 ft,,34-29,,
8:21.0,,,34-29,,Defensive rebound by D. Cunningham
