time,Sacramento,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. S. Mejri (H. Barnes gains possession),,,,Jump ball: K. Koufos vs. S. Mejri (H. Barnes gains possession)
11:49.0,Personal foul by B. McLemore (drawn by H. Barnes),,0-0,,
11:37.0,,,0-3,3,D. Finney-Smith makes 3-pt shot from 24 ft (assist by H. Barnes)
11:23.0,D. Cousins misses 2-pt shot from 6 ft (block by S. Mejri),,0-3,,
11:22.0,Offensive rebound by Team,,0-3,,
11:13.0,D. Cousins misses 2-pt shot at rim,,0-3,,
11:12.0,,,0-3,,Defensive rebound by S. Mejri
11:00.0,,,0-6,3,W. Matthews makes 3-pt shot from 24 ft
10:47.0,D. Cousins makes 2-pt shot from 1 ft,2,2-6,,
10:31.0,,,2-6,,H. Barnes misses 2-pt shot from 19 ft
10:31.0,Defensive rebound by D. Cousins,,2-6,,
10:14.0,D. Cousins makes 2-pt shot from 14 ft,2,4-6,,
10:02.0,,,4-8,2,D. Williams makes 2-pt shot from 19 ft
9:43.0,Offensive charge foul by D. Cousins,,4-8,,
9:43.0,Turnover by D. Cousins (offensive foul),,4-8,,
9:34.0,,,4-8,,Turnover by D. Williams (lost ball; steal by G. Temple)
9:28.0,,,4-8,,Shooting block foul by W. Matthews (drawn by G. Temple)
9:28.0,G. Temple makes free throw 1 of 2,1,5-8,,
9:28.0,G. Temple makes free throw 2 of 2,1,6-8,,
9:11.0,,,6-8,,Turnover by D. Finney-Smith (bad pass; steal by G. Temple)
8:53.0,G. Temple misses 3-pt shot from 25 ft,,6-8,,
8:52.0,,,6-8,,Defensive rebound by H. Barnes
8:41.0,,,6-10,2,H. Barnes makes 2-pt shot from 16 ft
8:29.0,D. Cousins makes 2-pt shot from 2 ft,2,8-10,,
8:06.0,,,8-10,,Turnover by D. Finney-Smith (bad pass; steal by K. Koufos)
8:05.0,,,8-10,,Personal take foul by D. Williams (drawn by D. Collison)
7:53.0,B. McLemore misses 2-pt shot from 21 ft,,8-10,,
7:52.0,,,8-10,,Defensive rebound by H. Barnes
7:37.0,,,8-12,2,D. Williams makes 2-pt shot from 20 ft (assist by D. Finney-Smith)
7:11.0,D. Collison misses 3-pt shot from 23 ft,,8-12,,
7:10.0,,,8-12,,Defensive rebound by S. Mejri
6:59.0,Shooting block foul by B. McLemore (drawn by H. Barnes),,8-12,,
6:59.0,,,8-12,,H. Barnes misses free throw 1 of 2
6:59.0,,,8-12,,Offensive rebound by Team
6:59.0,,,8-13,1,H. Barnes makes free throw 2 of 2
6:40.0,D. Cousins makes 2-pt shot from 4 ft,2,10-13,,
6:24.0,,,10-13,,D. Williams misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by G. Temple,,10-13,,
6:17.0,M. Barnes enters the game for B. McLemore,,10-13,,
6:17.0,A. Tolliver enters the game for K. Koufos,,10-13,,
6:17.0,,,10-13,,D. Harris enters the game for D. Williams
6:17.0,,,10-13,,D. Powell enters the game for D. Finney-Smith
6:17.0,,,10-13,,A. Hammons enters the game for H. Barnes
6:17.0,,,10-13,,S. Curry enters the game for S. Mejri
6:04.0,D. Cousins misses 2-pt shot at rim,,10-13,,
6:03.0,,,10-13,,Defensive rebound by D. Powell
5:52.0,,,10-13,,A. Hammons misses 2-pt shot from 9 ft
