time,Toronto,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. J. Valanciunas (C. Joseph gains possession),,,,Jump ball: T. Maker vs. J. Valanciunas (C. Joseph gains possession)
11:38.0,J. Valanciunas makes 2-pt shot from 5 ft,2,2-0,,
11:22.0,,,2-2,2,K. Middleton makes 2-pt shot from 1 ft (assist by T. Maker)
10:55.0,S. Ibaka makes 3-pt shot from 25 ft (assist by C. Joseph),3,5-2,,
10:29.0,,,5-2,,T. Maker misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by C. Joseph,,5-2,,
10:18.0,D. Carroll misses 3-pt shot from 27 ft,,5-2,,
10:16.0,,,5-2,,Defensive rebound by G. Antetokounmpo
10:01.0,,,5-2,,M. Brogdon misses 2-pt shot from 17 ft
10:00.0,Defensive rebound by J. Valanciunas,,5-2,,
9:51.0,J. Valanciunas makes 2-pt shot at rim (assist by C. Joseph),2,7-2,,
9:32.0,,,7-2,,M. Brogdon misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by D. Carroll,,7-2,,
9:21.0,S. Ibaka misses 2-pt shot from 3 ft,,7-2,,
9:20.0,,,7-2,,Defensive rebound by M. Brogdon
9:10.0,,,7-2,,T. Snell misses 2-pt shot from 2 ft
9:08.0,Defensive rebound by J. Valanciunas,,7-2,,
8:55.0,S. Ibaka misses 2-pt shot from 19 ft,,7-2,,
8:53.0,,,7-2,,Defensive rebound by T. Maker
8:39.0,,,7-2,,T. Snell misses 2-pt shot from 15 ft
8:37.0,Defensive rebound by J. Valanciunas,,7-2,,
8:20.0,J. Valanciunas makes 2-pt shot from 4 ft,2,9-2,,
7:56.0,,,9-2,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:55.0,,,9-2,,Offensive rebound by T. Maker
7:55.0,,,9-2,,T. Maker misses 2-pt shot from 1 ft
7:53.0,Defensive rebound by J. Valanciunas,,9-2,,
7:39.0,S. Ibaka makes 2-pt shot from 2 ft (assist by J. Valanciunas),2,11-2,,
7:39.0,,,11-2,,Milwaukee full timeout
7:39.0,,,11-2,,G. Monroe enters the game for T. Maker
7:19.0,,,11-2,,K. Middleton misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by C. Joseph,,11-2,,
6:53.0,D. Carroll misses 2-pt shot from 6 ft,,11-2,,
6:51.0,,,11-2,,Defensive rebound by K. Middleton
6:40.0,,,11-2,,K. Middleton misses 3-pt shot from 23 ft
6:38.0,Defensive rebound by D. Carroll,,11-2,,
6:33.0,C. Joseph misses 2-pt shot from 1 ft,,11-2,,
6:31.0,,,11-2,,Defensive rebound by K. Middleton
6:28.0,,,11-2,,Shooting foul by S. Ibaka (drawn by G. Antetokounmpo)
6:28.0,,,11-3,1,G. Antetokounmpo makes free throw 1 of 2
6:28.0,,,11-4,1,G. Antetokounmpo makes free throw 2 of 2
6:28.0,,,11-3,,M. Dellavedova enters the game for M. Brogdon
6:12.0,Shooting foul by K. Middleton (drawn by J. Valanciunas),,11-4,,
6:12.0,J. Valanciunas misses free throw 1 of 2,,11-4,,
6:12.0,Offensive rebound by Team,,11-4,,
6:12.0,J. Valanciunas makes free throw 2 of 2,1,12-4,,
6:12.0,,,11-4,,J. Terry enters the game for K. Middleton
5:58.0,,,12-6,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
5:31.0,D. Carroll misses 3-pt shot from 26 ft,,12-6,,
5:29.0,,,12-6,,Defensive rebound by M. Dellavedova
5:23.0,,,12-6,,T. Snell misses 3-pt shot from 28 ft
5:22.0,Defensive rebound by J. Valanciunas,,12-6,,
5:13.0,Turnover by D. Carroll (lost ball),,12-6,,
4:54.0,,,12-6,,M. Dellavedova misses 3-pt shot from 27 ft
4:54.0,Defensive rebound by Team,,12-6,,
4:54.0,P. Patterson enters the game for S. Ibaka,,12-6,,
4:35.0,,,12-6,,Personal foul by J. Terry (drawn by C. Joseph)
4:27.0,J. Valanciunas makes 2-pt shot at rim (assist by C. Joseph),2,14-6,,
4:10.0,,,14-6,,G. Monroe misses 2-pt shot from 11 ft
4:09.0,,,14-6,,Offensive rebound by G. Monroe
3:59.0,,,14-6,,T. Snell misses 3-pt shot from 27 ft
3:57.0,Defensive rebound by D. DeRozan,,14-6,,
3:52.0,D. Carroll makes 2-pt shot from 1 ft (assist by D. DeRozan),2,16-6,,
3:34.0,,,16-6,,M. Dellavedova misses 2-pt shot from 2 ft
3:32.0,,,16-6,,Offensive rebound by Team
3:32.0,D. Wright enters the game for C. Joseph,,16-6,,
3:28.0,,,16-6,,G. Monroe misses 2-pt shot from 2 ft
3:26.0,Defensive rebound by D. DeRozan,,16-6,,
3:05.0,D. Carroll misses 3-pt shot from 27 ft,,16-6,,
3:04.0,,,16-6,,Defensive rebound by G. Antetokounmpo
2:56.0,,,16-6,,J. Terry misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by Team,,16-6,,
2:56.0,Toronto full timeout,,16-6,,
2:56.0,N. Powell enters the game for D. DeRozan,,16-6,,
2:56.0,,,16-6,,M. Teletovic enters the game for G. Antetokounmpo
2:43.0,Turnover by D. Wright (bad pass; steal by G. Monroe),,16-6,,
2:24.0,,,16-8,2,G. Monroe makes 2-pt shot at rim
2:00.0,D. Wright misses 2-pt shot from 16 ft,,16-8,,
1:58.0,Offensive rebound by D. Carroll,,16-8,,
1:56.0,D. Carroll makes 2-pt shot from 1 ft,2,18-8,,
1:36.0,,,18-8,,M. Dellavedova misses 2-pt shot from 14 ft
1:35.0,Defensive rebound by N. Powell,,18-8,,
1:33.0,Offensive charge foul by N. Powell,,18-8,,
1:33.0,Turnover by N. Powell (offensive foul),,18-8,,
1:33.0,P. Tucker enters the game for D. Carroll,,18-8,,
1:33.0,J. Poeltl enters the game for J. Valanciunas,,18-8,,
1:16.0,,,18-10,2,M. Teletovic makes 2-pt shot from 16 ft
0:49.0,P. Tucker misses 3-pt shot from 27 ft,,18-10,,
0:48.0,,,18-10,,Defensive rebound by J. Terry
0:35.0,,,18-10,,M. Dellavedova misses 2-pt shot from 3 ft
0:33.0,Defensive rebound by P. Patterson,,18-10,,
0:24.0,Shooting foul by G. Monroe (drawn by D. Wright),,18-10,,
0:24.0,D. Wright misses free throw 1 of 2,,18-10,,
0:24.0,Offensive rebound by Team,,18-10,,
0:24.0,D. Wright makes free throw 2 of 2,1,19-10,,
0:24.0,,,18-10,,K. Middleton enters the game for T. Snell
0:04.0,,,19-10,,Shooting foul by P. Tucker (drawn by K. Middleton)
0:04.0,,,19-11,1,K. Middleton makes free throw 1 of 2
0:04.0,,,19-12,1,K. Middleton makes free throw 2 of 2
0:00.0,D. Wright misses 3-pt shot from 27 ft,,19-12,,
0:00.0,Offensive rebound by Team,,19-12,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,19-12,,Shooting foul by P. Patterson (drawn by S. Hawes)
11:41.0,,,19-12,,S. Hawes misses free throw 1 of 2
11:41.0,,,19-12,,Offensive rebound by Team
11:41.0,,,19-13,1,S. Hawes makes free throw 2 of 2
11:41.0,S. Ibaka enters the game for J. Poeltl,,19-12,,
11:27.0,S. Ibaka misses 2-pt shot from 17 ft,,19-13,,
11:26.0,,,19-13,,Defensive rebound by S. Hawes
11:12.0,Def 3 sec tech foul by P. Patterson,,19-13,,
11:12.0,,,19-14,1,K. Middleton makes technical free throw
10:59.0,,,19-14,,M. Brogdon misses 2-pt shot at rim
10:57.0,Defensive rebound by S. Ibaka,,19-14,,
10:49.0,N. Powell misses 2-pt shot from 3 ft,,19-14,,
10:48.0,,,19-14,,Defensive rebound by S. Hawes
10:37.0,,,19-17,3,K. Middleton makes 3-pt shot from 25 ft (assist by J. Terry)
10:13.0,P. Tucker makes 2-pt shot at rim (assist by D. Wright),2,21-17,,
10:03.0,,,21-17,,M. Teletovic misses 3-pt shot from 30 ft
10:02.0,Defensive rebound by N. Powell,,21-17,,
9:55.0,N. Powell makes 2-pt shot from 17 ft,2,23-17,,
9:28.0,,,23-20,3,J. Terry makes 3-pt shot from 26 ft (assist by M. Brogdon)
9:14.0,,,23-20,,Personal foul by J. Terry (drawn by N. Powell)
9:00.0,D. Wright misses 3-pt shot from 26 ft,,23-20,,
8:59.0,,,23-20,,Defensive rebound by J. Terry
8:53.0,,,23-22,2,S. Hawes makes 2-pt shot from 1 ft (assist by M. Brogdon)
8:45.0,Toronto full timeout,,23-22,,
8:33.0,S. Ibaka misses 2-pt shot from 17 ft,,23-22,,
8:32.0,,,23-22,,Defensive rebound by J. Terry
8:20.0,,,23-24,2,M. Brogdon makes 2-pt shot from 3 ft
7:51.0,Turnover by Team (shot clock),,23-24,,
7:41.0,,,23-26,2,M. Brogdon makes 2-pt shot at rim
7:33.0,Shooting foul by M. Teletovic (drawn by N. Powell),,23-26,,
7:33.0,N. Powell makes free throw 1 of 2,1,24-26,,
7:33.0,N. Powell makes free throw 2 of 2,1,25-26,,
7:33.0,,,24-26,,M. Dellavedova enters the game for J. Terry
7:33.0,C. Joseph enters the game for D. Wright,,24-26,,
7:14.0,,,25-26,,M. Teletovic misses 2-pt shot from 8 ft
7:13.0,Defensive rebound by P. Patterson,,25-26,,
7:07.0,C. Joseph misses 3-pt shot from 24 ft,,25-26,,
7:06.0,,,25-26,,Defensive rebound by S. Hawes
6:59.0,,,25-28,2,K. Middleton makes 2-pt shot from 1 ft
6:36.0,N. Powell misses 2-pt shot from 5 ft (block by S. Hawes),,25-28,,
6:34.0,,,25-28,,Defensive rebound by M. Dellavedova
6:31.0,,,25-28,,Shooting foul by C. Joseph (drawn by M. Brogdon)
6:31.0,,,25-29,1,M. Brogdon makes free throw 1 of 2
6:31.0,,,25-30,1,M. Brogdon makes free throw 2 of 2
6:31.0,,,25-29,,G. Antetokounmpo enters the game for M. Teletovic
6:31.0,D. DeRozan enters the game for P. Patterson,,25-29,,
6:31.0,J. Valanciunas enters the game for N. Powell,,25-29,,
6:31.0,D. Carroll enters the game for P. Tucker,,25-29,,
6:17.0,D. DeRozan makes 2-pt shot from 5 ft,2,27-30,,
5:56.0,,,27-32,2,K. Middleton makes 2-pt shot from 17 ft
5:36.0,D. DeRozan misses 2-pt shot from 19 ft,,27-32,,
5:34.0,,,27-32,,Defensive rebound by K. Middleton
5:21.0,,,27-32,,M. Dellavedova misses 2-pt shot from 21 ft
5:21.0,Defensive rebound by D. Carroll,,27-32,,
5:11.0,Offensive foul by J. Valanciunas,,27-32,,
5:11.0,Turnover by J. Valanciunas (offensive foul),,27-32,,
5:11.0,Official timeout,,27-32,,
4:59.0,,,27-34,2,S. Hawes makes 2-pt shot from 11 ft (assist by M. Dellavedova)
4:38.0,D. DeRozan misses 2-pt shot from 19 ft,,27-34,,
4:37.0,,,27-34,,Defensive rebound by G. Antetokounmpo
4:30.0,,,27-34,,G. Antetokounmpo misses 2-pt shot at rim
4:27.0,Defensive rebound by C. Joseph,,27-34,,
4:20.0,,,27-34,,Personal block foul by G. Antetokounmpo (drawn by C. Joseph)
4:11.0,Shooting foul by M. Brogdon (drawn by D. DeRozan),,27-34,,
4:11.0,D. DeRozan makes 2-pt shot from 3 ft (assist by C. Joseph),2,29-34,,
4:11.0,D. DeRozan makes free throw 1 of 1,1,30-34,,
3:59.0,,,30-37,3,S. Hawes makes 3-pt shot from 27 ft (assist by M. Dellavedova)
