time,Phoenix,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Gobert (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. R. Gobert (E. Bledsoe gains possession)
11:44.0,T. Chandler misses 2-pt shot from 1 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by R. Gobert
11:23.0,,,0-2,2,D. Favors makes 2-pt shot from 21 ft (assist by R. Hood)
11:06.0,E. Bledsoe makes 2-pt shot from 13 ft,2,2-2,,
10:41.0,,,2-2,,G. Hayward misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by T. Chandler,,2-2,,
10:29.0,M. Chriss misses 2-pt shot from 2 ft,,2-2,,
10:28.0,Offensive rebound by T. Chandler,,2-2,,
10:27.0,T. Chandler makes 2-pt shot from 2 ft,2,4-2,,
10:05.0,,,4-4,2,D. Favors makes 2-pt shot from 2 ft (assist by G. Hill)
9:48.0,D. Booker misses 2-pt shot from 12 ft,,4-4,,
9:47.0,,,4-4,,Defensive rebound by G. Hayward
9:37.0,,,4-6,2,R. Gobert makes 2-pt shot at rim (assist by D. Favors)
9:12.0,E. Bledsoe misses 2-pt shot from 3 ft,,4-6,,
9:12.0,,,4-6,,Defensive rebound by D. Favors
9:01.0,,,4-6,,G. Hill misses 2-pt shot from 22 ft
9:00.0,Defensive rebound by D. Booker,,4-6,,
8:50.0,D. Booker makes 2-pt shot from 2 ft,2,6-6,,
8:43.0,,,6-6,,Shooting foul by E. Bledsoe (drawn by G. Hill)
8:43.0,,,6-7,1,G. Hill makes free throw 1 of 2
8:43.0,,,6-7,,G. Hill misses free throw 2 of 2
8:42.0,Defensive rebound by E. Bledsoe,,6-7,,
8:34.0,T. Warren misses 3-pt shot from 24 ft,,6-7,,
8:34.0,,,6-7,,Defensive rebound by G. Hayward
8:22.0,,,6-9,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Favors)
8:00.0,M. Chriss misses 2-pt shot from 5 ft,,6-9,,
7:58.0,,,6-9,,Defensive rebound by R. Hood
7:45.0,,,6-11,2,G. Hayward makes 2-pt shot from 16 ft
7:43.0,Phoenix full timeout,,6-11,,
7:19.0,E. Bledsoe misses 2-pt shot from 4 ft,,6-11,,
7:18.0,,,6-11,,Defensive rebound by G. Hill
7:04.0,,,6-11,,D. Favors misses 2-pt shot from 16 ft
7:03.0,Defensive rebound by T. Warren,,6-11,,
6:58.0,D. Booker makes 2-pt shot from 13 ft,2,8-11,,
6:58.0,Shooting foul by R. Hood (drawn by D. Booker),,8-11,,
6:58.0,D. Booker makes free throw 1 of 1,1,9-11,,
6:58.0,,,8-11,,S. Mack enters the game for G. Hill
6:43.0,,,9-11,,R. Hood misses 2-pt shot from 21 ft
6:42.0,Defensive rebound by E. Bledsoe,,9-11,,
6:29.0,D. Booker makes 2-pt shot from 23 ft,2,11-11,,
6:05.0,,,11-13,2,S. Mack makes 2-pt shot from 11 ft
5:54.0,,,11-13,,Personal foul by R. Hood (drawn by D. Booker)
5:54.0,,,11-13,,J. Ingles enters the game for R. Hood
5:54.0,P. Tucker enters the game for M. Chriss,,11-13,,
5:41.0,P. Tucker misses 2-pt shot from 4 ft (block by D. Favors),,11-13,,
5:41.0,Offensive rebound by Team,,11-13,,
5:41.0,,,11-13,,B. Diaw enters the game for D. Favors
5:39.0,D. Booker makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,13-13,,
5:27.0,,,13-13,,Turnover by S. Mack (bad pass; steal by D. Booker)
5:21.0,D. Booker misses 2-pt shot from 2 ft (block by R. Gobert),,13-13,,
5:20.0,,,13-13,,Defensive rebound by G. Hayward
5:15.0,,,13-15,2,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hayward)
5:15.0,,,13-15,,Shooting foul by P. Tucker (drawn by R. Gobert)
5:15.0,,,13-16,1,R. Gobert makes free throw 1 of 1
4:59.0,T. Chandler makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,15-16,,
4:48.0,,,15-16,,Turnover by J. Ingles (bad pass)
4:39.0,E. Bledsoe makes 3-pt shot from 24 ft,3,18-16,,
4:22.0,,,18-19,3,J. Ingles makes 3-pt shot from 25 ft (assist by B. Diaw)
3:58.0,D. Booker makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,21-19,,
3:58.0,,,21-19,,Utah full timeout
3:58.0,A. Len enters the game for T. Chandler,,21-19,,
3:45.0,,,21-22,3,S. Mack makes 3-pt shot from 24 ft
3:20.0,D. Booker makes 2-pt shot from 8 ft,2,23-22,,
3:04.0,,,23-24,2,G. Hayward makes 2-pt shot from 20 ft
2:43.0,D. Booker makes 2-pt shot from 21 ft,2,25-24,,
2:33.0,,,25-24,,Turnover by S. Mack (lost ball; steal by T. Warren)
2:31.0,,,25-24,,Personal foul by S. Mack
2:31.0,,,25-24,,J. Johnson enters the game for G. Hayward
2:20.0,E. Bledsoe misses 2-pt shot from 11 ft,,25-24,,
2:19.0,Offensive rebound by A. Len,,25-24,,
2:17.0,A. Len makes 2-pt shot from 2 ft,2,27-24,,
2:01.0,,,27-24,,Turnover by S. Mack (traveling)
2:01.0,,,27-24,,G. Hill enters the game for S. Mack
2:01.0,B. Knight enters the game for E. Bledsoe,,27-24,,
1:37.0,Turnover by Team (shot clock),,27-24,,
1:27.0,,,27-26,2,G. Hill makes 2-pt shot from 3 ft
1:09.0,,,27-26,,Personal foul by G. Hill (drawn by D. Booker)
1:09.0,,,27-26,,D. Favors enters the game for R. Gobert
0:57.0,P. Tucker misses 2-pt shot from 17 ft,,27-26,,
0:57.0,,,27-26,,Defensive rebound by D. Favors
0:51.0,Violation by T. Warren (kicked ball),,27-26,,
0:43.0,,,27-29,3,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hill)
0:30.0,D. Booker makes 2-pt shot from 7 ft,2,29-29,,
0:06.0,,,29-29,,G. Hill misses 2-pt shot from 18 ft
0:05.0,Defensive rebound by P. Tucker,,29-29,,
0:01.0,Offensive charge foul by A. Len,,29-29,,
0:01.0,Turnover by A. Len (offensive foul),,29-29,,
0:01.0,,,29-29,,R. Neto enters the game for G. Hill
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Personal foul by L. Barbosa (drawn by J. Ingles),,29-29,,
11:36.0,,,29-29,,J. Ingles misses 2-pt shot from 6 ft (block by A. Len)
11:34.0,Defensive rebound by A. Len,,29-29,,
11:18.0,A. Len misses 2-pt shot from 6 ft,,29-29,,
11:17.0,,,29-29,,Defensive rebound by B. Diaw
10:59.0,,,29-31,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Neto)
10:47.0,B. Knight misses 2-pt shot from 14 ft,,29-31,,
10:47.0,,,29-31,,Defensive rebound by D. Favors
10:30.0,,,29-31,,R. Neto misses 2-pt shot from 3 ft
10:28.0,,,29-31,,Offensive rebound by D. Favors
10:28.0,,,29-33,2,D. Favors makes 2-pt shot from 1 ft
10:27.0,Phoenix full timeout,,29-33,,
10:27.0,,,29-33,,R. Hood enters the game for J. Ingles
10:27.0,,,29-33,,T. Lyles enters the game for B. Diaw
10:15.0,Turnover by D. Bender (lost ball),,29-33,,
9:58.0,,,29-33,,T. Lyles misses 3-pt shot from 23 ft
9:58.0,Defensive rebound by L. Barbosa,,29-33,,
