time,Toronto,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Valanciunas,,,,Jump ball: C. Capela vs. J. Valanciunas
11:40.0,J. Valanciunas makes 2-pt shot from 9 ft,2,2-0,,
11:24.0,,,2-0,,T. Ariza misses 3-pt shot from 26 ft
11:23.0,Defensive rebound by P. Siakam,,2-0,,
11:11.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan),2,4-0,,
10:46.0,,,4-2,2,P. Beverley makes 2-pt shot from 11 ft (assist by T. Ariza)
10:29.0,D. DeRozan misses 2-pt shot from 5 ft (block by C. Capela),,4-2,,
10:27.0,Offensive rebound by J. Valanciunas,,4-2,,
10:21.0,J. Valanciunas makes 2-pt shot from 1 ft,2,6-2,,
10:17.0,,,6-2,,R. Anderson misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by J. Valanciunas,,6-2,,
10:07.0,J. Valanciunas misses 2-pt shot from 4 ft (block by C. Capela),,6-2,,
10:07.0,Offensive rebound by Team,,6-2,,
10:05.0,Shooting foul by P. Beverley (drawn by D. DeRozan),,6-2,,
10:05.0,D. DeRozan makes free throw 1 of 2,1,7-2,,
10:05.0,D. DeRozan makes free throw 2 of 2,1,8-2,,
9:58.0,Violation by J. Valanciunas (kicked ball),,8-2,,
9:46.0,,,8-4,2,R. Anderson makes 2-pt shot from 1 ft (assist by J. Harden)
9:35.0,Turnover by D. Carroll (bad pass),,8-4,,
9:20.0,,,8-6,2,C. Capela makes 2-pt shot from 7 ft (assist by R. Anderson)
9:00.0,D. DeRozan misses 2-pt shot from 20 ft,,8-6,,
8:58.0,Offensive rebound by D. Carroll,,8-6,,
8:53.0,D. Carroll makes 2-pt shot from 22 ft,2,10-6,,
8:42.0,,,10-6,,Turnover by P. Beverley (bad pass; steal by D. Carroll)
8:38.0,K. Lowry makes 2-pt shot from 3 ft (assist by D. Carroll),2,12-6,,
8:16.0,,,12-6,,R. Anderson misses 2-pt shot from 1 ft (block by J. Valanciunas)
8:13.0,,,12-6,,Offensive rebound by R. Anderson
8:11.0,,,12-8,2,T. Ariza makes 2-pt shot from 2 ft (assist by R. Anderson)
7:47.0,D. Carroll misses 3-pt shot from 26 ft,,12-8,,
7:45.0,Offensive rebound by J. Valanciunas,,12-8,,
7:37.0,J. Valanciunas misses 2-pt shot from 18 ft,,12-8,,
7:36.0,,,12-8,,Defensive rebound by R. Anderson
7:26.0,,,12-8,,Turnover by J. Harden (bad pass; steal by D. Carroll)
7:20.0,D. Carroll makes 2-pt shot from 3 ft (assist by K. Lowry),2,14-8,,
7:03.0,,,14-8,,P. Beverley misses 3-pt shot from 23 ft
7:02.0,Defensive rebound by J. Valanciunas,,14-8,,
6:49.0,J. Valanciunas misses 2-pt shot from 5 ft,,14-8,,
6:47.0,,,14-8,,Defensive rebound by C. Capela
6:38.0,,,14-8,,T. Ariza misses 3-pt shot from 25 ft
6:37.0,,,14-8,,Offensive rebound by Team
6:24.0,,,14-10,2,R. Anderson makes 2-pt shot from 22 ft
6:07.0,,,14-10,,Personal foul by T. Ariza (drawn by D. DeRozan)
6:01.0,D. DeRozan misses 2-pt shot from 21 ft,,14-10,,
5:59.0,,,14-10,,Defensive rebound by P. Beverley
5:53.0,,,14-12,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:44.0,Turnover by K. Lowry (lost ball; steal by J. Harden),,14-12,,
5:40.0,,,14-14,2,P. Beverley makes 2-pt shot from 2 ft (assist by J. Harden)
5:33.0,Turnover by K. Lowry (offensive foul),,14-14,,
5:33.0,Offensive foul by K. Lowry,,14-14,,
5:33.0,,,14-14,,Houston full timeout
5:33.0,,,14-14,,N. Hilario enters the game for C. Capela
5:33.0,,,14-14,,E. Gordon enters the game for P. Beverley
5:24.0,,,14-14,,N. Hilario misses 2-pt shot from 4 ft (block by D. Carroll)
5:23.0,Defensive rebound by J. Valanciunas,,14-14,,
5:16.0,K. Lowry makes 2-pt shot from 4 ft,2,16-14,,
5:01.0,,,16-14,,Turnover by J. Harden (traveling)
4:45.0,D. Carroll misses 2-pt shot from 19 ft,,16-14,,
4:42.0,,,16-14,,Defensive rebound by J. Harden
4:42.0,,,16-14,,Turnover by J. Harden (step out of bounds)
4:42.0,C. Joseph enters the game for K. Lowry,,16-14,,
4:29.0,Turnover by J. Valanciunas (bad pass; steal by R. Anderson),,16-14,,
4:10.0,,,16-14,,T. Ariza misses 2-pt shot from 3 ft
4:10.0,Defensive rebound by J. Valanciunas,,16-14,,
4:10.0,,,16-14,,Personal foul by R. Anderson (drawn by J. Valanciunas)
3:45.0,C. Joseph misses 2-pt shot from 18 ft,,16-14,,
3:45.0,Offensive rebound by Team,,16-14,,
3:45.0,Turnover by Team (shot clock),,16-14,,
3:35.0,,,16-14,,Turnover by J. Harden (bad pass; steal by D. DeRozan)
3:29.0,P. Siakam makes 2-pt shot at rim (assist by D. DeRozan),2,18-14,,
3:14.0,,,18-14,,R. Anderson misses 3-pt shot from 28 ft
3:13.0,Defensive rebound by J. Valanciunas,,18-14,,
3:07.0,Shooting foul by J. Harden (drawn by C. Joseph),,18-14,,
3:07.0,C. Joseph makes free throw 1 of 2,1,19-14,,
3:07.0,C. Joseph makes free throw 2 of 2,1,20-14,,
3:07.0,P. Patterson enters the game for P. Siakam,,19-14,,
3:07.0,T. Ross enters the game for D. Carroll,,19-14,,
3:07.0,,,19-14,,S. Dekker enters the game for R. Anderson
2:49.0,,,20-14,,T. Ariza misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by J. Valanciunas,,20-14,,
2:33.0,T. Ross makes 2-pt shot from 22 ft (assist by J. Valanciunas),2,22-14,,
2:15.0,,,22-14,,E. Gordon misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by J. Valanciunas,,22-14,,
2:01.0,Turnover by J. Valanciunas (bad pass; steal by J. Harden),,22-14,,
1:58.0,,,22-14,,Shooting foul by P. Patterson (drawn by J. Harden)
1:58.0,Toronto full timeout,,22-14,,
1:58.0,,,22-15,1,J. Harden makes free throw 1 of 2
1:58.0,,,22-16,1,J. Harden makes free throw 2 of 2
1:58.0,L. Nogueira enters the game for J. Valanciunas,,22-14,,
1:36.0,T. Ross misses 2-pt shot from 19 ft,,22-16,,
1:35.0,,,22-16,,Defensive rebound by N. Hilario
1:22.0,,,22-16,,Turnover by E. Gordon (traveling)
1:05.0,C. Joseph makes 2-pt shot from 4 ft,2,24-16,,
0:56.0,,,24-18,2,N. Hilario makes 2-pt shot from 18 ft (assist by S. Dekker)
0:38.0,C. Joseph misses 2-pt shot from 19 ft,,24-18,,
0:35.0,,,24-18,,Defensive rebound by J. Harden
0:30.0,,,24-18,,J. Harden misses 3-pt shot from 27 ft
0:27.0,Defensive rebound by C. Joseph,,24-18,,
0:06.0,D. DeRozan misses 2-pt shot from 20 ft,,24-18,,
0:04.0,,,24-18,,Defensive rebound by S. Dekker
0:00.0,,,24-20,2,J. Harden makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-20,,E. Gordon misses 2-pt shot from 3 ft (block by C. Joseph)
11:47.0,Defensive rebound by Team,,24-20,,
11:37.0,T. Ross misses 3-pt shot from 26 ft,,24-20,,
11:35.0,Offensive rebound by L. Nogueira,,24-20,,
11:33.0,L. Nogueira misses 2-pt shot from 5 ft (block by C. Brewer),,24-20,,
11:29.0,,,24-20,,Defensive rebound by C. Capela
11:23.0,,,24-20,,Turnover by E. Gordon (lost ball; steal by C. Joseph)
11:21.0,T. Ross misses 2-pt shot from 3 ft,,24-20,,
11:15.0,Offensive rebound by K. Lowry,,24-20,,
11:12.0,K. Lowry misses 2-pt shot from 4 ft (block by C. Capela),,24-20,,
11:11.0,Offensive rebound by T. Ross,,24-20,,
11:07.0,T. Ross misses 2-pt shot from 20 ft,,24-20,,
11:04.0,,,24-20,,Defensive rebound by P. Beverley
10:53.0,,,24-23,3,S. Dekker makes 3-pt shot from 25 ft (assist by P. Beverley)
10:33.0,P. Patterson misses 2-pt shot from 9 ft,,24-23,,
10:32.0,,,24-23,,Defensive rebound by S. Dekker
10:16.0,,,24-26,3,C. Brewer makes 3-pt shot from 25 ft (assist by P. Beverley)
9:58.0,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry),3,27-26,,
9:42.0,,,27-26,,C. Brewer misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by Team,,27-26,,
9:41.0,C. Joseph misses 2-pt shot from 7 ft (block by E. Gordon),,27-26,,
9:41.0,Offensive rebound by L. Nogueira,,27-26,,
9:39.0,T. Ross makes 3-pt shot from 24 ft (assist by L. Nogueira),3,30-26,,
9:21.0,,,30-28,2,E. Gordon makes 2-pt shot from 3 ft (assist by S. Dekker)
9:06.0,K. Lowry makes 3-pt shot from 26 ft (assist by C. Joseph),3,33-28,,
8:41.0,,,33-28,,S. Dekker misses 3-pt shot from 26 ft
8:40.0,Defensive rebound by T. Ross,,33-28,,
8:32.0,Turnover by K. Lowry (bad pass),,33-28,,
8:32.0,Official timeout,,33-28,,
8:09.0,,,33-30,2,C. Brewer makes 2-pt shot from 3 ft (assist by E. Gordon)
7:51.0,C. Joseph misses 2-pt shot from 3 ft (block by C. Capela),,33-30,,
7:49.0,,,33-30,,Defensive rebound by S. Dekker
7:43.0,,,33-30,,E. Gordon misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by P. Patterson,,33-30,,
7:30.0,T. Ross makes 3-pt shot from 27 ft (assist by K. Lowry),3,36-30,,
7:13.0,,,36-32,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
7:07.0,,,36-32,,Personal foul by E. Gordon (drawn by C. Joseph)
6:46.0,K. Lowry misses 3-pt shot from 23 ft,,36-32,,
6:45.0,,,36-32,,Defensive rebound by C. Brewer
6:36.0,,,36-32,,Turnover by C. Brewer (traveling)
6:25.0,C. Joseph makes 2-pt shot from 11 ft,2,38-32,,
6:12.0,,,38-32,,S. Dekker misses 3-pt shot from 25 ft
6:10.0,,,38-32,,Offensive rebound by C. Capela
6:01.0,,,38-32,,E. Gordon misses 3-pt shot from 28 ft
6:00.0,Defensive rebound by T. Ross,,38-32,,
5:52.0,T. Ross misses 2-pt shot from 18 ft,,38-32,,
5:51.0,,,38-32,,Defensive rebound by E. Gordon
5:43.0,,,38-32,,S. Dekker misses 2-pt shot from 3 ft
5:42.0,,,38-32,,Offensive rebound by C. Capela
5:38.0,,,38-34,2,C. Capela makes 2-pt shot from 2 ft
5:33.0,Toronto full timeout,,38-34,,
5:33.0,J. Valanciunas enters the game for C. Joseph,,38-34,,
5:33.0,D. DeRozan enters the game for L. Nogueira,,38-34,,
5:33.0,,,38-34,,T. Ariza enters the game for P. Beverley
5:33.0,,,38-34,,R. Anderson enters the game for S. Dekker
5:33.0,,,38-34,,J. Harden enters the game for C. Brewer
5:12.0,K. Lowry makes 2-pt shot from 8 ft,2,40-34,,
5:00.0,,,40-34,,Turnover by J. Harden (bad pass; steal by P. Patterson)
4:48.0,D. DeRozan misses 3-pt shot from 23 ft,,40-34,,
4:46.0,,,40-34,,Defensive rebound by C. Capela
4:41.0,,,40-34,,E. Gordon misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by D. DeRozan,,40-34,,
4:28.0,K. Lowry misses 2-pt shot from 8 ft,,40-34,,
4:26.0,Offensive rebound by J. Valanciunas,,40-34,,
4:26.0,J. Valanciunas makes 2-pt shot from 2 ft,2,42-34,,
4:07.0,,,42-34,,R. Anderson misses 2-pt shot from 4 ft (block by T. Ross)
4:05.0,Defensive rebound by P. Patterson,,42-34,,
4:01.0,T. Ross makes 2-pt shot from 1 ft (assist by D. DeRozan),2,44-34,,
4:01.0,,,44-34,,Houston full timeout
4:01.0,,,44-34,,P. Beverley enters the game for E. Gordon
4:01.0,D. Carroll enters the game for P. Patterson,,44-34,,
4:01.0,P. Siakam enters the game for T. Ross,,44-34,,
3:45.0,,,44-34,,P. Beverley misses 2-pt shot from 8 ft
3:44.0,,,44-34,,Offensive rebound by R. Anderson
3:44.0,,,44-34,,R. Anderson misses 2-pt shot from 1 ft
3:43.0,,,44-34,,Offensive rebound by P. Beverley
3:41.0,,,44-34,,C. Capela misses 2-pt shot from 2 ft
3:35.0,Defensive rebound by J. Valanciunas,,44-34,,
3:32.0,,,44-34,,Shooting block foul by T. Ariza (drawn by K. Lowry)
3:32.0,K. Lowry makes free throw 1 of 2,1,45-34,,
3:32.0,K. Lowry misses free throw 2 of 2,,45-34,,
3:32.0,,,45-34,,M. Harrell enters the game for C. Capela
3:31.0,,,45-34,,Defensive rebound by M. Harrell
3:19.0,,,45-34,,Turnover by R. Anderson (lost ball; steal by D. DeRozan)
3:16.0,Turnover by J. Valanciunas (bad pass; steal by P. Beverley),,45-34,,
3:11.0,,,45-34,,J. Harden misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by D. Carroll,,45-34,,
2:55.0,P. Siakam misses 2-pt shot from 6 ft,,45-34,,
