time,Chicago,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,T. Gibson misses 2-pt shot from 4 ft,,0-0,,
12:00.0,Jump ball: C. Capela vs. R. Lopez (M. Carter-Williams gains possession),,,,Jump ball: C. Capela vs. R. Lopez (M. Carter-Williams gains possession)
11:37.0,,,0-0,,Defensive rebound by P. Beverley
11:28.0,,,0-0,,R. Anderson misses 3-pt shot from 30 ft
11:27.0,Defensive rebound by R. Lopez,,0-0,,
11:21.0,Turnover by M. Carter-Williams (lost ball; steal by J. Harden),,0-0,,
11:13.0,,,0-0,,P. Beverley misses 3-pt shot from 27 ft
11:12.0,Defensive rebound by D. Wade,,0-0,,
11:03.0,T. Gibson makes 2-pt shot from 18 ft (assist by D. Wade),2,2-0,,
10:43.0,,,2-3,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
10:22.0,Turnover by D. Wade (bad pass; steal by J. Harden),,2-3,,
10:15.0,,,2-3,,C. Capela misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by R. Lopez,,2-3,,
9:59.0,R. Lopez misses 2-pt shot from 20 ft,,2-3,,
9:58.0,,,2-3,,Defensive rebound by J. Harden
9:48.0,,,2-3,,R. Anderson misses 3-pt shot from 27 ft
9:47.0,Defensive rebound by M. Carter-Williams,,2-3,,
9:40.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,4-3,,
9:21.0,,,4-3,,Shooting foul by D. Wade (drawn by R. Anderson)
9:21.0,,,4-3,,R. Anderson misses free throw 1 of 2
9:21.0,Defensive rebound by Team,,4-3,,
9:21.0,,,4-3,,R. Anderson misses free throw 2 of 2
9:21.0,Offensive rebound by R. Lopez,,4-3,,
9:03.0,T. Gibson makes 2-pt shot from 1 ft,2,6-3,,
8:47.0,,,6-3,,R. Anderson misses 3-pt shot from 23 ft
8:46.0,Defensive rebound by M. Carter-Williams,,6-3,,
8:31.0,R. Lopez makes 2-pt shot from 8 ft,2,8-3,,
8:07.0,,,8-5,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
7:47.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by T. Gibson),2,10-5,,
7:33.0,,,10-8,3,J. Harden makes 3-pt shot from 25 ft
7:16.0,D. Wade misses 2-pt shot from 11 ft,,10-8,,
7:15.0,,,10-8,,Defensive rebound by J. Harden
7:04.0,,,10-8,,T. Ariza misses 3-pt shot from 23 ft
7:03.0,Defensive rebound by R. Lopez,,10-8,,
7:02.0,,,10-8,,Personal foul by R. Anderson (drawn by T. Gibson)
6:51.0,T. Gibson misses 2-pt shot from 4 ft,,10-8,,
6:49.0,,,10-8,,Defensive rebound by C. Capela
6:42.0,Personal foul by M. Carter-Williams (drawn by R. Anderson),,10-8,,
6:34.0,,,10-8,,J. Harden misses 2-pt shot from 9 ft
6:34.0,Defensive rebound by Team,,10-8,,
6:34.0,,,10-8,,Loose ball foul by J. Harden (drawn by R. Lopez)
6:12.0,D. Wade misses 2-pt shot from 23 ft,,10-8,,
6:10.0,,,10-8,,Defensive rebound by R. Anderson
6:01.0,,,10-11,3,J. Harden makes 3-pt shot from 26 ft
5:39.0,J. Grant misses 3-pt shot from 24 ft,,10-11,,
5:37.0,,,10-11,,Defensive rebound by C. Capela
5:23.0,,,10-11,,J. Harden misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by D. Wade,,10-11,,
5:15.0,D. Wade misses 2-pt shot from 11 ft,,10-11,,
5:14.0,,,10-11,,Defensive rebound by C. Capela
5:03.0,,,10-13,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:03.0,Chicago full timeout,,10-13,,
5:03.0,P. Zipser enters the game for D. Wade,,10-13,,
5:03.0,,,10-13,,E. Gordon enters the game for P. Beverley
4:49.0,M. Carter-Williams makes 2-pt shot from 16 ft (assist by T. Gibson),2,12-13,,
4:34.0,,,12-13,,T. Ariza misses 3-pt shot from 26 ft
4:33.0,Defensive rebound by P. Zipser,,12-13,,
4:18.0,R. Lopez makes 2-pt shot from 3 ft (assist by M. Carter-Williams),2,14-13,,
3:55.0,,,14-16,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
3:34.0,Turnover by J. Grant (bad pass; steal by T. Ariza),,14-16,,
3:29.0,,,14-16,,J. Harden misses 2-pt shot from 3 ft (block by P. Zipser)
3:29.0,,,14-16,,Offensive rebound by Team
3:29.0,N. Mirotic enters the game for T. Gibson,,14-16,,
3:29.0,R. Rondo enters the game for J. Grant,,14-16,,
3:29.0,,,14-16,,S. Dekker enters the game for R. Anderson
3:18.0,,,14-18,2,J. Harden makes 2-pt shot from 17 ft
3:10.0,Turnover by R. Rondo (step out of bounds),,14-18,,
3:02.0,,,14-18,,J. Harden misses 2-pt shot from 3 ft
3:00.0,,,14-18,,Offensive rebound by C. Capela
3:00.0,Jump ball: C. Capela vs. P. Zipser (R. Lopez gains possession),,,,Jump ball: C. Capela vs. P. Zipser (R. Lopez gains possession)
3:00.0,,,14-18,,Turnover by C. Capela (lost ball; steal by P. Zipser)
2:46.0,P. Zipser makes 3-pt shot from 26 ft (assist by M. Carter-Williams),3,17-18,,
2:19.0,,,17-18,,S. Dekker misses 2-pt shot from 9 ft
2:19.0,Defensive rebound by R. Rondo,,17-18,,
2:12.0,N. Mirotic makes 2-pt shot from 2 ft (assist by R. Rondo),2,19-18,,
1:56.0,,,19-18,,Shooting foul by P. Zipser (drawn by T. Ariza)
1:56.0,,,19-18,,Houston full timeout
1:56.0,,,19-18,,T. Ariza misses free throw 1 of 2
1:56.0,,,19-18,,Offensive rebound by Team
1:56.0,,,19-19,1,T. Ariza makes free throw 2 of 2
1:56.0,M. Carter-Williams misses 3-pt shot from 26 ft,,19-19,,
1:56.0,,,19-19,,Defensive rebound by J. Harden
1:56.0,C. Felicio enters the game for R. Lopez,,19-18,,
1:56.0,,,19-18,,M. Harrell enters the game for C. Capela
1:41.0,,,19-22,3,J. Harden makes 3-pt shot from 26 ft (assist by M. Harrell)
1:28.0,R. Rondo misses 2-pt shot from 17 ft,,19-22,,
1:28.0,Offensive rebound by Team,,19-22,,
1:28.0,,,19-22,,Loose ball foul by S. Dekker (drawn by N. Mirotic)
1:23.0,P. Zipser makes 2-pt shot from 3 ft (assist by N. Mirotic),2,21-22,,
1:03.0,,,21-22,,E. Gordon misses 3-pt shot from 27 ft
1:02.0,Defensive rebound by N. Mirotic,,21-22,,
0:51.0,N. Mirotic makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,23-22,,
0:38.0,,,23-24,2,S. Dekker makes 2-pt shot from 2 ft (assist by E. Gordon)
0:24.0,N. Mirotic misses 2-pt shot from 3 ft (block by J. Harden),,23-24,,
0:21.0,,,23-24,,Defensive rebound by S. Dekker
0:17.0,,,23-24,,M. Harrell misses 2-pt shot from 2 ft
0:15.0,Defensive rebound by M. Carter-Williams,,23-24,,
0:05.0,R. Rondo makes 3-pt shot from 23 ft (assist by N. Mirotic),3,26-24,,
0:00.0,,,26-24,,J. Harden misses 2-pt shot from 10 ft (block by M. Carter-Williams)
0:00.0,,,26-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,26-24,,Turnover by P. Beverley (bad pass; steal by N. Mirotic)
11:34.0,R. Rondo misses 2-pt shot from 4 ft,,26-24,,
11:32.0,,,26-24,,Defensive rebound by P. Beverley
11:26.0,,,26-26,2,C. Brewer makes 2-pt shot from 3 ft (assist by P. Beverley)
11:12.0,D. McDermott makes 3-pt shot from 24 ft (assist by R. Rondo),3,29-26,,
11:03.0,,,29-26,,Turnover by E. Gordon (bad pass; steal by R. Rondo)
10:54.0,D. McDermott misses 2-pt shot from 20 ft,,29-26,,
10:53.0,,,29-26,,Defensive rebound by C. Brewer
10:44.0,,,29-29,3,E. Gordon makes 3-pt shot from 27 ft (assist by S. Dekker)
10:26.0,N. Mirotic misses 2-pt shot from 16 ft,,29-29,,
10:24.0,,,29-29,,Defensive rebound by P. Beverley
10:18.0,,,29-32,3,E. Gordon makes 3-pt shot from 24 ft (assist by P. Beverley)
9:57.0,,,29-32,,Shooting block foul by P. Beverley (drawn by N. Mirotic)
9:57.0,N. Mirotic makes free throw 1 of 2,1,30-32,,
9:57.0,N. Mirotic makes free throw 2 of 2,1,31-32,,
9:39.0,,,31-34,2,C. Brewer makes 2-pt shot from 3 ft
9:39.0,,,31-34,,Shooting foul by C. Felicio (drawn by C. Brewer)
9:39.0,,,31-35,1,C. Brewer makes free throw 1 of 1
9:25.0,C. Felicio makes 2-pt shot at rim (assist by R. Rondo),2,33-35,,
9:09.0,,,33-35,,P. Beverley misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by N. Mirotic,,33-35,,
8:57.0,Official timeout,,33-35,,
8:57.0,,,33-35,,R. Anderson enters the game for S. Dekker
8:57.0,D. Wade enters the game for P. Zipser,,33-35,,
8:51.0,D. McDermott misses 2-pt shot from 19 ft,,33-35,,
8:50.0,,,33-35,,Defensive rebound by P. Beverley
8:41.0,,,33-38,3,E. Gordon makes 3-pt shot from 26 ft
8:20.0,Turnover by D. Wade (bad pass; steal by C. Brewer),,33-38,,
8:17.0,,,33-38,,E. Gordon misses 2-pt shot from 2 ft (block by C. Felicio)
