time,Oklahoma City,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Dedmon (D. Green gains possession),,,,Jump ball: S. Adams vs. D. Dedmon (D. Green gains possession)
11:42.0,,,0-0,,Turnover by K. Leonard (lost ball)
11:26.0,S. Adams misses 2-pt shot from 5 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by D. Dedmon
11:14.0,,,0-0,,L. Aldridge misses 2-pt shot from 15 ft
11:13.0,Defensive rebound by R. Westbrook,,0-0,,
10:58.0,R. Westbrook makes 2-pt shot from 19 ft,2,2-0,,
10:46.0,Violation by A. Roberson (kicked ball),,2-0,,
10:40.0,,,2-0,,T. Parker misses 2-pt shot from 3 ft
10:37.0,,,2-0,,Offensive rebound by L. Aldridge
10:37.0,,,2-2,2,L. Aldridge makes 2-pt shot from 2 ft
10:24.0,V. Oladipo makes 2-pt shot from 2 ft,2,4-2,,
10:10.0,,,4-4,2,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Parker)
9:48.0,S. Adams misses 2-pt shot from 6 ft,,4-4,,
9:46.0,Offensive rebound by A. Roberson,,4-4,,
9:30.0,A. Roberson misses 3-pt shot from 26 ft,,4-4,,
9:29.0,,,4-4,,Defensive rebound by D. Dedmon
9:14.0,,,4-4,,Turnover by L. Aldridge (bad pass; steal by V. Oladipo)
9:09.0,D. Sabonis makes 2-pt shot from 2 ft (assist by V. Oladipo),2,6-4,,
8:58.0,,,6-4,,L. Aldridge misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by A. Roberson,,6-4,,
8:54.0,,,6-4,,Personal foul by L. Aldridge (drawn by S. Adams)
8:46.0,R. Westbrook misses 2-pt shot from 13 ft (block by D. Green),,6-4,,
8:45.0,Offensive rebound by Team,,6-4,,
8:33.0,R. Westbrook misses 3-pt shot from 25 ft,,6-4,,
8:31.0,,,6-4,,Defensive rebound by D. Dedmon
8:13.0,,,6-4,,L. Aldridge misses 2-pt shot from 10 ft
