time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. T. Thompson (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. T. Thompson (D. Green gains possession)
11:41.0,,,0-0,,D. Green misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by Team,,0-0,,
11:16.0,K. Love misses 2-pt shot from 16 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by Team
11:04.0,Personal foul by K. Irving (drawn by S. Curry),,0-0,,
10:52.0,,,0-0,,S. Curry misses 3-pt shot from 27 ft
10:52.0,,,0-0,,Offensive rebound by D. Green
10:40.0,,,0-0,,D. Green misses 2-pt shot from 8 ft (block by K. Love)
10:39.0,,,0-0,,Offensive rebound by K. Thompson
10:38.0,,,0-0,,K. Thompson misses 2-pt shot from 8 ft
10:37.0,Defensive rebound by L. James,,0-0,,
10:27.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,3-0,,
10:22.0,,,3-0,,K. Durant misses 3-pt shot from 27 ft
10:18.0,,,3-0,,Offensive rebound by Z. Pachulia
10:16.0,,,3-2,2,Z. Pachulia makes 2-pt shot from 5 ft
10:02.0,K. Irving misses 2-pt shot from 5 ft,,3-2,,
10:02.0,,,3-2,,Defensive rebound by Team
10:02.0,Personal foul by T. Thompson (drawn by Z. Pachulia),,3-2,,
9:48.0,,,3-4,2,K. Durant makes 2-pt shot from 2 ft
9:36.0,K. Love misses 3-pt shot from 26 ft,,3-4,,
9:36.0,Offensive rebound by Team,,3-4,,
9:36.0,,,3-4,,Loose ball foul by Z. Pachulia (drawn by T. Thompson)
9:25.0,K. Irving misses 2-pt shot from 16 ft,,3-4,,
9:24.0,,,3-4,,Defensive rebound by S. Curry
9:16.0,,,3-4,,Z. Pachulia misses 2-pt shot from 3 ft
9:15.0,Defensive rebound by K. Love,,3-4,,
9:06.0,L. James misses 2-pt shot from 1 ft,,3-4,,
9:05.0,,,3-4,,Defensive rebound by Z. Pachulia
9:01.0,,,3-4,,K. Durant misses 2-pt shot from 2 ft
9:01.0,Defensive rebound by K. Love,,3-4,,
8:57.0,Shooting foul by D. Green (drawn by L. James),,3-4,,
8:57.0,L. James misses free throw 1 of 2,,3-4,,
8:57.0,Offensive rebound by Team,,3-4,,
8:57.0,L. James makes free throw 2 of 2,1,4-4,,
8:46.0,,,4-6,2,K. Durant makes 2-pt shot at rim (assist by D. Green)
8:32.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,7-6,,
8:17.0,,,7-8,2,K. Thompson makes 2-pt shot from 2 ft (assist by K. Durant)
8:04.0,L. James misses 3-pt shot from 25 ft,,7-8,,
8:03.0,Offensive rebound by K. Irving,,7-8,,
8:00.0,K. Irving misses 2-pt shot from 4 ft,,7-8,,
7:58.0,Offensive rebound by L. James,,7-8,,
7:52.0,K. Irving makes 3-pt shot from 23 ft (assist by L. James),3,10-8,,
7:41.0,,,10-8,,S. Curry misses 3-pt shot from 26 ft
7:41.0,Defensive rebound by K. Love,,10-8,,
7:33.0,Turnover by L. James (bad pass; steal by S. Curry),,10-8,,
7:29.0,,,10-8,,Offensive charge foul by D. Green
7:29.0,,,10-8,,Turnover by D. Green (offensive foul)
7:29.0,,,10-8,,A. Iguodala enters the game for D. Green
7:12.0,K. Irving makes 2-pt shot from 2 ft,2,12-8,,
7:02.0,,,12-10,2,Z. Pachulia makes 2-pt shot at rim (assist by K. Durant)
6:48.0,T. Thompson misses 2-pt shot from 2 ft,,12-10,,
6:47.0,,,12-10,,Defensive rebound by Z. Pachulia
6:43.0,,,12-12,2,A. Iguodala makes 2-pt shot at rim (assist by K. Thompson)
6:43.0,Cleveland full timeout,,12-12,,
6:30.0,Shooting foul by Z. Pachulia (drawn by K. Love),,12-12,,
6:30.0,K. Love makes free throw 1 of 2,1,13-12,,
6:30.0,K. Love makes free throw 2 of 2,1,14-12,,
6:19.0,,,14-14,2,K. Durant makes 2-pt shot from 18 ft (assist by A. Iguodala)
6:03.0,K. Love misses 2-pt shot from 13 ft,,14-14,,
6:03.0,Offensive rebound by Team,,14-14,,
5:52.0,L. James makes 2-pt shot at rim (assist by K. Love),2,16-14,,
5:37.0,,,16-14,,K. Durant misses 2-pt shot from 3 ft (block by L. James)
5:35.0,,,16-14,,Offensive rebound by K. Durant
5:35.0,,,16-14,,K. Durant misses 2-pt shot from 2 ft
5:33.0,Defensive rebound by L. James,,16-14,,
5:32.0,Shooting foul by A. Iguodala (drawn by L. James),,16-14,,
5:32.0,L. James misses free throw 1 of 2,,16-14,,
5:32.0,Offensive rebound by Team,,16-14,,
5:32.0,L. James makes free throw 2 of 2,1,17-14,,
5:32.0,,,16-14,,J. McGee enters the game for Z. Pachulia
5:17.0,,,17-16,2,S. Curry makes 2-pt shot from 17 ft (assist by K. Durant)
5:03.0,Turnover by K. Irving (lost ball; steal by A. Iguodala),,17-16,,
4:56.0,,,17-18,2,K. Durant makes 2-pt shot at rim (assist by S. Curry)
4:28.0,J. Smith misses 2-pt shot from 8 ft,,17-18,,
4:25.0,Offensive rebound by T. Thompson,,17-18,,
4:25.0,T. Thompson misses 2-pt shot from 1 ft,,17-18,,
4:24.0,,,17-18,,Defensive rebound by J. McGee
4:23.0,D. Williams enters the game for K. Love,,17-18,,
4:17.0,,,17-20,2,K. Durant makes 2-pt shot at rim (assist by S. Curry)
4:05.0,Shooting foul by J. McGee (drawn by L. James),,17-20,,
4:05.0,L. James makes free throw 1 of 2,1,18-20,,
4:05.0,L. James makes free throw 2 of 2,1,19-20,,
3:49.0,Violation by D. Williams (kicked ball),,19-20,,
3:36.0,,,19-20,,K. Durant misses 2-pt shot from 19 ft
3:36.0,,,19-20,,Offensive rebound by J. McGee
3:27.0,,,19-22,2,J. McGee makes 2-pt shot at rim (assist by K. Durant)
3:12.0,L. James makes 3-pt shot from 26 ft (assist by D. Williams),3,22-22,,
3:03.0,,,22-22,,S. Curry misses 2-pt shot from 3 ft (block by K. Irving)
3:03.0,,,22-22,,Offensive rebound by Team
3:00.0,,,22-24,2,J. McGee makes 2-pt shot at rim (assist by S. Curry)
2:35.0,L. James makes 2-pt shot at rim (assist by T. Thompson),2,24-24,,
2:30.0,,,24-24,,Shooting foul by D. Williams (drawn by A. Iguodala)
2:30.0,,,24-24,,Golden State full timeout
2:30.0,,,24-24,,A. Iguodala misses free throw 1 of 2
2:30.0,,,24-24,,Offensive rebound by Team
2:30.0,,,24-24,,A. Iguodala misses free throw 2 of 2
2:30.0,,,24-24,,S. Livingston enters the game for K. Thompson
2:28.0,Defensive rebound by L. James,,24-24,,
2:10.0,J. Smith misses 3-pt shot from 23 ft,,24-24,,
2:10.0,,,24-24,,Defensive rebound by S. Curry
2:05.0,,,24-27,3,S. Curry makes 3-pt shot from 31 ft
1:47.0,K. Irving makes 2-pt shot from 2 ft,2,26-27,,
1:31.0,,,26-27,,S. Livingston misses 2-pt shot from 14 ft
1:31.0,Defensive rebound by L. James,,26-27,,
1:21.0,T. Thompson misses 2-pt shot from 2 ft (block by J. McGee),,26-27,,
1:20.0,,,26-27,,Defensive rebound by J. McGee
1:10.0,,,26-27,,S. Curry misses 2-pt shot from 4 ft
1:10.0,,,26-27,,Offensive rebound by J. McGee
1:10.0,,,26-27,,J. McGee misses 2-pt shot from 2 ft
1:09.0,,,26-27,,Offensive rebound by J. McGee
1:06.0,,,26-30,3,S. Curry makes 3-pt shot from 23 ft (assist by J. McGee)
0:56.0,Shooting foul by S. Curry (drawn by L. James),,26-30,,
0:56.0,L. James makes free throw 1 of 2,1,27-30,,
0:56.0,L. James makes free throw 2 of 2,1,28-30,,
0:56.0,R. Jefferson enters the game for J. Smith,,27-30,,
0:41.0,,,28-32,2,S. Curry makes 2-pt shot from 2 ft
0:33.0,K. Irving makes 2-pt shot from 17 ft,2,30-32,,
0:21.0,,,30-32,,S. Curry misses 2-pt shot from 2 ft
0:21.0,,,30-32,,Offensive rebound by S. Livingston
0:06.0,Personal take foul by R. Jefferson (drawn by K. Durant),,30-32,,
0:06.0,,,30-32,,K. Thompson enters the game for S. Livingston
0:06.0,I. Shumpert enters the game for K. Irving,,30-32,,
0:01.0,,,30-35,3,A. Iguodala makes 3-pt shot from 27 ft (assist by K. Durant)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,L. James makes 2-pt shot from 1 ft,2,32-35,,
11:30.0,,,32-35,,D. West misses 2-pt shot from 18 ft
11:30.0,Defensive rebound by R. Jefferson,,32-35,,
11:27.0,,,32-35,,Personal foul by D. West (drawn by K. Korver)
11:21.0,Turnover by L. James (step out of bounds),,32-35,,
11:04.0,,,32-37,2,A. Iguodala makes 2-pt shot at rim (assist by D. West)
10:45.0,D. Williams misses 3-pt shot from 25 ft,,32-37,,
10:45.0,Offensive rebound by L. James,,32-37,,
10:32.0,R. Jefferson misses 3-pt shot from 24 ft,,32-37,,
10:31.0,,,32-37,,Defensive rebound by K. Thompson
10:23.0,,,32-37,,D. West misses 2-pt shot from 18 ft
10:23.0,Defensive rebound by K. Love,,32-37,,
10:16.0,Jump ball: D. Green vs. D. Williams (A. Iguodala gains possession),,,,Jump ball: D. Green vs. D. Williams (A. Iguodala gains possession)
10:16.0,Turnover by D. Williams (lost ball; steal by D. Green),,32-37,,
10:01.0,,,32-37,,K. Thompson misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by L. James,,32-37,,
9:48.0,Turnover by L. James (lost ball; steal by A. Iguodala),,32-37,,
9:38.0,,,32-37,,Shooting foul by D. Williams (drawn by I. Clark)
9:38.0,,,32-38,1,I. Clark makes free throw 1 of 2
9:38.0,,,32-39,1,I. Clark makes free throw 2 of 2
9:38.0,K. Irving enters the game for L. James,,32-38,,
9:38.0,I. Shumpert enters the game for D. Williams,,32-38,,
9:22.0,R. Jefferson makes 2-pt shot from 19 ft (assist by K. Irving),2,34-39,,
9:16.0,,,34-39,,K. Thompson misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by Team,,34-39,,
9:14.0,,,34-39,,Loose ball foul by D. West (drawn by R. Jefferson)
9:01.0,K. Irving misses 3-pt shot from 25 ft,,34-39,,
9:01.0,,,34-39,,Defensive rebound by A. Iguodala
8:50.0,,,34-41,2,D. West makes 2-pt shot from 2 ft (assist by D. Green)
