time,Portland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. M. Plumlee (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. M. Plumlee (T. Gibson gains possession)
11:44.0,,,0-0,,R. Lopez misses 2-pt shot from 5 ft (block by M. Plumlee)
11:43.0,,,0-0,,Offensive rebound by Team
11:36.0,,,0-2,2,D. Wade makes 2-pt shot from 19 ft (assist by T. Gibson)
11:21.0,M. Plumlee misses 2-pt shot from 17 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by D. Wade
11:12.0,,,0-4,2,T. Gibson makes 2-pt shot from 13 ft (assist by R. Lopez)
10:53.0,C. McCollum makes 2-pt shot from 18 ft (assist by M. Harkless),2,2-4,,
10:35.0,,,2-4,,J. Grant misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by M. Harkless,,2-4,,
10:21.0,M. Harkless makes 2-pt shot from 2 ft (assist by M. Plumlee),2,4-4,,
10:09.0,,,4-4,,Turnover by D. Wade (bad pass; steal by M. Plumlee)
9:57.0,C. McCollum misses 3-pt shot from 25 ft,,4-4,,
9:56.0,,,4-4,,Defensive rebound by R. Lopez
9:47.0,,,4-6,2,D. Wade makes 2-pt shot from 2 ft
9:34.0,D. Lillard makes 2-pt shot from 18 ft,2,6-6,,
9:15.0,,,6-8,2,D. Wade makes 2-pt shot from 2 ft
8:49.0,M. Harkless misses 3-pt shot from 25 ft,,6-8,,
8:48.0,,,6-8,,Defensive rebound by J. Butler
8:40.0,,,6-10,2,T. Gibson makes 2-pt shot from 15 ft (assist by J. Butler)
8:21.0,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum),3,9-10,,
8:05.0,,,9-10,,Turnover by D. Wade (bad pass; steal by E. Davis)
8:01.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,11-10,,
7:36.0,,,11-10,,J. Butler misses 2-pt shot from 2 ft
7:36.0,,,11-10,,Offensive rebound by R. Lopez
