time,San Antonio,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Turner (T. Parker gains possession),,,,Jump ball: D. Dedmon vs. M. Turner (T. Parker gains possession)
11:46.0,T. Parker misses 2-pt shot from 9 ft (block by J. Teague),,0-0,,
11:45.0,,,0-0,,Defensive rebound by P. George
11:33.0,,,0-0,,K. Seraphin misses 2-pt shot from 18 ft
11:33.0,Defensive rebound by K. Leonard,,0-0,,
11:12.0,K. Leonard makes 3-pt shot from 26 ft (assist by L. Aldridge),3,3-0,,
10:54.0,,,3-3,3,M. Turner makes 3-pt shot from 25 ft (assist by G. Robinson)
10:39.0,L. Aldridge misses 2-pt shot from 18 ft,,3-3,,
10:39.0,,,3-3,,Defensive rebound by M. Turner
10:14.0,,,3-3,,K. Seraphin misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by D. Green,,3-3,,
9:51.0,T. Parker misses 2-pt shot from 12 ft,,3-3,,
9:51.0,Offensive rebound by L. Aldridge,,3-3,,
9:49.0,L. Aldridge misses 2-pt shot from 2 ft,,3-3,,
9:46.0,,,3-3,,Defensive rebound by K. Seraphin
9:37.0,,,3-3,,Turnover by K. Seraphin (bad pass; steal by K. Leonard)
9:31.0,D. Green misses 3-pt shot from 24 ft,,3-3,,
9:31.0,,,3-3,,Defensive rebound by M. Turner
9:17.0,,,3-5,2,K. Seraphin makes 2-pt shot from 12 ft
9:07.0,T. Parker misses 2-pt shot from 5 ft,,3-5,,
9:05.0,Offensive rebound by D. Dedmon,,3-5,,
9:05.0,D. Dedmon makes 2-pt shot from 3 ft,2,5-5,,
8:54.0,,,5-5,,G. Robinson misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by T. Parker,,5-5,,
8:41.0,K. Leonard makes 2-pt shot from 17 ft,2,7-5,,
8:33.0,,,7-5,,P. George misses 2-pt shot from 19 ft
8:31.0,,,7-5,,Offensive rebound by G. Robinson
8:27.0,,,7-5,,Turnover by P. George (lost ball; steal by D. Green)
8:23.0,D. Green makes 2-pt shot from 2 ft,2,9-5,,
8:23.0,,,9-5,,Indiana full timeout
8:07.0,,,9-7,2,K. Seraphin makes 2-pt shot from 2 ft (assist by M. Turner)
7:43.0,K. Leonard misses 2-pt shot from 18 ft,,9-7,,
7:42.0,,,9-7,,Defensive rebound by J. Teague
7:20.0,,,9-7,,J. Teague misses 2-pt shot from 3 ft
7:19.0,Defensive rebound by D. Green,,9-7,,
7:00.0,K. Leonard misses 2-pt shot from 13 ft,,9-7,,
6:59.0,Offensive rebound by D. Dedmon,,9-7,,
6:56.0,D. Dedmon misses 2-pt shot from 2 ft,,9-7,,
6:56.0,Offensive rebound by D. Dedmon,,9-7,,
6:54.0,D. Dedmon makes 2-pt shot from 2 ft,2,11-7,,
6:39.0,,,11-9,2,K. Seraphin makes 2-pt shot from 10 ft (assist by P. George)
6:18.0,D. Dedmon makes 2-pt shot from 2 ft (assist by D. Green),2,13-9,,
6:06.0,,,13-12,3,P. George makes 3-pt shot from 25 ft (assist by J. Teague)
5:52.0,L. Aldridge misses 2-pt shot from 17 ft,,13-12,,
5:51.0,,,13-12,,Defensive rebound by Team
5:51.0,M. Ginobili enters the game for D. Green,,13-12,,
5:41.0,,,13-14,2,M. Turner makes 2-pt shot from 3 ft (assist by P. George)
5:24.0,Turnover by M. Ginobili (bad pass; steal by G. Robinson),,13-14,,
5:20.0,,,13-14,,Shooting foul by M. Ginobili (drawn by P. George)
5:20.0,,,13-15,1,P. George makes free throw 1 of 2
5:20.0,San Antonio full timeout,,13-15,,
5:20.0,,,13-16,1,P. George makes free throw 2 of 2
5:20.0,,,13-15,,M. Ellis enters the game for G. Robinson
5:20.0,P. Mills enters the game for D. Dedmon,,13-15,,
5:20.0,D. Lee enters the game for T. Parker,,13-15,,
4:57.0,D. Lee makes 2-pt shot from 2 ft,2,15-16,,
4:40.0,,,15-18,2,M. Turner makes 2-pt shot from 12 ft (assist by J. Teague)
4:23.0,L. Aldridge misses 2-pt shot from 20 ft,,15-18,,
4:23.0,,,15-18,,Defensive rebound by J. Teague
4:07.0,,,15-20,2,M. Turner makes 2-pt shot from 2 ft (assist by K. Seraphin)
3:50.0,K. Leonard makes 2-pt shot from 9 ft,2,17-20,,
3:32.0,,,17-22,2,J. Teague makes 2-pt shot from 13 ft
3:21.0,Shooting foul by M. Ellis (drawn by M. Ginobili),,17-22,,
3:21.0,M. Ginobili makes free throw 1 of 2,1,18-22,,
3:21.0,M. Ginobili makes free throw 2 of 2,1,19-22,,
3:21.0,,,18-22,,R. Stuckey enters the game for J. Teague
3:21.0,D. Dedmon enters the game for K. Leonard,,18-22,,
3:21.0,J. Simmons enters the game for L. Aldridge,,18-22,,
3:08.0,,,19-22,,P. George misses 2-pt shot from 16 ft
3:06.0,,,19-22,,Offensive rebound by R. Stuckey
2:53.0,,,19-24,2,P. George makes 2-pt shot from 6 ft
2:42.0,Shooting foul by K. Seraphin (drawn by D. Lee),,19-24,,
2:42.0,D. Lee misses free throw 1 of 2,,19-24,,
2:42.0,Offensive rebound by Team,,19-24,,
2:42.0,D. Lee makes free throw 2 of 2,1,20-24,,
2:42.0,,,19-24,,A. Jefferson enters the game for K. Seraphin
2:27.0,,,20-26,2,P. George makes 2-pt shot from 20 ft (assist by A. Jefferson)
2:11.0,P. Mills misses 3-pt shot from 26 ft,,20-26,,
2:11.0,Offensive rebound by D. Dedmon,,20-26,,
2:11.0,,,20-26,,Personal foul by P. George (drawn by D. Dedmon)
2:11.0,,,20-26,,C. Miles enters the game for M. Turner
2:11.0,,,20-26,,G. Robinson enters the game for P. George
2:00.0,Turnover by D. Dedmon (lost ball; steal by A. Jefferson),,20-26,,
1:48.0,,,20-28,2,R. Stuckey makes 2-pt shot from 17 ft
1:37.0,M. Ginobili misses 2-pt shot from 6 ft,,20-28,,
1:36.0,Offensive rebound by D. Lee,,20-28,,
1:36.0,D. Lee misses 2-pt shot from 2 ft,,20-28,,
1:35.0,Offensive rebound by Team,,20-28,,
1:32.0,J. Simmons misses 2-pt shot from 19 ft,,20-28,,
1:31.0,,,20-28,,Defensive rebound by R. Stuckey
1:16.0,,,20-28,,R. Stuckey misses 2-pt shot from 20 ft
1:16.0,Defensive rebound by D. Dedmon,,20-28,,
1:00.0,J. Simmons makes 2-pt shot from 7 ft,2,22-28,,
0:47.0,,,22-28,,A. Jefferson misses 2-pt shot from 2 ft
0:47.0,Defensive rebound by J. Simmons,,22-28,,
0:42.0,J. Simmons makes 2-pt shot from 3 ft,2,24-28,,
0:31.0,,,24-28,,C. Miles misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by J. Simmons,,24-28,,
0:21.0,D. Lee makes 2-pt shot from 3 ft (assist by P. Mills),2,26-28,,
0:05.0,Personal foul by M. Ginobili (drawn by M. Ellis),,26-28,,
0:00.0,,,26-31,3,M. Ellis makes 3-pt shot from 25 ft (assist by R. Stuckey)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,26-31,,A. Jefferson misses 2-pt shot from 4 ft
11:43.0,Defensive rebound by D. Dedmon,,26-31,,
11:35.0,P. Mills misses 2-pt shot from 20 ft,,26-31,,
11:34.0,Offensive rebound by D. Lee,,26-31,,
11:30.0,P. Mills misses 3-pt shot from 26 ft,,26-31,,
11:29.0,,,26-31,,Defensive rebound by M. Ellis
11:22.0,,,26-31,,Shooting foul by J. Simmons (drawn by R. Stuckey)
11:22.0,,,26-32,1,R. Stuckey makes free throw 1 of 2
11:22.0,,,26-33,1,R. Stuckey makes free throw 2 of 2
11:14.0,Turnover by D. Green (bad pass; steal by G. Robinson),,26-33,,
11:11.0,,,26-33,,Offensive charge foul by G. Robinson
11:11.0,,,26-33,,Turnover by G. Robinson (offensive foul)
10:56.0,D. Green misses 3-pt shot from 25 ft,,26-33,,
10:55.0,,,26-33,,Defensive rebound by A. Jefferson
10:47.0,,,26-33,,C. Miles misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by D. Dedmon,,26-33,,
10:38.0,Turnover by D. Green (bad pass; steal by M. Ellis),,26-33,,
10:34.0,,,26-33,,Offensive charge foul by M. Ellis
10:34.0,,,26-33,,Turnover by M. Ellis (offensive foul)
10:34.0,T. Parker enters the game for P. Mills,,26-33,,
10:34.0,L. Aldridge enters the game for D. Lee,,26-33,,
10:34.0,K. Leonard enters the game for D. Green,,26-33,,
10:34.0,,,26-33,,K. Seraphin enters the game for G. Robinson
10:18.0,K. Leonard misses 2-pt shot from 20 ft,,26-33,,
10:17.0,Offensive rebound by D. Dedmon,,26-33,,
10:08.0,L. Aldridge misses 2-pt shot from 19 ft,,26-33,,
10:06.0,Offensive rebound by Team,,26-33,,
10:00.0,T. Parker makes 2-pt shot from 3 ft,2,28-33,,
9:45.0,,,28-35,2,K. Seraphin makes 2-pt shot from 19 ft (assist by M. Ellis)
9:25.0,T. Parker misses 2-pt shot from 16 ft,,28-35,,
9:25.0,,,28-35,,Defensive rebound by R. Stuckey
9:17.0,,,28-37,2,R. Stuckey makes 2-pt shot from 14 ft
9:03.0,K. Leonard makes 2-pt shot from 5 ft,2,30-37,,
8:54.0,Personal foul by J. Simmons (drawn by C. Miles),,30-37,,
8:54.0,Official timeout,,30-37,,
8:45.0,,,30-37,,A. Jefferson misses 2-pt shot from 4 ft
8:45.0,Defensive rebound by K. Leonard,,30-37,,
8:30.0,K. Leonard makes 2-pt shot from 18 ft,2,32-37,,
8:08.0,,,32-37,,Turnover by C. Miles (bad pass; steal by J. Simmons)
7:57.0,D. Dedmon misses 2-pt shot from 2 ft (block by K. Seraphin),,32-37,,
7:56.0,,,32-37,,Defensive rebound by A. Jefferson
7:46.0,,,32-37,,Turnover by K. Seraphin (lost ball; steal by K. Leonard)
7:37.0,K. Leonard misses 2-pt shot from 20 ft,,32-37,,
7:35.0,,,32-37,,Defensive rebound by C. Miles
7:19.0,,,32-40,3,R. Stuckey makes 3-pt shot from 26 ft (assist by A. Jefferson)
7:19.0,San Antonio full timeout,,32-40,,
7:19.0,D. Green enters the game for J. Simmons,,32-40,,
7:19.0,,,32-40,,P. George enters the game for M. Ellis
7:19.0,,,32-40,,M. Turner enters the game for A. Jefferson
7:19.0,,,32-40,,J. Teague enters the game for C. Miles
7:05.0,,,32-40,,Personal foul by K. Seraphin (drawn by K. Leonard)
6:50.0,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Green),2,34-40,,
6:26.0,,,34-40,,K. Seraphin misses 2-pt shot from 10 ft
6:25.0,Defensive rebound by D. Green,,34-40,,
6:17.0,L. Aldridge misses 2-pt shot from 20 ft,,34-40,,
6:16.0,,,34-40,,Defensive rebound by J. Teague
6:06.0,,,34-42,2,J. Teague makes 2-pt shot from 17 ft
5:43.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,37-42,,
5:18.0,,,37-42,,Turnover by J. Teague (bad pass)
5:18.0,D. Lee enters the game for D. Dedmon,,37-42,,
5:03.0,Jump ball: K. Leonard vs. M. Turner (D. Green gains possession),,,,Jump ball: K. Leonard vs. M. Turner (D. Green gains possession)
4:55.0,Turnover by D. Lee (lost ball),,37-42,,
4:45.0,Personal foul by D. Green (drawn by P. George),,37-42,,
4:45.0,,,37-42,,C. Miles enters the game for K. Seraphin
4:34.0,,,37-42,,P. George misses 2-pt shot from 7 ft
4:34.0,Defensive rebound by L. Aldridge,,37-42,,
4:20.0,L. Aldridge misses 2-pt shot from 3 ft,,37-42,,
4:19.0,Offensive rebound by L. Aldridge,,37-42,,
4:19.0,L. Aldridge makes 2-pt shot from 2 ft,2,39-42,,
4:09.0,,,39-44,2,J. Teague makes 2-pt shot from 18 ft
4:09.0,,,39-44,,Shooting foul by T. Parker (drawn by J. Teague)
4:09.0,,,39-44,,J. Teague misses free throw 1 of 1
4:09.0,Defensive rebound by D. Lee,,39-44,,
4:09.0,,,39-44,,M. Ellis enters the game for R. Stuckey
3:57.0,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker),2,41-44,,
3:46.0,,,41-44,,Turnover by C. Miles (bad pass)
3:46.0,P. Mills enters the game for T. Parker,,41-44,,
3:25.0,Shooting foul by C. Miles (drawn by K. Leonard),,41-44,,
3:25.0,K. Leonard makes free throw 1 of 2,1,42-44,,
3:25.0,K. Leonard makes free throw 2 of 2,1,43-44,,
3:10.0,,,43-44,,M. Turner misses 2-pt shot from 19 ft
3:10.0,Defensive rebound by D. Lee,,43-44,,
3:00.0,D. Green misses 3-pt shot from 26 ft,,43-44,,
3:00.0,,,43-44,,Defensive rebound by P. George
2:51.0,,,43-46,2,C. Miles makes 2-pt shot from 12 ft
2:31.0,Turnover by L. Aldridge (bad pass),,43-46,,
2:31.0,,,43-46,,Indiana full timeout
2:17.0,,,43-46,,P. George misses 3-pt shot from 26 ft
2:17.0,Defensive rebound by D. Lee,,43-46,,
2:07.0,P. Mills makes 3-pt shot from 25 ft,3,46-46,,
1:51.0,,,46-46,,C. Miles misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by D. Lee,,46-46,,
1:39.0,L. Aldridge misses 2-pt shot from 18 ft,,46-46,,
1:38.0,,,46-46,,Defensive rebound by M. Ellis
1:23.0,,,46-46,,C. Miles misses 2-pt shot from 3 ft
1:22.0,Defensive rebound by D. Lee,,46-46,,
1:06.0,L. Aldridge misses 2-pt shot from 5 ft,,46-46,,
1:06.0,,,46-46,,Defensive rebound by M. Turner
