time,Milwaukee,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: A. Drummond vs. J. Henson (G. Antetokounmpo gains possession)
11:37.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,2-0,,
11:18.0,,,2-0,,Turnover by A. Drummond (bad pass)
11:18.0,,,2-0,,Personal foul by M. Morris (drawn by G. Antetokounmpo)
11:13.0,M. Dellavedova misses 2-pt shot from 15 ft,,2-0,,
11:12.0,,,2-0,,Defensive rebound by A. Drummond
10:59.0,,,2-0,,K. Caldwell-Pope misses 2-pt shot from 17 ft
10:58.0,Defensive rebound by J. Henson,,2-0,,
10:49.0,G. Antetokounmpo makes 2-pt shot from 12 ft,2,4-0,,
10:23.0,,,4-0,,Shooting foul by J. Parker (drawn by M. Morris)
10:23.0,,,4-0,,M. Morris misses free throw 1 of 2
10:23.0,,,4-0,,Offensive rebound by Team
10:23.0,,,4-1,1,M. Morris makes free throw 2 of 2
10:13.0,G. Antetokounmpo misses 2-pt shot from 16 ft,,4-1,,
10:13.0,,,4-1,,Defensive rebound by R. Jackson
10:06.0,,,4-4,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
9:46.0,J. Parker makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,7-4,,
9:27.0,,,7-4,,M. Morris misses 3-pt shot from 26 ft
9:27.0,,,7-4,,Offensive rebound by A. Drummond
9:23.0,,,7-6,2,A. Drummond makes 2-pt shot from 1 ft
9:09.0,J. Henson misses 2-pt shot from 7 ft,,7-6,,
9:07.0,,,7-6,,Defensive rebound by A. Drummond
8:53.0,,,7-8,2,A. Drummond makes 2-pt shot from 8 ft (assist by J. Leuer)
8:40.0,J. Parker makes 2-pt shot from 1 ft,2,9-8,,
8:22.0,,,9-10,2,R. Jackson makes 2-pt shot from 19 ft
8:02.0,M. Dellavedova makes 2-pt shot from 7 ft (assist by J. Parker),2,11-10,,
7:49.0,,,11-12,2,K. Caldwell-Pope makes 2-pt shot from 17 ft (assist by M. Morris)
7:32.0,Turnover by M. Dellavedova (bad pass; steal by A. Drummond),,11-12,,
7:13.0,,,11-12,,M. Morris misses 2-pt shot from 1 ft
7:13.0,,,11-12,,Offensive rebound by J. Leuer
7:10.0,,,11-14,2,J. Leuer makes 2-pt shot from 1 ft
7:00.0,J. Parker misses 3-pt shot from 26 ft,,11-14,,
6:59.0,,,11-14,,Defensive rebound by M. Morris
6:52.0,,,11-14,,A. Drummond misses 2-pt shot from 4 ft
6:51.0,Defensive rebound by J. Henson,,11-14,,
6:43.0,Shooting foul by R. Jackson (drawn by J. Henson),,11-14,,
6:43.0,J. Henson makes free throw 1 of 2,1,12-14,,
6:43.0,J. Henson makes free throw 2 of 2,1,13-14,,
6:43.0,M. Brogdon enters the game for M. Dellavedova,,12-14,,
6:43.0,M. Beasley enters the game for G. Antetokounmpo,,12-14,,
6:27.0,,,13-14,,J. Leuer misses 2-pt shot from 18 ft
6:27.0,Defensive rebound by J. Parker,,13-14,,
6:18.0,J. Henson misses 2-pt shot from 3 ft,,13-14,,
6:17.0,,,13-14,,Defensive rebound by J. Leuer
6:12.0,G. Monroe enters the game for J. Henson,,13-14,,
6:09.0,,,13-16,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by M. Morris)
5:47.0,J. Parker makes 2-pt shot from 1 ft,2,15-16,,
5:26.0,,,15-16,,A. Drummond misses 2-pt shot from 7 ft
5:25.0,Defensive rebound by M. Beasley,,15-16,,
5:15.0,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Beasley),2,17-16,,
5:12.0,,,17-16,,Detroit full timeout
5:12.0,,,17-16,,T. Harris enters the game for J. Leuer
4:55.0,,,17-16,,A. Drummond misses 2-pt shot from 9 ft
4:54.0,Defensive rebound by J. Parker,,17-16,,
4:43.0,M. Beasley misses 2-pt shot from 11 ft,,17-16,,
4:43.0,,,17-16,,Defensive rebound by K. Caldwell-Pope
4:36.0,,,17-18,2,A. Drummond makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
4:13.0,T. Snell makes 3-pt shot from 23 ft (assist by M. Brogdon),3,20-18,,
3:58.0,,,20-20,2,T. Harris makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
3:45.0,,,20-20,,I. Smith enters the game for R. Jackson
3:44.0,,,20-20,,Violation by M. Morris (kicked ball)
3:41.0,M. Brogdon makes 2-pt shot at rim (assist by M. Beasley),2,22-20,,
3:22.0,,,22-22,2,T. Harris makes 2-pt shot from 10 ft
3:05.0,G. Monroe makes 2-pt shot from 17 ft (assist by M. Brogdon),2,24-22,,
2:42.0,,,24-22,,I. Smith misses 2-pt shot from 11 ft
2:41.0,Defensive rebound by M. Brogdon,,24-22,,
2:28.0,G. Monroe makes 2-pt shot from 9 ft,2,26-22,,
2:12.0,,,26-24,2,A. Drummond makes 2-pt shot from 7 ft (assist by K. Caldwell-Pope)
1:55.0,J. Parker misses 2-pt shot from 4 ft,,26-24,,
1:54.0,,,26-24,,Defensive rebound by T. Harris
1:47.0,,,26-24,,T. Harris misses 2-pt shot from 1 ft
1:46.0,Defensive rebound by M. Beasley,,26-24,,
1:35.0,J. Parker makes 2-pt shot at rim (assist by M. Brogdon),2,28-24,,
1:19.0,,,28-26,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
1:04.0,M. Brogdon misses 2-pt shot from 1 ft,,28-26,,
1:04.0,,,28-26,,Defensive rebound by T. Harris
0:53.0,,,28-26,,A. Drummond misses 2-pt shot from 7 ft
0:51.0,,,28-26,,Offensive rebound by M. Morris
0:46.0,Milwaukee full timeout,,28-26,,
0:46.0,J. Terry enters the game for J. Parker,,28-26,,
0:46.0,G. Antetokounmpo enters the game for T. Snell,,28-26,,
0:46.0,,,28-26,,A. Baynes enters the game for A. Drummond
0:39.0,,,28-28,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by M. Morris)
0:26.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Brogdon),2,30-28,,
0:11.0,,,30-28,,T. Harris misses 2-pt shot from 6 ft
0:10.0,Defensive rebound by G. Antetokounmpo,,30-28,,
0:06.0,Shooting foul by A. Baynes (drawn by M. Beasley),,30-28,,
0:06.0,M. Beasley misses free throw 1 of 2,,30-28,,
0:06.0,Offensive rebound by Team,,30-28,,
0:06.0,M. Beasley makes free throw 2 of 2,1,31-28,,
0:04.0,Personal foul by J. Terry (drawn by I. Smith),,31-28,,
0:01.0,,,31-28,,I. Smith misses 2-pt shot from 13 ft
0:00.0,,,31-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,31-28,,J. Leuer misses 2-pt shot from 16 ft (block by G. Monroe)
11:35.0,Defensive rebound by J. Terry,,31-28,,
11:27.0,J. Terry misses 3-pt shot from 23 ft,,31-28,,
11:26.0,,,31-28,,Defensive rebound by T. Harris
11:17.0,,,31-28,,Detroit full timeout
11:00.0,,,31-28,,T. Harris misses 2-pt shot from 13 ft
11:00.0,Defensive rebound by G. Monroe,,31-28,,
10:40.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe),2,33-28,,
10:24.0,,,33-28,,J. Leuer misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by Team,,33-28,,
10:11.0,M. Beasley misses 2-pt shot from 10 ft,,33-28,,
10:10.0,,,33-28,,Defensive rebound by A. Baynes
10:01.0,,,33-30,2,R. Jackson makes 2-pt shot from 21 ft
9:46.0,Shooting foul by A. Baynes (drawn by G. Antetokounmpo),,33-30,,
9:46.0,G. Antetokounmpo makes free throw 1 of 2,1,34-30,,
9:46.0,G. Antetokounmpo makes free throw 2 of 2,1,35-30,,
9:37.0,Personal foul by G. Monroe (drawn by R. Jackson),,35-30,,
9:21.0,,,35-30,,R. Jackson misses 3-pt shot from 26 ft
9:21.0,Defensive rebound by M. Beasley,,35-30,,
9:09.0,M. Beasley misses 2-pt shot from 5 ft,,35-30,,
9:09.0,,,35-30,,Defensive rebound by J. Leuer
8:57.0,,,35-32,2,J. Leuer makes 2-pt shot from 17 ft (assist by R. Jackson)
8:44.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,35-32,,
8:44.0,,,35-32,,Defensive rebound by T. Harris
8:38.0,,,35-32,,Turnover by T. Harris (lost ball; steal by G. Antetokounmpo)
8:36.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,37-32,,
8:36.0,Shooting foul by I. Smith (drawn by G. Antetokounmpo),,37-32,,
8:36.0,G. Antetokounmpo makes free throw 1 of 1,1,38-32,,
8:36.0,M. Dellavedova enters the game for M. Brogdon,,37-32,,
8:24.0,,,38-34,2,R. Jackson makes 2-pt shot from 1 ft
7:58.0,M. Dellavedova makes 3-pt shot from 27 ft (assist by M. Beasley),3,41-34,,
7:34.0,,,41-36,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
7:14.0,G. Monroe misses 2-pt shot from 1 ft (block by R. Jackson),,41-36,,
7:13.0,,,41-36,,Defensive rebound by R. Jackson
7:06.0,,,41-36,,J. Leuer misses 2-pt shot at rim (block by M. Beasley)
7:04.0,Defensive rebound by J. Terry,,41-36,,
7:02.0,Turnover by G. Antetokounmpo (offensive foul),,41-36,,
7:02.0,Offensive foul by G. Antetokounmpo,,41-36,,
7:02.0,,,41-36,,A. Drummond enters the game for A. Baynes
7:02.0,J. Henson enters the game for G. Monroe,,41-36,,
6:56.0,Personal foul by M. Dellavedova (drawn by R. Jackson),,41-36,,
6:46.0,,,41-39,3,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson)
6:28.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,41-39,,
6:28.0,,,41-39,,Defensive rebound by R. Jackson
6:17.0,,,41-39,,I. Smith misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by M. Dellavedova,,41-39,,
6:04.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,41-39,,
6:03.0,,,41-39,,Defensive rebound by T. Harris
5:56.0,,,41-42,3,R. Jackson makes 3-pt shot from 24 ft (assist by I. Smith)
5:56.0,Milwaukee full timeout,,41-42,,
5:56.0,J. Parker enters the game for M. Beasley,,41-42,,
5:56.0,T. Snell enters the game for J. Terry,,41-42,,
5:56.0,,,41-42,,M. Morris enters the game for J. Leuer
5:56.0,,,41-42,,K. Caldwell-Pope enters the game for I. Smith
5:42.0,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,44-42,,
5:37.0,Technical foul by Team,,44-42,,
5:37.0,,,44-43,1,T. Harris makes technical free throw
5:25.0,,,44-45,2,M. Morris makes 2-pt shot from 6 ft (assist by T. Harris)
5:05.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,47-45,,
4:56.0,,,47-45,,Detroit full timeout
4:46.0,,,47-45,,R. Jackson misses 2-pt shot from 7 ft
4:45.0,Defensive rebound by M. Dellavedova,,47-45,,
4:36.0,J. Parker makes 3-pt shot from 23 ft (assist by T. Snell),3,50-45,,
4:24.0,,,50-47,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:07.0,J. Parker makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,53-47,,
3:46.0,,,53-47,,R. Jackson misses 2-pt shot from 10 ft (block by J. Henson)
3:44.0,Defensive rebound by J. Parker,,53-47,,
3:40.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,53-47,,
3:40.0,,,53-47,,Technical foul by M. Morris (drawn by G. Antetokounmpo)
3:40.0,M. Dellavedova makes technical free throw,1,54-47,,
3:40.0,G. Antetokounmpo makes free throw 1 of 2,1,55-47,,
3:40.0,G. Antetokounmpo misses free throw 2 of 2,,55-47,,
3:38.0,,,55-47,,Defensive rebound by T. Harris
3:19.0,,,55-47,,M. Morris misses 3-pt shot from 26 ft
3:19.0,Defensive rebound by T. Snell,,55-47,,
3:07.0,J. Parker misses 3-pt shot from 27 ft,,55-47,,
3:07.0,,,55-47,,Defensive rebound by A. Drummond
2:54.0,,,55-47,,T. Harris misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by T. Snell,,55-47,,
2:40.0,G. Antetokounmpo misses 2-pt shot at rim,,55-47,,
2:39.0,Offensive rebound by G. Antetokounmpo,,55-47,,
2:39.0,G. Antetokounmpo makes 2-pt shot at rim,2,57-47,,
2:39.0,Shooting foul by A. Drummond (drawn by G. Antetokounmpo),,57-47,,
2:39.0,Official timeout,,57-47,,
2:39.0,G. Antetokounmpo makes free throw 1 of 1,1,58-47,,
2:39.0,,,57-47,,J. Leuer enters the game for M. Morris
2:15.0,,,58-47,,R. Jackson misses 3-pt shot from 26 ft
2:15.0,Defensive rebound by G. Antetokounmpo,,58-47,,
2:01.0,M. Dellavedova misses 2-pt shot at rim,,58-47,,
2:00.0,,,58-47,,Defensive rebound by A. Drummond
1:49.0,,,58-49,2,T. Harris makes 2-pt shot from 7 ft (assist by J. Leuer)
1:30.0,J. Henson makes 2-pt shot from 20 ft (assist by G. Antetokounmpo),2,60-49,,
1:13.0,,,60-51,2,R. Jackson makes 2-pt shot from 12 ft (assist by J. Leuer)
1:13.0,,,60-51,,Shooting foul by J. Henson (drawn by R. Jackson)
1:13.0,,,60-52,1,R. Jackson makes free throw 1 of 1
0:51.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,60-52,,
0:51.0,,,60-52,,Defensive rebound by J. Leuer
0:29.0,,,60-52,,T. Harris misses 3-pt shot from 24 ft
0:27.0,,,60-52,,Offensive rebound by Team
0:27.0,,,60-52,,Turnover by Team (shot clock)
0:10.0,,,60-52,,Violation by A. Drummond (def goaltending)
0:10.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,62-52,,
0:04.0,,,62-54,2,R. Jackson makes 2-pt shot at rim
0:01.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,62-54,,
0:00.0,Offensive rebound by Team,,62-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,62-56,2,J. Leuer makes 2-pt shot from 1 ft (assist by R. Jackson)
11:29.0,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by J. Parker),3,65-56,,
11:05.0,,,65-56,,Shooting foul by J. Henson (drawn by A. Drummond)
11:05.0,,,65-56,,A. Drummond misses free throw 1 of 2
11:05.0,,,65-56,,Offensive rebound by Team
11:05.0,,,65-56,,A. Drummond misses free throw 2 of 2
11:04.0,,,65-56,,Offensive rebound by J. Leuer
11:00.0,,,65-56,,J. Leuer misses 2-pt shot from 1 ft (block by J. Henson)
10:59.0,Defensive rebound by T. Snell,,65-56,,
10:41.0,J. Parker makes 2-pt shot from 18 ft,2,67-56,,
10:28.0,,,67-56,,M. Morris misses 3-pt shot from 26 ft
10:27.0,,,67-56,,Offensive rebound by J. Leuer
10:21.0,,,67-56,,M. Morris misses 2-pt shot from 13 ft
10:20.0,Defensive rebound by T. Snell,,67-56,,
10:10.0,Shooting foul by M. Morris (drawn by J. Henson),,67-56,,
10:10.0,J. Henson misses free throw 1 of 2,,67-56,,
10:10.0,Offensive rebound by Team,,67-56,,
10:10.0,J. Henson makes free throw 2 of 2,1,68-56,,
9:52.0,,,68-56,,K. Caldwell-Pope misses 2-pt shot from 8 ft
9:51.0,,,68-56,,Offensive rebound by A. Drummond
9:49.0,,,68-58,2,A. Drummond makes 2-pt shot at rim
9:35.0,J. Parker misses 2-pt shot from 22 ft,,68-58,,
9:35.0,,,68-58,,Defensive rebound by Team
9:21.0,,,68-58,,Shooting foul by J. Henson (drawn by M. Morris)
9:21.0,,,68-59,1,M. Morris makes free throw 1 of 2
9:21.0,,,68-60,1,M. Morris makes free throw 2 of 2
9:00.0,M. Dellavedova misses 2-pt shot from 7 ft,,68-60,,
8:59.0,,,68-60,,Defensive rebound by K. Caldwell-Pope
8:56.0,,,68-60,,Turnover by K. Caldwell-Pope (bad pass; steal by J. Parker)
8:50.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker),2,70-60,,
