time,Cleveland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Thompson (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. T. Thompson (T. Gibson gains possession)
11:38.0,,,0-2,2,T. Gibson makes 2-pt shot from 5 ft
11:28.0,Turnover by K. Irving (lost ball; steal by R. Rondo),,0-2,,
11:23.0,,,0-4,2,R. Rondo makes 2-pt shot from 1 ft (assist by D. Wade)
11:09.0,Turnover by K. Love (lost ball),,0-4,,
10:49.0,,,0-4,,R. Lopez misses 2-pt shot from 4 ft
10:47.0,,,0-4,,Offensive rebound by R. Lopez
10:47.0,,,0-4,,R. Lopez misses 2-pt shot from 1 ft
10:46.0,,,0-4,,Offensive rebound by R. Lopez
10:46.0,,,0-4,,R. Lopez misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by K. Love,,0-4,,
10:38.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving),3,3-4,,
10:15.0,,,3-4,,J. Butler misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by K. Love,,3-4,,
10:07.0,J. Smith misses 3-pt shot from 25 ft,,3-4,,
10:06.0,,,3-4,,Defensive rebound by T. Gibson
9:52.0,,,3-6,2,T. Gibson makes 2-pt shot from 3 ft (assist by R. Rondo)
9:30.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving),3,6-6,,
9:15.0,,,6-6,,R. Rondo misses 2-pt shot from 20 ft
9:14.0,Defensive rebound by K. Love,,6-6,,
9:06.0,L. James makes 2-pt shot from 2 ft,2,8-6,,
8:47.0,,,8-6,,D. Wade misses 2-pt shot from 7 ft
8:46.0,Defensive rebound by K. Love,,8-6,,
8:40.0,J. Smith makes 3-pt shot from 26 ft (assist by L. James),3,11-6,,
8:30.0,,,11-8,2,D. Wade makes 2-pt shot from 2 ft (assist by T. Gibson)
8:13.0,T. Thompson makes 2-pt shot from 6 ft (assist by K. Irving),2,13-8,,
7:49.0,,,13-10,2,T. Gibson makes 2-pt shot from 15 ft (assist by J. Butler)
7:25.0,L. James makes 2-pt shot from 7 ft (assist by J. Smith),2,15-10,,
6:58.0,,,15-12,2,R. Lopez makes 2-pt shot from 6 ft (assist by J. Butler)
6:47.0,K. Love misses 3-pt shot from 26 ft,,15-12,,
6:46.0,,,15-12,,Defensive rebound by T. Gibson
6:37.0,,,15-14,2,T. Gibson makes 2-pt shot from 2 ft (assist by R. Rondo)
6:25.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,17-14,,
6:08.0,,,17-16,2,D. Wade makes 2-pt shot from 2 ft
5:59.0,J. Smith misses 3-pt shot from 23 ft,,17-16,,
5:57.0,Offensive rebound by K. Irving,,17-16,,
5:52.0,L. James misses 2-pt shot from 23 ft,,17-16,,
5:51.0,,,17-16,,Defensive rebound by T. Gibson
5:44.0,,,17-16,,R. Rondo misses 2-pt shot from 3 ft
5:44.0,Defensive rebound by K. Love,,17-16,,
