time,Minnesota,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. K. Towns (G. Dieng gains possession),,,,Jump ball: Z. Pachulia vs. K. Towns (G. Dieng gains possession)
11:42.0,A. Wiggins makes 2-pt shot from 21 ft,2,2-0,,
11:24.0,,,2-3,3,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant)
11:05.0,K. Towns misses 2-pt shot from 11 ft,,2-3,,
11:05.0,,,2-3,,Defensive rebound by S. Curry
10:55.0,,,2-3,,Z. Pachulia misses 2-pt shot from 16 ft
10:55.0,Defensive rebound by G. Dieng,,2-3,,
10:39.0,K. Towns misses 2-pt shot from 12 ft,,2-3,,
10:38.0,,,2-3,,Defensive rebound by K. Durant
10:30.0,,,2-5,2,K. Durant makes 2-pt shot from 5 ft
10:18.0,A. Wiggins makes 2-pt shot from 17 ft,2,4-5,,
10:08.0,,,4-7,2,K. Thompson makes 2-pt shot from 13 ft
9:53.0,Turnover by Z. LaVine (bad pass; steal by K. Thompson),,4-7,,
9:47.0,,,4-10,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Thompson)
9:29.0,A. Wiggins misses 3-pt shot from 26 ft,,4-10,,
9:28.0,,,4-10,,Defensive rebound by S. Curry
9:24.0,,,4-12,2,K. Durant makes 2-pt shot at rim (assist by S. Curry)
9:17.0,Minnesota full timeout,,4-12,,
9:02.0,K. Towns makes 2-pt shot from 10 ft,2,6-12,,
8:49.0,,,6-12,,Shooting foul by R. Rubio (drawn by K. Durant)
8:49.0,,,6-13,1,K. Durant makes free throw 1 of 2
8:49.0,,,6-14,1,K. Durant makes free throw 2 of 2
8:37.0,Z. LaVine makes 3-pt shot from 26 ft (assist by G. Dieng),3,9-14,,
8:14.0,,,9-16,2,S. Curry makes 2-pt shot from 15 ft (assist by K. Durant)
8:05.0,R. Rubio misses 2-pt shot from 11 ft,,9-16,,
8:05.0,,,9-16,,Defensive rebound by S. Curry
7:59.0,,,9-16,,S. Curry misses 3-pt shot from 31 ft
7:56.0,Defensive rebound by K. Towns,,9-16,,
7:43.0,K. Towns misses 2-pt shot from 9 ft (block by K. Durant),,9-16,,
7:41.0,,,9-16,,Defensive rebound by S. Curry
7:28.0,,,9-19,3,K. Thompson makes 3-pt shot from 23 ft (assist by Z. Pachulia)
7:05.0,Z. LaVine makes 2-pt shot from 22 ft,2,11-19,,
6:58.0,,,11-19,,Turnover by S. Curry (bad pass; steal by Z. LaVine)
6:52.0,Z. LaVine misses 3-pt shot from 26 ft,,11-19,,
6:51.0,,,11-19,,Defensive rebound by Z. Pachulia
6:39.0,,,11-19,,K. Thompson misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by G. Dieng,,11-19,,
6:25.0,K. Towns makes 2-pt shot from 14 ft (assist by R. Rubio),2,13-19,,
6:06.0,,,13-21,2,K. Durant makes 2-pt shot from 16 ft
5:47.0,,,13-21,,Def 3 sec tech foul by Z. Pachulia
5:47.0,,,13-21,,Golden State full timeout
5:47.0,R. Rubio makes technical free throw,1,14-21,,
5:33.0,K. Towns makes 2-pt shot from 22 ft (assist by A. Wiggins),2,16-21,,
5:14.0,,,16-21,,Offensive charge foul by S. Curry
5:14.0,,,16-21,,Turnover by S. Curry (offensive foul)
5:07.0,,,16-21,,Violation by S. Curry (kicked ball)
5:07.0,,,16-21,,A. Iguodala enters the game for K. Looney
4:48.0,K. Towns misses 3-pt shot from 23 ft,,16-21,,
4:47.0,,,16-21,,Defensive rebound by Z. Pachulia
4:32.0,,,16-21,,Z. Pachulia misses 2-pt shot from 5 ft (block by G. Dieng)
4:31.0,Defensive rebound by R. Rubio,,16-21,,
4:27.0,Z. LaVine makes 2-pt shot from 2 ft (assist by R. Rubio),2,18-21,,
4:12.0,,,18-21,,Shooting foul by Z. LaVine (drawn by K. Thompson)
4:12.0,,,18-21,,K. Thompson misses free throw 1 of 2
4:12.0,,,18-21,,Offensive rebound by Team
4:12.0,,,18-22,1,K. Thompson makes free throw 2 of 2
4:12.0,,,18-21,,A. Varejao enters the game for Z. Pachulia
4:02.0,A. Wiggins makes 2-pt shot from 19 ft (assist by R. Rubio),2,20-22,,
3:46.0,,,20-22,,Turnover by K. Thompson (bad pass; steal by A. Wiggins)
3:40.0,Z. LaVine makes 2-pt shot from 3 ft (assist by A. Wiggins),2,22-22,,
3:38.0,,,22-22,,Golden State full timeout
3:38.0,B. Rush enters the game for Z. LaVine,,22-22,,
3:25.0,Personal foul by B. Rush (drawn by A. Varejao),,22-22,,
3:14.0,,,22-24,2,S. Curry makes 2-pt shot from 10 ft
2:53.0,K. Towns makes 2-pt shot from 6 ft (assist by B. Rush),2,24-24,,
2:41.0,,,24-26,2,S. Curry makes 2-pt shot from 3 ft
2:24.0,A. Wiggins makes 3-pt shot from 27 ft (assist by K. Towns),3,27-26,,
2:08.0,,,27-26,,K. Durant misses 2-pt shot from 5 ft (block by K. Towns)
2:07.0,Defensive rebound by K. Towns,,27-26,,
1:57.0,G. Dieng makes 2-pt shot at rim,2,29-26,,
1:44.0,,,29-26,,S. Curry misses 3-pt shot from 27 ft
1:43.0,Defensive rebound by A. Wiggins,,29-26,,
1:29.0,K. Towns makes 2-pt shot from 3 ft,2,31-26,,
1:29.0,Shooting foul by A. Iguodala (drawn by K. Towns),,31-26,,
1:29.0,K. Towns misses free throw 1 of 1,,31-26,,
1:29.0,,,31-26,,P. McCaw enters the game for K. Thompson
1:29.0,,,31-26,,D. West enters the game for K. Durant
1:29.0,C. Aldrich enters the game for G. Dieng,,31-26,,
1:28.0,,,31-26,,Defensive rebound by A. Varejao
1:15.0,,,31-26,,A. Varejao misses 2-pt shot from 2 ft
1:15.0,Defensive rebound by K. Towns,,31-26,,
1:06.0,B. Rush misses 3-pt shot from 24 ft,,31-26,,
1:06.0,,,31-26,,Defensive rebound by S. Curry
0:58.0,,,31-28,2,S. Curry makes 2-pt shot from 9 ft
0:41.0,K. Towns makes 2-pt shot from 4 ft,2,33-28,,
0:31.0,,,33-28,,S. Curry misses 2-pt shot from 2 ft
0:30.0,,,33-28,,Offensive rebound by D. West
0:17.0,,,33-30,2,A. Varejao makes 2-pt shot from 6 ft (assist by S. Curry)
0:00.0,R. Rubio misses 3-pt shot from 23 ft,,33-30,,
0:00.0,Offensive rebound by Team,,33-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,33-30,,Offensive foul by D. West
11:50.0,,,33-30,,Turnover by D. West (offensive foul)
11:37.0,K. Towns misses 2-pt shot from 17 ft,,33-30,,
11:37.0,,,33-30,,Defensive rebound by A. Iguodala
11:30.0,Personal foul by K. Towns (drawn by K. Durant),,33-30,,
11:30.0,N. Bjelica enters the game for K. Towns,,33-30,,
11:25.0,,,33-30,,K. Durant misses 2-pt shot from 16 ft
11:23.0,Defensive rebound by C. Aldrich,,33-30,,
11:06.0,A. Wiggins misses 2-pt shot from 18 ft,,33-30,,
11:06.0,Offensive rebound by C. Aldrich,,33-30,,
11:00.0,Turnover by A. Wiggins (bad pass; steal by D. West),,33-30,,
10:42.0,,,33-30,,Shooting foul by C. Aldrich (drawn by D. West)
10:42.0,,,33-30,,D. West misses free throw 1 of 2
10:42.0,,,33-30,,Offensive rebound by Team
10:42.0,,,33-30,,D. West misses free throw 2 of 2
10:42.0,S. Muhammad enters the game for A. Wiggins,,33-30,,
10:42.0,Z. LaVine enters the game for B. Rush,,33-30,,
10:41.0,Defensive rebound by C. Aldrich,,33-30,,
10:18.0,Turnover by N. Bjelica (lost ball),,33-30,,
10:07.0,G. Dieng enters the game for C. Aldrich,,33-30,,
10:02.0,,,33-30,,Turnover by S. Livingston (lost ball; steal by G. Dieng)
10:02.0,Jump ball: G. Dieng vs. S. Livingston (Z. LaVine gains possession),,,,Jump ball: G. Dieng vs. S. Livingston (Z. LaVine gains possession)
9:51.0,N. Bjelica makes 3-pt shot from 27 ft (assist by Z. LaVine),3,36-30,,
9:31.0,,,36-30,,K. Durant misses 2-pt shot from 16 ft
9:30.0,Defensive rebound by K. Dunn,,36-30,,
9:24.0,,,36-30,,K. Thompson enters the game for P. McCaw
9:07.0,Z. LaVine misses 3-pt shot from 24 ft (block by K. Durant),,36-30,,
9:06.0,,,36-30,,Defensive rebound by K. Thompson
8:53.0,,,36-30,,D. West misses 2-pt shot from 2 ft (block by G. Dieng)
8:52.0,,,36-30,,Offensive rebound by K. Durant
8:47.0,,,36-30,,K. Durant misses 2-pt shot from 13 ft
8:46.0,Defensive rebound by K. Dunn,,36-30,,
8:39.0,N. Bjelica misses 3-pt shot from 27 ft,,36-30,,
8:39.0,Offensive rebound by Team,,36-30,,
8:39.0,,,36-30,,Loose ball foul by S. Livingston (drawn by G. Dieng)
8:39.0,Official timeout,,36-30,,
8:39.0,,,36-30,,Z. Pachulia enters the game for D. West
8:32.0,K. Dunn misses 2-pt shot from 2 ft,,36-30,,
8:30.0,Offensive rebound by Team,,36-30,,
8:30.0,Jump ball: K. Dunn vs. Z. Pachulia (Z. LaVine gains possession),,,,Jump ball: K. Dunn vs. Z. Pachulia (Z. LaVine gains possession)
8:20.0,Z. LaVine misses 3-pt shot from 23 ft,,36-30,,
8:20.0,,,36-30,,Defensive rebound by K. Durant
8:08.0,,,36-30,,K. Durant misses 2-pt shot from 13 ft
8:07.0,Defensive rebound by N. Bjelica,,36-30,,
8:01.0,Turnover by N. Bjelica (bad pass),,36-30,,
7:42.0,,,36-30,,S. Livingston misses 2-pt shot from 15 ft
7:41.0,,,36-30,,Offensive rebound by K. Durant
7:41.0,,,36-32,2,K. Durant makes 2-pt shot from 4 ft
7:41.0,,,36-32,,Shooting foul by K. Dunn (drawn by K. Durant)
7:41.0,,,36-33,1,K. Durant makes free throw 1 of 1
7:41.0,,,36-32,,S. Curry enters the game for A. Iguodala
7:41.0,R. Rubio enters the game for K. Dunn,,36-32,,
7:22.0,S. Muhammad misses 3-pt shot from 25 ft,,36-33,,
7:22.0,,,36-33,,Defensive rebound by K. Durant
7:14.0,,,36-35,2,K. Durant makes 2-pt shot from 2 ft
7:06.0,Minnesota full timeout,,36-35,,
7:06.0,A. Wiggins enters the game for S. Muhammad,,36-35,,
7:06.0,,,36-35,,K. Looney enters the game for K. Durant
6:57.0,Turnover by Z. LaVine (lost ball; steal by S. Curry),,36-35,,
6:46.0,,,36-37,2,Z. Pachulia makes 2-pt shot from 7 ft
6:28.0,G. Dieng misses 2-pt shot from 12 ft,,36-37,,
6:27.0,,,36-37,,Defensive rebound by K. Looney
6:08.0,,,36-39,2,K. Looney makes 2-pt shot at rim (assist by Z. Pachulia)
5:42.0,R. Rubio misses 3-pt shot from 26 ft,,36-39,,
5:42.0,Offensive rebound by R. Rubio,,36-39,,
5:32.0,G. Dieng makes 2-pt shot from 11 ft,2,38-39,,
5:19.0,,,38-41,2,K. Thompson makes 2-pt shot from 7 ft (assist by Z. Pachulia)
4:56.0,G. Dieng misses 2-pt shot from 7 ft,,38-41,,
4:55.0,,,38-41,,Defensive rebound by Z. Pachulia
4:49.0,,,38-41,,Turnover by S. Curry (lost ball; steal by N. Bjelica)
4:44.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,40-41,,
4:25.0,,,40-43,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Livingston)
4:07.0,Shooting foul by S. Curry (drawn by A. Wiggins),,40-43,,
4:07.0,A. Wiggins makes free throw 1 of 2,1,41-43,,
4:07.0,A. Wiggins makes free throw 2 of 2,1,42-43,,
4:07.0,K. Towns enters the game for N. Bjelica,,41-43,,
4:07.0,,,41-43,,A. Iguodala enters the game for S. Livingston
3:50.0,,,42-43,,A. Iguodala misses 3-pt shot from 26 ft
3:50.0,Defensive rebound by K. Towns,,42-43,,
3:44.0,,,42-43,,Personal foul by K. Looney (drawn by G. Dieng)
3:44.0,,,42-43,,J. McGee enters the game for Z. Pachulia
3:29.0,R. Rubio makes 2-pt shot from 19 ft,2,44-43,,
3:19.0,,,44-43,,Shooting foul by G. Dieng (drawn by K. Looney)
3:19.0,,,44-44,1,K. Looney makes free throw 1 of 2
3:19.0,,,44-45,1,K. Looney makes free throw 2 of 2
3:07.0,A. Wiggins makes 2-pt shot from 18 ft,2,46-45,,
2:54.0,,,46-47,2,J. McGee makes 2-pt shot from 1 ft (assist by K. Looney)
2:40.0,A. Wiggins misses 3-pt shot from 25 ft,,46-47,,
2:39.0,,,46-47,,Defensive rebound by K. Thompson
2:35.0,,,46-47,,Offensive charge foul by J. McGee
2:35.0,,,46-47,,Turnover by J. McGee (offensive foul)
2:35.0,,,46-47,,Golden State full timeout
2:35.0,,,46-47,,K. Durant enters the game for K. Looney
2:11.0,K. Towns misses 2-pt shot from 15 ft,,46-47,,
2:10.0,,,46-47,,Defensive rebound by J. McGee
2:04.0,,,46-49,2,J. McGee makes 2-pt shot at rim (assist by S. Curry)
1:45.0,Turnover by R. Rubio (lost ball; steal by S. Curry),,46-49,,
1:45.0,,,46-49,,Offensive foul by S. Curry
1:45.0,,,46-49,,Turnover by S. Curry (offensive foul)
1:45.0,,,46-49,,S. Livingston enters the game for S. Curry
1:45.0,,,46-49,,Violation by Team (jump ball)
1:33.0,Z. LaVine makes 2-pt shot from 16 ft,2,48-49,,
1:09.0,,,48-51,2,S. Livingston makes 2-pt shot from 16 ft (assist by A. Iguodala)
0:49.0,Z. LaVine misses 3-pt shot from 26 ft,,48-51,,
0:48.0,,,48-51,,Defensive rebound by K. Durant
