time,Orlando,pts.away,score,pts.home,Minnesota
1:54.0,N. Vucevic misses free throw 2 of 2,,93-96,,
1:52.0,,,93-96,,Defensive rebound by K. Towns
1:32.0,,,93-96,,R. Rubio misses 2-pt shot from 22 ft
1:32.0,Defensive rebound by S. Ibaka,,93-96,,
1:18.0,,,93-96,,Personal foul by Z. LaVine (drawn by C. Watson)
1:18.0,C. Watson makes free throw 1 of 2,1,94-96,,
1:18.0,C. Watson makes free throw 2 of 2,1,95-96,,
1:07.0,,,95-96,,A. Wiggins misses 2-pt shot from 16 ft
1:06.0,Defensive rebound by S. Ibaka,,95-96,,
0:54.0,A. Gordon misses 2-pt shot from 16 ft,,95-96,,
0:52.0,Offensive rebound by N. Vucevic,,95-96,,
0:51.0,A. Gordon makes 2-pt shot from 6 ft,2,97-96,,
0:51.0,Shooting foul by R. Rubio (drawn by A. Gordon),,97-96,,
0:51.0,A. Gordon makes free throw 1 of 1,1,98-96,,
0:51.0,,,98-96,,Minnesota full timeout
0:43.0,,,98-96,,R. Rubio misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by N. Vucevic,,98-96,,
0:41.0,Orlando full timeout,,98-96,,
0:41.0,E. Fournier enters the game for A. Gordon,,98-96,,
0:23.0,Turnover by N. Vucevic (traveling),,98-96,,
0:23.0,A. Gordon enters the game for E. Fournier,,98-96,,
0:15.0,Personal foul by E. Payton (drawn by R. Rubio),,98-96,,
0:10.0,,,98-98,2,A. Wiggins makes 2-pt shot from 21 ft (assist by R. Rubio)
0:10.0,Orlando full timeout,,98-98,,
0:10.0,,,98-98,,G. Dieng enters the game for N. Bjelica
0:10.0,E. Fournier enters the game for A. Gordon,,98-98,,
0:00.0,E. Payton misses 3-pt shot from 25 ft (block by K. Towns),,98-98,,
0:00.0,Offensive rebound by Team,,98-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:54.0,C. Watson misses 2-pt shot from 2 ft (block by N. Bjelica),,98-98,,
4:52.0,,,98-98,,Defensive rebound by R. Rubio
4:33.0,,,98-100,2,K. Towns makes 2-pt shot at rim (assist by N. Bjelica)
4:19.0,Offensive foul by N. Vucevic,,98-100,,
4:19.0,Turnover by N. Vucevic (offensive foul),,98-100,,
4:09.0,,,98-102,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
4:09.0,Orlando full timeout,,98-102,,
4:09.0,A. Gordon enters the game for E. Fournier,,98-102,,
3:59.0,Shooting foul by Z. LaVine (drawn by C. Watson),,98-102,,
3:59.0,C. Watson makes free throw 1 of 2,1,99-102,,
3:59.0,C. Watson makes free throw 2 of 2,1,100-102,,
3:46.0,,,100-102,,Shooting foul by A. Gordon (drawn by A. Wiggins)
3:46.0,,,100-103,1,A. Wiggins makes free throw 1 of 2
3:46.0,,,100-104,1,A. Wiggins makes free throw 2 of 2
3:36.0,A. Gordon misses 3-pt shot from 23 ft,,100-104,,
3:35.0,,,100-104,,Defensive rebound by K. Towns
3:12.0,,,100-106,2,A. Wiggins makes 2-pt shot from 1 ft
2:52.0,C. Watson misses 3-pt shot from 25 ft,,100-106,,
2:51.0,,,100-106,,Defensive rebound by R. Rubio
2:25.0,,,100-106,,R. Rubio misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by S. Ibaka,,100-106,,
2:17.0,E. Payton misses 2-pt shot from 3 ft (block by A. Wiggins),,100-106,,
2:15.0,,,100-106,,Defensive rebound by K. Towns
2:15.0,Personal foul by E. Payton (drawn by R. Rubio),,100-106,,
2:00.0,,,100-106,,A. Wiggins misses 2-pt shot from 2 ft
1:58.0,Defensive rebound by E. Payton,,100-106,,
1:51.0,E. Payton makes 2-pt shot from 2 ft,2,102-106,,
1:35.0,Personal block foul by E. Payton (drawn by R. Rubio),,102-106,,
1:35.0,,,102-106,,Minnesota full timeout
1:25.0,,,102-106,,Shooting foul by N. Vucevic (drawn by N. Bjelica)
1:25.0,,,102-106,,N. Bjelica misses free throw 1 of 2
1:25.0,,,102-106,,Offensive rebound by Team
1:25.0,,,102-107,1,N. Bjelica makes free throw 2 of 2
1:07.0,N. Vucevic misses 2-pt shot from 10 ft,,102-107,,
1:06.0,Offensive rebound by A. Gordon,,102-107,,
1:04.0,Shooting foul by R. Rubio (drawn by A. Gordon),,102-107,,
1:04.0,A. Gordon makes free throw 1 of 2,1,103-107,,
1:04.0,A. Gordon makes free throw 2 of 2,1,104-107,,
1:04.0,J. Green enters the game for S. Ibaka,,103-107,,
0:42.0,,,104-107,,K. Towns misses 2-pt shot from 10 ft
0:41.0,Defensive rebound by E. Payton,,104-107,,
0:31.0,N. Vucevic misses 2-pt shot from 3 ft (block by K. Towns),,104-107,,
0:29.0,Offensive rebound by N. Vucevic,,104-107,,
0:26.0,,,104-107,,Shooting block foul by R. Rubio (drawn by E. Payton)
0:26.0,E. Payton misses free throw 1 of 2,,104-107,,
0:26.0,Offensive rebound by Team,,104-107,,
0:26.0,E. Payton makes free throw 2 of 2,1,105-107,,
0:26.0,,,105-107,,Minnesota full timeout
0:26.0,,,105-107,,Minnesota full timeout
0:26.0,,,104-107,,K. Dunn enters the game for R. Rubio
0:26.0,,,105-107,,T. Jones enters the game for K. Dunn
0:22.0,Personal foul by E. Payton (drawn by Z. LaVine),,105-107,,
0:22.0,,,105-108,1,Z. LaVine makes free throw 1 of 2
0:22.0,,,105-109,1,Z. LaVine makes free throw 2 of 2
0:22.0,Orlando full timeout,,105-109,,
0:22.0,,,105-108,,K. Dunn enters the game for T. Jones
0:22.0,E. Fournier enters the game for A. Gordon,,105-109,,
0:22.0,D. Augustin enters the game for E. Payton,,105-109,,
0:22.0,S. Ibaka enters the game for J. Green,,105-109,,
0:12.0,N. Vucevic misses 3-pt shot from 26 ft,,105-109,,
0:11.0,Offensive rebound by E. Fournier,,105-109,,
0:08.0,E. Fournier misses 2-pt shot from 1 ft,,105-109,,
0:07.0,,,105-109,,Defensive rebound by A. Wiggins
0:00.0,,,105-111,2,N. Bjelica makes 2-pt shot from 1 ft (assist by K. Towns)
0:00.0,End of 1st overtime,,,,End of 1st overtime
