time,Orlando,pts.away,score,pts.home,Minnesota
0:31.0,,,23-26,2,A. Wiggins makes 2-pt shot from 16 ft (assist by K. Dunn)
0:16.0,E. Fournier misses 3-pt shot from 24 ft,,23-26,,
0:15.0,,,23-26,,Defensive rebound by S. Muhammad
0:01.0,,,23-26,,A. Wiggins misses 2-pt shot from 20 ft
0:00.0,,,23-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,23-28,2,Z. LaVine makes 2-pt shot from 15 ft
11:29.0,E. Fournier misses 2-pt shot from 3 ft (block by C. Aldrich),,23-28,,
11:27.0,,,23-28,,Defensive rebound by S. Muhammad
11:18.0,,,23-30,2,K. Dunn makes 2-pt shot from 14 ft
11:00.0,D. Augustin misses 3-pt shot from 26 ft (block by K. Dunn),,23-30,,
10:59.0,,,23-30,,Defensive rebound by N. Bjelica
10:41.0,,,23-32,2,S. Muhammad makes 2-pt shot from 5 ft
10:41.0,Orlando full timeout,,23-32,,
10:29.0,Turnover by D. Augustin (lost ball),,23-32,,
10:29.0,Technical foul by D. Augustin,,23-32,,
10:29.0,,,23-32,,Z. LaVine misses technical free throw
10:29.0,,,23-32,,Offensive rebound by Team
10:12.0,,,23-32,,C. Aldrich misses 2-pt shot from 6 ft
10:11.0,Defensive rebound by Team,,23-32,,
10:11.0,,,23-32,,Loose ball foul by N. Bjelica (drawn by D. Rudez)
9:58.0,Turnover by J. Green (lost ball),,23-32,,
9:48.0,,,23-34,2,C. Aldrich makes 2-pt shot from 1 ft (assist by K. Dunn)
9:33.0,E. Fournier misses 2-pt shot from 23 ft,,23-34,,
9:32.0,,,23-34,,Defensive rebound by C. Aldrich
9:18.0,,,23-34,,K. Dunn misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by D. Rudez,,23-34,,
9:08.0,J. Green makes 2-pt shot from 12 ft,2,25-34,,
8:48.0,,,25-34,,S. Muhammad misses 2-pt shot from 14 ft
8:47.0,Defensive rebound by B. Biyombo,,25-34,,
8:36.0,E. Fournier misses 3-pt shot from 25 ft,,25-34,,
8:35.0,,,25-34,,Defensive rebound by Team
8:35.0,C. Watson enters the game for E. Fournier,,25-34,,
8:14.0,,,25-34,,S. Muhammad misses 2-pt shot from 20 ft
8:13.0,Defensive rebound by B. Biyombo,,25-34,,
8:01.0,D. Augustin makes 3-pt shot from 25 ft,3,28-34,,
7:45.0,,,28-34,,K. Towns enters the game for N. Bjelica
7:45.0,N. Vucevic enters the game for D. Rudez,,28-34,,
7:45.0,,,28-34,,G. Dieng enters the game for C. Aldrich
7:45.0,S. Ibaka enters the game for B. Biyombo,,28-34,,
7:38.0,,,28-34,,Shooting foul by C. Watson (drawn by Z. LaVine)
7:38.0,,,28-35,1,Z. LaVine makes free throw 1 of 2
7:38.0,,,28-36,1,Z. LaVine makes free throw 2 of 2
7:15.0,N. Vucevic makes 2-pt shot from 12 ft (assist by D. Augustin),2,30-36,,
6:55.0,,,30-36,,Turnover by K. Dunn (bad pass; steal by C. Watson)
6:50.0,D. Augustin misses 3-pt shot from 25 ft,,30-36,,
6:49.0,Offensive rebound by S. Ibaka,,30-36,,
6:48.0,S. Ibaka makes 2-pt shot from 1 ft,2,32-36,,
6:40.0,,,32-36,,Minnesota full timeout
6:40.0,,,32-36,,R. Rubio enters the game for K. Dunn
6:40.0,,,32-36,,A. Wiggins enters the game for S. Muhammad
6:24.0,,,32-36,,G. Dieng misses 2-pt shot from 20 ft
6:23.0,Defensive rebound by S. Ibaka,,32-36,,
6:09.0,C. Watson misses 2-pt shot from 3 ft,,32-36,,
6:08.0,Offensive rebound by S. Ibaka,,32-36,,
6:05.0,J. Green makes 3-pt shot from 25 ft (assist by S. Ibaka),3,35-36,,
5:50.0,,,35-36,,R. Rubio misses 2-pt shot from 11 ft
5:49.0,,,35-36,,Offensive rebound by G. Dieng
5:38.0,,,35-39,3,R. Rubio makes 3-pt shot from 24 ft (assist by K. Towns)
5:22.0,N. Vucevic misses 3-pt shot from 25 ft,,35-39,,
5:21.0,,,35-39,,Defensive rebound by Team
5:08.0,,,35-39,,G. Dieng misses 2-pt shot from 8 ft (block by S. Ibaka)
5:07.0,Defensive rebound by D. Augustin,,35-39,,
4:45.0,D. Augustin misses 2-pt shot from 19 ft,,35-39,,
4:43.0,,,35-39,,Defensive rebound by G. Dieng
4:34.0,,,35-39,,A. Wiggins misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by C. Watson,,35-39,,
4:30.0,Turnover by C. Watson (bad pass; steal by A. Wiggins),,35-39,,
4:26.0,,,35-39,,K. Towns misses 2-pt shot from 2 ft
4:24.0,Defensive rebound by N. Vucevic,,35-39,,
4:20.0,J. Green makes 2-pt shot from 1 ft (assist by D. Augustin),2,37-39,,
3:54.0,,,37-42,3,R. Rubio makes 3-pt shot from 24 ft (assist by A. Wiggins)
3:34.0,S. Ibaka misses 2-pt shot from 20 ft,,37-42,,
3:33.0,,,37-42,,Defensive rebound by G. Dieng
3:27.0,,,37-42,,R. Rubio misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by S. Ibaka,,37-42,,
3:15.0,N. Vucevic makes 2-pt shot at rim (assist by D. Augustin),2,39-42,,
2:58.0,,,39-44,2,K. Towns makes 2-pt shot from 3 ft (assist by R. Rubio)
2:58.0,,,39-44,,Shooting foul by N. Vucevic (drawn by K. Towns)
2:58.0,,,39-44,,Minnesota full timeout
2:58.0,,,39-44,,K. Towns misses free throw 1 of 1
2:58.0,Defensive rebound by E. Payton,,39-44,,
2:58.0,A. Gordon enters the game for J. Green,,39-44,,
2:58.0,E. Payton enters the game for D. Augustin,,39-44,,
2:51.0,,,39-44,,Personal foul by Z. LaVine (drawn by C. Watson)
2:47.0,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic),2,41-44,,
2:24.0,,,41-44,,G. Dieng misses 3-pt shot from 22 ft
2:23.0,Defensive rebound by A. Gordon,,41-44,,
2:15.0,S. Ibaka misses 3-pt shot from 24 ft,,41-44,,
2:15.0,,,41-44,,Defensive rebound by R. Rubio
2:11.0,,,41-46,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
1:53.0,C. Watson makes 2-pt shot from 17 ft,2,43-46,,
1:34.0,,,43-46,,A. Wiggins misses 2-pt shot from 20 ft
1:33.0,Defensive rebound by Team,,43-46,,
1:24.0,C. Watson makes 2-pt shot from 1 ft,2,45-46,,
1:24.0,Shooting foul by Z. LaVine (drawn by C. Watson),,45-46,,
1:24.0,C. Watson makes free throw 1 of 1,1,46-46,,
1:16.0,Personal foul by N. Vucevic (drawn by K. Towns),,46-46,,
1:16.0,B. Biyombo enters the game for N. Vucevic,,46-46,,
1:10.0,,,46-46,,K. Towns misses 2-pt shot from 11 ft
1:08.0,Defensive rebound by C. Watson,,46-46,,
0:58.0,Turnover by S. Ibaka (bad pass; steal by A. Wiggins),,46-46,,
0:39.0,,,46-49,3,A. Wiggins makes 3-pt shot from 26 ft (assist by G. Dieng)
0:39.0,Orlando full timeout,,46-49,,
0:30.0,E. Payton makes 3-pt shot from 25 ft (assist by C. Watson),3,49-49,,
0:11.0,,,49-52,3,G. Dieng makes 3-pt shot from 24 ft (assist by A. Wiggins)
0:03.0,E. Payton makes 2-pt shot from 17 ft,2,51-52,,
0:02.0,,,51-52,,Turnover by A. Wiggins (lost ball)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,51-52,,A. Wiggins misses 2-pt shot from 10 ft
11:45.0,Defensive rebound by A. Gordon,,51-52,,
11:23.0,C. Watson makes 2-pt shot at rim (assist by N. Vucevic),2,53-52,,
11:12.0,Personal foul by A. Gordon (drawn by A. Wiggins),,53-52,,
11:04.0,,,53-52,,Z. LaVine misses 3-pt shot from 26 ft
11:03.0,Defensive rebound by N. Vucevic,,53-52,,
10:54.0,S. Ibaka makes 3-pt shot from 25 ft (assist by E. Payton),3,56-52,,
10:40.0,,,56-52,,R. Rubio misses 2-pt shot from 16 ft
10:39.0,,,56-52,,Offensive rebound by G. Dieng
10:36.0,,,56-52,,Turnover by R. Rubio (bad pass; steal by S. Ibaka)
10:27.0,E. Payton makes 2-pt shot from 1 ft,2,58-52,,
10:27.0,,,58-52,,Minnesota full timeout
10:16.0,,,58-52,,Shooting foul by E. Payton (drawn by R. Rubio)
10:16.0,,,58-52,,R. Rubio misses free throw 1 of 2
10:16.0,,,58-52,,Offensive rebound by Team
10:16.0,,,58-53,1,R. Rubio makes free throw 2 of 2
10:02.0,N. Vucevic misses 2-pt shot from 14 ft,,58-53,,
10:01.0,,,58-53,,Defensive rebound by R. Rubio
9:40.0,,,58-53,,Z. LaVine misses 3-pt shot from 24 ft
9:39.0,,,58-53,,Offensive rebound by R. Rubio
9:37.0,,,58-55,2,R. Rubio makes 2-pt shot from 1 ft
9:30.0,,,58-55,,Personal foul by R. Rubio (drawn by S. Ibaka)
9:24.0,N. Vucevic misses 2-pt shot from 18 ft,,58-55,,
9:23.0,,,58-55,,Defensive rebound by Z. LaVine
9:11.0,,,58-57,2,G. Dieng makes 2-pt shot at rim (assist by K. Towns)
8:55.0,N. Vucevic misses 2-pt shot from 12 ft,,58-57,,
8:54.0,,,58-57,,Defensive rebound by K. Towns
8:44.0,,,58-57,,A. Wiggins misses 2-pt shot from 12 ft
