time,Denver,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. M. Plumlee (K. Faried gains possession),,,,Jump ball: J. Nurkic vs. M. Plumlee (K. Faried gains possession)
11:40.0,J. Nurkic makes 2-pt shot from 4 ft,2,2-0,,
11:25.0,,,2-2,2,M. Plumlee makes 2-pt shot from 5 ft (assist by M. Leonard)
11:10.0,D. Gallinari misses 3-pt shot from 25 ft,,2-2,,
11:08.0,Offensive rebound by J. Nurkic,,2-2,,
11:02.0,,,2-2,,Violation by M. Plumlee (kicked ball)
10:59.0,,,2-2,,Personal foul by M. Harkless (drawn by D. Gallinari)
10:52.0,J. Nurkic misses 2-pt shot from 6 ft,,2-2,,
10:51.0,,,2-2,,Defensive rebound by M. Plumlee
10:37.0,,,2-2,,C. McCollum misses 3-pt shot from 23 ft
10:37.0,Defensive rebound by J. Nelson,,2-2,,
10:29.0,D. Gallinari misses 2-pt shot from 11 ft,,2-2,,
10:28.0,Offensive rebound by K. Faried,,2-2,,
10:28.0,K. Faried misses 2-pt shot from 1 ft,,2-2,,
10:26.0,Offensive rebound by K. Faried,,2-2,,
10:26.0,Shooting foul by M. Leonard (drawn by K. Faried),,2-2,,
10:26.0,K. Faried makes free throw 1 of 2,1,3-2,,
10:26.0,K. Faried makes free throw 2 of 2,1,4-2,,
10:01.0,,,4-2,,M. Plumlee misses 2-pt shot from 3 ft (block by J. Nurkic)
10:01.0,,,4-2,,Offensive rebound by Team
10:01.0,,,4-2,,Turnover by Team (shot clock)
9:53.0,J. Nelson misses 3-pt shot from 25 ft,,4-2,,
9:51.0,Offensive rebound by K. Faried,,4-2,,
9:51.0,K. Faried misses 2-pt shot from 2 ft (block by M. Harkless),,4-2,,
9:48.0,,,4-2,,Defensive rebound by M. Harkless
9:45.0,,,4-2,,Offensive foul by M. Leonard
9:45.0,,,4-2,,Turnover by M. Leonard (offensive foul)
9:26.0,J. Nurkic misses 2-pt shot from 1 ft,,4-2,,
9:26.0,,,4-2,,Defensive rebound by M. Leonard
9:19.0,,,4-2,,D. Lillard misses 2-pt shot from 8 ft
9:18.0,Defensive rebound by J. Nurkic,,4-2,,
9:13.0,Jump ball: C. McCollum vs. E. Mudiay (D. Lillard gains possession),,,,Jump ball: C. McCollum vs. E. Mudiay (D. Lillard gains possession)
9:13.0,Turnover by E. Mudiay (lost ball; steal by C. McCollum),,4-2,,
9:06.0,,,4-4,2,D. Lillard makes 2-pt shot from 1 ft
8:47.0,E. Mudiay misses 2-pt shot from 19 ft,,4-4,,
8:46.0,,,4-4,,Defensive rebound by M. Leonard
8:37.0,,,4-7,3,D. Lillard makes 3-pt shot from 26 ft (assist by M. Leonard)
8:18.0,Shooting foul by M. Harkless (drawn by J. Nurkic),,4-7,,
8:18.0,J. Nurkic misses free throw 1 of 2,,4-7,,
8:18.0,Offensive rebound by Team,,4-7,,
8:18.0,J. Nurkic makes free throw 2 of 2,1,5-7,,
8:18.0,,,4-7,,E. Turner enters the game for M. Harkless
8:02.0,,,5-7,,M. Leonard misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by J. Nelson,,5-7,,
7:49.0,E. Mudiay misses 2-pt shot from 3 ft (block by C. McCollum),,5-7,,
7:48.0,,,5-7,,Defensive rebound by M. Plumlee
7:31.0,,,5-7,,M. Leonard misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by K. Faried,,5-7,,
7:24.0,Turnover by D. Gallinari (traveling),,5-7,,
7:12.0,,,5-9,2,M. Leonard makes 2-pt shot at rim (assist by E. Turner)
6:50.0,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari),2,7-9,,
