time,Milwaukee,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Maker (G. Hill gains possession),,,,Jump ball: R. Gobert vs. T. Maker (G. Hill gains possession)
11:39.0,,,0-0,,R. Gobert misses 2-pt shot from 3 ft (block by T. Maker)
11:37.0,Defensive rebound by T. Maker,,0-0,,
11:15.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by G. Hill
11:00.0,,,0-0,,R. Hood misses 2-pt shot from 11 ft
11:00.0,Defensive rebound by J. Parker,,0-0,,
10:53.0,J. Parker misses 2-pt shot from 3 ft,,0-0,,
10:53.0,Offensive rebound by T. Maker,,0-0,,
10:53.0,Shooting foul by R. Gobert (drawn by T. Maker),,0-0,,
10:53.0,T. Maker misses free throw 1 of 2,,0-0,,
10:53.0,Offensive rebound by Team,,0-0,,
10:53.0,T. Maker misses free throw 2 of 2,,0-0,,
10:52.0,,,0-0,,Defensive rebound by R. Gobert
10:41.0,,,0-0,,G. Hill misses 2-pt shot from 4 ft
10:40.0,Defensive rebound by T. Snell,,0-0,,
10:32.0,J. Parker misses 3-pt shot from 24 ft,,0-0,,
10:32.0,,,0-0,,Defensive rebound by R. Gobert
10:19.0,,,0-0,,B. Diaw misses 2-pt shot from 1 ft (block by J. Parker)
10:17.0,,,0-0,,Offensive rebound by R. Gobert
10:15.0,,,0-2,2,R. Gobert makes 2-pt shot at rim
9:55.0,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,3-2,,
9:40.0,,,3-5,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert)
9:22.0,G. Antetokounmpo makes 2-pt shot at rim,2,5-5,,
9:21.0,Technical foul by G. Antetokounmpo,,5-5,,
9:21.0,,,5-6,1,G. Hayward makes technical free throw
9:08.0,,,5-6,,R. Gobert misses 2-pt shot from 2 ft (block by T. Maker)
9:08.0,Defensive rebound by T. Snell,,5-6,,
9:08.0,,,5-6,,Personal foul by R. Gobert (drawn by T. Snell)
8:54.0,Shooting foul by B. Diaw (drawn by J. Parker),,5-6,,
8:54.0,J. Parker makes free throw 1 of 2,1,6-6,,
8:54.0,J. Parker makes free throw 2 of 2,1,7-6,,
8:54.0,,,6-6,,J. Withey enters the game for R. Gobert
8:41.0,,,7-8,2,J. Withey makes 2-pt shot from 3 ft (assist by G. Hill)
8:22.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,10-8,,
8:10.0,,,10-8,,Shooting foul by J. Parker (drawn by G. Hayward)
8:10.0,,,10-9,1,G. Hayward makes free throw 1 of 3
8:10.0,,,10-10,1,G. Hayward makes free throw 2 of 3
8:10.0,,,10-11,1,G. Hayward makes free throw 3 of 3
7:57.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,10-11,,
7:56.0,,,10-11,,Defensive rebound by Team
7:39.0,,,10-13,2,G. Hill makes 2-pt shot from 2 ft
7:26.0,M. Dellavedova misses 2-pt shot from 2 ft,,10-13,,
7:26.0,Offensive rebound by G. Antetokounmpo,,10-13,,
7:22.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,13-13,,
7:02.0,,,13-13,,Turnover by B. Diaw (bad pass; steal by T. Maker)
6:57.0,,,13-13,,Personal foul by R. Hood (drawn by G. Antetokounmpo)
6:57.0,G. Monroe enters the game for T. Maker,,13-13,,
6:48.0,G. Monroe makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,15-13,,
6:29.0,,,15-13,,J. Withey misses 2-pt shot from 17 ft
6:29.0,,,15-13,,Offensive rebound by B. Diaw
6:22.0,,,15-13,,B. Diaw misses 2-pt shot from 9 ft
6:21.0,,,15-13,,Offensive rebound by G. Hayward
6:09.0,,,15-13,,B. Diaw misses 3-pt shot from 25 ft
6:08.0,,,15-13,,Offensive rebound by R. Hood
6:00.0,,,15-13,,Shooting foul by T. Snell (drawn by G. Hayward)
6:00.0,,,15-14,1,G. Hayward makes free throw 1 of 2
6:00.0,,,15-15,1,G. Hayward makes free throw 2 of 2
6:00.0,M. Beasley enters the game for G. Antetokounmpo,,15-14,,
