time,Oklahoma City,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Vucevic (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. N. Vucevic (V. Oladipo gains possession)
11:45.0,T. Gibson misses 2-pt shot from 4 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by E. Fournier
11:21.0,,,0-0,,E. Payton misses 2-pt shot from 2 ft
11:20.0,Defensive rebound by T. Gibson,,0-0,,
11:11.0,V. Oladipo makes 2-pt shot from 3 ft (assist by R. Westbrook),2,2-0,,
10:59.0,,,2-0,,A. Gordon misses 2-pt shot from 10 ft
10:58.0,Defensive rebound by R. Westbrook,,2-0,,
10:53.0,Turnover by R. Westbrook (bad pass; steal by N. Vucevic),,2-0,,
10:40.0,,,2-0,,N. Vucevic misses 2-pt shot from 17 ft
10:39.0,Defensive rebound by T. Gibson,,2-0,,
10:22.0,S. Adams misses 2-pt shot from 10 ft,,2-0,,
10:21.0,,,2-0,,Defensive rebound by N. Vucevic
10:06.0,,,2-0,,E. Fournier misses 2-pt shot from 6 ft
10:05.0,Defensive rebound by S. Adams,,2-0,,
9:50.0,V. Oladipo misses 2-pt shot from 14 ft (block by T. Ross),,2-0,,
9:48.0,,,2-0,,Defensive rebound by N. Vucevic
9:42.0,,,2-0,,N. Vucevic misses 2-pt shot from 8 ft (block by S. Adams)
9:40.0,Defensive rebound by S. Adams,,2-0,,
9:32.0,S. Adams misses 2-pt shot from 7 ft (block by N. Vucevic),,2-0,,
9:30.0,,,2-0,,Defensive rebound by E. Payton
9:26.0,,,2-0,,E. Payton misses 2-pt shot from 3 ft (block by A. Roberson)
9:23.0,Defensive rebound by V. Oladipo,,2-0,,
9:13.0,T. Gibson makes 2-pt shot from 2 ft,2,4-0,,
8:48.0,,,4-2,2,E. Fournier makes 2-pt shot from 2 ft
8:33.0,V. Oladipo makes 2-pt shot from 18 ft (assist by R. Westbrook),2,6-2,,
8:28.0,,,6-2,,Turnover by E. Payton (bad pass; steal by T. Gibson)
8:21.0,R. Westbrook makes 2-pt shot from 2 ft,2,8-2,,
8:07.0,,,8-2,,Turnover by E. Fournier (lost ball; steal by R. Westbrook)
8:01.0,R. Westbrook makes 2-pt shot at rim (assist by V. Oladipo),2,10-2,,
7:53.0,,,10-2,,Orlando full timeout
7:43.0,,,10-2,,Turnover by T. Ross (lost ball; steal by V. Oladipo)
7:33.0,Turnover by R. Westbrook (bad pass; steal by T. Ross),,10-2,,
7:21.0,,,10-2,,A. Gordon misses 2-pt shot from 19 ft
7:20.0,Defensive rebound by R. Westbrook,,10-2,,
7:15.0,Turnover by R. Westbrook (bad pass; steal by A. Gordon),,10-2,,
7:10.0,,,10-4,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
6:54.0,V. Oladipo misses 3-pt shot from 25 ft,,10-4,,
6:52.0,Offensive rebound by R. Westbrook,,10-4,,
6:49.0,R. Westbrook makes 2-pt shot from 3 ft,2,12-4,,
6:36.0,,,12-4,,E. Fournier misses 2-pt shot from 20 ft
6:35.0,Defensive rebound by Team,,12-4,,
6:22.0,Turnover by R. Westbrook (bad pass; steal by A. Gordon),,12-4,,
6:14.0,,,12-4,,N. Vucevic misses 2-pt shot from 20 ft
6:13.0,Defensive rebound by T. Gibson,,12-4,,
6:06.0,Oklahoma City full timeout,,12-4,,
5:57.0,Turnover by R. Westbrook (bad pass; steal by A. Gordon),,12-4,,
5:50.0,,,12-7,3,E. Fournier makes 3-pt shot from 24 ft (assist by T. Ross)
5:40.0,Shooting foul by E. Payton (drawn by R. Westbrook),,12-7,,
5:40.0,R. Westbrook misses free throw 1 of 2,,12-7,,
5:40.0,Offensive rebound by Team,,12-7,,
5:40.0,R. Westbrook makes free throw 2 of 2,1,13-7,,
5:40.0,A. Abrines enters the game for V. Oladipo,,12-7,,
5:28.0,,,13-9,2,E. Payton makes 2-pt shot from 8 ft
5:06.0,A. Abrines misses 3-pt shot from 26 ft,,13-9,,
5:06.0,Offensive rebound by Team,,13-9,,
5:06.0,,,13-9,,Loose ball foul by N. Vucevic (drawn by S. Adams)
4:46.0,A. Roberson misses 2-pt shot from 1 ft,,13-9,,
4:44.0,,,13-9,,Defensive rebound by N. Vucevic
4:33.0,,,13-9,,A. Gordon misses 3-pt shot from 26 ft
4:32.0,,,13-9,,Offensive rebound by E. Payton
4:27.0,,,13-12,3,T. Ross makes 3-pt shot from 25 ft (assist by E. Payton)
4:12.0,R. Westbrook makes 2-pt shot from 19 ft,2,15-12,,
3:59.0,,,15-14,2,A. Gordon makes 2-pt shot from 15 ft (assist by E. Payton)
3:46.0,R. Westbrook misses 2-pt shot from 11 ft (block by E. Payton),,15-14,,
3:44.0,Offensive rebound by R. Westbrook,,15-14,,
3:42.0,,,15-14,,Personal foul by E. Payton (drawn by R. Westbrook)
3:42.0,D. Sabonis enters the game for T. Gibson,,15-14,,
3:42.0,,,15-14,,D. Augustin enters the game for E. Payton
3:29.0,R. Westbrook misses 2-pt shot from 21 ft,,15-14,,
3:27.0,,,15-14,,Defensive rebound by E. Fournier
3:12.0,,,15-14,,N. Vucevic misses 2-pt shot from 6 ft (block by S. Adams)
3:10.0,Defensive rebound by D. Sabonis,,15-14,,
3:01.0,A. Abrines misses 3-pt shot from 26 ft,,15-14,,
3:00.0,Offensive rebound by S. Adams,,15-14,,
3:00.0,Shooting foul by N. Vucevic (drawn by S. Adams),,15-14,,
3:00.0,S. Adams misses free throw 1 of 2,,15-14,,
3:00.0,Offensive rebound by Team,,15-14,,
3:00.0,S. Adams misses free throw 2 of 2,,15-14,,
3:00.0,,,15-14,,Defensive rebound by Team
3:00.0,S. Christon enters the game for R. Westbrook,,15-14,,
3:00.0,,,15-14,,B. Biyombo enters the game for N. Vucevic
3:00.0,,,15-14,,M. Hezonja enters the game for E. Fournier
2:48.0,,,15-14,,T. Ross misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by S. Christon,,15-14,,
2:26.0,S. Christon misses 3-pt shot from 26 ft,,15-14,,
2:25.0,,,15-14,,Defensive rebound by B. Biyombo
2:12.0,,,15-16,2,B. Biyombo makes 2-pt shot from 8 ft
1:52.0,Shooting foul by B. Biyombo (drawn by S. Adams),,15-16,,
1:52.0,S. Adams makes 2-pt shot from 9 ft,2,17-16,,
1:52.0,S. Adams makes free throw 1 of 1,1,18-16,,
1:52.0,V. Oladipo enters the game for A. Roberson,,17-16,,
1:33.0,,,18-16,,Turnover by T. Ross (bad pass; steal by S. Christon)
1:24.0,D. Sabonis misses 2-pt shot from 14 ft,,18-16,,
1:23.0,,,18-16,,Defensive rebound by M. Hezonja
1:14.0,,,18-18,2,A. Gordon makes 2-pt shot at rim (assist by M. Hezonja)
1:00.0,V. Oladipo makes 2-pt shot from 18 ft,2,20-18,,
0:42.0,,,20-18,,D. Augustin misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by D. Sabonis,,20-18,,
0:27.0,Turnover by V. Oladipo (bad pass; steal by A. Gordon),,20-18,,
0:05.0,Personal foul by D. Sabonis (drawn by D. Augustin),,20-18,,
0:00.0,,,20-18,,T. Ross misses 3-pt shot from 25 ft
0:00.0,,,20-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,20-18,,M. Hezonja misses 3-pt shot from 26 ft
11:43.0,Defensive rebound by E. Kanter,,20-18,,
11:29.0,E. Kanter makes 2-pt shot from 7 ft,2,22-18,,
11:13.0,,,22-18,,E. Fournier misses 2-pt shot from 3 ft
11:11.0,Defensive rebound by E. Kanter,,22-18,,
11:06.0,V. Oladipo misses 2-pt shot from 21 ft,,22-18,,
11:05.0,,,22-18,,Defensive rebound by B. Biyombo
10:57.0,,,22-18,,Turnover by D. Augustin (bad pass)
10:42.0,Turnover by E. Kanter (lost ball; steal by J. Meeks),,22-18,,
10:26.0,,,22-20,2,D. Augustin makes 2-pt shot from 3 ft (assist by B. Biyombo)
10:09.0,V. Oladipo misses 2-pt shot from 11 ft,,22-20,,
10:07.0,,,22-20,,Defensive rebound by M. Hezonja
10:00.0,,,22-20,,M. Hezonja misses 2-pt shot from 6 ft
9:58.0,Defensive rebound by E. Kanter,,22-20,,
9:49.0,S. Christon makes 2-pt shot from 18 ft,2,24-20,,
