time,Sacramento,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. K. Koufos (D. Exum gains possession),,,,Jump ball: R. Gobert vs. K. Koufos (D. Exum gains possession)
11:50.0,,,0-0,,Turnover by B. Diaw (bad pass)
11:30.0,R. Gay misses 2-pt shot at rim (block by R. Gobert),,0-0,,
11:29.0,Offensive rebound by Team,,0-0,,
11:24.0,D. Cousins makes 2-pt shot from 14 ft,2,2-0,,
11:08.0,,,2-0,,Turnover by R. Gobert (3 sec)
10:53.0,R. Gay makes 3-pt shot from 23 ft (assist by D. Cousins),3,5-0,,
10:43.0,,,5-0,,Turnover by J. Ingles (bad pass; steal by R. Gay)
10:37.0,R. Gay makes 2-pt shot from 2 ft (assist by B. McLemore),2,7-0,,
10:25.0,,,7-0,,Turnover by D. Exum (bad pass; steal by R. Gay)
10:20.0,R. Gay makes 2-pt shot at rim,2,9-0,,
10:01.0,,,9-0,,G. Hayward misses 2-pt shot from 22 ft
10:01.0,Defensive rebound by D. Cousins,,9-0,,
9:56.0,,,9-0,,Violation by J. Ingles (kicked ball)
9:40.0,K. Koufos makes 2-pt shot from 4 ft,2,11-0,,
9:40.0,,,11-0,,Utah full timeout
9:22.0,,,11-3,3,B. Diaw makes 3-pt shot from 25 ft (assist by G. Hayward)
9:04.0,Turnover by D. Collison (lost ball; steal by D. Exum),,11-3,,
8:58.0,,,11-5,2,D. Exum makes 2-pt shot from 2 ft (assist by J. Ingles)
8:30.0,K. Koufos misses 2-pt shot from 10 ft,,11-5,,
8:29.0,Offensive rebound by D. Cousins,,11-5,,
8:28.0,D. Cousins misses 2-pt shot from 1 ft,,11-5,,
8:28.0,Offensive rebound by Team,,11-5,,
8:22.0,R. Gay misses 2-pt shot from 3 ft (block by R. Gobert),,11-5,,
8:21.0,Offensive rebound by D. Collison,,11-5,,
8:13.0,Shooting foul by B. Diaw (drawn by D. Cousins),,11-5,,
8:13.0,D. Cousins makes free throw 1 of 2,1,12-5,,
8:13.0,D. Cousins misses free throw 2 of 2,,12-5,,
8:12.0,,,12-5,,Defensive rebound by J. Ingles
7:58.0,,,12-5,,D. Exum misses 2-pt shot from 3 ft
7:58.0,Defensive rebound by Team,,12-5,,
7:49.0,R. Gay misses 2-pt shot from 10 ft,,12-5,,
7:48.0,,,12-5,,Defensive rebound by R. Gobert
7:39.0,,,12-7,2,R. Gobert makes 2-pt shot from 3 ft (assist by J. Ingles)
7:39.0,,,12-7,,Shooting foul by K. Koufos (drawn by R. Gobert)
7:39.0,,,12-8,1,R. Gobert makes free throw 1 of 1
7:27.0,Turnover by D. Collison (bad pass; steal by D. Exum),,12-8,,
7:23.0,,,12-8,,Shooting foul by D. Cousins (drawn by G. Hayward)
7:23.0,,,12-9,1,G. Hayward makes free throw 1 of 2
7:23.0,,,12-10,1,G. Hayward makes free throw 2 of 2
7:15.0,Turnover by R. Gay (bad pass; steal by G. Hayward),,12-10,,
7:07.0,,,12-13,3,J. Ingles makes 3-pt shot from 25 ft (assist by G. Hayward)
6:55.0,Sacramento full timeout,,12-13,,
6:46.0,B. McLemore misses 3-pt shot from 24 ft,,12-13,,
6:45.0,,,12-13,,Defensive rebound by D. Exum
6:33.0,,,12-15,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
6:08.0,D. Cousins misses 2-pt shot from 2 ft,,12-15,,
6:07.0,Offensive rebound by B. McLemore,,12-15,,
5:59.0,R. Gay makes 2-pt shot from 19 ft,2,14-15,,
5:51.0,,,14-17,2,B. Diaw makes 2-pt shot from 2 ft (assist by J. Ingles)
5:38.0,D. Cousins misses 2-pt shot from 3 ft (block by R. Gobert),,14-17,,
5:37.0,,,14-17,,Defensive rebound by B. Diaw
5:31.0,,,14-20,3,G. Hayward makes 3-pt shot from 25 ft (assist by D. Exum)
5:15.0,D. Collison makes 2-pt shot from 9 ft,2,16-20,,
4:48.0,,,16-22,2,G. Hayward makes 2-pt shot from 17 ft
4:26.0,D. Cousins misses 2-pt shot from 16 ft,,16-22,,
4:26.0,,,16-22,,Defensive rebound by G. Hayward
4:18.0,,,16-22,,G. Hayward misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by D. Cousins,,16-22,,
4:08.0,R. Gay misses 2-pt shot from 10 ft,,16-22,,
4:07.0,,,16-22,,Defensive rebound by R. Gobert
3:55.0,,,16-22,,D. Exum misses 2-pt shot from 2 ft
3:54.0,Defensive rebound by R. Gay,,16-22,,
3:46.0,D. Collison misses 2-pt shot from 18 ft,,16-22,,
3:45.0,,,16-22,,Defensive rebound by J. Ingles
3:42.0,,,16-22,,Turnover by J. Ingles (lost ball; steal by B. McLemore)
3:34.0,R. Gay makes 3-pt shot from 24 ft (assist by D. Cousins),3,19-22,,
3:12.0,,,19-22,,G. Hayward misses 2-pt shot from 16 ft
3:11.0,Defensive rebound by D. Cousins,,19-22,,
3:00.0,,,19-22,,Violation by R. Gobert (def goaltending)
3:00.0,D. Collison makes 2-pt shot from 5 ft,2,21-22,,
2:48.0,T. Lawson enters the game for D. Collison,,21-22,,
2:48.0,M. Barnes enters the game for K. Koufos,,21-22,,
2:48.0,,,21-22,,T. Lyles enters the game for B. Diaw
2:48.0,,,21-22,,S. Mack enters the game for D. Exum
2:38.0,,,21-22,,S. Mack misses 3-pt shot from 26 ft
2:37.0,,,21-22,,Offensive rebound by T. Lyles
2:35.0,,,21-22,,T. Lyles misses 2-pt shot from 2 ft
2:34.0,Defensive rebound by D. Cousins,,21-22,,
2:22.0,T. Lawson misses 2-pt shot from 19 ft,,21-22,,
2:22.0,,,21-22,,Defensive rebound by G. Hayward
2:11.0,,,21-22,,Offensive foul by G. Hayward
2:11.0,,,21-22,,Turnover by G. Hayward (offensive foul)
2:11.0,,,21-22,,J. Johnson enters the game for G. Hayward
2:00.0,M. Barnes misses 3-pt shot from 25 ft,,21-22,,
1:59.0,Offensive rebound by D. Cousins,,21-22,,
1:52.0,M. Barnes makes 2-pt shot from 3 ft (assist by T. Lawson),2,23-22,,
1:27.0,,,23-22,,T. Lyles misses 3-pt shot from 24 ft
1:27.0,,,23-22,,Offensive rebound by Team
1:27.0,O. Casspi enters the game for R. Gay,,23-22,,
1:20.0,,,23-22,,T. Lyles misses 2-pt shot from 9 ft
1:20.0,,,23-22,,Offensive rebound by R. Gobert
1:20.0,,,23-24,2,R. Gobert makes 2-pt shot from 1 ft
1:20.0,,,23-24,,Shooting foul by B. McLemore (drawn by R. Gobert)
1:20.0,,,23-25,1,R. Gobert makes free throw 1 of 1
1:12.0,,,23-25,,Personal foul by J. Johnson (drawn by O. Casspi)
1:02.0,D. Cousins makes 2-pt shot from 20 ft (assist by T. Lawson),2,25-25,,
0:48.0,,,25-25,,J. Johnson misses 2-pt shot from 4 ft
0:47.0,,,25-25,,Offensive rebound by J. Johnson
0:47.0,,,25-27,2,J. Johnson makes 2-pt shot from 4 ft
0:34.0,D. Cousins misses 3-pt shot from 24 ft,,25-27,,
0:33.0,,,25-27,,Defensive rebound by J. Johnson
0:24.0,,,25-29,2,J. Johnson makes 2-pt shot from 18 ft
0:01.0,B. McLemore misses 3-pt shot from 24 ft,,25-29,,
0:00.0,Offensive rebound by Team,,25-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,O. Casspi misses 2-pt shot from 4 ft,,25-29,,
11:37.0,,,25-29,,Defensive rebound by D. Exum
11:26.0,,,25-29,,Turnover by D. Exum (bad pass)
11:18.0,Shooting foul by D. Exum (drawn by T. Lawson),,25-29,,
11:18.0,T. Lawson makes 2-pt shot from 9 ft,2,27-29,,
11:18.0,T. Lawson makes free throw 1 of 1,1,28-29,,
11:18.0,,,27-29,,R. Neto enters the game for D. Exum
11:02.0,,,28-29,,J. Johnson misses 3-pt shot from 24 ft
11:02.0,,,28-29,,Offensive rebound by T. Lyles
10:58.0,,,28-29,,Turnover by T. Lyles (back court)
10:35.0,M. Barnes misses 3-pt shot from 24 ft,,28-29,,
10:35.0,Offensive rebound by W. Cauley-Stein,,28-29,,
10:33.0,W. Cauley-Stein makes 2-pt shot at rim,2,30-29,,
10:13.0,,,30-32,3,T. Lyles makes 3-pt shot from 25 ft (assist by R. Neto)
10:01.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson),2,32-32,,
9:48.0,,,32-32,,Shooting foul by M. Barnes (drawn by J. Withey)
9:48.0,,,32-33,1,J. Withey makes free throw 1 of 2
9:48.0,,,32-34,1,J. Withey makes free throw 2 of 2
9:38.0,Turnover by T. Lawson (lost ball; steal by R. Neto),,32-34,,
9:24.0,,,32-37,3,R. Neto makes 3-pt shot from 24 ft (assist by J. Johnson)
9:02.0,T. Lawson misses 2-pt shot from 2 ft (block by J. Withey),,32-37,,
9:01.0,,,32-37,,Defensive rebound by R. Neto
8:51.0,,,32-40,3,R. Neto makes 3-pt shot from 24 ft (assist by S. Mack)
8:40.0,Sacramento full timeout,,32-40,,
8:24.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by J. Johnson),,32-40,,
8:23.0,,,32-40,,Defensive rebound by J. Withey
8:03.0,,,32-40,,S. Mack misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by M. Barnes,,32-40,,
7:51.0,T. Lawson misses 2-pt shot from 21 ft,,32-40,,
7:51.0,Offensive rebound by T. Lawson,,32-40,,
7:48.0,Turnover by T. Lawson (bad pass; steal by J. Withey),,32-40,,
7:44.0,,,32-42,2,T. Lyles makes 2-pt shot from 2 ft (assist by R. Neto)
7:44.0,Shooting block foul by G. Temple (drawn by T. Lyles),,32-42,,
7:44.0,,,32-43,1,T. Lyles makes free throw 1 of 1
7:31.0,G. Temple misses 2-pt shot from 18 ft,,32-43,,
7:31.0,,,32-43,,Defensive rebound by J. Withey
7:20.0,,,32-43,,T. Lyles misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by O. Casspi,,32-43,,
7:12.0,T. Lawson makes 2-pt shot from 2 ft (assist by O. Casspi),2,34-43,,
6:57.0,,,34-43,,T. Lyles misses 2-pt shot from 2 ft
6:57.0,,,34-43,,Offensive rebound by T. Lyles
6:50.0,,,34-43,,S. Mack misses 2-pt shot from 4 ft (block by T. Lawson)
6:49.0,,,34-43,,Offensive rebound by S. Mack
6:34.0,,,34-43,,R. Neto misses 2-pt shot from 22 ft
6:34.0,,,34-43,,Offensive rebound by R. Neto
6:19.0,,,34-43,,Turnover by S. Mack (bad pass)
6:19.0,Sacramento full timeout,,34-43,,
6:19.0,,,34-43,,G. Hayward enters the game for J. Johnson
6:19.0,,,34-43,,D. Exum enters the game for R. Neto
6:19.0,,,34-43,,R. Gobert enters the game for J. Withey
6:16.0,O. Casspi makes 2-pt shot from 1 ft (assist by M. Barnes),2,36-43,,
5:49.0,,,36-43,,T. Lyles misses 2-pt shot from 9 ft
5:49.0,Defensive rebound by O. Casspi,,36-43,,
5:36.0,G. Temple misses 2-pt shot from 9 ft,,36-43,,
5:35.0,,,36-43,,Defensive rebound by R. Gobert
5:22.0,,,36-43,,Shooting foul by W. Cauley-Stein (drawn by R. Gobert)
5:22.0,,,36-44,1,R. Gobert makes free throw 1 of 2
5:22.0,,,36-45,1,R. Gobert makes free throw 2 of 2
5:22.0,,,36-44,,B. Diaw enters the game for T. Lyles
5:22.0,,,36-44,,J. Ingles enters the game for S. Mack
5:07.0,O. Casspi makes 3-pt shot from 24 ft (assist by T. Lawson),3,39-45,,
4:51.0,,,39-45,,D. Exum misses 2-pt shot from 3 ft
4:51.0,,,39-45,,Offensive rebound by Team
4:51.0,Loose ball foul by O. Casspi (drawn by R. Gobert),,39-45,,
4:51.0,D. Cousins enters the game for W. Cauley-Stein,,39-45,,
4:51.0,R. Gay enters the game for M. Barnes,,39-45,,
4:45.0,Personal foul by G. Temple (drawn by G. Hayward),,39-45,,
4:45.0,,,39-46,1,G. Hayward makes free throw 1 of 2
4:45.0,,,39-47,1,G. Hayward makes free throw 2 of 2
4:31.0,D. Cousins misses 2-pt shot from 12 ft (block by R. Gobert),,39-47,,
4:30.0,,,39-47,,Defensive rebound by G. Hayward
4:24.0,,,39-47,,Turnover by G. Hayward (lost ball; steal by O. Casspi)
4:18.0,O. Casspi makes 2-pt shot from 2 ft (assist by G. Temple),2,41-47,,
4:03.0,,,41-47,,Turnover by B. Diaw (bad pass)
4:03.0,D. Collison enters the game for T. Lawson,,41-47,,
4:03.0,,,41-47,,S. Mack enters the game for D. Exum
3:39.0,R. Gay misses 2-pt shot from 11 ft,,41-47,,
3:39.0,,,41-47,,Defensive rebound by R. Gobert
3:28.0,,,41-49,2,J. Ingles makes 2-pt shot from 2 ft
3:08.0,D. Cousins makes 2-pt shot from 2 ft,2,43-49,,
3:08.0,Shooting foul by R. Gobert (drawn by D. Cousins),,43-49,,
3:08.0,D. Cousins misses free throw 1 of 1,,43-49,,
3:07.0,,,43-49,,Defensive rebound by G. Hayward
2:46.0,,,43-49,,R. Gobert misses 2-pt shot from 3 ft (block by D. Cousins)
2:45.0,Defensive rebound by D. Cousins,,43-49,,
2:35.0,D. Cousins makes 3-pt shot from 25 ft (assist by R. Gay),3,46-49,,
2:11.0,,,46-49,,G. Hayward misses 3-pt shot from 23 ft
2:11.0,,,46-49,,Offensive rebound by R. Gobert
2:10.0,,,46-49,,Shooting foul by D. Cousins (drawn by R. Gobert)
2:10.0,,,46-49,,Utah full timeout
2:10.0,,,46-50,1,R. Gobert makes free throw 1 of 2
2:10.0,,,46-50,,R. Gobert misses free throw 2 of 2
2:09.0,Defensive rebound by R. Gay,,46-50,,
1:54.0,Shooting foul by R. Gobert (drawn by R. Gay),,46-50,,
1:54.0,R. Gay makes free throw 1 of 2,1,47-50,,
1:54.0,R. Gay makes free throw 2 of 2,1,48-50,,
1:41.0,,,48-50,,G. Hayward misses 3-pt shot from 24 ft
1:40.0,Defensive rebound by R. Gay,,48-50,,
1:36.0,Turnover by D. Cousins (lost ball),,48-50,,
1:25.0,,,48-50,,G. Hayward misses 2-pt shot at rim
1:25.0,Defensive rebound by R. Gay,,48-50,,
1:11.0,O. Casspi makes 2-pt shot from 2 ft,2,50-50,,
0:54.0,,,50-52,2,B. Diaw makes 2-pt shot from 1 ft (assist by J. Ingles)
0:33.0,O. Casspi misses 3-pt shot from 23 ft,,50-52,,
0:33.0,,,50-52,,Defensive rebound by G. Hayward
0:27.0,,,50-52,,G. Hayward misses 2-pt shot from 2 ft
0:27.0,,,50-52,,Offensive rebound by Team
0:27.0,,,50-52,,Utah full timeout
0:03.0,,,50-52,,S. Mack misses 2-pt shot from 10 ft
0:02.0,Defensive rebound by D. Cousins,,50-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Collison makes 2-pt shot from 19 ft,2,52-52,,
11:31.0,,,52-52,,Turnover by B. Diaw (step out of bounds)
11:14.0,D. Collison makes 3-pt shot from 24 ft (assist by D. Cousins),3,55-52,,
10:57.0,,,55-52,,Turnover by B. Diaw (bad pass)
10:37.0,D. Cousins misses 3-pt shot from 25 ft,,55-52,,
10:36.0,,,55-52,,Defensive rebound by G. Hayward
10:20.0,Personal foul by D. Collison (drawn by B. Diaw),,55-52,,
10:07.0,,,55-52,,B. Diaw misses 2-pt shot from 2 ft
10:07.0,Defensive rebound by D. Cousins,,55-52,,
9:52.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Collison),3,58-52,,
9:34.0,,,58-52,,Turnover by R. Gobert (bad pass)
9:17.0,R. Gay makes 2-pt shot from 22 ft,2,60-52,,
9:17.0,,,60-52,,Utah full timeout
9:17.0,,,60-52,,S. Mack enters the game for D. Exum
9:17.0,,,60-52,,J. Johnson enters the game for B. Diaw
8:57.0,Jump ball: D. Cousins vs. G. Hayward (O. Casspi gains possession),,,,Jump ball: D. Cousins vs. G. Hayward (O. Casspi gains possession)
8:57.0,,,60-52,,Turnover by G. Hayward (lost ball; steal by D. Cousins)
8:43.0,D. Collison misses 3-pt shot from 25 ft,,60-52,,
8:43.0,,,60-52,,Defensive rebound by J. Ingles
8:30.0,,,60-54,2,G. Hayward makes 2-pt shot from 4 ft (assist by S. Mack)
8:10.0,D. Cousins misses 2-pt shot from 1 ft,,60-54,,
8:09.0,,,60-54,,Defensive rebound by S. Mack
8:00.0,Personal foul by R. Gay (drawn by J. Ingles),,60-54,,
7:51.0,,,60-56,2,S. Mack makes 2-pt shot from 3 ft
7:34.0,D. Cousins misses 2-pt shot from 20 ft,,60-56,,
7:32.0,,,60-56,,Defensive rebound by R. Gobert
7:18.0,,,60-59,3,J. Ingles makes 3-pt shot from 23 ft (assist by J. Johnson)
7:05.0,D. Collison misses 2-pt shot from 2 ft,,60-59,,
7:05.0,,,60-59,,Defensive rebound by R. Gobert
6:48.0,,,60-59,,Turnover by J. Johnson (bad pass; steal by O. Casspi)
6:42.0,D. Collison makes 3-pt shot from 25 ft (assist by O. Casspi),3,63-59,,
6:19.0,,,63-59,,J. Johnson misses 3-pt shot from 24 ft
6:18.0,,,63-59,,Offensive rebound by R. Gobert
6:16.0,,,63-61,2,R. Gobert makes 2-pt shot from 2 ft
6:06.0,,,63-61,,Personal foul by S. Mack (drawn by D. Collison)
5:55.0,B. McLemore misses 2-pt shot from 2 ft,,63-61,,
5:55.0,Offensive rebound by D. Cousins,,63-61,,
5:54.0,D. Cousins makes 2-pt shot from 2 ft,2,65-61,,
5:37.0,,,65-63,2,S. Mack makes 2-pt shot from 1 ft
5:21.0,,,65-63,,Personal foul by J. Johnson (drawn by R. Gay)
5:10.0,O. Casspi misses 2-pt shot from 2 ft,,65-63,,
5:10.0,,,65-63,,Defensive rebound by R. Gobert
5:04.0,,,65-66,3,G. Hayward makes 3-pt shot from 25 ft (assist by J. Johnson)
4:45.0,G. Temple enters the game for O. Casspi,,65-66,,
4:39.0,D. Cousins misses 2-pt shot at rim (block by R. Gobert),,65-66,,
4:38.0,,,65-66,,Defensive rebound by J. Ingles
4:33.0,,,65-66,,Turnover by S. Mack (bad pass; steal by G. Temple)
4:25.0,,,65-66,,Personal foul by R. Gobert (drawn by D. Cousins)
4:25.0,Sacramento full timeout,,65-66,,
4:11.0,D. Collison makes 3-pt shot from 24 ft (assist by D. Cousins),3,68-66,,
4:03.0,,,68-66,,Turnover by S. Mack (bad pass; steal by D. Collison)
3:58.0,D. Collison misses 3-pt shot from 24 ft,,68-66,,
3:58.0,,,68-66,,Defensive rebound by G. Hayward
3:47.0,,,68-68,2,S. Mack makes 2-pt shot from 9 ft (assist by G. Hayward)
3:28.0,Turnover by D. Cousins (lost ball; steal by J. Ingles),,68-68,,
3:22.0,,,68-68,,Turnover by J. Ingles (lost ball; steal by G. Temple)
3:14.0,D. Cousins makes 2-pt shot from 2 ft,2,70-68,,
2:52.0,,,70-71,3,J. Ingles makes 3-pt shot from 25 ft (assist by S. Mack)
2:26.0,D. Cousins misses 3-pt shot from 28 ft,,70-71,,
2:25.0,,,70-71,,Defensive rebound by R. Gobert
2:15.0,,,70-71,,Shooting foul by D. Cousins (drawn by R. Gobert)
2:15.0,,,70-72,1,R. Gobert makes free throw 1 of 2
