time,Portland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Plumlee (M. Conley gains possession),,,,Jump ball: M. Gasol vs. M. Plumlee (M. Conley gains possession)
11:44.0,,,0-2,2,M. Conley makes 2-pt shot from 12 ft
11:20.0,Turnover by M. Plumlee (lost ball; steal by T. Allen),,0-2,,
11:10.0,,,0-2,,C. Parsons misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by C. McCollum,,0-2,,
10:58.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Plumlee),3,3-2,,
10:39.0,,,3-2,,M. Gasol misses 2-pt shot from 12 ft
10:39.0,Defensive rebound by M. Plumlee,,3-2,,
10:39.0,,,3-2,,Loose ball foul by M. Gasol (drawn by M. Plumlee)
10:27.0,M. Harkless makes 2-pt shot from 2 ft (assist by A. Aminu),2,5-2,,
10:10.0,,,5-2,,Turnover by C. Parsons (bad pass)
9:56.0,M. Harkless misses 2-pt shot from 1 ft (block by M. Conley),,5-2,,
9:56.0,Offensive rebound by M. Plumlee,,5-2,,
9:56.0,Shooting foul by T. Allen (drawn by M. Plumlee),,5-2,,
9:56.0,M. Plumlee misses free throw 1 of 2,,5-2,,
9:56.0,Offensive rebound by Team,,5-2,,
9:56.0,M. Plumlee misses free throw 2 of 2,,5-2,,
9:56.0,,,5-2,,Defensive rebound by J. Green
9:44.0,,,5-2,,Turnover by M. Gasol (bad pass; steal by C. McCollum)
9:35.0,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard),3,8-2,,
9:30.0,,,8-2,,Memphis full timeout
9:19.0,,,8-2,,C. Parsons misses 2-pt shot from 2 ft (block by M. Harkless)
9:17.0,,,8-2,,Offensive rebound by C. Parsons
9:14.0,,,8-2,,C. Parsons misses 2-pt shot from 5 ft
9:13.0,,,8-2,,Offensive rebound by T. Allen
9:07.0,,,8-2,,J. Green misses 3-pt shot from 24 ft
9:06.0,,,8-2,,Offensive rebound by T. Allen
9:05.0,,,8-2,,Shooting foul by M. Harkless (drawn by T. Allen)
9:05.0,,,8-3,1,T. Allen makes free throw 1 of 2
9:05.0,,,8-4,1,T. Allen makes free throw 2 of 2
8:51.0,A. Aminu misses 3-pt shot from 23 ft,,8-4,,
8:50.0,,,8-4,,Defensive rebound by T. Allen
8:39.0,,,8-4,,Turnover by M. Conley (bad pass; steal by D. Lillard)
8:36.0,Turnover by M. Harkless (lost ball; steal by M. Conley),,8-4,,
8:31.0,,,8-6,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
8:14.0,D. Lillard misses 3-pt shot from 26 ft,,8-6,,
8:13.0,,,8-6,,Defensive rebound by C. Parsons
8:04.0,,,8-6,,M. Conley misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by A. Aminu,,8-6,,
7:55.0,C. McCollum makes 2-pt shot from 20 ft,2,10-6,,
7:30.0,,,10-6,,T. Allen misses 2-pt shot from 10 ft
