time,Minnesota,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,Z. LaVine misses 3-pt shot from 24 ft,,0-0,,
12:00.0,Jump ball: A. Len vs. K. Towns (G. Dieng gains possession),,,,Jump ball: A. Len vs. K. Towns (G. Dieng gains possession)
11:39.0,Offensive rebound by Z. LaVine,,0-0,,
11:35.0,Z. LaVine makes 2-pt shot from 2 ft,2,2-0,,
11:22.0,,,2-2,2,D. Booker makes 2-pt shot from 19 ft
11:07.0,G. Dieng makes 3-pt shot from 23 ft (assist by A. Wiggins),3,5-2,,
10:59.0,,,5-2,,M. Chriss misses 2-pt shot from 16 ft
10:59.0,Defensive rebound by G. Dieng,,5-2,,
10:45.0,A. Wiggins misses 2-pt shot from 10 ft,,5-2,,
10:44.0,,,5-2,,Defensive rebound by M. Chriss
10:35.0,Personal foul by Z. LaVine (drawn by B. Knight),,5-2,,
10:28.0,,,5-4,2,B. Knight makes 2-pt shot from 18 ft
10:16.0,Offensive foul by G. Dieng,,5-4,,
10:16.0,Turnover by G. Dieng (offensive foul),,5-4,,
10:08.0,,,5-4,,Turnover by E. Bledsoe (bad pass; steal by R. Rubio)
10:08.0,,,5-4,,Clear path foul by B. Knight
10:08.0,R. Rubio makes clear path free throw 1 of 2,1,6-4,,
10:08.0,R. Rubio makes clear path free throw 2 of 2,1,7-4,,
10:00.0,A. Wiggins makes 2-pt shot from 17 ft (assist by R. Rubio),2,9-4,,
9:46.0,,,9-6,2,B. Knight makes 2-pt shot from 10 ft (assist by M. Chriss)
9:22.0,K. Towns misses 3-pt shot from 27 ft,,9-6,,
9:22.0,,,9-6,,Defensive rebound by B. Knight
9:12.0,,,9-6,,Offensive foul by A. Len
9:12.0,,,9-6,,Turnover by A. Len (offensive foul)
9:02.0,A. Wiggins makes 2-pt shot from 22 ft,2,11-6,,
8:47.0,,,11-6,,B. Knight misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by K. Towns,,11-6,,
8:35.0,Turnover by R. Rubio (bad pass; steal by M. Chriss),,11-6,,
8:29.0,,,11-8,2,A. Len makes 2-pt shot from 2 ft (assist by E. Bledsoe)
8:11.0,Z. LaVine misses 2-pt shot from 3 ft (block by A. Len),,11-8,,
8:11.0,,,11-8,,Defensive rebound by A. Len
8:03.0,,,11-10,2,B. Knight makes 2-pt shot from 2 ft
7:49.0,,,11-10,,Personal foul by M. Chriss (drawn by K. Towns)
7:41.0,Turnover by A. Wiggins (bad pass; steal by B. Knight),,11-10,,
7:33.0,,,11-10,,B. Knight misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by K. Towns,,11-10,,
