time,Indiana,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. M. Turner (T. Young gains possession),,,,Jump ball: Z. Pachulia vs. M. Turner (T. Young gains possession)
11:42.0,Turnover by J. Teague (lost ball; steal by D. Green),,0-0,,
11:20.0,,,0-2,2,K. Durant makes 2-pt shot from 14 ft (assist by D. Green)
11:00.0,T. Young misses 2-pt shot from 5 ft,,0-2,,
10:59.0,,,0-2,,Defensive rebound by K. Durant
10:57.0,,,0-2,,Turnover by K. Durant (bad pass; steal by P. George)
10:50.0,P. George misses 2-pt shot from 7 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by K. Durant
10:38.0,,,0-5,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
10:12.0,Shooting foul by S. Curry (drawn by J. Teague),,0-5,,
10:12.0,J. Teague misses free throw 1 of 2,,0-5,,
10:12.0,Offensive rebound by Team,,0-5,,
10:12.0,J. Teague makes free throw 2 of 2,1,1-5,,
10:12.0,,,1-5,,Golden State full timeout
10:05.0,,,1-5,,D. Green misses 2-pt shot from 3 ft
10:05.0,Defensive rebound by M. Turner,,1-5,,
9:59.0,J. Teague makes 2-pt shot from 5 ft (assist by M. Ellis),2,3-5,,
9:45.0,,,3-5,,Shooting foul by P. George (drawn by Z. Pachulia)
9:45.0,,,3-5,,Z. Pachulia misses free throw 1 of 2
9:45.0,,,3-5,,Offensive rebound by Team
9:45.0,,,3-6,1,Z. Pachulia makes free throw 2 of 2
9:25.0,M. Turner misses 2-pt shot from 20 ft,,3-6,,
9:24.0,,,3-6,,Defensive rebound by K. Durant
9:10.0,,,3-8,2,K. Durant makes 2-pt shot from 17 ft (assist by Z. Pachulia)
8:51.0,P. George makes 2-pt shot from 19 ft (assist by J. Teague),2,5-8,,
8:43.0,,,5-8,,K. Durant misses 3-pt shot from 26 ft
8:41.0,Defensive rebound by T. Young,,5-8,,
8:34.0,Shooting foul by Z. Pachulia (drawn by J. Teague),,5-8,,
8:34.0,J. Teague makes free throw 1 of 2,1,6-8,,
8:34.0,J. Teague makes free throw 2 of 2,1,7-8,,
8:18.0,,,7-10,2,K. Thompson makes 2-pt shot from 21 ft (assist by D. Green)
8:01.0,P. George makes 2-pt shot from 12 ft,2,9-10,,
7:49.0,,,9-10,,K. Durant misses 2-pt shot from 10 ft
7:49.0,Defensive rebound by P. George,,9-10,,
7:37.0,P. George makes 2-pt shot from 18 ft (assist by J. Teague),2,11-10,,
7:25.0,,,11-13,3,S. Curry makes 3-pt shot from 26 ft (assist by Z. Pachulia)
7:13.0,T. Young makes 2-pt shot from 7 ft (assist by J. Teague),2,13-13,,
7:05.0,,,13-13,,K. Thompson misses 2-pt shot from 17 ft
7:03.0,,,13-13,,Offensive rebound by Z. Pachulia
6:57.0,,,13-15,2,K. Thompson makes 2-pt shot from 10 ft (assist by D. Green)
6:48.0,Turnover by M. Ellis (bad pass),,13-15,,
6:34.0,,,13-17,2,K. Thompson makes 2-pt shot from 2 ft (assist by Z. Pachulia)
6:19.0,Turnover by J. Teague (lost ball; steal by Z. Pachulia),,13-17,,
