time,LA Clippers,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. D. Jordan (C. Paul gains possession),,,,Jump ball: B. Biyombo vs. D. Jordan (C. Paul gains possession)
11:47.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,2-0,,
11:29.0,,,2-2,2,E. Fournier makes 2-pt shot from 6 ft (assist by A. Gordon)
11:13.0,,,2-2,,Def 3 sec tech foul by S. Ibaka
11:13.0,J. Redick makes technical free throw,1,3-2,,
11:06.0,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul),2,5-2,,
10:47.0,,,5-4,2,B. Biyombo makes 2-pt shot at rim (assist by S. Ibaka)
10:30.0,J. Redick misses 2-pt shot from 2 ft,,5-4,,
10:29.0,,,5-4,,Defensive rebound by S. Ibaka
10:26.0,,,5-4,,Shooting foul by A. Rivers (drawn by E. Fournier)
10:26.0,,,5-5,1,E. Fournier makes free throw 1 of 2
10:26.0,,,5-6,1,E. Fournier makes free throw 2 of 2
10:16.0,J. Redick misses 2-pt shot from 21 ft,,5-6,,
10:15.0,,,5-6,,Defensive rebound by S. Ibaka
9:56.0,,,5-8,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Fournier)
9:53.0,Shooting foul by E. Fournier (drawn by B. Griffin),,5-8,,
9:53.0,B. Griffin makes free throw 1 of 2,1,6-8,,
9:53.0,B. Griffin makes free throw 2 of 2,1,7-8,,
9:40.0,,,7-8,,S. Ibaka misses 3-pt shot from 26 ft
9:39.0,,,7-8,,Offensive rebound by A. Gordon
9:32.0,,,7-8,,Shooting foul by D. Jordan (drawn by A. Gordon)
9:32.0,,,7-9,1,A. Gordon makes free throw 1 of 2
9:32.0,,,7-9,,A. Gordon misses free throw 2 of 2
9:31.0,Defensive rebound by B. Griffin,,7-9,,
9:22.0,C. Paul misses 2-pt shot from 17 ft,,7-9,,
9:21.0,,,7-9,,Defensive rebound by B. Biyombo
9:09.0,,,7-9,,D. Augustin misses 3-pt shot from 27 ft
9:08.0,Defensive rebound by J. Redick,,7-9,,
8:58.0,B. Griffin misses 2-pt shot from 6 ft,,7-9,,
8:57.0,,,7-9,,Defensive rebound by S. Ibaka
8:40.0,,,7-12,3,S. Ibaka makes 3-pt shot from 27 ft (assist by D. Augustin)
8:25.0,A. Rivers makes 3-pt shot from 27 ft (assist by C. Paul),3,10-12,,
8:01.0,,,10-15,3,D. Augustin makes 3-pt shot from 23 ft
7:38.0,A. Rivers makes 2-pt shot from 9 ft (assist by C. Paul),2,12-15,,
7:22.0,,,12-15,,Shooting foul by B. Griffin (drawn by E. Fournier)
7:22.0,,,12-16,1,E. Fournier makes free throw 1 of 2
7:22.0,,,12-17,1,E. Fournier makes free throw 2 of 2
7:13.0,J. Redick misses 2-pt shot from 19 ft,,12-17,,
7:12.0,,,12-17,,Defensive rebound by Team
6:59.0,,,12-17,,D. Augustin misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by J. Redick,,12-17,,
