time,Minnesota,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. K. Towns (Z. LaVine gains possession),,,,Jump ball: S. Ibaka vs. K. Towns (Z. LaVine gains possession)
11:41.0,G. Dieng makes 2-pt shot from 20 ft,2,2-0,,
11:18.0,,,2-0,,N. Vucevic misses 2-pt shot from 4 ft
11:17.0,Defensive rebound by G. Dieng,,2-0,,
11:10.0,K. Towns misses 2-pt shot from 1 ft,,2-0,,
11:10.0,,,2-0,,Defensive rebound by E. Fournier
11:03.0,,,2-2,2,S. Ibaka makes 2-pt shot at rim (assist by E. Payton)
10:39.0,K. Towns misses 3-pt shot from 27 ft,,2-2,,
10:38.0,,,2-2,,Defensive rebound by A. Gordon
10:28.0,,,2-2,,A. Gordon misses 3-pt shot from 24 ft
10:27.0,Defensive rebound by Team,,2-2,,
10:08.0,A. Wiggins misses 2-pt shot from 13 ft,,2-2,,
10:07.0,Offensive rebound by K. Towns,,2-2,,
10:04.0,K. Towns misses 2-pt shot from 2 ft (block by S. Ibaka),,2-2,,
10:03.0,Offensive rebound by A. Wiggins,,2-2,,
9:57.0,Z. LaVine makes 3-pt shot from 25 ft (assist by A. Wiggins),3,5-2,,
9:49.0,,,5-2,,N. Vucevic misses 2-pt shot from 5 ft
9:48.0,Defensive rebound by G. Dieng,,5-2,,
9:38.0,Shooting foul by S. Ibaka (drawn by K. Towns),,5-2,,
9:38.0,K. Towns makes free throw 1 of 2,1,6-2,,
9:38.0,K. Towns makes free throw 2 of 2,1,7-2,,
9:27.0,,,7-2,,S. Ibaka misses 2-pt shot from 6 ft
9:26.0,Defensive rebound by K. Towns,,7-2,,
9:13.0,Z. LaVine makes 2-pt shot from 1 ft,2,9-2,,
9:06.0,,,9-4,2,E. Payton makes 2-pt shot from 2 ft
8:55.0,Shooting foul by A. Gordon (drawn by A. Wiggins),,9-4,,
8:55.0,A. Wiggins makes free throw 1 of 2,1,10-4,,
8:55.0,A. Wiggins makes free throw 2 of 2,1,11-4,,
8:43.0,,,11-4,,E. Payton misses 2-pt shot from 6 ft (block by K. Dunn)
8:41.0,Defensive rebound by K. Dunn,,11-4,,
8:39.0,K. Dunn makes 2-pt shot from 1 ft,2,13-4,,
8:39.0,,,13-4,,Orlando full timeout
8:27.0,Def 3 sec tech foul by G. Dieng,,13-4,,
8:27.0,,,13-5,1,E. Fournier makes technical free throw
8:14.0,,,13-7,2,S. Ibaka makes 2-pt shot from 2 ft (assist by N. Vucevic)
7:50.0,Z. LaVine misses 3-pt shot from 24 ft,,13-7,,
7:48.0,Offensive rebound by G. Dieng,,13-7,,
7:48.0,G. Dieng makes 2-pt shot from 1 ft,2,15-7,,
7:48.0,,,15-7,,Orlando full timeout
7:48.0,,,15-7,,B. Biyombo enters the game for S. Ibaka
7:48.0,,,15-7,,D. Augustin enters the game for N. Vucevic
7:48.0,,,15-7,,J. Green enters the game for E. Payton
7:28.0,,,15-7,,J. Green misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by Z. LaVine,,15-7,,
7:20.0,Z. LaVine misses 2-pt shot from 2 ft,,15-7,,
7:19.0,Offensive rebound by G. Dieng,,15-7,,
7:06.0,Z. LaVine makes 3-pt shot from 24 ft (assist by K. Dunn),3,18-7,,
6:45.0,,,18-7,,Turnover by J. Green (lost ball; steal by K. Towns)
6:38.0,Z. LaVine makes 2-pt shot from 18 ft,2,20-7,,
6:15.0,,,20-7,,E. Fournier misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by K. Dunn,,20-7,,
6:01.0,K. Towns misses 2-pt shot from 5 ft,,20-7,,
6:00.0,,,20-7,,Defensive rebound by B. Biyombo
5:49.0,,,20-9,2,E. Fournier makes 2-pt shot from 2 ft
5:30.0,K. Towns makes 2-pt shot from 1 ft (assist by Z. LaVine),2,22-9,,
5:30.0,Shooting foul by B. Biyombo (drawn by K. Towns),,22-9,,
5:30.0,K. Towns makes free throw 1 of 1,1,23-9,,
5:08.0,,,23-11,2,D. Augustin makes 2-pt shot from 1 ft
4:47.0,K. Dunn misses 2-pt shot from 21 ft,,23-11,,
4:46.0,,,23-11,,Defensive rebound by A. Gordon
4:38.0,,,23-11,,A. Gordon misses 2-pt shot from 8 ft
4:37.0,Defensive rebound by G. Dieng,,23-11,,
4:30.0,K. Towns misses 2-pt shot from 1 ft (block by B. Biyombo),,23-11,,
4:28.0,,,23-11,,Defensive rebound by A. Gordon
4:25.0,,,23-11,,Shooting foul by Z. LaVine (drawn by A. Gordon)
4:25.0,,,23-12,1,A. Gordon makes free throw 1 of 2
4:25.0,,,23-12,,A. Gordon misses free throw 2 of 2
4:25.0,S. Muhammad enters the game for Z. LaVine,,23-12,,
4:25.0,T. Jones enters the game for K. Dunn,,23-12,,
4:23.0,Defensive rebound by G. Dieng,,23-12,,
4:04.0,A. Wiggins makes 2-pt shot from 19 ft (assist by T. Jones),2,25-12,,
3:46.0,,,25-12,,A. Gordon misses 2-pt shot from 22 ft
3:46.0,Defensive rebound by K. Towns,,25-12,,
3:30.0,A. Wiggins makes 3-pt shot from 25 ft,3,28-12,,
3:30.0,,,28-12,,Orlando full timeout
3:30.0,,,28-12,,M. Hezonja enters the game for A. Gordon
3:09.0,,,28-12,,B. Biyombo misses 2-pt shot from 1 ft (block by K. Towns)
3:09.0,,,28-12,,Offensive rebound by J. Green
3:09.0,,,28-12,,Shooting foul by G. Dieng (drawn by J. Green)
