time,LA Lakers,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. I. Zubac (P. Millsap gains possession),,,,Jump ball: D. Howard vs. I. Zubac (P. Millsap gains possession)
11:45.0,,,0-2,2,D. Howard makes 2-pt shot at rim (assist by K. Bazemore)
11:34.0,Turnover by D. Russell (bad pass; steal by D. Schroder),,0-2,,
11:25.0,,,0-2,,K. Bazemore misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by J. Randle,,0-2,,
11:12.0,I. Zubac makes 2-pt shot from 9 ft (assist by J. Randle),2,2-2,,
10:57.0,,,2-2,,D. Howard misses 2-pt shot from 1 ft
10:55.0,Defensive rebound by D. Russell,,2-2,,
10:51.0,N. Young misses 3-pt shot from 24 ft,,2-2,,
10:48.0,Offensive rebound by L. Deng,,2-2,,
10:45.0,I. Zubac makes 2-pt shot from 8 ft (assist by N. Young),2,4-2,,
10:32.0,,,4-2,,P. Millsap misses 3-pt shot from 24 ft
10:32.0,,,4-2,,Offensive rebound by Team
10:32.0,Loose ball foul by I. Zubac (drawn by D. Howard),,4-2,,
10:30.0,,,4-4,2,K. Bazemore makes 2-pt shot at rim (assist by K. Korver)
10:07.0,J. Randle misses 3-pt shot from 25 ft,,4-4,,
10:06.0,,,4-4,,Defensive rebound by D. Howard
9:51.0,,,4-4,,Shooting foul by I. Zubac (drawn by D. Howard)
9:51.0,,,4-5,1,D. Howard makes free throw 1 of 2
9:51.0,,,4-6,1,D. Howard makes free throw 2 of 2
9:31.0,,,4-6,,Violation by D. Howard (def goaltending)
9:31.0,D. Russell makes 2-pt shot from 11 ft,2,6-6,,
9:20.0,,,6-6,,D. Howard misses 2-pt shot from 3 ft
9:17.0,Defensive rebound by L. Deng,,6-6,,
9:07.0,L. Deng makes 2-pt shot from 20 ft,2,8-6,,
8:46.0,,,8-9,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder)
8:23.0,D. Russell misses 2-pt shot from 21 ft,,8-9,,
8:22.0,,,8-9,,Defensive rebound by D. Howard
8:15.0,,,8-9,,K. Korver misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by L. Deng,,8-9,,
7:56.0,D. Russell makes 2-pt shot from 20 ft (assist by N. Young),2,10-9,,
7:43.0,Personal foul by D. Russell (drawn by D. Schroder),,10-9,,
7:37.0,,,10-9,,K. Korver misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by L. Deng,,10-9,,
7:32.0,Shooting foul by K. Korver (drawn by N. Young),,10-9,,
7:32.0,N. Young makes free throw 1 of 2,1,11-9,,
7:32.0,N. Young makes free throw 2 of 2,1,12-9,,
