time,Washington,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Lopez,,,,Jump ball: M. Gortat vs. R. Lopez
11:46.0,S. Mac makes 3-pt shot from 25 ft (assist by T. Satoransky),3,3-0,,
11:29.0,,,3-0,,D. Wade misses 2-pt shot from 14 ft
11:28.0,Defensive rebound by T. Satoransky,,3-0,,
11:18.0,M. Gortat makes 2-pt shot from 12 ft (assist by T. Satoransky),2,5-0,,
10:55.0,,,5-0,,R. Rondo misses 2-pt shot from 3 ft
10:54.0,Defensive rebound by M. Gortat,,5-0,,
10:37.0,M. Gortat misses 2-pt shot from 13 ft,,5-0,,
10:36.0,,,5-0,,Defensive rebound by R. Rondo
10:30.0,Personal foul by O. Porter (drawn by J. Butler),,5-0,,
10:26.0,,,5-2,2,J. Butler makes 2-pt shot at rim (assist by R. Lopez)
10:07.0,Turnover by M. Gortat (bad pass),,5-2,,
9:55.0,,,5-4,2,R. Lopez makes 2-pt shot from 2 ft (assist by R. Rondo)
9:37.0,O. Porter misses 2-pt shot from 13 ft,,5-4,,
9:35.0,Offensive rebound by M. Gortat,,5-4,,
9:35.0,M. Gortat makes 2-pt shot from 1 ft,2,7-4,,
9:25.0,,,7-4,,J. Butler misses 2-pt shot from 4 ft
9:24.0,Defensive rebound by Team,,7-4,,
9:05.0,O. Porter misses 2-pt shot from 14 ft,,7-4,,
9:04.0,,,7-4,,Defensive rebound by R. Rondo
8:52.0,,,7-4,,D. Wade misses 2-pt shot from 2 ft
8:51.0,Defensive rebound by M. Morris,,7-4,,
8:50.0,,,7-4,,Personal foul by R. Rondo (drawn by T. Satoransky)
8:41.0,M. Morris makes 2-pt shot from 10 ft,2,9-4,,
8:24.0,,,9-6,2,T. Gibson makes 2-pt shot from 3 ft (assist by J. Butler)
8:04.0,S. Mac misses 2-pt shot from 20 ft,,9-6,,
8:03.0,,,9-6,,Defensive rebound by T. Gibson
7:45.0,,,9-6,,J. Butler misses 2-pt shot from 19 ft
7:44.0,,,9-6,,Offensive rebound by R. Lopez
7:44.0,,,9-8,2,R. Lopez makes 2-pt shot from 3 ft
7:22.0,M. Morris makes 2-pt shot from 9 ft,2,11-8,,
7:01.0,,,11-8,,Shooting foul by T. Satoransky (drawn by T. Gibson)
7:01.0,,,11-9,1,T. Gibson makes free throw 1 of 2
7:01.0,,,11-9,,T. Gibson misses free throw 2 of 2
6:59.0,Defensive rebound by M. Gortat,,11-9,,
6:50.0,M. Gortat makes 2-pt shot at rim (assist by T. Satoransky),2,13-9,,
6:35.0,,,13-9,,R. Rondo misses 2-pt shot from 19 ft
6:33.0,,,13-9,,Offensive rebound by R. Lopez
6:33.0,,,13-9,,R. Lopez misses 2-pt shot from 3 ft
6:33.0,Defensive rebound by M. Gortat,,13-9,,
6:23.0,T. Satoransky misses 2-pt shot from 12 ft,,13-9,,
6:22.0,,,13-9,,Defensive rebound by R. Lopez
6:15.0,,,13-9,,R. Rondo misses 2-pt shot from 6 ft
6:14.0,Defensive rebound by O. Porter,,13-9,,
6:07.0,M. Gortat makes 2-pt shot from 3 ft (assist by T. Satoransky),2,15-9,,
6:06.0,,,15-9,,Chicago full timeout
5:55.0,,,15-9,,Offensive charge foul by D. Wade
5:55.0,,,15-9,,Turnover by D. Wade (offensive foul)
5:41.0,M. Morris makes 2-pt shot from 18 ft,2,17-9,,
5:26.0,,,17-9,,T. Gibson misses 2-pt shot from 9 ft
