time,Golden State,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. N. Vucevic (K. Thompson gains possession),,,,Jump ball: Z. Pachulia vs. N. Vucevic (K. Thompson gains possession)
11:38.0,K. Thompson makes 3-pt shot from 26 ft (assist by Z. Pachulia),3,3-0,,
11:21.0,,,3-2,2,A. Gordon makes 2-pt shot from 15 ft (assist by N. Vucevic)
11:06.0,K. Thompson misses 2-pt shot from 15 ft,,3-2,,
11:05.0,,,3-2,,Defensive rebound by A. Gordon
10:56.0,,,3-2,,S. Ibaka misses 2-pt shot from 14 ft
10:56.0,Defensive rebound by D. Green,,3-2,,
10:49.0,Turnover by K. Thompson (bad pass; steal by A. Gordon),,3-2,,
10:40.0,,,3-2,,C. Watson misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by K. Durant,,3-2,,
10:27.0,Turnover by D. Green (bad pass; steal by E. Payton),,3-2,,
10:20.0,,,3-2,,E. Payton misses 2-pt shot from 3 ft (block by K. Durant)
10:19.0,Defensive rebound by D. Green,,3-2,,
10:06.0,Z. Pachulia makes 2-pt shot from 3 ft (assist by S. Curry),2,5-2,,
9:56.0,Personal foul by K. Thompson (drawn by E. Payton),,5-2,,
9:48.0,,,5-4,2,N. Vucevic makes 2-pt shot from 9 ft (assist by A. Gordon)
9:39.0,Z. Pachulia misses 2-pt shot from 1 ft (block by S. Ibaka),,5-4,,
9:38.0,Offensive rebound by Z. Pachulia,,5-4,,
9:37.0,Turnover by Z. Pachulia (bad pass),,5-4,,
9:13.0,,,5-4,,S. Ibaka misses 3-pt shot from 24 ft
9:12.0,Defensive rebound by S. Curry,,5-4,,
9:07.0,Shooting foul by S. Ibaka (drawn by D. Green),,5-4,,
9:07.0,D. Green makes free throw 1 of 2,1,6-4,,
9:07.0,D. Green makes free throw 2 of 2,1,7-4,,
8:57.0,,,7-6,2,E. Payton makes 2-pt shot from 5 ft (assist by C. Watson)
8:45.0,S. Curry misses 3-pt shot from 26 ft,,7-6,,
8:45.0,Offensive rebound by K. Durant,,7-6,,
8:38.0,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant),3,10-6,,
8:27.0,,,10-6,,Turnover by S. Ibaka (bad pass; steal by Z. Pachulia)
8:14.0,K. Durant misses 3-pt shot from 27 ft,,10-6,,
8:13.0,Offensive rebound by D. Green,,10-6,,
8:10.0,Turnover by K. Durant (bad pass; steal by S. Ibaka),,10-6,,
8:06.0,,,10-8,2,S. Ibaka makes 2-pt shot from 2 ft
7:53.0,Turnover by S. Curry (step out of bounds),,10-8,,
7:42.0,,,10-8,,E. Payton misses 2-pt shot from 1 ft
7:42.0,Defensive rebound by Team,,10-8,,
7:29.0,Turnover by K. Thompson (bad pass),,10-8,,
7:13.0,,,10-10,2,N. Vucevic makes 2-pt shot from 6 ft (assist by S. Ibaka)
7:13.0,Golden State full timeout,,10-10,,
7:00.0,D. Green misses 3-pt shot from 26 ft,,10-10,,
6:59.0,,,10-10,,Defensive rebound by C. Watson
6:56.0,,,10-10,,Shooting foul by S. Curry (drawn by C. Watson)
6:56.0,,,10-10,,C. Watson misses free throw 1 of 2
6:56.0,,,10-10,,Offensive rebound by Team
6:56.0,,,10-10,,C. Watson misses free throw 2 of 2
6:55.0,Defensive rebound by K. Durant,,10-10,,
6:46.0,,,10-10,,Personal foul by E. Payton (drawn by K. Durant)
6:31.0,K. Durant misses 2-pt shot from 15 ft,,10-10,,
6:29.0,Offensive rebound by D. Green,,10-10,,
6:29.0,D. Green misses 2-pt shot from 1 ft,,10-10,,
6:28.0,,,10-10,,Defensive rebound by N. Vucevic
6:17.0,,,10-12,2,S. Ibaka makes 2-pt shot from 13 ft (assist by C. Watson)
6:08.0,Turnover by S. Curry (bad pass; steal by N. Vucevic),,10-12,,
6:02.0,,,10-14,2,A. Gordon makes 2-pt shot at rim (assist by C. Watson)
5:43.0,Turnover by D. Green (bad pass; steal by C. Watson),,10-14,,
5:41.0,,,10-14,,Turnover by C. Watson (lost ball)
5:25.0,,,10-14,,Personal foul by C. Watson (drawn by S. Curry)
5:25.0,J. McGee enters the game for Z. Pachulia,,10-14,,
5:25.0,A. Iguodala enters the game for D. Green,,10-14,,
5:19.0,K. Thompson misses 2-pt shot from 10 ft,,10-14,,
5:19.0,,,10-14,,Defensive rebound by S. Ibaka
5:14.0,,,10-14,,Turnover by C. Watson (bad pass; steal by K. Durant)
5:06.0,K. Durant misses 2-pt shot from 2 ft,,10-14,,
5:06.0,,,10-14,,Defensive rebound by S. Ibaka
5:00.0,,,10-16,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
4:47.0,S. Curry makes 3-pt shot from 26 ft,3,13-16,,
4:31.0,,,13-18,2,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton)
4:18.0,S. Curry makes 2-pt shot from 3 ft,2,15-18,,
4:07.0,,,15-20,2,E. Payton makes 2-pt shot from 4 ft
4:00.0,S. Curry misses 3-pt shot from 25 ft,,15-20,,
3:59.0,,,15-20,,Defensive rebound by S. Ibaka
3:48.0,,,15-20,,N. Vucevic misses 2-pt shot from 19 ft
3:48.0,Defensive rebound by K. Durant,,15-20,,
3:38.0,K. Durant misses 2-pt shot from 2 ft,,15-20,,
3:38.0,Offensive rebound by J. McGee,,15-20,,
3:38.0,J. McGee makes 2-pt shot from 2 ft,2,17-20,,
3:31.0,,,17-20,,Orlando full timeout
3:31.0,I. Clark enters the game for K. Thompson,,17-20,,
3:31.0,,,17-20,,J. Green enters the game for S. Ibaka
3:31.0,,,17-20,,D. Augustin enters the game for C. Watson
3:22.0,,,17-20,,Orlando full timeout
3:15.0,,,17-22,2,E. Payton makes 2-pt shot at rim
2:57.0,J. McGee makes 2-pt shot at rim (assist by S. Curry),2,19-22,,
2:44.0,,,19-22,,D. Augustin misses 2-pt shot from 7 ft
2:43.0,Defensive rebound by I. Clark,,19-22,,
2:36.0,J. McGee makes 2-pt shot from 3 ft (assist by I. Clark),2,21-22,,
2:19.0,,,21-22,,A. Gordon misses 2-pt shot from 15 ft
2:19.0,Defensive rebound by I. Clark,,21-22,,
2:10.0,K. Durant makes 2-pt shot from 2 ft,2,23-22,,
2:10.0,Shooting foul by A. Gordon (drawn by K. Durant),,23-22,,
