time,Chicago,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Valanciunas (N. Mirotic gains possession),,,,Jump ball: R. Lopez vs. J. Valanciunas (N. Mirotic gains possession)
11:41.0,J. Butler makes 2-pt shot from 20 ft,2,2-0,,
11:22.0,,,2-2,2,J. Valanciunas makes 2-pt shot from 16 ft (assist by D. DeRozan)
11:08.0,R. Rondo makes 3-pt shot from 26 ft (assist by P. Zipser),3,5-2,,
10:54.0,,,5-2,,Turnover by S. Ibaka (lost ball; steal by R. Rondo)
10:37.0,P. Zipser misses 3-pt shot from 27 ft,,5-2,,
10:36.0,,,5-2,,Defensive rebound by J. Valanciunas
10:36.0,Personal foul by R. Rondo (drawn by J. Valanciunas),,5-2,,
10:14.0,,,5-2,,D. Carroll misses 2-pt shot from 2 ft (block by R. Lopez)
10:12.0,Defensive rebound by J. Butler,,5-2,,
9:54.0,R. Rondo makes 2-pt shot from 2 ft,2,7-2,,
9:43.0,,,7-2,,C. Joseph misses 2-pt shot from 12 ft
9:43.0,Defensive rebound by N. Mirotic,,7-2,,
9:36.0,Turnover by R. Rondo (bad pass; steal by D. Carroll),,7-2,,
9:24.0,,,7-4,2,S. Ibaka makes 2-pt shot from 17 ft
9:09.0,R. Rondo makes 3-pt shot from 24 ft (assist by J. Butler),3,10-4,,
8:53.0,,,10-6,2,D. DeRozan makes 2-pt shot from 2 ft
8:35.0,R. Lopez misses 2-pt shot from 20 ft,,10-6,,
8:35.0,,,10-6,,Defensive rebound by S. Ibaka
8:28.0,Violation by P. Zipser (kicked ball),,10-6,,
8:12.0,,,10-6,,D. Carroll misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by R. Rondo,,10-6,,
7:56.0,R. Lopez makes 2-pt shot from 6 ft (assist by R. Rondo),2,12-6,,
7:56.0,Shooting foul by D. Carroll (drawn by R. Lopez),,12-6,,
