time,Dallas,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Nowitzki (O. Porter gains possession),,,,Jump ball: M. Gortat vs. D. Nowitzki (O. Porter gains possession)
11:47.0,,,0-2,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
11:22.0,H. Barnes makes 2-pt shot from 6 ft,2,2-2,,
11:05.0,,,2-5,3,O. Porter makes 3-pt shot from 25 ft (assist by M. Morris)
10:38.0,H. Barnes misses 2-pt shot from 10 ft,,2-5,,
10:38.0,,,2-5,,Defensive rebound by M. Morris
10:18.0,,,2-5,,M. Morris misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by D. Finney-Smith,,2-5,,
10:09.0,Turnover by D. Nowitzki (lost ball; steal by M. Morris),,2-5,,
10:04.0,,,2-5,,Shooting foul by Y. Ferrell (drawn by M. Morris)
10:04.0,,,2-6,1,B. Beal makes free throw 1 of 2
10:04.0,Dallas full timeout,,2-6,,
10:04.0,,,2-7,1,B. Beal makes free throw 2 of 2
9:47.0,D. Finney-Smith misses 3-pt shot from 26 ft,,2-7,,
9:46.0,,,2-7,,Defensive rebound by O. Porter
9:23.0,,,2-10,3,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall)
9:13.0,,,2-10,,Personal foul by J. Wall (drawn by Y. Ferrell)
8:54.0,H. Barnes makes 2-pt shot from 14 ft,2,4-10,,
8:39.0,,,4-10,,M. Gortat misses 2-pt shot from 5 ft
8:38.0,Defensive rebound by H. Barnes,,4-10,,
8:28.0,Y. Ferrell misses 2-pt shot from 1 ft,,4-10,,
8:26.0,Offensive rebound by D. Finney-Smith,,4-10,,
8:25.0,D. Finney-Smith makes 2-pt shot at rim,2,6-10,,
8:16.0,Personal foul by Y. Ferrell (drawn by J. Wall),,6-10,,
8:16.0,J. Barea enters the game for Y. Ferrell,,6-10,,
8:10.0,,,6-13,3,J. Wall makes 3-pt shot from 29 ft (assist by B. Beal)
7:56.0,S. Curry makes 2-pt shot from 8 ft (assist by J. Barea),2,8-13,,
7:50.0,,,8-15,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
7:38.0,,,8-15,,Def 3 sec tech foul by M. Morris
7:38.0,D. Nowitzki makes technical free throw,1,9-15,,
7:32.0,J. Barea makes 2-pt shot from 1 ft,2,11-15,,
7:17.0,,,11-15,,M. Morris misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by J. Barea,,11-15,,
7:07.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by J. Barea),2,13-15,,
6:53.0,,,13-15,,M. Gortat misses 2-pt shot at rim
6:52.0,,,13-15,,Offensive rebound by M. Gortat
6:47.0,,,13-15,,J. Wall misses 3-pt shot from 24 ft
6:46.0,,,13-15,,Offensive rebound by M. Gortat
6:43.0,,,13-15,,B. Beal misses 3-pt shot from 26 ft
6:42.0,,,13-15,,Offensive rebound by M. Morris
6:29.0,,,13-15,,B. Beal misses 2-pt shot from 6 ft
6:28.0,,,13-15,,Offensive rebound by O. Porter
6:25.0,,,13-17,2,O. Porter makes 2-pt shot from 4 ft
6:24.0,Dallas full timeout,,13-17,,
6:24.0,N. Noel enters the game for D. Nowitzki,,13-17,,
6:11.0,Offensive foul by N. Noel,,13-17,,
6:11.0,Turnover by N. Noel (offensive foul),,13-17,,
5:55.0,,,13-19,2,M. Gortat makes 2-pt shot from 7 ft
5:34.0,H. Barnes misses 2-pt shot from 16 ft,,13-19,,
5:34.0,,,13-19,,Defensive rebound by M. Gortat
5:24.0,,,13-21,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
5:03.0,N. Noel makes 2-pt shot at rim (assist by J. Barea),2,15-21,,
4:34.0,,,15-21,,M. Gortat misses 2-pt shot from 6 ft
4:33.0,Defensive rebound by D. Finney-Smith,,15-21,,
4:27.0,Shooting foul by M. Morris (drawn by N. Noel),,15-21,,
