time,Washington,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. B. Lopez (I. Whitehead gains possession),,,,Jump ball: M. Gortat vs. B. Lopez (I. Whitehead gains possession)
11:40.0,,,0-0,,S. Kilpatrick misses 2-pt shot from 18 ft
11:39.0,Defensive rebound by M. Gortat,,0-0,,
11:24.0,M. Gortat makes 2-pt shot from 15 ft (assist by J. Wall),2,2-0,,
11:16.0,,,2-2,2,I. Whitehead makes 2-pt shot from 3 ft
11:03.0,B. Beal makes 2-pt shot from 18 ft (assist by J. Wall),2,4-2,,
10:46.0,,,4-2,,B. Lopez misses 2-pt shot from 9 ft
10:45.0,Defensive rebound by M. Gortat,,4-2,,
10:37.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,7-2,,
10:16.0,,,7-5,3,B. Lopez makes 3-pt shot from 22 ft (assist by I. Whitehead)
10:05.0,M. Morris misses 2-pt shot from 16 ft,,7-5,,
10:04.0,,,7-5,,Defensive rebound by S. Kilpatrick
9:57.0,,,7-5,,Turnover by T. Booker (lost ball; steal by O. Porter)
9:47.0,J. Wall misses 3-pt shot from 27 ft,,7-5,,
9:46.0,Offensive rebound by M. Gortat,,7-5,,
9:43.0,B. Beal misses 3-pt shot from 25 ft,,7-5,,
9:42.0,,,7-5,,Defensive rebound by T. Booker
9:35.0,,,7-5,,T. Booker misses 2-pt shot from 8 ft
9:34.0,Defensive rebound by M. Gortat,,7-5,,
9:27.0,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall),2,9-5,,
9:16.0,,,9-7,2,S. Kilpatrick makes 2-pt shot from 3 ft (assist by B. Lopez)
9:01.0,Offensive foul by M. Morris,,9-7,,
9:01.0,Turnover by M. Morris (offensive foul),,9-7,,
8:40.0,,,9-9,2,T. Booker makes 2-pt shot from 3 ft (assist by I. Whitehead)
8:26.0,M. Morris misses 2-pt shot from 7 ft,,9-9,,
8:25.0,Offensive rebound by M. Gortat,,9-9,,
8:23.0,M. Gortat makes 2-pt shot from 2 ft,2,11-9,,
8:23.0,,,11-9,,Brooklyn full timeout
8:04.0,,,11-11,2,B. Lopez makes 2-pt shot from 2 ft
7:48.0,J. Wall makes 2-pt shot from 19 ft,2,13-11,,
7:35.0,,,13-13,2,B. Lopez makes 2-pt shot from 6 ft
7:35.0,,,13-13,,Shooting foul by M. Gortat (drawn by B. Lopez)
7:35.0,,,13-13,,B. Lopez misses free throw 1 of 1
7:34.0,Defensive rebound by M. Gortat,,13-13,,
7:16.0,B. Beal misses 2-pt shot from 8 ft,,13-13,,
7:16.0,,,13-13,,Defensive rebound by B. Lopez
7:09.0,,,13-13,,Turnover by I. Whitehead (lost ball; steal by B. Beal)
7:05.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,15-13,,
6:46.0,Shooting block foul by O. Porter (drawn by B. Bogdanovic),,15-13,,
6:46.0,,,15-14,1,B. Bogdanovic makes free throw 1 of 2
6:46.0,,,15-15,1,B. Bogdanovic makes free throw 2 of 2
6:46.0,,,15-14,,J. Hamilton enters the game for B. Lopez
6:24.0,O. Porter makes 3-pt shot from 23 ft (assist by M. Gortat),3,18-15,,
6:14.0,,,18-15,,Turnover by I. Whitehead (bad pass; steal by J. Wall)
6:13.0,,,18-15,,Personal foul by I. Whitehead (drawn by J. Wall)
6:13.0,,,18-15,,J. Harris enters the game for B. Bogdanovic
5:58.0,B. Beal misses 3-pt shot from 25 ft,,18-15,,
5:57.0,,,18-15,,Defensive rebound by J. Hamilton
5:49.0,Violation by M. Morris (kicked ball),,18-15,,
5:49.0,,,18-15,,R. Hollis-Jefferson enters the game for S. Kilpatrick
5:31.0,,,18-15,,T. Booker misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by O. Porter,,18-15,,
5:20.0,M. Morris misses 3-pt shot from 25 ft,,18-15,,
5:19.0,,,18-15,,Defensive rebound by J. Harris
5:12.0,Personal foul by B. Beal (drawn by J. Harris),,18-15,,
5:12.0,K. Oubre enters the game for M. Morris,,18-15,,
5:03.0,,,18-17,2,R. Hollis-Jefferson makes 2-pt shot from 21 ft (assist by I. Whitehead)
4:50.0,J. Wall makes 2-pt shot from 10 ft,2,20-17,,
4:34.0,,,20-19,2,T. Booker makes 2-pt shot from 3 ft (assist by I. Whitehead)
4:16.0,B. Beal misses 2-pt shot from 3 ft,,20-19,,
4:15.0,,,20-19,,Defensive rebound by R. Hollis-Jefferson
4:05.0,,,20-19,,R. Hollis-Jefferson misses 2-pt shot from 8 ft
4:04.0,,,20-19,,Offensive rebound by T. Booker
4:02.0,,,20-19,,R. Foye enters the game for I. Whitehead
3:46.0,,,20-19,,T. Booker misses 2-pt shot from 6 ft
3:44.0,Defensive rebound by O. Porter,,20-19,,
3:39.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,22-19,,
3:29.0,,,22-19,,Turnover by T. Booker (step out of bounds)
3:13.0,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall),3,25-19,,
3:04.0,,,25-21,2,T. Booker makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson)
2:41.0,B. Beal misses 3-pt shot from 25 ft,,25-21,,
2:40.0,,,25-21,,Defensive rebound by T. Booker
2:27.0,,,25-21,,J. Hamilton misses 3-pt shot from 26 ft
