time,Charlotte,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,,,0-0,,A. Len misses 2-pt shot from 19 ft
12:00.0,Jump ball: F. Kaminsky vs. A. Len (M. Chriss gains possession),,,,Jump ball: F. Kaminsky vs. A. Len (M. Chriss gains possession)
11:42.0,Defensive rebound by N. Batum,,0-0,,
11:31.0,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum),2,2-0,,
11:14.0,,,2-2,2,T. Warren makes 2-pt shot at rim (assist by A. Len)
10:56.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft,,2-2,,
10:54.0,Offensive rebound by M. Kidd-Gilchrist,,2-2,,
10:52.0,,,2-2,,Personal block foul by E. Bledsoe (drawn by K. Walker)
10:40.0,K. Walker misses 2-pt shot from 4 ft,,2-2,,
10:36.0,,,2-2,,Defensive rebound by A. Len
10:27.0,,,2-5,3,M. Chriss makes 3-pt shot from 24 ft (assist by T. Warren)
10:12.0,N. Batum misses 3-pt shot from 25 ft,,2-5,,
10:11.0,,,2-5,,Defensive rebound by E. Bledsoe
10:01.0,,,2-5,,M. Chriss misses 2-pt shot from 3 ft
10:00.0,Defensive rebound by M. Kidd-Gilchrist,,2-5,,
9:52.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by T. Warren),,2-5,,
9:51.0,,,2-5,,Defensive rebound by A. Len
9:45.0,,,2-7,2,E. Bledsoe makes 2-pt shot from 16 ft
9:31.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,5-7,,
9:05.0,,,5-7,,Turnover by M. Chriss (lost ball; steal by K. Walker)
9:05.0,K. Walker makes 2-pt shot from 1 ft,2,7-7,,
9:01.0,,,7-7,,Phoenix full timeout
9:01.0,,,7-7,,J. Dudley enters the game for M. Chriss
8:56.0,,,7-9,2,D. Booker makes 2-pt shot from 18 ft (assist by E. Bledsoe)
8:42.0,F. Kaminsky misses 3-pt shot from 26 ft,,7-9,,
8:42.0,,,7-9,,Defensive rebound by D. Booker
8:36.0,,,7-9,,Turnover by D. Booker (bad pass; steal by M. Kidd-Gilchrist)
8:30.0,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum),3,10-9,,
8:20.0,,,10-9,,Turnover by E. Bledsoe (lost ball; steal by M. Kidd-Gilchrist)
8:04.0,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker),3,13-9,,
7:47.0,,,13-9,,D. Booker misses 3-pt shot from 26 ft
7:47.0,Defensive rebound by M. Williams,,13-9,,
7:35.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft,2,15-9,,
7:21.0,,,15-11,2,J. Dudley makes 2-pt shot from 19 ft (assist by D. Booker)
6:59.0,M. Williams misses 2-pt shot from 2 ft,,15-11,,
6:57.0,Offensive rebound by Team,,15-11,,
6:57.0,C. Zeller enters the game for M. Williams,,15-11,,
6:42.0,K. Walker makes 2-pt shot from 15 ft,2,17-11,,
6:22.0,,,17-11,,Turnover by T. Warren (bad pass; steal by M. Kidd-Gilchrist)
6:12.0,N. Batum makes 3-pt shot from 25 ft,3,20-11,,
6:12.0,,,20-11,,Phoenix full timeout
6:12.0,,,20-11,,A. Williams enters the game for A. Len
6:03.0,,,20-11,,Shooting foul by K. Walker (drawn by E. Bledsoe)
6:03.0,,,20-11,,E. Bledsoe misses free throw 1 of 3
6:03.0,,,20-11,,Offensive rebound by Team
6:03.0,,,20-12,1,E. Bledsoe makes free throw 2 of 3
6:03.0,,,20-13,1,E. Bledsoe makes free throw 3 of 3
5:51.0,Shooting foul by D. Booker (drawn by N. Batum),,20-13,,
5:51.0,N. Batum makes free throw 1 of 3,1,21-13,,
5:51.0,N. Batum makes free throw 2 of 3,1,22-13,,
5:51.0,N. Batum makes free throw 3 of 3,1,23-13,,
5:38.0,,,23-15,2,A. Williams makes 2-pt shot from 9 ft (assist by D. Booker)
5:23.0,Turnover by N. Batum (bad pass),,23-15,,
5:10.0,,,23-15,,T. Warren misses 3-pt shot from 23 ft
5:10.0,Defensive rebound by K. Walker,,23-15,,
5:00.0,K. Walker misses 2-pt shot from 1 ft,,23-15,,
4:53.0,,,23-15,,Defensive rebound by A. Williams
4:50.0,,,23-15,,D. Booker misses 2-pt shot at rim
4:50.0,,,23-15,,Offensive rebound by T. Warren
4:50.0,,,23-17,2,T. Warren makes 2-pt shot at rim
4:37.0,F. Kaminsky misses 2-pt shot from 1 ft (block by A. Williams),,23-17,,
4:34.0,Offensive rebound by C. Zeller,,23-17,,
4:30.0,C. Zeller makes 2-pt shot from 1 ft,2,25-17,,
4:10.0,,,25-20,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by D. Booker)
3:49.0,C. Zeller makes 2-pt shot from 2 ft (assist by N. Batum),2,27-20,,
3:44.0,Personal foul by C. Zeller (drawn by A. Williams),,27-20,,
3:44.0,,,27-20,,D. Jones enters the game for T. Warren
3:44.0,M. Williams enters the game for M. Kidd-Gilchrist,,27-20,,
3:44.0,J. Lamb enters the game for F. Kaminsky,,27-20,,
3:39.0,,,27-20,,E. Bledsoe misses 2-pt shot from 17 ft
3:39.0,,,27-20,,Offensive rebound by Team
