time,Dallas,pts.away,score,pts.home,LA Lakers
0:29.0,D. Harris makes 2-pt shot from 20 ft,2,26-27,,
0:07.0,,,26-27,,Turnover by L. Williams (bad pass; steal by J. Anderson)
0:04.0,S. Curry misses 2-pt shot from 20 ft,,26-27,,
0:02.0,,,26-27,,Defensive rebound by T. Robinson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,26-27,,B. Ingram misses 2-pt shot from 14 ft
11:41.0,,,26-27,,Offensive rebound by T. Robinson
11:39.0,,,26-27,,Offensive foul by T. Robinson
11:39.0,,,26-27,,Turnover by T. Robinson (offensive foul)
11:30.0,Turnover by D. Williams (bad pass),,26-27,,
11:17.0,,,26-27,,Turnover by J. Clarkson (lost ball)
11:02.0,H. Barnes misses 2-pt shot from 18 ft,,26-27,,
11:01.0,Offensive rebound by A. Bogut,,26-27,,
10:42.0,H. Barnes misses 2-pt shot from 15 ft,,26-27,,
10:40.0,,,26-27,,Defensive rebound by T. Robinson
10:32.0,,,26-29,2,T. Robinson makes 2-pt shot from 2 ft (assist by L. Williams)
10:19.0,Turnover by A. Bogut (bad pass; steal by J. Clarkson),,26-29,,
10:15.0,,,26-31,2,J. Clarkson makes 2-pt shot at rim
9:56.0,A. Bogut misses 2-pt shot from 1 ft,,26-31,,
9:53.0,,,26-31,,Defensive rebound by T. Robinson
9:50.0,Shooting block foul by S. Curry,,26-31,,
9:50.0,,,26-32,1,L. Williams makes free throw 1 of 3
9:50.0,,,26-33,1,L. Williams makes free throw 2 of 3
9:50.0,,,26-34,1,L. Williams makes free throw 3 of 3
9:34.0,H. Barnes misses 2-pt shot from 8 ft,,26-34,,
9:32.0,,,26-34,,Defensive rebound by B. Ingram
9:29.0,,,26-34,,Shooting foul by S. Curry (drawn by B. Ingram)
9:29.0,,,26-35,1,B. Ingram makes free throw 1 of 2
9:29.0,,,26-35,,B. Ingram misses free throw 2 of 2
9:29.0,D. Harris enters the game for S. Curry,,26-35,,
9:28.0,Defensive rebound by J. Anderson,,26-35,,
9:15.0,D. Harris misses 2-pt shot from 5 ft,,26-35,,
9:12.0,,,26-35,,Defensive rebound by L. Williams
9:08.0,,,26-37,2,J. Clarkson makes 2-pt shot from 2 ft
9:08.0,Dallas full timeout,,26-37,,
8:44.0,J. Anderson misses 2-pt shot from 10 ft,,26-37,,
8:43.0,,,26-37,,Defensive rebound by B. Ingram
8:32.0,,,26-37,,T. Robinson misses 2-pt shot from 8 ft
8:28.0,Defensive rebound by D. Williams,,26-37,,
8:21.0,D. Williams misses 2-pt shot from 1 ft,,26-37,,
8:19.0,Offensive rebound by A. Bogut,,26-37,,
8:19.0,A. Bogut makes 2-pt shot from 1 ft,2,28-37,,
8:02.0,,,28-39,2,J. Clarkson makes 2-pt shot from 19 ft
7:37.0,J. Anderson makes 3-pt shot from 23 ft (assist by D. Harris),3,31-39,,
7:19.0,,,31-41,2,J. Clarkson makes 2-pt shot from 2 ft
6:58.0,D. Williams misses 3-pt shot from 25 ft,,31-41,,
6:57.0,Offensive rebound by H. Barnes,,31-41,,
6:42.0,H. Barnes makes 2-pt shot from 2 ft,2,33-41,,
6:40.0,,,33-41,,LA Lakers full timeout
6:40.0,D. Powell enters the game for H. Barnes,,33-41,,
6:40.0,D. Finney-Smith enters the game for A. Bogut,,33-41,,
6:40.0,W. Matthews enters the game for J. Anderson,,33-41,,
6:40.0,,,33-41,,J. Randle enters the game for T. Robinson
6:21.0,,,33-43,2,L. Williams makes 2-pt shot at rim
6:06.0,,,33-43,,Def 3 sec tech foul by J. Randle
6:06.0,D. Williams makes technical free throw,1,34-43,,
6:06.0,,,34-43,,D. Russell enters the game for L. Deng
5:57.0,D. Powell misses 3-pt shot from 24 ft,,34-43,,
5:56.0,,,34-43,,Defensive rebound by B. Ingram
5:44.0,,,34-45,2,J. Randle makes 2-pt shot from 3 ft (assist by L. Williams)
5:30.0,W. Matthews misses 2-pt shot from 6 ft,,34-45,,
5:28.0,Offensive rebound by D. Powell,,34-45,,
5:28.0,D. Powell makes 2-pt shot from 1 ft,2,36-45,,
5:13.0,,,36-45,,Turnover by J. Randle (lost ball; steal by D. Williams)
5:02.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Williams),2,38-45,,
4:37.0,,,38-45,,D. Russell misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by W. Matthews,,38-45,,
4:29.0,D. Powell makes 2-pt shot at rim (assist by D. Williams),2,40-45,,
4:29.0,,,40-45,,LA Lakers full timeout
4:29.0,,,40-45,,N. Young enters the game for B. Ingram
4:29.0,,,40-45,,L. Deng enters the game for J. Clarkson
4:10.0,,,40-47,2,J. Randle makes 2-pt shot from 1 ft
3:48.0,Turnover by D. Harris (lost ball; steal by L. Deng),,40-47,,
3:35.0,,,40-49,2,J. Randle makes 2-pt shot from 2 ft (assist by L. Williams)
3:35.0,,,40-49,,Shooting foul by D. Powell (drawn by J. Randle)
3:35.0,,,40-50,1,J. Randle makes free throw 1 of 1
3:35.0,A. Bogut enters the game for D. Powell,,40-49,,
3:35.0,H. Barnes enters the game for D. Harris,,40-49,,
3:25.0,H. Barnes makes 2-pt shot from 15 ft (assist by D. Williams),2,42-50,,
3:13.0,,,42-50,,Shooting foul by A. Bogut (drawn by L. Deng)
3:13.0,,,42-51,1,L. Deng makes free throw 1 of 2
3:13.0,,,42-51,,L. Deng misses free throw 2 of 2
3:13.0,,,42-51,,T. Mozgov enters the game for L. Williams
3:11.0,,,42-51,,Offensive rebound by T. Mozgov
2:54.0,,,42-51,,J. Randle misses 2-pt shot from 5 ft
2:53.0,Defensive rebound by W. Matthews,,42-51,,
2:36.0,Turnover by H. Barnes (bad pass),,42-51,,
2:36.0,Official timeout,,42-51,,
2:19.0,,,42-51,,T. Mozgov misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by A. Bogut,,42-51,,
2:15.0,W. Matthews misses 3-pt shot from 24 ft,,42-51,,
2:15.0,Offensive rebound by Team,,42-51,,
2:15.0,,,42-51,,Loose ball foul by D. Russell (drawn by H. Barnes)
2:02.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,45-51,,
1:41.0,,,45-51,,Shooting foul by D. Williams (drawn by D. Russell)
1:41.0,,,45-52,1,D. Russell makes free throw 1 of 2
1:41.0,,,45-53,1,D. Russell makes free throw 2 of 2
1:33.0,Offensive foul by A. Bogut,,45-53,,
1:33.0,Turnover by A. Bogut (offensive foul),,45-53,,
1:26.0,,,45-53,,Shooting foul by W. Matthews (drawn by J. Randle)
1:26.0,,,45-54,1,J. Randle makes free throw 1 of 2
1:26.0,,,45-55,1,J. Randle makes free throw 2 of 2
