time,New York,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. T. Thompson (D. Rose gains possession),,,,Jump ball: J. Noah vs. T. Thompson (D. Rose gains possession)
11:40.0,D. Rose makes 2-pt shot from 1 ft (assist by J. Noah),2,2-0,,
11:26.0,,,2-0,,K. Love misses 2-pt shot from 4 ft
11:23.0,Defensive rebound by J. Noah,,2-0,,
11:16.0,C. Anthony misses 2-pt shot from 20 ft,,2-0,,
11:15.0,Offensive rebound by K. Porzingis,,2-0,,
11:15.0,K. Porzingis makes 2-pt shot from 2 ft,2,4-0,,
10:59.0,,,4-2,2,L. James makes 2-pt shot from 11 ft (assist by K. Irving)
10:58.0,Turnover by D. Rose (lost ball),,4-2,,
10:46.0,,,4-2,,K. Irving misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by C. Lee,,4-2,,
10:34.0,C. Lee misses 2-pt shot from 18 ft,,4-2,,
10:33.0,,,4-2,,Defensive rebound by K. Love
10:21.0,,,4-2,,K. Love misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by J. Noah,,4-2,,
10:11.0,Offensive foul by J. Noah,,4-2,,
10:11.0,Turnover by J. Noah (offensive foul),,4-2,,
9:59.0,,,4-4,2,J. Smith makes 2-pt shot at rim (assist by L. James)
9:47.0,K. Porzingis misses 2-pt shot from 16 ft,,4-4,,
9:47.0,Offensive rebound by J. Noah,,4-4,,
9:44.0,Shooting foul by L. James (drawn by K. Porzingis),,4-4,,
9:44.0,K. Porzingis makes free throw 1 of 2,1,5-4,,
9:44.0,K. Porzingis misses free throw 2 of 2,,5-4,,
9:44.0,,,5-4,,Defensive rebound by T. Thompson
9:33.0,,,5-4,,K. Love misses 2-pt shot from 20 ft
9:32.0,,,5-4,,Offensive rebound by K. Irving
9:27.0,,,5-4,,L. James misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by J. Noah,,5-4,,
9:18.0,D. Rose misses 2-pt shot from 12 ft,,5-4,,
9:16.0,Offensive rebound by D. Rose,,5-4,,
9:08.0,C. Lee misses 3-pt shot from 25 ft,,5-4,,
9:07.0,Offensive rebound by C. Anthony,,5-4,,
9:07.0,C. Anthony misses 2-pt shot from 1 ft,,5-4,,
9:06.0,,,5-4,,Defensive rebound by K. Love
8:58.0,,,5-4,,T. Thompson misses 2-pt shot from 9 ft (block by K. Porzingis)
8:56.0,Defensive rebound by C. Anthony,,5-4,,
8:47.0,C. Anthony makes 2-pt shot from 16 ft,2,7-4,,
8:16.0,,,7-4,,L. James misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by K. Porzingis,,7-4,,
8:09.0,D. Rose misses 2-pt shot from 1 ft,,7-4,,
8:06.0,,,7-4,,Defensive rebound by L. James
8:01.0,,,7-4,,K. Irving misses 2-pt shot at rim
8:01.0,,,7-4,,Offensive rebound by Team
7:56.0,,,7-7,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
7:42.0,Turnover by C. Anthony (bad pass; steal by K. Love),,7-7,,
7:33.0,,,7-7,,J. Smith misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by D. Rose,,7-7,,
7:28.0,,,7-7,,Cleveland full timeout
7:12.0,C. Anthony makes 3-pt shot from 23 ft (assist by D. Rose),3,10-7,,
7:03.0,Personal foul by C. Anthony (drawn by L. James),,10-7,,
6:52.0,,,10-7,,J. Smith misses 3-pt shot from 26 ft
6:52.0,,,10-7,,Offensive rebound by L. James
6:48.0,,,10-9,2,K. Love makes 2-pt shot from 2 ft (assist by L. James)
6:48.0,,,10-9,,Shooting foul by K. Porzingis (drawn by K. Love)
6:48.0,,,10-10,1,K. Love makes free throw 1 of 1
6:24.0,J. Noah misses 2-pt shot at rim,,10-10,,
6:24.0,,,10-10,,Defensive rebound by J. Smith
6:13.0,,,10-12,2,K. Irving makes 2-pt shot from 15 ft (assist by L. James)
6:02.0,Turnover by D. Rose (lost ball; steal by K. Irving),,10-12,,
5:56.0,,,10-14,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
5:38.0,C. Anthony makes 2-pt shot from 23 ft,2,12-14,,
5:25.0,,,12-14,,K. Irving misses 2-pt shot from 2 ft (block by D. Rose)
5:25.0,,,12-14,,Offensive rebound by Team
5:25.0,,,12-14,,R. Jefferson enters the game for K. Love
5:25.0,B. Jennings enters the game for D. Rose,,12-14,,
5:25.0,K. O'Quinn enters the game for J. Noah,,12-14,,
5:16.0,,,12-14,,J. Smith misses 2-pt shot from 18 ft
5:14.0,Defensive rebound by B. Jennings,,12-14,,
5:05.0,K. Porzingis misses 2-pt shot at rim,,12-14,,
5:03.0,,,12-14,,Defensive rebound by T. Thompson
5:00.0,,,12-14,,K. Irving misses 2-pt shot from 1 ft
5:00.0,Defensive rebound by Team,,12-14,,
4:34.0,B. Jennings misses 2-pt shot from 20 ft,,12-14,,
4:34.0,,,12-14,,Defensive rebound by L. James
4:34.0,Personal foul by K. O'Quinn (drawn by J. Smith),,12-14,,
4:25.0,Def 3 sec tech foul by K. O'Quinn,,12-14,,
4:25.0,,,12-15,1,K. Irving makes technical free throw
4:25.0,L. Thomas enters the game for K. Porzingis,,12-15,,
4:25.0,,,12-15,,I. Shumpert enters the game for J. Smith
4:16.0,,,12-17,2,K. Irving makes 2-pt shot from 2 ft
4:05.0,C. Anthony makes 2-pt shot at rim (assist by K. O'Quinn),2,14-17,,
3:49.0,,,14-17,,K. Irving misses 2-pt shot from 2 ft (block by K. O'Quinn)
3:46.0,,,14-17,,Offensive rebound by I. Shumpert
3:41.0,,,14-17,,R. Jefferson misses 3-pt shot from 25 ft
3:37.0,,,14-17,,Offensive rebound by L. James
3:37.0,,,14-19,2,L. James makes 2-pt shot at rim
3:17.0,C. Anthony makes 2-pt shot from 16 ft,2,16-19,,
3:04.0,,,16-19,,I. Shumpert misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by Team,,16-19,,
3:04.0,,,16-19,,M. Dunleavy enters the game for L. James
3:04.0,,,16-19,,K. Love enters the game for K. Irving
2:50.0,L. Thomas misses 2-pt shot from 23 ft,,16-19,,
2:50.0,,,16-19,,Defensive rebound by R. Jefferson
2:43.0,,,16-19,,K. Love misses 2-pt shot from 2 ft
2:43.0,,,16-19,,Offensive rebound by Team
2:43.0,New York full timeout,,16-19,,
2:40.0,,,16-19,,K. Love misses 2-pt shot from 2 ft (block by K. O'Quinn)
2:39.0,Defensive rebound by C. Lee,,16-19,,
2:37.0,Offensive foul by K. O'Quinn,,16-19,,
2:37.0,Turnover by K. O'Quinn (offensive foul),,16-19,,
2:16.0,,,16-21,2,K. Love makes 2-pt shot from 14 ft (assist by I. Shumpert)
2:00.0,Turnover by C. Anthony (lost ball; steal by R. Jefferson),,16-21,,
1:55.0,,,16-23,2,R. Jefferson makes 2-pt shot at rim
1:40.0,Turnover by C. Anthony (bad pass),,16-23,,
1:40.0,J. Holiday enters the game for C. Anthony,,16-23,,
1:28.0,,,16-23,,Shooting foul by L. Thomas (drawn by K. Love)
1:28.0,,,16-23,,K. Love misses free throw 1 of 2
1:28.0,,,16-23,,Offensive rebound by Team
1:28.0,,,16-24,1,K. Love makes free throw 2 of 2
1:28.0,W. Hernangomez enters the game for C. Lee,,16-23,,
1:11.0,K. O'Quinn misses 3-pt shot from 25 ft,,16-24,,
1:10.0,,,16-24,,Defensive rebound by K. Love
1:06.0,,,16-24,,Offensive foul by I. Shumpert
1:06.0,,,16-24,,Turnover by I. Shumpert (offensive foul)
0:51.0,Shooting foul by T. Thompson (drawn by B. Jennings),,16-24,,
0:51.0,B. Jennings makes free throw 1 of 2,1,17-24,,
0:51.0,B. Jennings makes free throw 2 of 2,1,18-24,,
0:41.0,Personal foul by L. Thomas (drawn by K. Love),,18-24,,
0:41.0,,,18-24,,K. Love misses free throw 1 of 2
0:41.0,,,18-24,,Offensive rebound by Team
0:41.0,,,18-25,1,K. Love makes free throw 2 of 2
0:41.0,,,18-24,,C. Frye enters the game for T. Thompson
0:30.0,B. Jennings misses 3-pt shot from 24 ft,,18-25,,
0:30.0,Offensive rebound by W. Hernangomez,,18-25,,
0:09.0,L. Thomas misses 2-pt shot from 15 ft (block by C. Frye),,18-25,,
0:09.0,,,18-25,,Defensive rebound by Team
0:09.0,,,18-25,,K. Irving enters the game for I. Shumpert
0:09.0,,,18-25,,L. James enters the game for R. Jefferson
0:09.0,C. Lee enters the game for K. O'Quinn,,18-25,,
0:03.0,,,18-28,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
0:00.0,B. Jennings misses 3-pt shot from 52 ft,,18-28,,
0:00.0,Offensive rebound by Team,,18-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,18-28,,C. Frye misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by J. Holiday,,18-28,,
