time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Thompson (J. Crowder gains possession),,,,Jump ball: A. Johnson vs. T. Thompson (J. Crowder gains possession)
11:39.0,I. Thomas misses 3-pt shot from 24 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by K. Love
11:33.0,,,0-0,,D. Liggins misses 2-pt shot from 2 ft
11:32.0,Defensive rebound by A. Johnson,,0-0,,
11:26.0,A. Bradley makes 2-pt shot from 15 ft,2,2-0,,
11:10.0,,,2-0,,Turnover by K. Love (lost ball)
10:56.0,A. Bradley makes 2-pt shot from 1 ft (assist by A. Johnson),2,4-0,,
10:34.0,,,4-2,2,K. Love makes 2-pt shot from 16 ft (assist by L. James)
10:18.0,A. Horford misses 3-pt shot from 25 ft,,4-2,,
10:17.0,,,4-2,,Defensive rebound by K. Irving
10:07.0,,,4-2,,K. Love misses 3-pt shot from 25 ft
10:06.0,,,4-2,,Offensive rebound by T. Thompson
10:01.0,,,4-2,,L. James misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by A. Johnson,,4-2,,
9:40.0,A. Horford makes 2-pt shot from 14 ft,2,6-2,,
9:22.0,,,6-2,,T. Thompson misses 2-pt shot at rim
9:19.0,,,6-2,,Offensive rebound by K. Love
9:17.0,,,6-2,,Turnover by K. Love (lost ball; steal by J. Crowder)
9:05.0,J. Crowder misses 3-pt shot from 24 ft,,6-2,,
9:04.0,,,6-2,,Defensive rebound by L. James
8:50.0,,,6-5,3,L. James makes 3-pt shot from 24 ft (assist by K. Irving)
8:38.0,Shooting foul by D. Liggins (drawn by I. Thomas),,6-5,,
8:38.0,I. Thomas makes free throw 1 of 2,1,7-5,,
8:38.0,I. Thomas makes free throw 2 of 2,1,8-5,,
8:26.0,,,8-5,,K. Irving misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by A. Bradley,,8-5,,
8:19.0,A. Bradley makes 3-pt shot from 25 ft,3,11-5,,
8:07.0,,,11-8,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
7:46.0,A. Horford misses 2-pt shot from 9 ft,,11-8,,
7:46.0,,,11-8,,Defensive rebound by Team
7:28.0,,,11-11,3,K. Love makes 3-pt shot from 26 ft (assist by D. Liggins)
7:13.0,A. Horford makes 2-pt shot from 7 ft,2,13-11,,
6:58.0,,,13-14,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
6:44.0,A. Bradley misses 3-pt shot from 25 ft,,13-14,,
6:44.0,,,13-14,,Defensive rebound by K. Irving
6:37.0,,,13-16,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
6:36.0,Boston full timeout,,13-16,,
6:18.0,J. Crowder makes 3-pt shot from 24 ft (assist by A. Horford),3,16-16,,
5:53.0,,,16-19,3,D. Liggins makes 3-pt shot from 23 ft (assist by T. Thompson)
5:36.0,J. Crowder misses 2-pt shot from 15 ft,,16-19,,
5:36.0,,,16-19,,Defensive rebound by T. Thompson
5:31.0,,,16-19,,K. Love misses 3-pt shot from 24 ft
5:30.0,Defensive rebound by A. Bradley,,16-19,,
5:13.0,A. Horford misses 3-pt shot from 25 ft,,16-19,,
